"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","CollecTRI"
"1","SPI1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","72.33333333333333","18","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=99); Enrichr--Queries(rank=621); GTEx--Coexpression(rank=686); ARCHS4--Coexpression(rank=798)","78","rank=78; score=0.01829","rank=18; score=8.6525; p=0.0083554; adjP=0.53998","rank=121; score=1.6537; p=0.098181; direction=Activated"
"2","HSF1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","84.33333333333334","5","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=115); Literature--ChIP-seq(rank=120); GTEx--Coexpression(rank=1027); ARCHS4--Coexpression(rank=1557)","35","rank=35; score=0.008475","rank=5; score=19.564; p=0.0025861; adjP=0.99999","rank=213; score=1.28; p=0.20056; direction=Activated"
"3","MYOD1","ChEA3;ENRICHR;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","85.00000000000000","47","5","ENCODE--ChIP-seq(rank=8); ARCHS4--Coexpression(rank=36); ReMap--ChIP-seq(rank=136); Enrichr--Queries(rank=323); GTEx--Coexpression(rank=348)","95","rank=95; score=0.02211","rank=47; score=1.8815; p=0.30297; adjP=0.48492","rank=113; score=1.6798; p=0.093005; direction=Activated"
"4","ZBTB7A","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","92.66666666666667","13","5","ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=22); Enrichr--Queries(rank=1065); GTEx--Coexpression(rank=1404); ARCHS4--Coexpression(rank=1581)","13","rank=13; score=0.003367","rank=183; score=0.08283; p=0.89581; adjP=1","rank=82; score=1.8462; p=0.064857; direction=Activated"
"5","SRY","ChEA3;ENRICHR;CollecTRI","4","ChEA3;ENRICHR;TRRUST;CollecTRI","94.33333333333333","11","4","Literature--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=208); Enrichr--Queries(rank=313); GTEx--Coexpression(rank=1316)","51","rank=51; score=0.0122","rank=11; score=10.007; p=0.0023786; adjP=0.56928","rank=221; score=1.2548; p=0.20957; direction=Activated"
"6","ESR1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","100.33333333333333","26","6","Literature--ChIP-seq(rank=7); ENCODE--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=177); Enrichr--Queries(rank=231); GTEx--Coexpression(rank=497); ARCHS4--Coexpression(rank=1192)","181","rank=181; score=0.04268","rank=26; score=10.035; p=0.058464; adjP=0.26889","rank=94; score=1.7845; p=0.074344; direction=Activated"
"7","TP63","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","113.66666666666667","54","5","Literature--ChIP-seq(rank=56); Enrichr--Queries(rank=70); ReMap--ChIP-seq(rank=140); ARCHS4--Coexpression(rank=397); GTEx--Coexpression(rank=713)","210","rank=210; score=0.04986","rank=77; score=1.6505; p=0.24463; adjP=0.99999","rank=54; score=1.9638; p=0.049551; direction=Activated"
"8","SP1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","114.00000000000000","55","5","ReMap--ChIP-seq(rank=4); ENCODE--ChIP-seq(rank=48); ARCHS4--Coexpression(rank=792); GTEx--Coexpression(rank=1046); Enrichr--Queries(rank=1222)","55","rank=55; score=0.01347","rank=57; score=7.9228; p=0.022355; adjP=0.24591","rank=230; score=1.2219; p=0.22174; direction=Activated"
"9","SREBF1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","115.66666666666667","42","6","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=29); Literature--ChIP-seq(rank=140); GTEx--Coexpression(rank=535); Enrichr--Queries(rank=910); ARCHS4--Coexpression(rank=1356)","145","rank=145; score=0.0339","rank=42; score=4.2992; p=0.2291; adjP=0.34574","rank=160; score=1.5012; p=0.13329; direction=Activated"
"10","ZNF263","ChEA3;ENRICHR;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","116.00000000000000","28","6","ReMap--ChIP-seq(rank=2); Literature--ChIP-seq(rank=33); ENCODE--ChIP-seq(rank=53); Enrichr--Queries(rank=1365); ARCHS4--Coexpression(rank=1379); GTEx--Coexpression(rank=1536)","28","rank=28; score=0.006734","rank=43; score=13.973; p=0.14078; adjP=0.99118","rank=277; score=1.0689; p=0.28514; direction=Activated"
