"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","CollecTRI"
"1","HIF1A","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.333333333333333","1","5","Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=45); ARCHS4--Coexpression(rank=281); GTEx--Coexpression(rank=367); Enrichr--Queries(rank=686)","23","rank=10; score=2.2438; p=0.0057038","rank=1; score=5.6492; direction=Activated","rank=5; score=4.3482; p=5.6836e-07; direction=Activated"
"2","ATF4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.333333333333334","3","4","ReMap--ChIP-seq(rank=18); Enrichr--Queries(rank=368); GTEx--Coexpression(rank=438); ARCHS4--Coexpression(rank=553)","222","rank=6; score=3.1609; p=0.00069033","rank=3; score=4.7541; direction=Activated","rank=19; score=2.673; p=0.00015291; direction=Activated"
"3","FOXO3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","16.666666666666668","1","4","Literature--ChIP-seq(rank=74); Enrichr--Queries(rank=522); GTEx--Coexpression(rank=658); ARCHS4--Coexpression(rank=749)","1111","rank=44; score=1.0502; p=0.08908","rank=5; score=3.9192; direction=Activated","rank=1; score=4.4262; p=1.7394e-10; direction=Activated"
"4","MYC","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","17.000000000000000","3","6","ENCODE--ChIP-seq(rank=30); Literature--ChIP-seq(rank=41); GTEx--Coexpression(rank=148); ReMap--ChIP-seq(rank=232); Enrichr--Queries(rank=346); ARCHS4--Coexpression(rank=959)","341","rank=3; score=3.4623; p=0.00034488","rank=7; score=3.6632; direction=Repressed","rank=41; score=2.2363; p=0.0011194; direction=Repressed"
"5","PPARG","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.000000000000000","4","5","Literature--ChIP-seq(rank=32); GTEx--Coexpression(rank=79); ARCHS4--Coexpression(rank=102); ReMap--ChIP-seq(rank=113); Enrichr--Queries(rank=131)","177","rank=47; score=1.0188; p=0.095772","rank=30; score=2.7062; direction=Activated","rank=4; score=3.5864; p=6.9941e-08; direction=Activated"
"6","ATF6","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","29.333333333333332","19","3","ARCHS4--Coexpression(rank=369); Enrichr--Queries(rank=734); GTEx--Coexpression(rank=792)","775","rank=19; score=1.6155; p=0.024237","rank=45; score=2.4218; direction=Activated","rank=24; score=3.5595; p=0.00019077; direction=Activated"
"7","SMAD4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","29.333333333333336","7","5","Literature--ChIP-seq(rank=46); ReMap--ChIP-seq(rank=237); ARCHS4--Coexpression(rank=511); GTEx--Coexpression(rank=1006); Enrichr--Queries(rank=1302)","901","rank=7; score=2.7023; p=0.0019848","rank=64; score=2.0303; direction=Activated","rank=17; score=3.1734; p=0.00013122; direction=Activated"
"8","ZBTB7A","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","38.333333333333336","6","5","ENCODE--ChIP-seq(rank=45); ReMap--ChIP-seq(rank=222); GTEx--Coexpression(rank=676); Enrichr--Queries(rank=1151); ARCHS4--Coexpression(rank=1430)","1130","rank=70; score=0.70225; p=0.19849","rank=6; score=3.8927; direction=Activated","rank=39; score=2.3464; p=0.00089457; direction=Activated"
"9","SP3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","40.000000000000000","17","3","GTEx--Coexpression(rank=1158); ARCHS4--Coexpression(rank=1160); Enrichr--Queries(rank=1267)","1575","rank=17; score=1.8151; p=0.015307","rank=47; score=2.3928; direction=Activated","rank=56; score=2.4854; p=0.001934; direction=Activated"
"10","VDR","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","45.000000000000000","25","5","Literature--ChIP-seq(rank=55); Enrichr--Queries(rank=192); ReMap--ChIP-seq(rank=193); ARCHS4--Coexpression(rank=427); GTEx--Coexpression(rank=651)","492","rank=36; score=1.2426; p=0.057205","rank=74; score=1.9268; direction=Activated","rank=25; score=2.6829; p=0.00019762; direction=Activated"
