"Dataset","Plot_Category","Analysis_Name","GeneSet_Name","Significant_Terms","Kept_Terms","Excluded_Terms","Excluded_Percent","Reciprocal_Terms","Skipped_Terms","GSEA_Result_File","Denester_Result_File","Kept_Terms_File","Excluded_Terms_File","Skipped_Terms_File","Dotplot_PDF_File","Dotplot_PNG_File","Heatmap_PDF_File","Heatmap_PNG_File"
"GSE282081","ATF3_correlation","2D_J2","HPO","370","228","142","38.378378378378379","66","0","results/ngs/GSE282081/tables/ATF3_function/2D_J2/GSEA/HPO/gsea_result.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2/HPO/denester_result.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2/HPO/denester_kept_terms.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2/HPO/denester_excluded_terms.csv",NA,"results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2/HPO/pdf/denester_dotplot.pdf","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2/HPO/png/denester_dotplot.png","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2/HPO/pdf/denester_overlap_heatmap.pdf","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2/HPO/png/denester_overlap_heatmap.png"
"GSE282081","ATF3_correlation","2D_J2","IMMUNESIGDB","829","241","588","70.928829915560925","167","0","results/ngs/GSE282081/tables/ATF3_function/2D_J2/GSEA/IMMUNESIGDB/gsea_result.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2/IMMUNESIGDB/denester_result.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2/IMMUNESIGDB/denester_kept_terms.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2/IMMUNESIGDB/denester_excluded_terms.csv",NA,"results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2/IMMUNESIGDB/pdf/denester_dotplot.pdf","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2/IMMUNESIGDB/png/denester_dotplot.png","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2/IMMUNESIGDB/pdf/denester_overlap_heatmap.pdf","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2/IMMUNESIGDB/png/denester_overlap_heatmap.png"
"GSE282081","ATF3_correlation","2D_J2","TFT_GTRD","40","31","9","22.500000000000000","9","0","results/ngs/GSE282081/tables/ATF3_function/2D_J2/GSEA/TFT_GTRD/gsea_result.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2/TFT_GTRD/denester_result.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2/TFT_GTRD/denester_kept_terms.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2/TFT_GTRD/denester_excluded_terms.csv",NA,"results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2/TFT_GTRD/pdf/denester_dotplot.pdf","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2/TFT_GTRD/png/denester_dotplot.png","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2/TFT_GTRD/pdf/denester_overlap_heatmap.pdf","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2/TFT_GTRD/png/denester_overlap_heatmap.png"
"GSE282081","ATF3_correlation","2D_J2","TFT_TFT_LEGACY","65","49","16","24.615384615384617","22","0","results/ngs/GSE282081/tables/ATF3_function/2D_J2/GSEA/TFT_TFT_LEGACY/gsea_result.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2/TFT_TFT_LEGACY/denester_result.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2/TFT_TFT_LEGACY/denester_kept_terms.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2/TFT_TFT_LEGACY/denester_excluded_terms.csv",NA,"results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2/TFT_TFT_LEGACY/pdf/denester_dotplot.pdf","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2/TFT_TFT_LEGACY/png/denester_dotplot.png","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2/TFT_TFT_LEGACY/pdf/denester_overlap_heatmap.pdf","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2/TFT_TFT_LEGACY/png/denester_overlap_heatmap.png"
"GSE282081","ATF3_correlation","2D_J2_hepatocyte","C6","31","25","6","19.354838709677420","8","0","results/ngs/GSE282081/tables/ATF3_function/2D_J2_hepatocyte/GSEA/C6/gsea_result.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/C6/denester_result.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/C6/denester_kept_terms.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/C6/denester_excluded_terms.csv",NA,"results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/C6/pdf/denester_dotplot.pdf","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/C6/png/denester_dotplot.png","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/C6/pdf/denester_overlap_heatmap.pdf","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/C6/png/denester_overlap_heatmap.png"
"GSE282081","ATF3_correlation","2D_J2_hepatocyte","CP_BIOCARTA","45","39","6","13.333333333333334","10","0","results/ngs/GSE282081/tables/ATF3_function/2D_J2_hepatocyte/GSEA/CP_BIOCARTA/gsea_result.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_BIOCARTA/denester_result.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_BIOCARTA/denester_kept_terms.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_BIOCARTA/denester_excluded_terms.csv",NA,"results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_BIOCARTA/pdf/denester_dotplot.pdf","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_BIOCARTA/png/denester_dotplot.png","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_BIOCARTA/pdf/denester_overlap_heatmap.pdf","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_BIOCARTA/png/denester_overlap_heatmap.png"
"GSE282081","ATF3_correlation","2D_J2_hepatocyte","CP_KEGG_LEGACY","51","40","11","21.568627450980394","15","0","results/ngs/GSE282081/tables/ATF3_function/2D_J2_hepatocyte/GSEA/CP_KEGG_LEGACY/gsea_result.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_KEGG_LEGACY/denester_result.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_KEGG_LEGACY/denester_kept_terms.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_KEGG_LEGACY/denester_excluded_terms.csv",NA,"results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_KEGG_LEGACY/pdf/denester_dotplot.pdf","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_KEGG_LEGACY/png/denester_dotplot.png","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_KEGG_LEGACY/pdf/denester_overlap_heatmap.pdf","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_KEGG_LEGACY/png/denester_overlap_heatmap.png"
"GSE282081","ATF3_correlation","2D_J2_hepatocyte","CP_KEGG_MEDICUS","104","95","9","8.653846153846153","28","0","results/ngs/GSE282081/tables/ATF3_function/2D_J2_hepatocyte/GSEA/CP_KEGG_MEDICUS/gsea_result.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_KEGG_MEDICUS/denester_result.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_KEGG_MEDICUS/denester_kept_terms.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_KEGG_MEDICUS/denester_excluded_terms.csv",NA,"results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_KEGG_MEDICUS/pdf/denester_dotplot.pdf","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_KEGG_MEDICUS/png/denester_dotplot.png","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_KEGG_MEDICUS/pdf/denester_overlap_heatmap.pdf","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_KEGG_MEDICUS/png/denester_overlap_heatmap.png"
"GSE282081","ATF3_correlation","2D_J2_hepatocyte","CP_REACTOME","350","207","143","40.857142857142861","51","0","results/ngs/GSE282081/tables/ATF3_function/2D_J2_hepatocyte/GSEA/CP_REACTOME/gsea_result.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_REACTOME/denester_result.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_REACTOME/denester_kept_terms.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_REACTOME/denester_excluded_terms.csv",NA,"results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_REACTOME/pdf/denester_dotplot.pdf","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_REACTOME/png/denester_dotplot.png","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_REACTOME/pdf/denester_overlap_heatmap.pdf","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_REACTOME/png/denester_overlap_heatmap.png"
"GSE282081","ATF3_correlation","2D_J2_hepatocyte","CP_WIKIPATHWAYS","189","128","61","32.275132275132272","35","0","results/ngs/GSE282081/tables/ATF3_function/2D_J2_hepatocyte/GSEA/CP_WIKIPATHWAYS/gsea_result.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_WIKIPATHWAYS/denester_result.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_WIKIPATHWAYS/denester_kept_terms.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_WIKIPATHWAYS/denester_excluded_terms.csv",NA,"results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_WIKIPATHWAYS/pdf/denester_dotplot.pdf","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_WIKIPATHWAYS/png/denester_dotplot.png","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_WIKIPATHWAYS/pdf/denester_overlap_heatmap.pdf","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/CP_WIKIPATHWAYS/png/denester_overlap_heatmap.png"
"GSE282081","ATF3_correlation","2D_J2_hepatocyte","GO_BP","757","519","238","31.439894319682960","172","1","results/ngs/GSE282081/tables/ATF3_function/2D_J2_hepatocyte/GSEA/GO_BP/gsea_result.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/GO_BP/denester_result.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/GO_BP/denester_kept_terms.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/GO_BP/denester_excluded_terms.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/GO_BP/denester_skipped_terms.csv","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/GO_BP/pdf/denester_dotplot.pdf","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/GO_BP/png/denester_dotplot.png","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/GO_BP/pdf/denester_overlap_heatmap.pdf","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/GO_BP/png/denester_overlap_heatmap.png"
"GSE282081","ATF3_correlation","2D_J2_hepatocyte","GO_CC","178","143","35","19.662921348314608","51","3","results/ngs/GSE282081/tables/ATF3_function/2D_J2_hepatocyte/GSEA/GO_CC/gsea_result.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/GO_CC/denester_result.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/GO_CC/denester_kept_terms.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/GO_CC/denester_excluded_terms.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/GO_CC/denester_skipped_terms.csv","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/GO_CC/pdf/denester_dotplot.pdf","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/GO_CC/png/denester_dotplot.png","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/GO_CC/pdf/denester_overlap_heatmap.pdf","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/GO_CC/png/denester_overlap_heatmap.png"
"GSE282081","ATF3_correlation","2D_J2_hepatocyte","GO_MF","261","233","28","10.727969348659004","77","1","results/ngs/GSE282081/tables/ATF3_function/2D_J2_hepatocyte/GSEA/GO_MF/gsea_result.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/GO_MF/denester_result.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/GO_MF/denester_kept_terms.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/GO_MF/denester_excluded_terms.csv","results/ngs/GSE282081/tables/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/GO_MF/denester_skipped_terms.csv","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/GO_MF/pdf/denester_dotplot.pdf","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/GO_MF/png/denester_dotplot.png","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/GO_MF/pdf/denester_overlap_heatmap.pdf","results/ngs/GSE282081/plots/GSEA_denester/ATF3_correlation/2D_J2_hepatocyte/GO_MF/png/denester_overlap_heatmap.png"
