"TF","HCT15"
"AHR","0.771249622124562162"
"AR","0.056413144271491272"
"ARID2","2.053537619510084511"
"ARID3A","2.736185527531838524"
"ARNT","-0.661199515603735133"
"ARNTL","3.705594575306273342"
"ASCL1","-1.101143710642251472"
"ATF1","-0.010862095100191970"
"ATF2","0.716041860073517222"
"ATF3","-0.575689386153159899"
"ATF4","4.959822110272996909"
"ATF6","1.931662806015858269"
"ATF7","0.511885651980227174"
"BACH1","0.835546537251673826"
"BACH2","1.553390020839162888"
"BATF","0.191024110794342367"
"BCL11A","-1.437106801371878184"
"BCL6","-0.382768118233034915"
"BHLHE22","-0.961113392286762847"
"BHLHE40","0.312287358530933146"
"CDX2","-0.457367715023146437"
"CEBPA","0.959288374662367049"
"CEBPB","1.591657965619921900"
"CEBPD","1.202539576342685379"
"CEBPG","1.532013464448547024"
"CLOCK","1.651995414660613948"
"CREB1","0.146593872169563627"
"CREB3","0.088976594285764238"
"CREB3L1","0.585867061993677329"
"CREM","1.593284598247522332"
"CTCF","-0.125145573331385374"
"CTCFL","-1.175826926635742176"
"CUX1","0.482778173584941628"
"DUX4","-0.236294595083822750"
"E2F1","2.325667910020416507"
"E2F2","0.804468931782980401"
"E2F3","0.725023802001434903"
"E2F4","1.987018440411549625"
"E2F5","-1.265675757832855242"
"E2F6","0.256723968101813915"
"E2F7","1.465551069361525016"
"EBF1","-0.125507773143876233"
"EGR1","0.187434118533837457"
"EHF","0.399339513694166204"
"ELF1","2.270814987590156875"
"ELF3","-1.321746706573238894"
"ELF5","-0.472313187829077052"
"ELK1","0.215246238200963447"
"ELK4","1.141013904343510355"
"EOMES","-2.555618846335354633"
"EPAS1","1.131735365201394394"
"ERG","1.532162563996692262"
"ESR1","1.907512322220784151"
"ESR2","1.428285225712979889"
"ESRRA","-0.789505456397126770"
"ETS1","1.267926256855208988"
"ETS2","0.833256074860261209"
"ETV1","-0.363294497571122588"
"ETV4","3.724344957546381174"
"FLI1","-0.009244598864234880"
"FOS","2.009759911954458467"
"FOSL1","2.578728010166063456"
"FOSL2","2.541921875544035814"
"FOXA1","0.500829591449130973"
"FOXA2","0.663101926826186627"
"FOXJ2","1.072116028396645548"
"FOXK2","1.777895895236714985"
"FOXL2","3.139344352881205946"
"FOXM1","1.620527273478997721"
"FOXO1","1.188827766297198441"
"FOXO3","2.635992497570343485"
"FOXO4","0.607708376816248896"
"FOXP1","0.867177890051292977"
"FOXP2","-0.822029740118274010"
"GABPA","1.798363290902838862"
"GATA2","0.347891303254309892"
"GATA3","0.435069929471369021"
"GATA4","1.467144618002694578"
"GATA6","-0.502950696741214509"
"GFI1B","-0.175293027930062351"
"GLI2","-0.420042771993445307"
"GRHL2","-0.907408813998972774"
"HBP1","-1.889795285541058911"
"HHEX","0.391413626864313413"
"HIF1A","2.382768585626033886"
"HINFP","0.405135894189843915"
"HMBOX1","-1.325848971896662620"
"HNF1A","-0.239245035471240042"
"HNF1B","-0.756489489297246909"
"HNF4A","-2.337699699774129947"
"HNF4G","-1.018724264295553184"
"HOXA9","1.373864006755730616"
"HOXB13","0.246682407932348441"
"HSF1","0.904422837017492931"
"IKZF1","2.079750225600358604"
"IRF1","1.312225743124057376"
"IRF2","1.760096214430392214"
"IRF3","-2.584259778268803043"
"IRF4","1.790248482926084517"
"IRF9","2.042300200590011716"
"JUN","3.451864185640127758"
"JUNB","2.002185961829956895"
"JUND","0.552327454876129775"
"KDM5B","0.350197658679647861"
"KLF1","-2.118313824627513942"
"KLF13","0.585175980445374666"
"KLF3","0.781932033272437432"
"KLF4","0.728666249955261858"
"KLF5","-0.721326517252965038"
"KLF6","1.472579729382929914"
"KLF9","-0.403018233098599077"
"KMT2A","-1.111784677431609802"
"LEF1","-0.945501079766534525"
"LHX2","0.029668741914356447"
"LYL1","-0.430119157306433519"
"MAF","-0.376001977312189428"
"MAFB","0.319909084258435339"
"MAFF","1.876352652191165316"
"MAFG","-1.059928133101713410"
"MAFK","0.325151051164306648"
"MAX","-0.110197695751772670"
"MAZ","-3.411337092621974154"
"MBD1","1.224129175832511240"
"MBD2","-2.570406004767820107"
