Pathway,RIBOSOME BIOGENESIS,RRNA PROCESSING,MATURATION OF SSU RRNA,"MATURATION OF SSU RRNA FROM TRICISTRONIC RRNA
TRANSCRIPT SSU RRNA 5 8S RRNA LSU RRNA",RIBOSOMAL SMALL SUBUNIT BIOGENESIS,RRNA METABOLIC PROCESS,REGULATION OF RRNA PROCESSING,RIBOSOMAL LARGE SUBUNIT BIOGENESIS,RIBOSOME ASSEMBLY,MEMBRANELESS ORGANELLE ASSEMBLY,MITOCHONDRIAL GENE EXPRESSION,MITOCHONDRIAL TRANSLATION,PROTEIN RNA COMPLEX ORGANIZATION,"RNA SPLICING VIA TRANSESTERIFICATION
REACTIONS",RNA SPLICING,CYTOPLASMIC TRANSLATION,"NEGATIVE REGULATION OF SYNCYTIUM FORMATION BY
PLASMA MEMBRANE FUSION","REGULATION OF SYNCYTIUM FORMATION BY PLASMA
MEMBRANE FUSION",SYNCYTIUM FORMATION,STRIATED MUSCLE CELL DIFFERENTIATION,MYOBLAST FUSION,CELL SUBSTRATE ADHESION,REGULATION OF CELL SUBSTRATE ADHESION,CELL MATRIX ADHESION,POSITIVE REGULATION OF CELL ADHESION,INTEGRIN MEDIATED SIGNALING PATHWAY,ACTIN FILAMENT BUNDLE ORGANIZATION,WOUND HEALING,HEMOSTASIS,REGULATION OF PLASMINOGEN ACTIVATION,TAXIS,TRNA METABOLIC PROCESS,TRNA PROCESSING,TRNA MODIFICATION,RNA MODIFICATION,RNA METHYLATION,MACROMOLECULE METHYLATION,ADULT BEHAVIOR,LEARNING,MULTI MULTICELLULAR ORGANISM PROCESS
RIBOSOME BIOGENESIS,1.0,0.7065868263473054,0.218562874251497,0.10479041916167664,0.3413173652694611,0.7125748502994012,0.05389221556886228,0.23952095808383234,0.2125748502994012,0.2245508982035928,0.05389221556886228,0.041916167664670656,0.20359281437125748,0.05089820359281437,0.0688622754491018,0.1317365269461078,0.03293413173652695,0.03293413173652695,0.03293413173652695,0.03592814371257485,0.03293413173652695,0.005988023952095809,0.005988023952095809,0.0029940119760479044,0.005988023952095809,0.0,0.0,0.0,0.0,0.0,0.008982035928143712,0.059880239520958084,0.041916167664670656,0.014970059880239521,0.12275449101796407,0.08682634730538923,0.09281437125748503,0.005988023952095809,0.0029940119760479044,0.005988023952095809
RRNA PROCESSING,1.0,1.0,0.3093220338983051,0.1483050847457627,0.3728813559322034,1.0,0.07627118644067797,0.2033898305084746,0.13135593220338984,0.1440677966101695,0.025423728813559324,0.012711864406779662,0.17796610169491525,0.059322033898305086,0.08050847457627118,0.09745762711864407,0.03389830508474576,0.03389830508474576,0.03389830508474576,0.03389830508474576,0.03389830508474576,0.00423728813559322,0.00423728813559322,0.00423728813559322,0.00423728813559322,0.0,0.0,0.0,0.0,0.0,0.00847457627118644,0.0847457627118644,0.059322033898305086,0.0211864406779661,0.1694915254237288,0.1228813559322034,0.13135593220338984,0.00423728813559322,0.00423728813559322,0.00423728813559322
MATURATION OF SSU RRNA,1.0,1.0,1.0,0.4794520547945205,1.0,1.0,0.0958904109589041,0.0273972602739726,0.1095890410958904,0.1232876712328767,0.0,0.0,0.1232876712328767,0.0410958904109589,0.0410958904109589,0.0821917808219178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.0547945205479452,0.0547945205479452,0.0273972602739726,0.1095890410958904,0.0821917808219178,0.0821917808219178,0.0,0.0,0.0136986301369863
"MATURATION OF SSU RRNA FROM TRICISTRONIC RRNA
TRANSCRIPT SSU RRNA 5 8S RRNA LSU RRNA",1.0,1.0,1.0,1.0,1.0,1.0,0.05714285714285714,0.02857142857142857,0.14285714285714285,0.17142857142857143,0.0,0.0,0.11428571428571428,0.0,0.0,0.11428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857
RIBOSOMAL SMALL SUBUNIT BIOGENESIS,1.0,0.7719298245614035,0.6403508771929824,0.30701754385964913,1.0,0.7719298245614035,0.07017543859649122,0.043859649122807015,0.23684210526315788,0.2543859649122807,0.008771929824561403,0.0,0.23684210526315788,0.043859649122807015,0.05263157894736842,0.22807017543859648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008771929824561403,0.043859649122807015,0.03508771929824561,0.017543859649122806,0.09649122807017543,0.07894736842105263,0.07894736842105263,0.0,0.0,0.008771929824561403
RRNA METABOLIC PROCESS,0.8235294117647058,0.8166089965397924,0.25259515570934254,0.12110726643598616,0.3044982698961938,1.0,0.06228373702422145,0.1695501730103806,0.10726643598615918,0.1245674740484429,0.020761245674740483,0.010380622837370242,0.1453287197231834,0.05190311418685121,0.06920415224913495,0.08304498269896193,0.02768166089965398,0.02768166089965398,0.02768166089965398,0.031141868512110725,0.02768166089965398,0.0034602076124567475,0.0034602076124567475,0.0034602076124567475,0.01384083044982699,0.0,0.0034602076124567475,0.0034602076124567475,0.0,0.0,0.006920415224913495,0.11418685121107267,0.04844290657439446,0.01730103806228374,0.1384083044982699,0.10034602076124567,0.10726643598615918,0.0034602076124567475,0.0034602076124567475,0.010380622837370242
REGULATION OF RRNA PROCESSING,1.0,1.0,0.3888888888888889,0.1111111111111111,0.4444444444444444,1.0,1.0,0.05555555555555555,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.16666666666666666,0.2777777777777778,0.0,0.0,0.0
RIBOSOMAL LARGE SUBUNIT BIOGENESIS,1.0,0.6,0.025,0.0125,0.0625,0.6125,0.0125,1.0,0.3875,0.3875,0.075,0.075,0.4,0.0125,0.0125,0.1375,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0125,0.0125,0.0875,0.075,0.075,0.0,0.0,0.0
RIBOSOME ASSEMBLY,1.0,0.43661971830985913,0.11267605633802817,0.07042253521126761,0.38028169014084506,0.43661971830985913,0.0,0.43661971830985913,1.0,1.0,0.18309859154929578,0.15492957746478872,0.7746478873239436,0.028169014084507043,0.028169014084507043,0.22535211267605634,0.056338028169014086,0.056338028169014086,0.056338028169014086,0.056338028169014086,0.056338028169014086,0.014084507042253521,0.014084507042253521,0.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.04225352112676056,0.0,0.0,0.0,0.09859154929577464,0.08450704225352113,0.08450704225352113,0.0,0.0,0.014084507042253521
MEMBRANELESS ORGANELLE ASSEMBLY,0.16059957173447537,0.0728051391862955,0.019271948608137045,0.01284796573875803,0.06209850107066381,0.07708779443254818,0.004282655246252677,0.06638115631691649,0.15203426124197003,1.0,0.029978586723768737,0.023554603854389723,0.12419700214132762,0.023554603854389723,0.032119914346895075,0.05139186295503212,0.010706638115631691,0.01284796573875803,0.019271948608137045,0.18843683083511778,0.019271948608137045,0.027837259100642397,0.021413276231263382,0.021413276231263382,0.017130620985010708,0.01284796573875803,0.042826552462526764,0.0728051391862955,0.019271948608137045,0.0,0.034261241970021415,0.0021413276231263384,0.0,0.0,0.017130620985010708,0.01284796573875803,0.01284796573875803,0.008565310492505354,0.008565310492505354,0.014989293361884369
MITOCHONDRIAL GENE EXPRESSION,0.10588235294117647,0.03529411764705882,0.0,0.0,0.0058823529411764705,0.03529411764705882,0.0,0.03529411764705882,0.07647058823529412,0.08235294117647059,1.0,0.7705882352941177,0.047058823529411764,0.0058823529411764705,0.03529411764705882,0.0058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0058823529411764705,0.0058823529411764705,0.0,0.01764705882352941,0.0,0.0,0.0,0.0,0.0,0.011764705882352941,0.20588235294117646,0.11764705882352941,0.09411764705882353,0.12352941176470589,0.058823529411764705,0.058823529411764705,0.0,0.0058823529411764705,0.0058823529411764705
MITOCHONDRIAL TRANSLATION,0.10687022900763359,0.022900763358778626,0.0,0.0,0.0,0.022900763358778626,0.0,0.04580152671755725,0.08396946564885496,0.08396946564885496,1.0,1.0,0.05343511450381679,0.007633587786259542,0.015267175572519083,0.007633587786259542,0.0,0.0,0.0,0.0,0.0,0.007633587786259542,0.007633587786259542,0.0,0.007633587786259542,0.0,0.0,0.0,0.0,0.0,0.015267175572519083,0.16793893129770993,0.05343511450381679,0.05343511450381679,0.06870229007633588,0.022900763358778626,0.022900763358778626,0.0,0.007633587786259542,0.007633587786259542
PROTEIN RNA COMPLEX ORGANIZATION,0.25,0.15441176470588236,0.03308823529411765,0.014705882352941176,0.09926470588235294,0.15441176470588236,0.007352941176470588,0.11764705882352941,0.20220588235294118,0.21323529411764705,0.029411764705882353,0.025735294117647058,1.0,0.5698529411764706,0.5772058823529411,0.16176470588235295,0.01838235294117647,0.01838235294117647,0.01838235294117647,0.01838235294117647,0.01838235294117647,0.0,0.0,0.0,0.007352941176470588,0.0,0.0,0.003676470588235294,0.0,0.0,0.007352941176470588,0.01838235294117647,0.011029411764705883,0.0,0.07352941176470588,0.05514705882352941,0.0625,0.0,0.0,0.003676470588235294
"RNA SPLICING VIA TRANSESTERIFICATION
REACTIONS",0.04582210242587601,0.03773584905660377,0.008086253369272238,0.0,0.013477088948787063,0.04043126684636118,0.005390835579514825,0.0026954177897574125,0.005390835579514825,0.029649595687331536,0.0026954177897574125,0.0026954177897574125,0.41778975741239893,1.0,1.0,0.026954177897574125,0.0,0.0026954177897574125,0.0026954177897574125,0.008086253369272238,0.0026954177897574125,0.0026954177897574125,0.0026954177897574125,0.0,0.008086253369272238,0.0,0.0,0.0026954177897574125,0.0,0.0,0.005390835579514825,0.01078167115902965,0.008086253369272238,0.0026954177897574125,0.05390835579514825,0.0431266846361186,0.04851752021563342,0.0,0.0026954177897574125,0.005390835579514825
RNA SPLICING,0.04609218436873747,0.03807615230460922,0.006012024048096192,0.0,0.012024048096192385,0.04008016032064128,0.006012024048096192,0.002004008016032064,0.004008016032064128,0.03006012024048096,0.012024048096192385,0.004008016032064128,0.31462925851703405,0.7434869739478958,1.0,0.026052104208416832,0.0,0.002004008016032064,0.002004008016032064,0.014028056112224449,0.002004008016032064,0.004008016032064128,0.004008016032064128,0.002004008016032064,0.006012024048096192,0.0,0.002004008016032064,0.004008016032064128,0.0,0.0,0.006012024048096192,0.04408817635270541,0.04208416833667335,0.008016032064128256,0.050100200400801605,0.03406813627254509,0.04408817635270541,0.0,0.006012024048096192,0.006012024048096192
CYTOPLASMIC TRANSLATION,0.24858757062146894,0.12994350282485875,0.03389830508474576,0.022598870056497175,0.14689265536723164,0.13559322033898305,0.005649717514124294,0.062146892655367235,0.0903954802259887,0.13559322033898305,0.005649717514124294,0.005649717514124294,0.24858757062146894,0.05649717514124294,0.07344632768361582,1.0,0.2542372881355932,0.2542372881355932,0.2542372881355932,0.2768361581920904,0.2542372881355932,0.0,0.0,0.0,0.01694915254237288,0.0,0.005649717514124294,0.005649717514124294,0.0,0.0,0.011299435028248588,0.022598870056497175,0.01694915254237288,0.01694915254237288,0.02824858757062147,0.01694915254237288,0.022598870056497175,0.0,0.0,0.005649717514124294
"NEGATIVE REGULATION OF SYNCYTIUM FORMATION BY
PLASMA MEMBRANE FUSION",0.22,0.16,0.0,0.0,0.0,0.16,0.0,0.16,0.08,0.1,0.0,0.0,0.1,0.0,0.0,0.9,1.0,1.0,1.0,0.96,0.96,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02
