"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","VIPER","CollecTRI"
"1","E2F4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.0","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=61); ARCHS4--Coexpression(rank=178); GTEx--Coexpression(rank=540)","19","rank=1; score=13.275; direction=Repressed","rank=1; score=14.003; p=1.4862e-44; direction=Repressed"
"2","E2F1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.0","2","6","Literature--ChIP-seq(rank=3); Enrichr--Queries(rank=6); ENCODE--ChIP-seq(rank=7); GTEx--Coexpression(rank=7); ReMap--ChIP-seq(rank=8); ARCHS4--Coexpression(rank=11)","12","rank=2; score=7.2988; direction=Repressed","rank=2; score=5.5779; p=2.4347e-08; direction=Repressed"
"3","E2F3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.5","3","3","ARCHS4--Coexpression(rank=18); Enrichr--Queries(rank=29); GTEx--Coexpression(rank=839)","36","rank=8; score=4.7963; direction=Repressed","rank=3; score=4.9645; p=6.8867e-07; direction=Repressed"
"4","MYC","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.0","6","6","Literature--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=31); Enrichr--Queries(rank=111); ARCHS4--Coexpression(rank=118); GTEx--Coexpression(rank=271)","111","rank=6; score=4.9303; direction=Repressed","rank=8; score=3.3817; p=0.00072036; direction=Repressed"
"5","FOXM1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","12.0","4","6","Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=5)","2","rank=4; score=5.4883; direction=Repressed","rank=20; score=2.5136; p=0.01195; direction=Repressed"
"6","TFDP1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.0","7","4","GTEx--Coexpression(rank=4); ReMap--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=16); Enrichr--Queries(rank=16)","9","rank=7; score=4.8451; direction=Repressed","rank=35; score=2.1416; p=0.032228; direction=Repressed"
"7","ZFX","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","25.0","5","5","ReMap--ChIP-seq(rank=41); Literature--ChIP-seq(rank=54); Enrichr--Queries(rank=774); ARCHS4--Coexpression(rank=849); GTEx--Coexpression(rank=986)","499","rank=5; score=5.1728; direction=Repressed","rank=45; score=1.9461; p=0.051648; direction=Activated"
"8","FOXO3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","32.5","5","4","Literature--ChIP-seq(rank=19); ARCHS4--Coexpression(rank=417); Enrichr--Queries(rank=627); GTEx--Coexpression(rank=743)","423","rank=60; score=2.1942; direction=Activated","rank=5; score=3.6661; p=0.00024632; direction=Activated"
"9","E2F5","VIPER;CollecTRI","4","DoRothEA;ChEA3;VIPER;CollecTRI","37.0","25","4","ReMap--ChIP-seq(rank=4); Enrichr--Queries(rank=58); GTEx--Coexpression(rank=196); ARCHS4--Coexpression(rank=243)","45","rank=49; score=2.4549; direction=Repressed","rank=25; score=2.4469; p=0.014407; direction=Repressed"
"10","POU5F1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.0","34","5","Literature--ChIP-seq(rank=17); ARCHS4--Coexpression(rank=99); Enrichr--Queries(rank=133); ReMap--ChIP-seq(rank=145); GTEx--Coexpression(rank=1420)","227","rank=34; score=2.6306; direction=Activated","rank=48; score=1.9165; p=0.055301; direction=Repressed"
