Pathway,FREAC2 01,FOXO3 01,FOXO4 02,FOXO1 02,FOXO1 01,FOXO4 01,CHOP 01,AAANWWTGC UNKNOWN,YNGTTNNNATT UNKNOWN,FOXD3 01,CDC5 01,OCT1 07,NKX62 Q2,PAX4 02,YATTNATC UNKNOWN,SOX9 B1,CATTGTYY SOX9 B1,SOX5 01,SRY 02,E4BP4 01,TTAYRTAA E4BP4 01,CREBP1 01,HLF 01,CEBPB 01,CEBP C,MAF Q6,TAAYNRNNTCC UNKNOWN,TCF1P Q6,ERR1 Q2,MEIS1 01,MYB Q5 01,AP4 Q6,AP1FJ Q2,AP1 Q2,NF1 Q6 01,NF1 Q6,SREBP1 Q6,MAZR 01,LXR Q3,SP1 Q2 01
FREAC2 01,1.0,0.32575757575757575,0.36363636363636365,0.36742424242424243,0.2840909090909091,0.3068181818181818,0.07575757575757576,0.06439393939393939,0.14015151515151514,0.14772727272727273,0.10984848484848485,0.07196969696969698,0.11363636363636363,0.10984848484848485,0.13257575757575757,0.08333333333333333,0.11363636363636363,0.14393939393939395,0.1893939393939394,0.045454545454545456,0.10227272727272728,0.06060606060606061,0.05303030303030303,0.09090909090909091,0.08333333333333333,0.07575757575757576,0.041666666666666664,0.10227272727272728,0.03409090909090909,0.07196969696969698,0.04924242424242424,0.04924242424242424,0.05303030303030303,0.056818181818181816,0.04924242424242424,0.06060606060606061,0.06439393939393939,0.04924242424242424,0.030303030303030304,0.04924242424242424
FOXO3 01,0.3426294820717131,1.0,0.5697211155378487,0.398406374501992,0.3346613545816733,0.2589641434262948,0.09163346613545817,0.06374501992031872,0.17131474103585656,0.14741035856573706,0.11155378486055777,0.07171314741035857,0.10358565737051793,0.10358565737051793,0.11553784860557768,0.05179282868525897,0.08764940239043825,0.11155378486055777,0.20318725099601595,0.05976095617529881,0.09163346613545817,0.05976095617529881,0.07171314741035857,0.07569721115537849,0.0796812749003984,0.08366533864541832,0.03187250996015936,0.07569721115537849,0.055776892430278883,0.06374501992031872,0.07171314741035857,0.05179282868525897,0.06374501992031872,0.06772908366533864,0.043824701195219126,0.05179282868525897,0.05179282868525897,0.05179282868525897,0.027888446215139442,0.06374501992031872
FOXO4 02,0.3650190114068441,0.5437262357414449,1.0,0.4600760456273764,0.34980988593155893,0.3041825095057034,0.07604562737642585,0.06463878326996197,0.13688212927756654,0.12167300380228137,0.08745247148288973,0.06463878326996197,0.08745247148288973,0.09505703422053231,0.11026615969581749,0.06463878326996197,0.10266159695817491,0.09885931558935361,0.17870722433460076,0.057034220532319393,0.07604562737642585,0.04182509505703422,0.07224334600760456,0.06463878326996197,0.06463878326996197,0.09125475285171103,0.03802281368821293,0.060836501901140684,0.045627376425855515,0.08365019011406843,0.07604562737642585,0.045627376425855515,0.060836501901140684,0.06463878326996197,0.060836501901140684,0.057034220532319393,0.07984790874524715,0.045627376425855515,0.019011406844106463,0.053231939163498096
FOXO1 02,0.3895582329317269,0.40160642570281124,0.4859437751004016,1.0,0.2971887550200803,0.2891566265060241,0.07228915662650602,0.06827309236947791,0.13654618473895583,0.11646586345381527,0.08032128514056225,0.08433734939759036,0.10843373493975904,0.08433734939759036,0.10441767068273092,0.07630522088353414,0.0963855421686747,0.12449799196787148,0.1606425702811245,0.060240963855421686,0.09236947791164658,0.04819277108433735,0.07228915662650602,0.08032128514056225,0.0642570281124498,0.07228915662650602,0.04819277108433735,0.08433734939759036,0.040160642570281124,0.06827309236947791,0.07228915662650602,0.0321285140562249,0.05220883534136546,0.060240963855421686,0.03614457831325301,0.03614457831325301,0.06827309236947791,0.0642570281124498,0.020080321285140562,0.03614457831325301
FOXO1 01,0.3024193548387097,0.3387096774193548,0.3709677419354839,0.29838709677419356,1.0,0.40725806451612906,0.08064516129032258,0.07258064516129033,0.125,0.18548387096774194,0.0967741935483871,0.07258064516129033,0.0967741935483871,0.08870967741935484,0.11290322580645161,0.07258064516129033,0.11290322580645161,0.1532258064516129,0.1774193548387097,0.04435483870967742,0.06451612903225806,0.04032258064516129,0.04435483870967742,0.0846774193548387,0.08870967741935484,0.08064516129032258,0.06451612903225806,0.07661290322580645,0.04838709677419355,0.06451612903225806,0.07258064516129033,0.03225806451612903,0.056451612903225805,0.07661290322580645,0.04838709677419355,0.06854838709677419,0.07661290322580645,0.05241935483870968,0.012096774193548387,0.07258064516129033
FOXO4 01,0.32926829268292684,0.26422764227642276,0.3252032520325203,0.2926829268292683,0.4105691056910569,1.0,0.08536585365853659,0.08536585365853659,0.13414634146341464,0.15040650406504066,0.11382113821138211,0.08130081300813008,0.09349593495934959,0.06910569105691057,0.11788617886178862,0.1016260162601626,0.09349593495934959,0.13821138211382114,0.11788617886178862,0.052845528455284556,0.07317073170731707,0.04065040650406504,0.06910569105691057,0.07317073170731707,0.06910569105691057,0.06910569105691057,0.044715447154471545,0.09349593495934959,0.028455284552845527,0.036585365853658534,0.08130081300813008,0.036585365853658534,0.04878048780487805,0.04878048780487805,0.056910569105691054,0.08536585365853659,0.06504065040650407,0.06097560975609756,0.024390243902439025,0.04878048780487805
CHOP 01,0.08368200836820083,0.09623430962343096,0.08368200836820083,0.07531380753138076,0.08368200836820083,0.08786610878661087,1.0,0.08368200836820083,0.100418410041841,0.09623430962343096,0.09205020920502092,0.05439330543933055,0.0502092050209205,0.07531380753138076,0.06694560669456066,0.07112970711297072,0.07112970711297072,0.100418410041841,0.07112970711297072,0.04602510460251046,0.06276150627615062,0.04184100418410042,0.05439330543933055,0.09623430962343096,0.0794979079497908,0.07531380753138076,0.06276150627615062,0.07112970711297072,0.0502092050209205,0.02092050209205021,0.08786610878661087,0.04184100418410042,0.06694560669456066,0.07531380753138076,0.0502092050209205,0.058577405857740586,0.07531380753138076,0.0502092050209205,0.012552301255230125,0.0502092050209205
AAANWWTGC UNKNOWN,0.08717948717948718,0.08205128205128205,0.08717948717948718,0.08717948717948718,0.09230769230769231,0.1076923076923077,0.10256410256410256,1.0,0.09743589743589744,0.08205128205128205,0.1076923076923077,0.046153846153846156,0.07179487179487179,0.08205128205128205,0.08205128205128205,0.09743589743589744,0.1641025641025641,0.14871794871794872,0.10256410256410256,0.035897435897435895,0.05128205128205128,0.03076923076923077,0.08205128205128205,0.10256410256410256,0.06153846153846154,0.07179487179487179,0.05641025641025641,0.07179487179487179,0.035897435897435895,0.06153846153846154,0.07179487179487179,0.041025641025641026,0.046153846153846156,0.041025641025641026,0.05641025641025641,0.08717948717948718,0.09230769230769231,0.03076923076923077,0.005128205128205128,0.046153846153846156
YNGTTNNNATT UNKNOWN,0.09840425531914894,0.11436170212765957,0.09574468085106383,0.09042553191489362,0.08244680851063829,0.08776595744680851,0.06382978723404255,0.05053191489361702,1.0,0.09574468085106383,0.10106382978723404,0.05585106382978723,0.09840425531914894,0.09574468085106383,0.1356382978723404,0.09042553191489362,0.11702127659574468,0.09840425531914894,0.10106382978723404,0.06648936170212766,0.06914893617021277,0.047872340425531915,0.05585106382978723,0.061170212765957445,0.06914893617021277,0.0797872340425532,0.047872340425531915,0.07712765957446809,0.034574468085106384,0.05851063829787234,0.061170212765957445,0.05319148936170213,0.026595744680851064,0.02925531914893617,0.047872340425531915,0.04521276595744681,0.047872340425531915,0.026595744680851064,0.015957446808510637,0.05053191489361702
FOXD3 01,0.19306930693069307,0.18316831683168316,0.15841584158415842,0.14356435643564355,0.22772277227722773,0.18316831683168316,0.11386138613861387,0.07920792079207921,0.1782178217821782,1.0,0.16831683168316833,0.13366336633663367,0.1782178217821782,0.13861386138613863,0.1485148514851485,0.0891089108910891,0.10891089108910891,0.14356435643564355,0.13366336633663367,0.06435643564356436,0.0891089108910891,0.06930693069306931,0.08415841584158416,0.06930693069306931,0.07920792079207921,0.07425742574257425,0.04950495049504951,0.08415841584158416,0.0594059405940594,0.07920792079207921,0.07425742574257425,0.039603960396039604,0.054455445544554455,0.06930693069306931,0.0594059405940594,0.0594059405940594,0.06435643564356436,0.04455445544554455,0.024752475247524754,0.0297029702970297
