"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","TRRUST"
"1","E2F1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.333333333333333","1","6","Literature--ChIP-seq(rank=4); Enrichr--Queries(rank=6); GTEx--Coexpression(rank=7); ENCODE--ChIP-seq(rank=9); ARCHS4--Coexpression(rank=14); ReMap--ChIP-seq(rank=19)","12","rank=12; score=0.004274","rank=3; score=92.119; p=4.2626e-24; adjP=5.3709e-22","rank=1; score=9.8144; p=1.5333e-10"
"2","FOXM1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.666666666666667","2","6","Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=4)","2","rank=2; score=0.0006223","rank=4; score=1517; p=5.7984e-58; adjP=4.3836e-55","rank=11; score=2.7728; p=0.0016875"
"3","TFDP1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.000000000000000","6","4","GTEx--Coexpression(rank=4); Enrichr--Queries(rank=15); ARCHS4--Coexpression(rank=19); ReMap--ChIP-seq(rank=20)","8","rank=8; score=0.002489","rank=16; score=119.01; p=0.00013071; adjP=0.0093735","rank=6; score=3.8837; p=0.00013071"
"4","E2F4","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.333333333333332","2","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=3); Enrichr--Queries(rank=81); ARCHS4--Coexpression(rank=811); GTEx--Coexpression(rank=1127)","27","rank=27; score=0.008475","rank=2; score=1642.8; p=7.1929e-113; adjP=7.4806e-111","rank=2; score=8.2913; p=5.1137e-09"
"5","TP53","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","11.333333333333334","3","5","ARCHS4--Coexpression(rank=13); Literature--ChIP-seq(rank=23); ReMap--ChIP-seq(rank=149); GTEx--Coexpression(rank=168); Enrichr--Queries(rank=271)","26","rank=26; score=0.007985","rank=5; score=41.375; p=1.1959e-07; adjP=2.0011e-05","rank=3; score=6.9222; p=1.1961e-07"
"6","SOX2","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.333333333333336","12","5","Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=226); ARCHS4--Coexpression(rank=420); Enrichr--Queries(rank=539); GTEx--Coexpression(rank=677)","67","rank=67; score=0.01829","rank=12; score=106.14; p=2.3078e-25; adjP=3.4894e-23","rank=15; score=2.5419; p=0.0028716"
"7","E2F3","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","38.000000000000000","19","3","ARCHS4--Coexpression(rank=18); Enrichr--Queries(rank=28); GTEx--Coexpression(rank=1222)","36","rank=36; score=0.01106","rank=59; score=23.987; p=0.0073768; adjP=0.16833","rank=19; score=2.1321; p=0.0073769"
"8","MYCN","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.000000000000000","10","5","Literature--ChIP-seq(rank=8); ARCHS4--Coexpression(rank=38); ReMap--ChIP-seq(rank=84); Enrichr--Queries(rank=132); GTEx--Coexpression(rank=698)","88","rank=88; score=0.02334","rank=31; score=26.423; p=1.8981e-06; adjP=4.6274e-05","rank=10; score=2.794; p=0.0016071"
"9","CDX2","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","50.000000000000000","9","5","ARCHS4--Coexpression(rank=46); GTEx--Coexpression(rank=60); Literature--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=154); Enrichr--Queries(rank=719)","111","rank=111; score=0.02826","rank=30; score=22.328; p=0.0014734; adjP=0.013621","rank=9; score=2.8317; p=0.0014734"
"10","CTCF","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","74.666666666666671","20","6","ReMap--ChIP-seq(rank=4); ARCHS4--Coexpression(rank=11); ENCODE--ChIP-seq(rank=11); Literature--ChIP-seq(rank=113); Enrichr--Queries(rank=282); GTEx--Coexpression(rank=1343)","20","rank=20; score=0.006757","rank=49; score=20.163; p=5.3641e-07; adjP=1.6221e-05","rank=155; score=0.3259; p=0.47217"
