Pathway,IMMUNOGLOBULIN COMPLEX,T CELL RECEPTOR COMPLEX,PLASMA MEMBRANE SIGNALING RECEPTOR COMPLEX,ALPHA BETA T CELL RECEPTOR COMPLEX,EXTERNAL SIDE OF PLASMA MEMBRANE,IMMUNOLOGICAL SYNAPSE,CATION CHANNEL COMPLEX,MONOATOMIC ION CHANNEL COMPLEX,POTASSIUM CHANNEL COMPLEX,SODIUM CHANNEL COMPLEX,MAIN AXON,PERIKARYON,PRESYNAPTIC MEMBRANE,SYNAPTIC MEMBRANE,PRESYNAPTIC ACTIVE ZONE,GABA ERGIC SYNAPSE,POSTSYNAPTIC MEMBRANE,POSTSYNAPTIC SPECIALIZATION MEMBRANE,POSTSYNAPTIC SPECIALIZATION,NEURON TO NEURON SYNAPSE,EXCITATORY SYNAPSE,DISTAL AXON,TERMINAL BOUTON,NEURON PROJECTION TERMINUS,EXOCYTIC VESICLE,SYNAPTIC VESICLE MEMBRANE,NEUROMUSCULAR JUNCTION,SARCOLEMMA,CONTRACTILE MUSCLE FIBER,SARCOPLASM,BASEMENT MEMBRANE,ENDOPLASMIC RETICULUM LUMEN,CHROMOSOME CENTROMERIC REGION,CONDENSED CHROMOSOME CENTROMERIC REGION,CONDENSED CHROMOSOME,LATE ENDOSOME,MHC PROTEIN COMPLEX,PHAGOCYTIC VESICLE,PHAGOCYTIC VESICLE MEMBRANE,TRANSCRIPTION FACTOR AP 1 COMPLEX
IMMUNOGLOBULIN COMPLEX,1.0,0.10919540229885058,0.13793103448275862,0.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005747126436781609,0.0,0.005747126436781609,0.0,0.0
T CELL RECEPTOR COMPLEX,0.1292517006802721,1.0,1.0,0.06802721088435375,0.047619047619047616,0.034013605442176874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006802721088435374,0.0,0.0,0.0,0.0,0.0,0.006802721088435374,0.0,0.0
PLASMA MEMBRANE SIGNALING RECEPTOR COMPLEX,0.0664819944598338,0.407202216066482,1.0,0.027700831024930747,0.1523545706371191,0.013850415512465374,0.060941828254847646,0.18559556786703602,0.01662049861495845,0.013850415512465374,0.008310249307479225,0.01662049861495845,0.05817174515235457,0.18282548476454294,0.008310249307479225,0.013850415512465374,0.1772853185595568,0.0997229916897507,0.11357340720221606,0.0997229916897507,0.030470914127423823,0.024930747922437674,0.008310249307479225,0.01662049861495845,0.019390581717451522,0.00554016620498615,0.027700831024930747,0.0110803324099723,0.002770083102493075,0.0,0.00554016620498615,0.019390581717451522,0.0,0.0,0.0,0.0221606648199446,0.00554016620498615,0.019390581717451522,0.0110803324099723,0.0
ALPHA BETA T CELL RECEPTOR COMPLEX,0.0,1.0,1.0,1.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXTERNAL SIDE OF PLASMA MEMBRANE,0.005249343832020997,0.01837270341207349,0.14435695538057744,0.007874015748031496,1.0,0.013123359580052493,0.013123359580052493,0.023622047244094488,0.0026246719160104987,0.007874015748031496,0.013123359580052493,0.01837270341207349,0.02099737532808399,0.04199475065616798,0.010498687664041995,0.013123359580052493,0.026246719160104987,0.010498687664041995,0.015748031496062992,0.023622047244094488,0.013123359580052493,0.015748031496062992,0.0026246719160104987,0.007874015748031496,0.013123359580052493,0.007874015748031496,0.013123359580052493,0.023622047244094488,0.005249343832020997,0.007874015748031496,0.010498687664041995,0.03674540682414698,0.0026246719160104987,0.0,0.0,0.04199475065616798,0.031496062992125984,0.04199475065616798,0.028871391076115485,0.0
IMMUNOLOGICAL SYNAPSE,0.0,0.10638297872340426,0.10638297872340426,0.02127659574468085,0.10638297872340426,1.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.06382978723404255,0.0851063829787234,0.0,0.0,0.0425531914893617,0.02127659574468085,0.06382978723404255,0.06382978723404255,0.0,0.0,0.0,0.0,0.0425531914893617,0.02127659574468085,0.06382978723404255,0.02127659574468085,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0851063829787234,0.0425531914893617,0.0425531914893617,0.02127659574468085,0.0
CATION CHANNEL COMPLEX,0.0,0.0,0.09282700421940929,0.0,0.02109704641350211,0.0,1.0,1.0,0.4219409282700422,0.11814345991561181,0.08860759493670886,0.08016877637130802,0.12236286919831224,0.22784810126582278,0.02531645569620253,0.029535864978902954,0.1729957805907173,0.08438818565400844,0.08860759493670886,0.0759493670886076,0.02109704641350211,0.08438818565400844,0.016877637130801686,0.0759493670886076,0.029535864978902954,0.02109704641350211,0.012658227848101266,0.14345991561181434,0.0970464135021097,0.046413502109704644,0.0,0.008438818565400843,0.0,0.0,0.004219409282700422,0.008438818565400843,0.0,0.0,0.0,0.0
MONOATOMIC ION CHANNEL COMPLEX,0.0,0.0,0.1810810810810811,0.0,0.024324324324324326,0.0,0.6405405405405405,1.0,0.2702702702702703,0.07567567567567568,0.05945945945945946,0.06486486486486487,0.10810810810810811,0.3,0.02702702702702703,0.06756756756756757,0.26216216216216215,0.14864864864864866,0.16486486486486487,0.11081081081081082,0.04054054054054054,0.06486486486486487,0.013513513513513514,0.05405405405405406,0.04054054054054054,0.02702702702702703,0.024324324324324326,0.0972972972972973,0.062162162162162166,0.032432432432432434,0.002702702702702703,0.005405405405405406,0.0,0.0,0.002702702702702703,0.016216216216216217,0.0,0.005405405405405406,0.005405405405405406,0.0
POTASSIUM CHANNEL COMPLEX,0.0,0.0,0.06,0.0,0.01,0.0,1.0,1.0,1.0,0.05,0.14,0.15,0.21,0.33,0.03,0.04,0.24,0.14,0.14,0.11,0.03,0.16,0.03,0.16,0.06,0.05,0.02,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0
SODIUM CHANNEL COMPLEX,0.0,0.0,0.17857142857142858,0.0,0.10714285714285714,0.0,1.0,1.0,0.17857142857142858,1.0,0.21428571428571427,0.10714285714285714,0.21428571428571427,0.21428571428571427,0.0,0.0,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.0,0.14285714285714285,0.07142857142857142,0.10714285714285714,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
