"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","ENRICHR","TRRUST"
"1","ARNTL","DoRothEA;ChEA3;ENRICHR;TRRUST","5","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST","8.50","1","4","ARCHS4--Coexpression(rank=12); Enrichr--Queries(rank=101); ReMap--ChIP-seq(rank=119); GTEx--Coexpression(rank=1202)","30","rank=1; score=5.7856; p=1.6385e-06","rank=30; score=0.007371","rank=1; score=1982.4; p=8.7649e-05; adjP=0.0095538","rank=2; score=4.0572; p=8.7653e-05"
"2","ATF3","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","15.25","2","6","GTEx--Coexpression(rank=2); ReMap--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=6); Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=12); ENCODE--ChIP-seq(rank=50)","5","rank=2; score=3.6024; p=0.00024979","rank=5; score=0.001245","rank=33; score=90.184; p=0.00050031; adjP=0.025593","rank=21; score=1.4145; p=0.038502"
"3","ETS1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.50","11","6","ENCODE--ChIP-seq(rank=3); GTEx--Coexpression(rank=33); ReMap--ChIP-seq(rank=50); Enrichr--Queries(rank=124); ARCHS4--Coexpression(rank=136); Literature--ChIP-seq(rank=147)","78","rank=33; score=1.3082; p=0.049186","rank=78; score=0.02054","rank=11; score=45.37; p=0.0017333; adjP=0.080692","rank=12; score=1.794; p=0.016068"
"4","JUN","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.75","2","6","GTEx--Coexpression(rank=1); ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=11); ReMap--ChIP-seq(rank=13); Enrichr--Queries(rank=61)","2","rank=71; score=0.58925; p=0.25748","rank=2; score=0.0006223","rank=8; score=39.655; p=8.2254e-05; adjP=0.018233","rank=58; score=0.51273; p=0.30709"
"5","STAT1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.50","9","6","ReMap--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=33); ARCHS4--Coexpression(rank=84); Literature--ChIP-seq(rank=149); Enrichr--Queries(rank=235); GTEx--Coexpression(rank=914)","27","rank=75; score=0.29109; p=0.51157","rank=27; score=0.006734","rank=9; score=31.747; p=8.0533e-05; adjP=0.018233","rank=55; score=0.72918; p=0.18656"
"6","FOS","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.25","8","5","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=3); ENCODE--ChIP-seq(rank=9); Enrichr--Queries(rank=40); ARCHS4--Coexpression(rank=44)","8","rank=69; score=0.70225; p=0.19849","rank=8; score=0.001867","rank=47; score=15.063; p=0.021359; adjP=0.15151","rank=49; score=0.88387; p=0.13066"
"7","CEBPB","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","44.00","5","6","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=8); Enrichr--Queries(rank=51); Literature--ChIP-seq(rank=51); GTEx--Coexpression(rank=69); ARCHS4--Coexpression(rank=188)","33","rank=88; score=0; p=1","rank=33; score=0.008475","rank=5; score=52.561; p=0.00014889; adjP=0.043672","rank=50; score=0.86312; p=0.13705"
"8","NFE2L2","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","48.75","4","5","Literature--ChIP-seq(rank=14); ARCHS4--Coexpression(rank=68); ReMap--ChIP-seq(rank=143); Enrichr--Queries(rank=237); GTEx--Coexpression(rank=524)","148","rank=21; score=1.5746; p=0.026629","rank=148; score=0.04177","rank=4; score=90.184; p=0.003155; adjP=0.077823","rank=22; score=1.4145; p=0.038502"
"9","HIF1A","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","51.00","10","5","Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=45); ARCHS4--Coexpression(rank=281); GTEx--Coexpression(rank=367); Enrichr--Queries(rank=686)","23","rank=10; score=2.2438; p=0.0057038","rank=23; score=0.006098","rank=30; score=73.498; p=0.00034403; adjP=0.022452","rank=141; score=0; p=1"
"10","NFKB1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","58.75","38","4","ARCHS4--Coexpression(rank=38); ReMap--ChIP-seq(rank=140); Enrichr--Queries(rank=292); GTEx--Coexpression(rank=659)","89","rank=38; score=1.2135; p=0.061169","rank=89; score=0.02334","rank=54; score=28.425; p=0.0073402; adjP=0.080692","rank=54; score=0.77; p=0.16983"
