"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST"
"1","ATF4","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.0","1","4","ReMap--ChIP-seq(rank=7); GTEx--Coexpression(rank=389); Enrichr--Queries(rank=465); ARCHS4--Coexpression(rank=800)","94","rank=1; score=7.8842; p=1.3055e-08","rank=1; score=7.6608; p=2.1835e-08"
"2","NR1H3","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.0","2","5","ARCHS4--Coexpression(rank=7); Literature--ChIP-seq(rank=17); Enrichr--Queries(rank=77); GTEx--Coexpression(rank=80); ReMap--ChIP-seq(rank=208)","16","rank=2; score=4.5622; p=2.7403e-05","rank=2; score=3.5935; p=0.000255"
"3","JUN","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.5","5","6","GTEx--Coexpression(rank=2); ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=11); Literature--ChIP-seq(rank=24); ARCHS4--Coexpression(rank=27); Enrichr--Queries(rank=38)","4","rank=6; score=2.4644; p=0.0034327","rank=5; score=2.9997; p=0.0010006"
"4","NFKB1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.0","4","4","ARCHS4--Coexpression(rank=100); ReMap--ChIP-seq(rank=225); Enrichr--Queries(rank=818); GTEx--Coexpression(rank=1119)","234","rank=12; score=2.0024; p=0.0099451","rank=4; score=3.0339; p=0.00092482"
"5","JUND","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.0","7","6","ENCODE--ChIP-seq(rank=5); Literature--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=15); GTEx--Coexpression(rank=231); Enrichr--Queries(rank=256); ARCHS4--Coexpression(rank=287)","167","rank=7; score=2.3807; p=0.004162","rank=11; score=1.8863; p=0.012993"
"6","ATF2","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.5","9","5","ENCODE--ChIP-seq(rank=70); ReMap--ChIP-seq(rank=191); GTEx--Coexpression(rank=1010); Enrichr--Queries(rank=1326); ARCHS4--Coexpression(rank=1379)","1431","rank=9; score=2.18; p=0.0066072","rank=10; score=1.9369; p=0.011564"
"7","FOSL2","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","16.5","6","5","ENCODE--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=8); Enrichr--Queries(rank=108); ARCHS4--Coexpression(rank=356); GTEx--Coexpression(rank=934)","108","rank=27; score=1.3023; p=0.049856","rank=6; score=2.5867; p=0.0025898"
"8","WT1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","17.5","13","4","Literature--ChIP-seq(rank=3); GTEx--Coexpression(rank=92); Enrichr--Queries(rank=264); ARCHS4--Coexpression(rank=720)","73","rank=13; score=1.9635; p=0.010877","rank=22; score=1.465; p=0.034276"
"9","FOS","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","17.5","14","5","GTEx--Coexpression(rank=13); ENCODE--ChIP-seq(rank=16); Enrichr--Queries(rank=20); ReMap--ChIP-seq(rank=24); ARCHS4--Coexpression(rank=456)","33","rank=14; score=1.9594; p=0.01098","rank=21; score=1.465; p=0.034276"
"10","IRF4","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","18.5","14","5","ReMap--ChIP-seq(rank=46); ENCODE--ChIP-seq(rank=88); ARCHS4--Coexpression(rank=93); Enrichr--Queries(rank=228); GTEx--Coexpression(rank=240)","218","rank=23; score=1.3261; p=0.047199","rank=14; score=1.5978; p=0.025244"
