"Task_Type","Feature_File","Module_Source","File_Stem","Dataset_ID","Dataset_Family","Target_Block","Analysis_Design","IOBR_Method","Task_ID_Base","Input_File","DEG_File","Category","Task_ID"
"roc","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/GTEx/GTEx_COLON/GENE_ATF3/Target_Group/tables/deconvolution/estimate/GTEx_COLON_ATF3_estimate_scores.csv","deconvolution","GTEx_COLON_ATF3_estimate_scores","GTEx_COLON","GTEx","GENE_ATF3","Target_Group","estimate","5",NA,NA,NA,"1"
"cluster","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/GTEx/GTEx_COLON/GENE_ATF3/Target_Group/tables/deconvolution/estimate/GTEx_COLON_ATF3_estimate_scores.csv","deconvolution","GTEx_COLON_ATF3_estimate_scores","GTEx_COLON","GTEx","GENE_ATF3","Target_Group","estimate","5",NA,NA,NA,"2"
"roc","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/GTEx/GTEx_COLON/GENE_ATF3/Target_Group/tables/deconvolution/ips/GTEx_COLON_ATF3_ips_scores.csv","deconvolution","GTEx_COLON_ATF3_ips_scores","GTEx_COLON","GTEx","GENE_ATF3","Target_Group","ips","6",NA,NA,NA,"3"
"cluster","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/GTEx/GTEx_COLON/GENE_ATF3/Target_Group/tables/deconvolution/ips/GTEx_COLON_ATF3_ips_scores.csv","deconvolution","GTEx_COLON_ATF3_ips_scores","GTEx_COLON","GTEx","GENE_ATF3","Target_Group","ips","6",NA,NA,NA,"4"
"roc","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/GTEx/GTEx_COLON/GENE_ATF3/Target_Group/tables/deconvolution/mcpcounter/GTEx_COLON_ATF3_mcpcounter_scores.csv","deconvolution","GTEx_COLON_ATF3_mcpcounter_scores","GTEx_COLON","GTEx","GENE_ATF3","Target_Group","mcpcounter","7",NA,NA,NA,"5"
"cluster","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/GTEx/GTEx_COLON/GENE_ATF3/Target_Group/tables/deconvolution/mcpcounter/GTEx_COLON_ATF3_mcpcounter_scores.csv","deconvolution","GTEx_COLON_ATF3_mcpcounter_scores","GTEx_COLON","GTEx","GENE_ATF3","Target_Group","mcpcounter","7",NA,NA,NA,"6"
"roc","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/GTEx/GTEx_COLON/GENE_ATF3/Target_Group/tables/signature_score/integration/GTEx_COLON_ATF3_integration_scores.csv","signature_score","GTEx_COLON_ATF3_integration_scores","GTEx_COLON","GTEx","GENE_ATF3","Target_Group","integration","8",NA,NA,NA,"7"
"cluster","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/GTEx/GTEx_COLON/GENE_ATF3/Target_Group/tables/signature_score/integration/GTEx_COLON_ATF3_integration_scores.csv","signature_score","GTEx_COLON_ATF3_integration_scores","GTEx_COLON","GTEx","GENE_ATF3","Target_Group","integration","8",NA,NA,NA,"8"
"roc","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/GTEx/GTEx_COLON/GENE_ATF3/Target_Group/tables/signature_score/pca/GTEx_COLON_ATF3_pca_scores.csv","signature_score","GTEx_COLON_ATF3_pca_scores","GTEx_COLON","GTEx","GENE_ATF3","Target_Group","pca","9",NA,NA,NA,"9"
"cluster","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/GTEx/GTEx_COLON/GENE_ATF3/Target_Group/tables/signature_score/pca/GTEx_COLON_ATF3_pca_scores.csv","signature_score","GTEx_COLON_ATF3_pca_scores","GTEx_COLON","GTEx","GENE_ATF3","Target_Group","pca","9",NA,NA,NA,"10"
"roc","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/GTEx/GTEx_COLON/GENE_ATF3/Target_Group/tables/signature_score/ssgsea/GTEx_COLON_ATF3_ssgsea_scores.csv","signature_score","GTEx_COLON_ATF3_ssgsea_scores","GTEx_COLON","GTEx","GENE_ATF3","Target_Group","ssgsea","10",NA,NA,NA,"11"
"cluster","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/GTEx/GTEx_COLON/GENE_ATF3/Target_Group/tables/signature_score/ssgsea/GTEx_COLON_ATF3_ssgsea_scores.csv","signature_score","GTEx_COLON_ATF3_ssgsea_scores","GTEx_COLON","GTEx","GENE_ATF3","Target_Group","ssgsea","10",NA,NA,NA,"12"
"roc","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/GTEx/GTEx_COLON/GENE_ATF3/Target_Group/tables/signature_score/zscore/GTEx_COLON_ATF3_zscore_scores.csv","signature_score","GTEx_COLON_ATF3_zscore_scores","GTEx_COLON","GTEx","GENE_ATF3","Target_Group","zscore","11",NA,NA,NA,"13"
"cluster","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/GTEx/GTEx_COLON/GENE_ATF3/Target_Group/tables/signature_score/zscore/GTEx_COLON_ATF3_zscore_scores.csv","signature_score","GTEx_COLON_ATF3_zscore_scores","GTEx_COLON","GTEx","GENE_ATF3","Target_Group","zscore","11",NA,NA,NA,"14"
"survival","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/cibersort_abs/TCGA_COAD_01A_ATF3_cibersort_abs_scores.csv","deconvolution","TCGA_COAD_01A_ATF3_cibersort_abs_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","cibersort_abs","12",NA,NA,NA,"15"
"roc","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/cibersort_abs/TCGA_COAD_01A_ATF3_cibersort_abs_scores.csv","deconvolution","TCGA_COAD_01A_ATF3_cibersort_abs_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","cibersort_abs","12",NA,NA,NA,"16"
"cluster","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/cibersort_abs/TCGA_COAD_01A_ATF3_cibersort_abs_scores.csv","deconvolution","TCGA_COAD_01A_ATF3_cibersort_abs_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","cibersort_abs","12",NA,NA,NA,"17"
"survival","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/cibersort/TCGA_COAD_01A_ATF3_cibersort_scores.csv","deconvolution","TCGA_COAD_01A_ATF3_cibersort_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","cibersort","13",NA,NA,NA,"18"
"roc","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/cibersort/TCGA_COAD_01A_ATF3_cibersort_scores.csv","deconvolution","TCGA_COAD_01A_ATF3_cibersort_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","cibersort","13",NA,NA,NA,"19"
"cluster","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/cibersort/TCGA_COAD_01A_ATF3_cibersort_scores.csv","deconvolution","TCGA_COAD_01A_ATF3_cibersort_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","cibersort","13",NA,NA,NA,"20"
"survival","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/epic/TCGA_COAD_01A_ATF3_epic_scores.csv","deconvolution","TCGA_COAD_01A_ATF3_epic_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","epic","14",NA,NA,NA,"21"
"roc","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/epic/TCGA_COAD_01A_ATF3_epic_scores.csv","deconvolution","TCGA_COAD_01A_ATF3_epic_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","epic","14",NA,NA,NA,"22"
"cluster","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/epic/TCGA_COAD_01A_ATF3_epic_scores.csv","deconvolution","TCGA_COAD_01A_ATF3_epic_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","epic","14",NA,NA,NA,"23"
"survival","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/estimate/TCGA_COAD_01A_ATF3_estimate_scores.csv","deconvolution","TCGA_COAD_01A_ATF3_estimate_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","estimate","15",NA,NA,NA,"24"
"roc","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/estimate/TCGA_COAD_01A_ATF3_estimate_scores.csv","deconvolution","TCGA_COAD_01A_ATF3_estimate_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","estimate","15",NA,NA,NA,"25"
"cluster","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/estimate/TCGA_COAD_01A_ATF3_estimate_scores.csv","deconvolution","TCGA_COAD_01A_ATF3_estimate_scores","TCGA_COAD_01A","TCGA","GENE_ATF3","Target_Group","estimate","15",NA,NA,NA,"26"
