"Key","Value"
"Target_genes","ATF3"
"Run_survival","TRUE"
"Run_roc","TRUE"
"Run_cluster","TRUE"
"Run_outlier","TRUE"
"Run_sig_gsea","TRUE"
"Top_feature_n","12"
"Sig_gsea_categories","H, C2, C5"
"Sig_gsea_max_designs","Inf"
"Clear_previous_run_outputs","TRUE"
"Parallel_backend","auto"
"Parallel_workers","10"
"Core_output_root","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core"
"Output_root","/Users/solomon/Projects/CRLM_dormancy/results/iobr/exploratory"
"Temporary_root","/Users/solomon/Projects/CRLM_dormancy/temporary/iobr/exploratory"
