"TF","HVL_TOR10"
"AHR","0.427166427716400232"
"AR","1.048228386199907547"
"ARID2","-2.494075972059270008"
"ARID3A","1.861611382498888245"
"ARNT","1.164248478818227017"
"ARNTL","-0.242003864199264729"
"ASCL1","2.780436244040753735"
"ATF1","-0.901074153046834914"
"ATF2","2.186491646679243672"
"ATF3","-1.297881875265374685"
"ATF4","1.575943230728315436"
"ATF6","-0.703583440471998278"
"ATF7","0.742642376501270296"
"BACH1","1.158441354717172134"
"BACH2","1.400330867015787462"
"BATF","1.651971607017208798"
"BCL11A","0.537031424530482693"
"BCL6","-0.528706796885795249"
"BHLHE22","-0.696237596330039787"
"BHLHE40","0.028993110061173236"
"CDX2","4.739903579943351986"
"CEBPA","-0.935690927314458909"
"CEBPB","1.937510205123263107"
"CEBPD","1.242697777435914031"
"CEBPG","1.198624396307186757"
"CLOCK","1.572205002783462646"
"CREB1","0.522283907332354858"
"CREB3","0.372339034485464015"
"CREB3L1","-1.582475250486192753"
"CREM","-0.414647925268033513"
"CTCF","-0.254149172688207192"
"CTCFL","-1.363450570573477849"
"CUX1","-0.027622509245491395"
"DUX4","-0.757546456594228701"
"E2F1","-7.480702873730409763"
"E2F2","-4.474980861412541699"
"E2F3","-3.395583071727163560"
"E2F4","-13.221399776262881431"
"E2F5","-1.311175731185601379"
"E2F6","1.286319973328993616"
"E2F7","-1.973371366606595290"
"EBF1","3.377979481068194900"
"EGR1","0.520199109905974177"
"EHF","2.805527286916211782"
"ELF1","-0.954128092258694549"
"ELF3","2.326599261846016731"
"ELF5","0.960128030209816630"
"ELK1","-0.207707160604476110"
"ELK4","-0.767999196511055415"
"EOMES","0.666437720053657090"
"EPAS1","1.499037472626402634"
"ESR1","2.488579169178456674"
"ESR2","2.460540028486349673"
"ESRRA","3.717212984863539127"
"ETS1","-1.191009684678764113"
"ETS2","-1.680901674709127436"
"ETV1","2.172836602404598860"
"ETV4","1.535354964802504441"
"FLI1","0.753128903312698883"
"FOS","-0.016829531205190679"
"FOSL1","1.817729421755900354"
"FOSL2","0.003434742431779820"
"FOXA1","2.991990470138044866"
"FOXA2","1.362747139830331466"
"FOXJ2","-0.145605645553679552"
"FOXK2","-0.238827216084338489"
"FOXL2","0.054091598562752488"
"FOXM1","-4.569250634516597742"
"FOXO1","2.069726732248336809"
"FOXO3","0.894721416640115841"
"FOXO4","0.703207041813040834"
"FOXP1","-0.345133261967211336"
"FOXP2","-0.354426003418798707"
"GABPA","-1.522495900837865124"
"GATA2","0.592273189509281317"
"GATA3","1.367994365884100283"
"GATA6","1.043598470560007430"
"GFI1B","1.554957943759771810"
"GLI2","1.146373122688885360"
"GRHL2","2.929822467246415929"
"HBP1","0.854885889525663245"
"HHEX","-1.593287636948757413"
"HIF1A","0.630339485660860066"
"HINFP","-1.188797336910915936"
"HMBOX1","-0.478189699580469474"
"HNF1A","2.291814123326865182"
"HNF1B","2.785863199414444047"
"HNF4A","5.017283110876163299"
"HNF4G","3.563423199144879483"
"HOXA9","0.438018072955134785"
"HOXB13","1.326722728480394853"
"HSF1","1.193711114250894267"
"IKZF1","2.512903749444270307"
"IRF1","2.017382905244742730"
"IRF2","-1.453266204804087636"
"IRF3","0.121643330810842581"
"IRF4","2.386789996238328548"
"IRF9","1.436724909504375924"
"JUN","3.054501712250691448"
"JUNB","-0.249294246226054284"
"JUND","1.316936912278634075"
"KDM5B","-0.421579939565561723"
"KLF1","0.453649072647205109"
"KLF13","1.425906122155588207"
"KLF3","-0.077971014335927000"
"KLF4","2.214632184315000973"
"KLF5","1.631460208023949754"
"KLF6","0.301798522028370375"
"KLF9","0.838392863527485432"
"KMT2A","0.930383358329529786"
"LEF1","0.956683963347227606"
"LHX2","0.957579681195062538"
"LYL1","4.182251105077158471"
"MAF","1.503061012050351142"
"MAFB","3.055544538269046928"
"MAFF","1.992887986086247398"
"MAFG","2.548208705708532307"
"MAFK","3.178089309363017811"
"MAX","1.433285737290428408"
"MAZ","-1.076131948455450793"
"MBD1","0.520533644884739966"
"MBD2","1.457431122511328558"
"MEF2A","1.101522666006709228"
"MEF2B","0.018456046576668342"
"MEF2C","1.943877160716577457"
"MEIS1","2.898171828166252961"
"MEIS2","2.771541658602568958"
"MITF","1.064302050133513200"
"MNT","1.319162799234414374"
"MXI1","1.053073225722740425"
"MYB","-0.848897200537040431"
"MYBL2","-2.541892523021032524"
"MYC","-6.105103409455445274"
"MYCN","-2.305590315195423567"
"MYOD1","1.095007179911040573"
"NANOG","2.409764377211632169"
"NCOA1","-0.267763352658529463"
"NCOA2","0.717849739452968372"
"NCOA3","-2.148062002568515094"
"NEUROD1","2.013377885418116353"
"NFATC1","1.180491692430900574"
"NFE2","2.165574710472910613"
"NFE2L1","0.874580085589671818"
"NFE2L2","3.752462054890209675"
"NFIC","0.235552106975636305"
"NFKB1","1.914617675124227203"
"NFKB2","0.560476906836879896"
"NFYA","-2.386069276670244044"
"NFYB","-2.824052409054945922"
"NR1H2","0.058717456029324565"
"NR1H3","1.601354341487354338"
"NR2C2","-2.816529453424263085"
"NR2F1","3.635867448658533618"
"NR2F6","0.486153366014133115"
"NR3C1","-1.697131658367993845"
"NR4A1","1.814756512898143548"
"NR5A2","0.533039131035718317"
"NRF1","-0.546205683999173908"
"ONECUT1","0.031687676994888871"
"OTX2","0.974034743045675611"
"PAX5","-0.022726974886099618"
"PAX6","0.209174333308141586"
"PAX8","-0.342471107693791244"
"PBX2","1.918997630717838909"
"PBX3","2.251095638583022307"
"PDX1","3.019512334259794706"
"PGR","0.775187277640098316"
"PKNOX1","-0.046565797482506277"
"POU2F1","2.280222073249801529"
"POU4F2","2.702993243276561319"
"POU5F1","1.969101491721245045"
"PPARA","3.225077306251423526"
"PPARG","0.145852491806252732"
"PRDM1","1.500691233344788378"
"PRDM14","3.317045562626493194"
"PROX1","0.809765078169499941"
"RARA","3.629378423610124749"
"RBPJ","2.313961697033578346"
"REL","0.151639663976660732"
"RELA","1.268581176626295770"
"RELB","-0.482506712872398658"
"REST","-3.015224302831419845"
"RFX1","2.961079040451947364"
"RFX2","2.546390442376116336"
"RUNX1","2.683359187452819761"
"RUNX2","2.847085101818903397"
"RUNX3","-0.986453297960038333"
"RXRA","-0.584376803760000119"
"SIX2","2.068823684906739402"
"SIX5","-0.439363063465072701"
"SMAD1","-0.325964354326122696"
"SMAD3","1.939609981113859627"
"SMAD4","1.657657244438888844"
"SMAD5","-3.287963398583137575"
"SNAI2","-1.261021856303524924"
"SNAPC4","-1.634702560519446068"
"SOX10","0.322909857238901088"
"SOX11","1.535275127854794919"
"SOX13","2.057431509748243403"
"SOX2","0.995596257563622800"
"SOX6","0.489317266659037076"
"SOX9","1.381269493902124612"
"SP1","-0.745585561869423263"
"SP2","-2.425486085845592665"
"SP3","3.708607297089188570"
"SP4","-0.940946635932957243"
"SPI1","2.516577778767458362"
"SPIB","0.224343993206255587"
"SREBF1","0.939587837045406160"
"SREBF2","-0.126931925365380283"
"SRF","0.817166413568879313"
"STAT1","2.306216303835068260"
"STAT2","1.393392637473914064"
"STAT3","1.537444913266799995"
"STAT4","2.545886290851282929"
"STAT5A","0.162911397857858076"
"STAT5B","0.714448388269026124"
"STAT6","0.156910294277481821"
"TAL1","1.327683264448095368"
"TBP","0.313196556806072890"
"TBX21","1.513381392979347373"
