"Dataset","Plot_Category","Analysis_Name","GeneSet_Name","Significant_Terms","Kept_Terms","Excluded_Terms","Excluded_Percent","Reciprocal_Terms","Skipped_Terms","GSEA_Result_File","Denester_Result_File","Kept_Terms_File","Excluded_Terms_File","Skipped_Terms_File","Dotplot_PDF_File","Dotplot_PNG_File","Heatmap_PDF_File","Heatmap_PNG_File"
"GSE114012","Main_DE","ALL","C6","95","43","52","54.7368421052631646","13","0","results/ngs/GSE114012/tables/ALL/GSEA/C6/gsea_result.csv","results/ngs/GSE114012/tables/GSEA_denester/Main_DE/ALL/C6/denester_result.csv","results/ngs/GSE114012/tables/GSEA_denester/Main_DE/ALL/C6/denester_kept_terms.csv","results/ngs/GSE114012/tables/GSEA_denester/Main_DE/ALL/C6/denester_excluded_terms.csv",NA,"results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/C6/pdf/denester_dotplot.pdf","results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/C6/png/denester_dotplot.png","results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/C6/pdf/denester_overlap_heatmap.pdf","results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/C6/png/denester_overlap_heatmap.png"
"GSE114012","Main_DE","ALL","CP_BIOCARTA","41","38","3","7.3170731707317067","20","0","results/ngs/GSE114012/tables/ALL/GSEA/CP_BIOCARTA/gsea_result.csv","results/ngs/GSE114012/tables/GSEA_denester/Main_DE/ALL/CP_BIOCARTA/denester_result.csv","results/ngs/GSE114012/tables/GSEA_denester/Main_DE/ALL/CP_BIOCARTA/denester_kept_terms.csv","results/ngs/GSE114012/tables/GSEA_denester/Main_DE/ALL/CP_BIOCARTA/denester_excluded_terms.csv",NA,"results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/CP_BIOCARTA/pdf/denester_dotplot.pdf","results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/CP_BIOCARTA/png/denester_dotplot.png","results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/CP_BIOCARTA/pdf/denester_overlap_heatmap.pdf","results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/CP_BIOCARTA/png/denester_overlap_heatmap.png"
"GSE114012","Main_DE","ALL","CP_KEGG_LEGACY","67","55","12","17.9104477611940283","23","0","results/ngs/GSE114012/tables/ALL/GSEA/CP_KEGG_LEGACY/gsea_result.csv","results/ngs/GSE114012/tables/GSEA_denester/Main_DE/ALL/CP_KEGG_LEGACY/denester_result.csv","results/ngs/GSE114012/tables/GSEA_denester/Main_DE/ALL/CP_KEGG_LEGACY/denester_kept_terms.csv","results/ngs/GSE114012/tables/GSEA_denester/Main_DE/ALL/CP_KEGG_LEGACY/denester_excluded_terms.csv",NA,"results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/CP_KEGG_LEGACY/pdf/denester_dotplot.pdf","results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/CP_KEGG_LEGACY/png/denester_dotplot.png","results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/CP_KEGG_LEGACY/pdf/denester_overlap_heatmap.pdf","results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/CP_KEGG_LEGACY/png/denester_overlap_heatmap.png"
"GSE114012","Main_DE","ALL","CP_KEGG_MEDICUS","118","104","14","11.8644067796610173","48","0","results/ngs/GSE114012/tables/ALL/GSEA/CP_KEGG_MEDICUS/gsea_result.csv","results/ngs/GSE114012/tables/GSEA_denester/Main_DE/ALL/CP_KEGG_MEDICUS/denester_result.csv","results/ngs/GSE114012/tables/GSEA_denester/Main_DE/ALL/CP_KEGG_MEDICUS/denester_kept_terms.csv","results/ngs/GSE114012/tables/GSEA_denester/Main_DE/ALL/CP_KEGG_MEDICUS/denester_excluded_terms.csv",NA,"results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/CP_KEGG_MEDICUS/pdf/denester_dotplot.pdf","results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/CP_KEGG_MEDICUS/png/denester_dotplot.png","results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/CP_KEGG_MEDICUS/pdf/denester_overlap_heatmap.pdf","results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/CP_KEGG_MEDICUS/png/denester_overlap_heatmap.png"
"GSE114012","Main_DE","ALL","CP_REACTOME","556","321","235","42.2661870503597115","97","0","results/ngs/GSE114012/tables/ALL/GSEA/CP_REACTOME/gsea_result.csv","results/ngs/GSE114012/tables/GSEA_denester/Main_DE/ALL/CP_REACTOME/denester_result.csv","results/ngs/GSE114012/tables/GSEA_denester/Main_DE/ALL/CP_REACTOME/denester_kept_terms.csv","results/ngs/GSE114012/tables/GSEA_denester/Main_DE/ALL/CP_REACTOME/denester_excluded_terms.csv",NA,"results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/CP_REACTOME/pdf/denester_dotplot.pdf","results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/CP_REACTOME/png/denester_dotplot.png","results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/CP_REACTOME/pdf/denester_overlap_heatmap.pdf","results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/CP_REACTOME/png/denester_overlap_heatmap.png"
"GSE114012","Main_DE","ALL","CP_WIKIPATHWAYS","227","148","79","34.8017621145374463","40","0","results/ngs/GSE114012/tables/ALL/GSEA/CP_WIKIPATHWAYS/gsea_result.csv","results/ngs/GSE114012/tables/GSEA_denester/Main_DE/ALL/CP_WIKIPATHWAYS/denester_result.csv","results/ngs/GSE114012/tables/GSEA_denester/Main_DE/ALL/CP_WIKIPATHWAYS/denester_kept_terms.csv","results/ngs/GSE114012/tables/GSEA_denester/Main_DE/ALL/CP_WIKIPATHWAYS/denester_excluded_terms.csv",NA,"results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/CP_WIKIPATHWAYS/pdf/denester_dotplot.pdf","results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/CP_WIKIPATHWAYS/png/denester_dotplot.png","results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/CP_WIKIPATHWAYS/pdf/denester_overlap_heatmap.pdf","results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/CP_WIKIPATHWAYS/png/denester_overlap_heatmap.png"
"GSE114012","Main_DE","ALL","GO_BP","1414","790","624","44.1301272984441297","245","2","results/ngs/GSE114012/tables/ALL/GSEA/GO_BP/gsea_result.csv","results/ngs/GSE114012/tables/GSEA_denester/Main_DE/ALL/GO_BP/denester_result.csv","results/ngs/GSE114012/tables/GSEA_denester/Main_DE/ALL/GO_BP/denester_kept_terms.csv","results/ngs/GSE114012/tables/GSEA_denester/Main_DE/ALL/GO_BP/denester_excluded_terms.csv","results/ngs/GSE114012/tables/GSEA_denester/Main_DE/ALL/GO_BP/denester_skipped_terms.csv","results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/GO_BP/pdf/denester_dotplot.pdf","results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/GO_BP/png/denester_dotplot.png","results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/GO_BP/pdf/denester_overlap_heatmap.pdf","results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/GO_BP/png/denester_overlap_heatmap.png"
"GSE114012","Main_DE","ALL","GO_CC","279","204","75","26.8817204301075243","80","0","results/ngs/GSE114012/tables/ALL/GSEA/GO_CC/gsea_result.csv","results/ngs/GSE114012/tables/GSEA_denester/Main_DE/ALL/GO_CC/denester_result.csv","results/ngs/GSE114012/tables/GSEA_denester/Main_DE/ALL/GO_CC/denester_kept_terms.csv","results/ngs/GSE114012/tables/GSEA_denester/Main_DE/ALL/GO_CC/denester_excluded_terms.csv",NA,"results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/GO_CC/pdf/denester_dotplot.pdf","results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/GO_CC/png/denester_dotplot.png","results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/GO_CC/pdf/denester_overlap_heatmap.pdf","results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/GO_CC/png/denester_overlap_heatmap.png"
"GSE114012","Main_DE","ALL","GO_MF","343","278","65","18.9504373177842567","95","0","results/ngs/GSE114012/tables/ALL/GSEA/GO_MF/gsea_result.csv","results/ngs/GSE114012/tables/GSEA_denester/Main_DE/ALL/GO_MF/denester_result.csv","results/ngs/GSE114012/tables/GSEA_denester/Main_DE/ALL/GO_MF/denester_kept_terms.csv","results/ngs/GSE114012/tables/GSEA_denester/Main_DE/ALL/GO_MF/denester_excluded_terms.csv",NA,"results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/GO_MF/pdf/denester_dotplot.pdf","results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/GO_MF/png/denester_dotplot.png","results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/GO_MF/pdf/denester_overlap_heatmap.pdf","results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/GO_MF/png/denester_overlap_heatmap.png"
"GSE114012","Main_DE","ALL","hallmark","34","15","19","55.8823529411764710","7","0","results/ngs/GSE114012/tables/ALL/GSEA/hallmark/gsea_result.csv","results/ngs/GSE114012/tables/GSEA_denester/Main_DE/ALL/hallmark/denester_result.csv","results/ngs/GSE114012/tables/GSEA_denester/Main_DE/ALL/hallmark/denester_kept_terms.csv","results/ngs/GSE114012/tables/GSEA_denester/Main_DE/ALL/hallmark/denester_excluded_terms.csv",NA,"results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/hallmark/pdf/denester_dotplot.pdf","results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/hallmark/png/denester_dotplot.png","results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/hallmark/pdf/denester_overlap_heatmap.pdf","results/ngs/GSE114012/plots/GSEA_denester/Main_DE/ALL/hallmark/png/denester_overlap_heatmap.png"
