"Dataset","Plot_Category","Significant_Terms","Kept_Terms","Excluded_Terms","Excluded_Percent"
"GSE282081","ATF3_correlation","14544","8341","6203","42.64988998899890"
"GSE50760","ATF3_correlation","16425","8724","7701","46.88584474885845"
"GSE50760","ATF3_high_low_DE","16392","7700","8692","53.02586627623230"
"GSE114012","Main_DE","51564","21818","29746","57.68753393840665"
"GSE282081","Main_DE","32217","13905","18312","56.83955675575007"
"GSE50760","Main_DE","18810","9377","9433","50.14885699096225"
