"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","CollecTRI"
"1","E2F4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.000000000000000","1","6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=3); Enrichr--Queries(rank=156); ARCHS4--Coexpression(rank=637); GTEx--Coexpression(rank=1140)","32","rank=1; score=18.752; p=1.7685e-19","rank=1; score=8.0012; direction=Repressed","rank=1; score=8.6709; p=4.2871e-18; direction=Repressed"
"2","E2F1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.333333333333333","2","6","GTEx--Coexpression(rank=5); ReMap--ChIP-seq(rank=5); Enrichr--Queries(rank=8); ARCHS4--Coexpression(rank=9); ENCODE--ChIP-seq(rank=36); Literature--ChIP-seq(rank=37)","11","rank=2; score=8.0294; p=9.3451e-09","rank=3; score=4.6343; direction=Repressed","rank=2; score=6.376; p=1.8177e-10; direction=Repressed"
"3","CDX2","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.000000000000000","5","5","ARCHS4--Coexpression(rank=79); GTEx--Coexpression(rank=94); ReMap--ChIP-seq(rank=104); Literature--ChIP-seq(rank=129); Enrichr--Queries(rank=1021)","181","rank=16; score=1.971; p=0.010691","rank=5; score=4.2868; direction=Activated","rank=6; score=4.027; p=5.6494e-05; direction=Activated"
"4","PPARA","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","16.333333333333332","10","3","ARCHS4--Coexpression(rank=620); Enrichr--Queries(rank=889); GTEx--Coexpression(rank=1166)","1148","rank=14; score=2.2202; p=0.0060222","rank=10; score=3.8046; direction=Activated","rank=25; score=2.7365; p=0.0062106; direction=Activated"
"5","NFE2L2","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.666666666666668","2","5","ReMap--ChIP-seq(rank=154); Literature--ChIP-seq(rank=155); GTEx--Coexpression(rank=199); ARCHS4--Coexpression(rank=411); Enrichr--Queries(rank=831)","469","rank=41; score=0.94988; p=0.11223","rank=2; score=5.6078; direction=Activated","rank=40; score=2.4009; p=0.016355; direction=Activated"
"6","FOXM1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","32.666666666666664","3","6","ENCODE--ChIP-seq(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=6)","2","rank=3; score=7.0724; p=8.464e-08","rank=4; score=4.4406; direction=Repressed","rank=91; score=1.8933; p=0.05832; direction=Repressed"
"7","HNF1B","DoRothEA;VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","39.666666666666664","9","3","ReMap--ChIP-seq(rank=111); Enrichr--Queries(rank=753); ARCHS4--Coexpression(rank=917)","1134","rank=94; score=0.44848; p=0.35606","rank=9; score=3.8625; direction=Activated","rank=16; score=2.9956; p=0.0027388; direction=Activated"
"8","HNF1A","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","40.666666666666664","3","3","GTEx--Coexpression(rank=339); ARCHS4--Coexpression(rank=423); Enrichr--Queries(rank=634)","743","rank=51; score=0.77037; p=0.16968","rank=68; score=2.083; direction=Activated","rank=3; score=5.523; p=3.3335e-08; direction=Activated"
"9","USF2","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","42.000000000000000","28","5","ReMap--ChIP-seq(rank=36); ENCODE--ChIP-seq(rank=39); ARCHS4--Coexpression(rank=1196); Enrichr--Queries(rank=1199); GTEx--Coexpression(rank=1399)","458","rank=28; score=1.3129; p=0.048648","rank=69; score=2.0658; direction=Activated","rank=29; score=2.5685; p=0.010214; direction=Activated"
"10","TFAP2C","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","47.333333333333336","39","6","Literature--ChIP-seq(rank=24); ReMap--ChIP-seq(rank=27); ENCODE--ChIP-seq(rank=92); GTEx--Coexpression(rank=143); Enrichr--Queries(rank=411); ARCHS4--Coexpression(rank=831)","344","rank=59; score=0.72826; p=0.18696","rank=39; score=2.68; direction=Activated","rank=44; score=2.3546; p=0.018542; direction=Activated"
