"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR"
"1","FOS","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.5","3","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=18); Enrichr--Queries(rank=92); ARCHS4--Coexpression(rank=204)","14","rank=14; score=0.003367","rank=3; score=68.676; p=0.00015287; adjP=0.013662"
"2","BACH1","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","18.0","9","6","Literature--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=71); Enrichr--Queries(rank=75); ARCHS4--Coexpression(rank=142); ReMap--ChIP-seq(rank=160); GTEx--Coexpression(rank=539)","27","rank=27; score=0.006098","rank=9; score=66.883; p=6.5333e-07; adjP=0.00022605"
"3","NR3C1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","23.0","18","6","ARCHS4--Coexpression(rank=10); ENCODE--ChIP-seq(rank=13); Enrichr--Queries(rank=43); Literature--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=85); GTEx--Coexpression(rank=1302)","28","rank=28; score=0.006143","rank=18; score=29.53; p=2.7177e-05; adjP=0.0034006"
"4","EPAS1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","25.0","2","4","GTEx--Coexpression(rank=1); ReMap--ChIP-seq(rank=8); Enrichr--Queries(rank=72); ARCHS4--Coexpression(rank=139)","2","rank=2; score=0.0006223","rank=48; score=86.335; p=0.040742; adjP=0.090176"
"5","NFKB1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","26.5","2","4","ARCHS4--Coexpression(rank=18); ReMap--ChIP-seq(rank=207); Enrichr--Queries(rank=249); GTEx--Coexpression(rank=920)","51","rank=51; score=0.01106","rank=2; score=133.06; p=5.0319e-07; adjP=8.3529e-05"
"6","VDR","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","26.5","6","5","Enrichr--Queries(rank=2); Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=211); ARCHS4--Coexpression(rank=722); GTEx--Coexpression(rank=908)","6","rank=6; score=0.001425","rank=47; score=31.5; p=0.0004119; adjP=0.020953"
"7","SOX2","ChEA3;ENRICHR","5","DoRothEA;ChEA3;ENRICHR;TRRUST;CollecTRI","28.5","1","5","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=124); Enrichr--Queries(rank=471); ARCHS4--Coexpression(rank=1118); GTEx--Coexpression(rank=1563)","56","rank=56; score=0.0122","rank=1; score=74.055; p=3.4904e-08; adjP=2.4153e-05"
"8","FOSL2","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","40.5","4","5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=5); Enrichr--Queries(rank=55); ARCHS4--Coexpression(rank=344); GTEx--Coexpression(rank=1018)","77","rank=77; score=0.01684","rank=4; score=48.634; p=0.00072971; adjP=0.10042"
"9","CEBPB","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","42.0","22","6","ReMap--ChIP-seq(rank=4); ENCODE--ChIP-seq(rank=5); Literature--ChIP-seq(rank=25); Enrichr--Queries(rank=40); ARCHS4--Coexpression(rank=197); GTEx--Coexpression(rank=947)","62","rank=62; score=0.01347","rank=22; score=53.138; p=0.00090641; adjP=0.026104"
"10","JUN","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.0","22","6","GTEx--Coexpression(rank=8); Literature--ChIP-seq(rank=9); ENCODE--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=54); Enrichr--Queries(rank=74); ARCHS4--Coexpression(rank=120)","22","rank=22; score=0.004978","rank=64; score=39.149; p=0.00072671; adjP=0.025311"
