"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","NFKB1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.2","1","4","ARCHS4--Coexpression(rank=98); Enrichr--Queries(rank=246); ReMap--ChIP-seq(rank=265); GTEx--Coexpression(rank=838)","226","rank=4; score=2.8148; p=0.0015318","rank=23; score=3.0813; direction=Activated","rank=4; score=68.399; p=2.4924e-05; adjP=0.0031653","rank=1; score=4.6034; p=2.4925e-05","rank=74; score=2.1081; p=0.035019; direction=Activated"
"2","STAT1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.4","2","6","ENCODE--ChIP-seq(rank=31); Literature--ChIP-seq(rank=74); ReMap--ChIP-seq(rank=91); ARCHS4--Coexpression(rank=219); Enrichr--Queries(rank=476); GTEx--Coexpression(rank=1079)","470","rank=17; score=1.7827; p=0.016492","rank=4; score=4.669; direction=Activated","rank=71; score=34.839; p=0.0091029; adjP=0.054671","rank=13; score=2.0408; p=0.009103","rank=2; score=4.9303; p=8.2104e-07; direction=Activated"
"3","FOSL1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","23.0","3","5","ENCODE--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=10); Enrichr--Queries(rank=84); ARCHS4--Coexpression(rank=137); GTEx--Coexpression(rank=168)","130","rank=3; score=2.8618; p=0.0013747","rank=53; score=2.5984; direction=Activated","rank=16; score=398.2; p=1.4036e-05; adjP=0.0016328","rank=4; score=3.043; p=0.00090583","rank=39; score=2.534; p=0.011277; direction=Activated"
"4","ATF4","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","26.0","8","4","GTEx--Coexpression(rank=80); ReMap--ChIP-seq(rank=123); ARCHS4--Coexpression(rank=860); Enrichr--Queries(rank=916)","195","rank=9; score=2.5302; p=0.0029499","rank=8; score=4.3475; direction=Activated","rank=82; score=51.622; p=0.013735; adjP=0.062299","rank=17; score=1.8622; p=0.013735","rank=14; score=3.5742; p=0.00035129; direction=Activated"
"5","ATF3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.8","5","6","ARCHS4--Coexpression(rank=1); Enrichr--Queries(rank=3); GTEx--Coexpression(rank=3); Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=51); ENCODE--ChIP-seq(rank=77)","1","rank=22; score=1.57; p=0.026918","rank=89; score=2.0264; direction=Repressed","rank=12; score=90.501; p=5.8292e-07; adjP=0.00013563","rank=41; score=1.1047; p=0.07858","rank=5; score=4.3443; p=1.3971e-05; direction=Activated"
"6","ETV4","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.0","11","4","ReMap--ChIP-seq(rank=142); Enrichr--Queries(rank=232); ARCHS4--Coexpression(rank=814); GTEx--Coexpression(rank=1422)","575","rank=38; score=1.1316; p=0.073853","rank=49; score=2.6231; direction=Activated","rank=60; score=103.19; p=0.0055666; adjP=0.039276","rank=11; score=2.2544; p=0.0055667","rank=12; score=3.5843; p=0.00033803; direction=Activated"
"7","RELA","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.4","2","6","Literature--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=22); ReMap--ChIP-seq(rank=90); GTEx--Coexpression(rank=458); Enrichr--Queries(rank=672); ARCHS4--Coexpression(rank=1196)","117","rank=13; score=2.1971; p=0.0063515","rank=40; score=2.7622; direction=Activated","rank=6; score=49.969; p=0.00014275; adjP=0.0078506","rank=2; score=3.8108; p=0.00015459","rank=136; score=1.707; p=0.087831; direction=Activated"
"8","PPARG","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.8","2","5","ReMap--ChIP-seq(rank=18); Literature--ChIP-seq(rank=24); Enrichr--Queries(rank=52); GTEx--Coexpression(rank=68); ARCHS4--Coexpression(rank=118)","144","rank=18; score=1.7314; p=0.018559","rank=122; score=1.6278; direction=Activated","rank=2; score=51.202; p=0.0029496; adjP=0.034884","rank=10; score=2.3307; p=0.0046696","rank=57; score=2.2717; p=0.023106; direction=Activated"
"9","FOSL2","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","42.8","7","5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=14); Enrichr--Queries(rank=19); ARCHS4--Coexpression(rank=352); GTEx--Coexpression(rank=374)","52","rank=28; score=1.3023; p=0.049856","rank=83; score=2.1099; direction=Activated","rank=7; score=49.192; p=0.00028249; adjP=0.021273","rank=38; score=1.1316; p=0.073853","rank=58; score=2.2622; p=0.023682; direction=Activated"
"10","JUNB","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","45.0","19","4","GTEx--Coexpression(rank=10); Enrichr--Queries(rank=16); ARCHS4--Coexpression(rank=63); ReMap--ChIP-seq(rank=82)","22","rank=24; score=1.5384; p=0.028947","rank=44; score=2.7484; direction=Activated","rank=19; score=36.642; p=0.024949; adjP=0.12341","rank=39; score=1.1316; p=0.073853","rank=99; score=1.8843; p=0.059518; direction=Activated"
