Pathway,DLX2 TARGET GENES,ZNF501 TARGET GENES,PCGF6 TARGET GENES,PPARGC1A TARGET GENES,HSF2 TARGET GENES,CSHL1 TARGET GENES,ALKBH3 TARGET GENES,RORA TARGET GENES,ZNF667 TARGET GENES,ZNF524 TARGET GENES,YBX3 TARGET GENES,TASOR TARGET GENES,SETBP1 TARGET GENES,TCOF1 TARGET GENES,ZNF677 TARGET GENES,RUVBL2 TARGET GENES,EPC1 TARGET GENES,FOXR2 TARGET GENES,PBRM1 TARGET GENES,MIER1 TARGET GENES,ASXL2 TARGET GENES,NFE2L3 TARGET GENES,CREB3L2 TARGET GENES,ZNF514 TARGET GENES,ZNF101 TARGET GENES,HOXC13 TARGET GENES,HOXD11 TARGET GENES,XPO1 TARGET GENES,ZNF830 TARGET GENES,NPM1 TARGET GENES,PTTG1 TARGET GENES,PSMB5 TARGET GENES,GTF2E2 TARGET GENES,MAPK3 TARGET GENES,MAP2K1 TARGET GENES,RBM15 TARGET GENES,"ZA UNIPROT Q9UM89 UNREVIEWED GENES TARGET
GENES",TAFAZZIN TARGET GENES,CTR9 TARGET GENES,NR1D1 TARGET GENES
DLX2 TARGET GENES,1.0,0.00684931506849315,0.003424657534246575,0.003424657534246575,0.0547945205479452,0.0410958904109589,0.0273972602739726,0.05821917808219178,0.0136986301369863,0.0136986301369863,0.00684931506849315,0.03424657534246575,0.023972602739726026,0.0,0.0,0.003424657534246575,0.03424657534246575,0.0,0.0,0.010273972602739725,0.003424657534246575,0.00684931506849315,0.03424657534246575,0.003424657534246575,0.02054794520547945,0.023972602739726026,0.010273972602739725,0.00684931506849315,0.0136986301369863,0.0,0.00684931506849315,0.0273972602739726,0.03424657534246575,0.00684931506849315,0.0,0.010273972602739725,0.003424657534246575,0.04452054794520548,0.0,0.010273972602739725
ZNF501 TARGET GENES,0.15384615384615385,1.0,0.07692307692307693,0.0,0.0,0.0,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693
PCGF6 TARGET GENES,0.012987012987012988,0.012987012987012988,1.0,0.0,0.025974025974025976,0.012987012987012988,0.03896103896103896,0.0,0.012987012987012988,0.025974025974025976,0.0,0.012987012987012988,0.012987012987012988,0.0,0.0,0.0,0.03896103896103896,0.012987012987012988,0.0,0.03896103896103896,0.0,0.0,0.012987012987012988,0.0,0.07792207792207792,0.0,0.025974025974025976,0.0,0.03896103896103896,0.012987012987012988,0.0,0.025974025974025976,0.0,0.0,0.0,0.012987012987012988,0.0,0.012987012987012988,0.0,0.0
PPARGC1A TARGET GENES,0.009900990099009901,0.0,0.0,1.0,0.49504950495049505,0.04950495049504951,0.06930693069306931,0.04950495049504951,0.019801980198019802,0.0297029702970297,0.0,0.009900990099009901,0.019801980198019802,0.0,0.009900990099009901,0.009900990099009901,0.039603960396039604,0.019801980198019802,0.0,0.07920792079207921,0.0,0.0,0.0,0.0,0.0297029702970297,0.0297029702970297,0.0,0.0,0.019801980198019802,0.019801980198019802,0.0,0.07920792079207921,0.019801980198019802,0.0297029702970297,0.0,0.019801980198019802,0.0,0.0,0.009900990099009901,0.0
HSF2 TARGET GENES,0.0642570281124498,0.0,0.008032128514056224,0.20080321285140562,1.0,0.028112449799196786,0.04819277108433735,0.040160642570281124,0.008032128514056224,0.024096385542168676,0.004016064257028112,0.0321285140562249,0.012048192771084338,0.0,0.004016064257028112,0.004016064257028112,0.0642570281124498,0.012048192771084338,0.0,0.0321285140562249,0.0,0.0,0.020080321285140562,0.004016064257028112,0.03614457831325301,0.020080321285140562,0.020080321285140562,0.004016064257028112,0.020080321285140562,0.024096385542168676,0.004016064257028112,0.04819277108433735,0.0321285140562249,0.024096385542168676,0.008032128514056224,0.020080321285140562,0.004016064257028112,0.028112449799196786,0.01606425702811245,0.024096385542168676
CSHL1 TARGET GENES,0.04743083003952569,0.0,0.003952569169960474,0.019762845849802372,0.02766798418972332,1.0,0.04743083003952569,0.023715415019762844,0.023715415019762844,0.019762845849802372,0.0,0.03557312252964427,0.03162055335968379,0.0,0.015810276679841896,0.0,0.05533596837944664,0.003952569169960474,0.0,0.011857707509881422,0.0,0.0,0.007905138339920948,0.0,0.02766798418972332,0.0,0.0,0.003952569169960474,0.015810276679841896,0.019762845849802372,0.007905138339920948,0.02766798418972332,0.043478260869565216,0.015810276679841896,0.003952569169960474,0.023715415019762844,0.007905138339920948,0.03162055335968379,0.0,0.003952569169960474
ALKBH3 TARGET GENES,0.01805869074492099,0.009029345372460496,0.006772009029345372,0.01580135440180587,0.02708803611738149,0.02708803611738149,1.0,0.3047404063205418,0.1670428893905192,0.11286681715575621,0.029345372460496615,0.01580135440180587,0.0,0.0,0.01580135440180587,0.013544018058690745,0.06997742663656885,0.03160270880361174,0.0,0.029345372460496615,0.0,0.0,0.05417607223476298,0.0,0.13318284424379231,0.011286681715575621,0.033860045146726865,0.0,0.04740406320541761,0.060948081264108354,0.0,0.045146726862302484,0.1309255079006772,0.004514672686230248,0.0,0.013544018058690745,0.006772009029345372,0.03160270880361174,0.002257336343115124,0.024830699774266364
RORA TARGET GENES,0.06390977443609022,0.007518796992481203,0.0,0.018796992481203006,0.03759398496240601,0.022556390977443608,0.5075187969924813,1.0,0.16165413533834586,0.09022556390977443,0.03007518796992481,0.022556390977443608,0.007518796992481203,0.0,0.007518796992481203,0.02631578947368421,0.05263157894736842,0.041353383458646614,0.0,0.03007518796992481,0.0037593984962406013,0.0,0.07142857142857142,0.0,0.12030075187969924,0.03007518796992481,0.02631578947368421,0.0037593984962406013,0.041353383458646614,0.03007518796992481,0.007518796992481203,0.02631578947368421,0.10150375939849623,0.018796992481203006,0.0037593984962406013,0.0037593984962406013,0.0037593984962406013,0.015037593984962405,0.015037593984962405,0.03007518796992481
ZNF667 TARGET GENES,0.027210884353741496,0.006802721088435374,0.006802721088435374,0.013605442176870748,0.013605442176870748,0.04081632653061224,0.5034013605442177,0.2925170068027211,1.0,0.16326530612244897,0.027210884353741496,0.034013605442176874,0.034013605442176874,0.0,0.027210884353741496,0.02040816326530612,0.034013605442176874,0.04081632653061224,0.006802721088435374,0.034013605442176874,0.02040816326530612,0.0,0.08163265306122448,0.0,0.16326530612244897,0.02040816326530612,0.027210884353741496,0.0,0.034013605442176874,0.08163265306122448,0.0,0.0,0.09523809523809523,0.006802721088435374,0.0,0.006802721088435374,0.006802721088435374,0.013605442176870748,0.0,0.02040816326530612
ZNF524 TARGET GENES,0.011267605633802818,0.005633802816901409,0.005633802816901409,0.008450704225352112,0.016901408450704224,0.014084507042253521,0.14084507042253522,0.0676056338028169,0.0676056338028169,1.0,0.014084507042253521,0.016901408450704224,0.016901408450704224,0.0028169014084507044,0.03380281690140845,0.011267605633802818,0.0676056338028169,0.01971830985915493,0.0028169014084507044,0.03943661971830986,0.0028169014084507044,0.0,0.022535211267605635,0.0,0.17183098591549295,0.011267605633802818,0.022535211267605635,0.0028169014084507044,0.03380281690140845,0.05352112676056338,0.0,0.030985915492957747,0.04225352112676056,0.0028169014084507044,0.0,0.01971830985915493,0.0,0.03380281690140845,0.005633802816901409,0.011267605633802818
