Pathway,ATTENTION DEFICIT HYPERACTIVITY DISORDER,AUTISM,SELF INJURIOUS BEHAVIOR,"RESTRICTED OR REPETITIVE BEHAVIORS OR
INTERESTS",TONIC SEIZURE,GENERALIZED TONIC SEIZURE,MOTOR SEIZURE,BILATERAL TONIC CLONIC SEIZURE,GENERALIZED ONSET MOTOR SEIZURE,GENERALIZED ONSET SEIZURE,CLONIC SEIZURE,FOCAL ONSET SEIZURE,DIALEPTIC SEIZURE,"FEBRILE SEIZURE WITHIN THE AGE RANGE OF 3
MONTHS TO 6 YEARS",SEVERE INTELLECTUAL DISABILITY,ABSENT SPEECH,TAPERED FINGER,LARGE FACE,ABNORMAL PULMONARY VALVE MORPHOLOGY,SHORT FOOT,"APLASIA HYPOPLASIA INVOLVING BONES OF THE
FEET","APLASIA HYPOPLASIA INVOLVING BONES OF THE
LOWER LIMBS",ABNORMAL SECOND TOE MORPHOLOGY,ABDOMINAL PAIN,COLON PERFORATION,CONSTIPATION,"MALIGNANT NEOPLASM OF THE CENTRAL NERVOUS
SYSTEM",INCREASED HEAD CIRCUMFERENCE,RIDGED FINGERNAIL,X LINKED INHERITANCE,LIPOATROPHY,LIPODYSTROPHY,ST SEGMENT DEPRESSION,ABNORMALITY OF THYROID PHYSIOLOGY,BROAD FOREHEAD,"ABNORMAL ACTIVITY OF MITOCHONDRIAL
RESPIRATORY CHAIN",DECREASED ACTIVITY OF MITOCHONDRIAL COMPLEX I,ABNORMALITY OF THE MITOCHONDRION,LACTIC ACIDOSIS,INCREASED CIRCULATING LACTATE CONCENTRATION
ATTENTION DEFICIT HYPERACTIVITY DISORDER,1.0,0.36556603773584906,0.18396226415094338,0.2688679245283019,0.09669811320754718,0.04481132075471698,0.2617924528301887,0.20754716981132076,0.10849056603773585,0.2099056603773585,0.05660377358490566,0.20754716981132076,0.18867924528301888,0.10377358490566038,0.17452830188679244,0.2617924528301887,0.07547169811320754,0.1580188679245283,0.0330188679245283,0.09433962264150944,0.1179245283018868,0.12735849056603774,0.0047169811320754715,0.12264150943396226,0.0023584905660377358,0.3938679245283019,0.08490566037735849,0.25,0.0023584905660377358,0.08018867924528301,0.0047169811320754715,0.014150943396226415,0.0023584905660377358,0.24528301886792453,0.16273584905660377,0.0023584905660377358,0.0023584905660377358,0.01179245283018868,0.0023584905660377358,0.014150943396226415
AUTISM,0.5615942028985508,1.0,0.26811594202898553,0.30434782608695654,0.13768115942028986,0.05434782608695652,0.29347826086956524,0.2391304347826087,0.13043478260869565,0.2210144927536232,0.07246376811594203,0.2391304347826087,0.19202898550724637,0.11594202898550725,0.21739130434782608,0.3188405797101449,0.07246376811594203,0.15579710144927536,0.04710144927536232,0.18840579710144928,0.213768115942029,0.21739130434782608,0.0036231884057971015,0.11594202898550725,0.0,0.40217391304347827,0.08695652173913043,0.2210144927536232,0.0,0.10869565217391304,0.007246376811594203,0.021739130434782608,0.0,0.39492753623188404,0.17391304347826086,0.010869565217391304,0.0,0.025362318840579712,0.0036231884057971015,0.021739130434782608
SELF INJURIOUS BEHAVIOR,0.33476394849785407,0.31759656652360513,1.0,0.5278969957081545,0.1459227467811159,0.10300429184549356,0.2875536480686695,0.2703862660944206,0.1630901287553648,0.26609442060085836,0.1072961373390558,0.23605150214592274,0.22746781115879827,0.1759656652360515,0.2703862660944206,0.3776824034334764,0.1072961373390558,0.15021459227467812,0.008583690987124463,0.17167381974248927,0.22317596566523606,0.22746781115879827,0.004291845493562232,0.04721030042918455,0.0,0.3090128755364807,0.0815450643776824,0.1888412017167382,0.0,0.12875536480686695,0.012875536480686695,0.02575107296137339,0.0,0.21888412017167383,0.1459227467811159,0.008583690987124463,0.0,0.012875536480686695,0.004291845493562232,0.017167381974248927
"RESTRICTED OR REPETITIVE BEHAVIORS OR
INTERESTS",0.3864406779661017,0.2847457627118644,0.41694915254237286,1.0,0.11186440677966102,0.06779661016949153,0.3220338983050847,0.3254237288135593,0.15254237288135594,0.27796610169491526,0.08135593220338982,0.26440677966101694,0.25084745762711863,0.13898305084745763,0.29491525423728815,0.4067796610169492,0.13220338983050847,0.14915254237288136,0.023728813559322035,0.13559322033898305,0.2,0.2135593220338983,0.006779661016949152,0.030508474576271188,0.0,0.31864406779661014,0.0576271186440678,0.21694915254237288,0.0,0.10508474576271186,0.006779661016949152,0.013559322033898305,0.0,0.1694915254237288,0.10508474576271186,0.006779661016949152,0.003389830508474576,0.01694915254237288,0.0,0.023728813559322035
TONIC SEIZURE,0.2789115646258503,0.2585034013605442,0.23129251700680273,0.22448979591836735,1.0,0.4557823129251701,1.0,0.7142857142857143,0.5850340136054422,0.7142857142857143,0.3741496598639456,0.7142857142857143,0.5782312925170068,0.35374149659863946,0.2857142857142857,0.40816326530612246,0.08843537414965986,0.08843537414965986,0.0,0.05442176870748299,0.07482993197278912,0.09523809523809523,0.0,0.047619047619047616,0.0,0.17687074829931973,0.013605442176870748,0.14285714285714285,0.0,0.09523809523809523,0.006802721088435374,0.02040816326530612,0.0,0.07482993197278912,0.04081632653061224,0.006802721088435374,0.0,0.013605442176870748,0.034013605442176874,0.06802721088435375
GENERALIZED TONIC SEIZURE,0.2835820895522388,0.22388059701492538,0.3582089552238806,0.29850746268656714,1.0,1.0,1.0,0.835820895522388,1.0,1.0,0.5522388059701493,0.8059701492537313,0.7611940298507462,0.6119402985074627,0.29850746268656714,0.373134328358209,0.11940298507462686,0.07462686567164178,0.0,0.029850746268656716,0.05970149253731343,0.08955223880597014,0.0,0.07462686567164178,0.0,0.208955223880597,0.014925373134328358,0.07462686567164178,0.0,0.1044776119402985,0.0,0.014925373134328358,0.0,0.08955223880597014,0.05970149253731343,0.014925373134328358,0.0,0.029850746268656716,0.04477611940298507,0.07462686567164178
MOTOR SEIZURE,0.23667377398720682,0.17270788912579957,0.14285714285714285,0.2025586353944563,0.31343283582089554,0.14285714285714285,1.0,0.579957356076759,0.4541577825159915,0.5906183368869936,0.1791044776119403,0.5223880597014925,0.3880597014925373,0.21748400852878466,0.2281449893390192,0.31343283582089554,0.0767590618336887,0.08102345415778252,0.0042643923240938165,0.04477611940298507,0.06609808102345416,0.07889125799573561,0.006396588486140725,0.053304904051172705,0.0021321961620469083,0.16631130063965885,0.023454157782515993,0.14285714285714285,0.0,0.06183368869936034,0.008528784648187633,0.014925373134328358,0.0,0.13646055437100213,0.04904051172707889,0.06609808102345416,0.03837953091684435,0.10021321961620469,0.10021321961620469,0.11940298507462686
BILATERAL TONIC CLONIC SEIZURE,0.2141119221411192,0.16058394160583941,0.15328467153284672,0.23357664233576642,0.25547445255474455,0.1362530413625304,0.6618004866180048,1.0,0.40145985401459855,0.5620437956204379,0.1678832116788321,0.5328467153284672,0.4282238442822384,0.24087591240875914,0.24574209245742093,0.30413625304136255,0.07542579075425791,0.05596107055961071,0.0072992700729927005,0.0364963503649635,0.0681265206812652,0.08029197080291971,0.0072992700729927005,0.0364963503649635,0.0,0.18491484184914841,0.014598540145985401,0.15328467153284672,0.0,0.06569343065693431,0.0072992700729927005,0.0170316301703163,0.0,0.13138686131386862,0.06569343065693431,0.04866180048661801,0.0364963503649635,0.10462287104622871,0.09245742092457421,0.09975669099756691
GENERALIZED ONSET MOTOR SEIZURE,0.215962441314554,0.16901408450704225,0.1784037558685446,0.2112676056338028,0.40375586854460094,0.3145539906103286,1.0,0.7746478873239436,1.0,1.0,0.2300469483568075,0.596244131455399,0.49295774647887325,0.352112676056338,0.2535211267605634,0.29107981220657275,0.08450704225352113,0.08450704225352113,0.004694835680751174,0.051643192488262914,0.07981220657276995,0.0892018779342723,0.004694835680751174,0.051643192488262914,0.0,0.22065727699530516,0.028169014084507043,0.11267605633802817,0.0,0.07042253521126761,0.009389671361502348,0.018779342723004695,0.0,0.17370892018779344,0.046948356807511735,0.06103286384976526,0.03755868544600939,0.11267605633802817,0.11737089201877934,0.14553990610328638
GENERALIZED ONSET SEIZURE,0.23733333333333334,0.16266666666666665,0.16533333333333333,0.21866666666666668,0.28,0.17866666666666667,0.7386666666666667,0.616,0.568,1.0,0.15733333333333333,0.504,0.5493333333333333,0.2613333333333333,0.24266666666666667,0.288,0.07733333333333334,0.096,0.005333333333333333,0.056,0.088,0.10133333333333333,0.005333333333333333,0.04533333333333334,0.0,0.18933333333333333,0.021333333333333333,0.128,0.0,0.07733333333333334,0.013333333333333334,0.021333333333333333,0.0,0.13866666666666666,0.06133333333333333,0.058666666666666666,0.034666666666666665,0.09066666666666667,0.08533333333333333,0.12533333333333332
