"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","VIPER","CollecTRI"
"1","E2F4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.0","1","6","ENCODE--ChIP-seq(rank=54); Literature--ChIP-seq(rank=139); ReMap--ChIP-seq(rank=261); ARCHS4--Coexpression(rank=713); Enrichr--Queries(rank=1066); GTEx--Coexpression(rank=1463)","1240","rank=1; score=8.6475; direction=Repressed","rank=1; score=7.5326; p=4.9728e-14; direction=Repressed"
"2","STAT1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.0","4","6","ReMap--ChIP-seq(rank=44); ARCHS4--Coexpression(rank=80); ENCODE--ChIP-seq(rank=87); Literature--ChIP-seq(rank=130); Enrichr--Queries(rank=180); GTEx--Coexpression(rank=881)","199","rank=4; score=5.4697; direction=Activated","rank=4; score=4.7613; p=1.9238e-06; direction=Activated"
"3","FOXO3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.5","2","4","Literature--ChIP-seq(rank=134); Enrichr--Queries(rank=409); GTEx--Coexpression(rank=566); ARCHS4--Coexpression(rank=615)","961","rank=7; score=5.1252; direction=Activated","rank=2; score=5.7974; p=6.7366e-09; direction=Activated"
"4","MYC","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.0","2","6","GTEx--Coexpression(rank=34); ENCODE--ChIP-seq(rank=44); Literature--ChIP-seq(rank=67); Enrichr--Queries(rank=125); ReMap--ChIP-seq(rank=284); ARCHS4--Coexpression(rank=1116)","86","rank=2; score=6.181; direction=Repressed","rank=8; score=4.0265; p=5.6612e-05; direction=Repressed"
"5","ATF4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.5","6","4","ReMap--ChIP-seq(rank=150); GTEx--Coexpression(rank=347); Enrichr--Queries(rank=685); ARCHS4--Coexpression(rank=762)","767","rank=6; score=5.171; direction=Activated","rank=7; score=4.075; p=4.6014e-05; direction=Activated"
"6","SREBF2","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","15.0","11","6","ENCODE--ChIP-seq(rank=90); Literature--ChIP-seq(rank=140); ReMap--ChIP-seq(rank=271); GTEx--Coexpression(rank=729); Enrichr--Queries(rank=1074); ARCHS4--Coexpression(rank=1457)","1267","rank=11; score=4.3827; direction=Repressed","rank=19; score=3.3208; p=0.00089776; direction=Repressed"
"7","IRF3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.5","13","5","ENCODE--ChIP-seq(rank=80); ReMap--ChIP-seq(rank=235); ARCHS4--Coexpression(rank=456); Enrichr--Queries(rank=1055); GTEx--Coexpression(rank=1533)","937","rank=36; score=3.1117; direction=Repressed","rank=13; score=3.7571; p=0.0001719; direction=Activated"
"8","NCOA1","VIPER;CollecTRI","4","DoRothEA;ChEA3;VIPER;CollecTRI","29.0","25","4","ReMap--ChIP-seq(rank=121); ARCHS4--Coexpression(rank=540); GTEx--Coexpression(rank=1197); Enrichr--Queries(rank=1267)","1048","rank=25; score=3.5247; direction=Activated","rank=33; score=3.0383; p=0.002379; direction=Activated"
"9","CEBPB","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.5","29","6","ENCODE--ChIP-seq(rank=5); Literature--ChIP-seq(rank=12); ReMap--ChIP-seq(rank=19); Enrichr--Queries(rank=31); GTEx--Coexpression(rank=1006); ARCHS4--Coexpression(rank=1106)","90","rank=29; score=3.3403; direction=Activated","rank=34; score=3.0361; p=0.0023965; direction=Activated"
"10","HIF1A","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.0","13","5","Literature--ChIP-seq(rank=19); ReMap--ChIP-seq(rank=62); GTEx--Coexpression(rank=272); Enrichr--Queries(rank=298); ARCHS4--Coexpression(rank=1268)","456","rank=13; score=4.2462; direction=Activated","rank=57; score=2.6934; p=0.007072; direction=Activated"
