"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER"
"1","E2F4","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","13.00000000000000","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=21); ARCHS4--Coexpression(rank=1336); Enrichr--Queries(rank=1369); GTEx--Coexpression(rank=1525)","35","rank=1; score=3.4892; p=0.00032422","rank=35; score=0.008475","rank=3; score=7.262; direction=Repressed"
"2","KLF5","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.33333333333333","4","5","ReMap--ChIP-seq(rank=2); Literature--ChIP-seq(rank=53); ARCHS4--Coexpression(rank=61); GTEx--Coexpression(rank=231); Enrichr--Queries(rank=357)","27","rank=27; score=0.99293; p=0.10164","rank=27; score=0.006734","rank=4; score=6.4838; direction=Activated"
"3","RFX2","DoRothEA;ChEA3;VIPER","3","DoRothEA;ChEA3;VIPER","20.33333333333333","1","4","ARCHS4--Coexpression(rank=1); ReMap--ChIP-seq(rank=63); Enrichr--Queries(rank=290); GTEx--Coexpression(rank=552)","1","rank=36; score=0.883; p=0.13092","rank=1; score=0.0006143","rank=24; score=3.0883; direction=Activated"
"4","FOXM1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","28.66666666666666","5","6","GTEx--Coexpression(rank=2); ENCODE--ChIP-seq(rank=7); Enrichr--Queries(rank=11); Literature--ChIP-seq(rank=59); ReMap--ChIP-seq(rank=223); ARCHS4--Coexpression(rank=1448)","5","rank=6; score=1.732; p=0.018536","rank=5; score=0.001245","rank=75; score=1.5294; direction=Repressed"
"5","E2F2","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","29.00000000000000","11","3","Enrichr--Queries(rank=19); ARCHS4--Coexpression(rank=36); GTEx--Coexpression(rank=624)","58","rank=18; score=1.1871; p=0.065004","rank=58; score=0.01353","rank=11; score=4.2261; direction=Repressed"
"6","ASCL1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.00000000000000","15","4","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=310); Enrichr--Queries(rank=767); ARCHS4--Coexpression(rank=857)","15","rank=57; score=0.65312; p=0.22227","rank=15; score=0.003367","rank=30; score=2.892; direction=Activated"
"7","STAT1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","42.00000000000000","9","6","ENCODE--ChIP-seq(rank=13); Literature--ChIP-seq(rank=23); GTEx--Coexpression(rank=26); Enrichr--Queries(rank=77); ReMap--ChIP-seq(rank=86); ARCHS4--Coexpression(rank=106)","70","rank=9; score=1.5157; p=0.030498","rank=70; score=0.01618","rank=47; score=2.1117; direction=Activated"
"8","ZNF263","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","46.33333333333333","1","6","ReMap--ChIP-seq(rank=9); ENCODE--ChIP-seq(rank=45); Literature--ChIP-seq(rank=45); Enrichr--Queries(rank=1293); ARCHS4--Coexpression(rank=1588); GTEx--Coexpression(rank=1603)","128","rank=10; score=1.4999; p=0.031632","rank=128; score=0.0303","rank=1; score=7.9644; direction=Repressed"
"9","ZBTB7A","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","50.00000000000000","2","5","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=5); GTEx--Coexpression(rank=364); ARCHS4--Coexpression(rank=649); Enrichr--Queries(rank=1133)","74","rank=74; score=0.54101; p=0.28773","rank=74; score=0.01684","rank=2; score=7.4292; direction=Repressed"
"10","E2F7","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","50.00000000000000","17","5","Enrichr--Queries(rank=9); GTEx--Coexpression(rank=10); Literature--ChIP-seq(rank=26); ARCHS4--Coexpression(rank=72); ReMap--ChIP-seq(rank=136)","26","rank=17; score=1.2171; p=0.060657","rank=26; score=0.006223","rank=107; score=1.1872; direction=Repressed"
