Pathway,RIBOSOME BIOGENESIS,RRNA PROCESSING,MATURATION OF SSU RRNA,RRNA METABOLIC PROCESS,RIBOSOMAL SMALL SUBUNIT BIOGENESIS,TRNA METABOLIC PROCESS,RNA METHYLATION,MACROMOLECULE METHYLATION,RIBOSOMAL LARGE SUBUNIT BIOGENESIS,DNA TEMPLATED DNA REPLICATION,DNA REPLICATION,DNA REPLICATION INITIATION,RECOMBINATIONAL REPAIR,CELL CYCLE CHECKPOINT SIGNALING,DNA INTEGRITY CHECKPOINT SIGNALING,MITOTIC CELL CYCLE CHECKPOINT SIGNALING,PROTEIN LOCALIZATION TO CHROMOSOME,RNA LOCALIZATION,RNA EXPORT FROM NUCLEUS,ESTABLISHMENT OF RNA LOCALIZATION,MRNA TRANSPORT,"POSITIVE REGULATION OF CHROMOSOME
ORGANIZATION",REGULATION OF CHROMOSOME ORGANIZATION,"POSITIVE REGULATION OF DNA BIOSYNTHETIC
PROCESS",REGULATION OF CHROMOSOME SEGREGATION,POSITIVE REGULATION OF CHROMOSOME SEPARATION,CHROMOSOME SEGREGATION,CHROMOSOME SEPARATION,REGULATION OF SISTER CHROMATID SEGREGATION,SISTER CHROMATID SEGREGATION,MITOTIC SISTER CHROMATID SEGREGATION,NUCLEAR CHROMOSOME SEGREGATION,MITOTIC SISTER CHROMATID SEPARATION,REGULATION OF NUCLEAR DIVISION,"POSITIVE REGULATION OF CELL CYCLE PHASE
TRANSITION",POSITIVE REGULATION OF CELL CYCLE PROCESS,"POSITIVE REGULATION OF MITOTIC CELL CYCLE
PHASE TRANSITION",SPLICEOSOMAL SNRNP ASSEMBLY,PROTEIN RNA COMPLEX ORGANIZATION,FATTY ACID BETA OXIDATION
RIBOSOME BIOGENESIS,1.0,0.7065868263473054,0.218562874251497,0.7125748502994012,0.3413173652694611,0.059880239520958084,0.08682634730538923,0.09281437125748503,0.23952095808383234,0.008982035928143712,0.029940119760479042,0.005988023952095809,0.008982035928143712,0.014970059880239521,0.014970059880239521,0.011976047904191617,0.005988023952095809,0.041916167664670656,0.014970059880239521,0.014970059880239521,0.008982035928143712,0.008982035928143712,0.029940119760479042,0.005988023952095809,0.005988023952095809,0.0,0.02694610778443114,0.0,0.005988023952095809,0.011976047904191617,0.008982035928143712,0.017964071856287425,0.0,0.0029940119760479044,0.011976047904191617,0.017964071856287425,0.008982035928143712,0.017964071856287425,0.20359281437125748,0.0029940119760479044
RRNA PROCESSING,1.0,1.0,0.3093220338983051,1.0,0.3728813559322034,0.0847457627118644,0.1228813559322034,0.13135593220338984,0.2033898305084746,0.00423728813559322,0.012711864406779662,0.0,0.00423728813559322,0.012711864406779662,0.012711864406779662,0.012711864406779662,0.0,0.046610169491525424,0.00847457627118644,0.00847457627118644,0.00423728813559322,0.012711864406779662,0.03389830508474576,0.00847457627118644,0.00847457627118644,0.0,0.029661016949152543,0.0,0.00847457627118644,0.012711864406779662,0.00847457627118644,0.0211864406779661,0.0,0.00423728813559322,0.0,0.00847457627118644,0.0,0.025423728813559324,0.17796610169491525,0.0
MATURATION OF SSU RRNA,1.0,1.0,1.0,1.0,1.0,0.0547945205479452,0.0821917808219178,0.0821917808219178,0.0273972602739726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0410958904109589,0.0136986301369863,0.0136986301369863,0.0,0.0,0.0273972602739726,0.0,0.0136986301369863,0.0,0.0684931506849315,0.0,0.0136986301369863,0.0273972602739726,0.0136986301369863,0.0410958904109589,0.0,0.0,0.0,0.0,0.0,0.0273972602739726,0.1232876712328767,0.0
RRNA METABOLIC PROCESS,0.8235294117647058,0.8166089965397924,0.25259515570934254,1.0,0.3044982698961938,0.11418685121107267,0.10034602076124567,0.10726643598615918,0.1695501730103806,0.006920415224913495,0.01730103806228374,0.0,0.006920415224913495,0.01384083044982699,0.01384083044982699,0.010380622837370242,0.010380622837370242,0.03806228373702422,0.006920415224913495,0.006920415224913495,0.0034602076124567475,0.020761245674740483,0.05190311418685121,0.006920415224913495,0.01384083044982699,0.0,0.03460207612456748,0.0,0.01384083044982699,0.01730103806228374,0.006920415224913495,0.02422145328719723,0.0,0.0034602076124567475,0.0,0.01384083044982699,0.0,0.020761245674740483,0.1453287197231834,0.0
RIBOSOMAL SMALL SUBUNIT BIOGENESIS,1.0,0.7719298245614035,0.6403508771929824,0.7719298245614035,1.0,0.043859649122807015,0.07894736842105263,0.07894736842105263,0.043859649122807015,0.0,0.0,0.0,0.008771929824561403,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.008771929824561403,0.03508771929824561,0.008771929824561403,0.008771929824561403,0.0,0.0,0.03508771929824561,0.0,0.008771929824561403,0.0,0.043859649122807015,0.0,0.008771929824561403,0.017543859649122806,0.008771929824561403,0.02631578947368421,0.0,0.0,0.008771929824561403,0.008771929824561403,0.0,0.017543859649122806,0.23684210526315788,0.008771929824561403
TRNA METABOLIC PROCESS,0.09523809523809523,0.09523809523809523,0.01904761904761905,0.15714285714285714,0.023809523809523808,1.0,0.20476190476190476,0.21428571428571427,0.004761904761904762,0.0,0.004761904761904762,0.0,0.0,0.004761904761904762,0.0,0.0,0.0,0.01904761904761905,0.009523809523809525,0.014285714285714285,0.004761904761904762,0.0,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004761904761904762,0.004761904761904762,0.004761904761904762,0.004761904761904762,0.023809523809523808,0.009523809523809525
RNA METHYLATION,0.32222222222222224,0.32222222222222224,0.06666666666666667,0.32222222222222224,0.1,0.4777777777777778,1.0,1.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.0,0.0,0.044444444444444446,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.1,0.16666666666666666,0.022222222222222223
MACROMOLECULE METHYLATION,0.23308270676691728,0.23308270676691728,0.045112781954887216,0.23308270676691728,0.06766917293233082,0.3383458646616541,0.6766917293233082,1.0,0.045112781954887216,0.0,0.007518796992481203,0.0,0.022556390977443608,0.015037593984962405,0.0,0.007518796992481203,0.007518796992481203,0.03759398496240601,0.022556390977443608,0.022556390977443608,0.022556390977443608,0.0,0.007518796992481203,0.0,0.007518796992481203,0.0,0.03007518796992481,0.007518796992481203,0.007518796992481203,0.015037593984962405,0.015037593984962405,0.022556390977443608,0.007518796992481203,0.015037593984962405,0.03007518796992481,0.03007518796992481,0.03007518796992481,0.08270676691729323,0.12781954887218044,0.022556390977443608
RIBOSOMAL LARGE SUBUNIT BIOGENESIS,1.0,0.6,0.025,0.6125,0.0625,0.0125,0.075,0.075,1.0,0.0125,0.075,0.0,0.0125,0.0125,0.0125,0.0125,0.0,0.0125,0.0,0.0,0.0,0.0125,0.0125,0.0,0.0,0.0,0.0125,0.0,0.0,0.0125,0.0125,0.0125,0.0,0.0,0.0125,0.0125,0.0,0.0,0.4,0.0
DNA TEMPLATED DNA REPLICATION,0.017241379310344827,0.005747126436781609,0.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.005747126436781609,1.0,1.0,0.2471264367816092,0.28735632183908044,0.2413793103448276,0.21264367816091953,0.16666666666666666,0.08045977011494253,0.022988505747126436,0.005747126436781609,0.022988505747126436,0.011494252873563218,0.07471264367816093,0.1206896551724138,0.034482758620689655,0.028735632183908046,0.0,0.08620689655172414,0.028735632183908046,0.028735632183908046,0.040229885057471264,0.034482758620689655,0.06321839080459771,0.022988505747126436,0.034482758620689655,0.07471264367816093,0.15517241379310345,0.06896551724137931,0.0,0.005747126436781609,0.0
