Pathway,USF2 Q6,MYC Q2,MYCMAX 01,E2F Q2,BACH2 01,BACH1 01,AP1 C,AP1 Q6 01,E2F Q4 01,E2F Q3 01,E2F1 Q4 01,E2F Q6 01,E2F Q3,E2F1 Q6,SGCGSSAAA E2F1DP2 01,E2F 02,E2F1DP1 01,E2F1DP2 01,E2F4DP2 01,E2F4DP1 01,E2F Q6,E2F Q4,E2F1DP1RB 01,E2F1 Q3,E2F1 Q6 01,SRF Q4,SRF Q5 01,SRF C,SRF 01,CREB Q2,CREB Q4,ATF 01,ATF3 Q6,E4F1 Q6,TEF Q6,PAX2 02,WGGAATGY TEF1 Q6,GFI1 01,PITX2 Q2,WHN B
USF2 Q6,1.0,0.7047244094488189,0.2440944881889764,0.1141732283464567,0.031496062992125984,0.03543307086614173,0.01968503937007874,0.03543307086614173,0.05905511811023622,0.051181102362204724,0.051181102362204724,0.051181102362204724,0.05511811023622047,0.03937007874015748,0.015748031496062992,0.031496062992125984,0.031496062992125984,0.031496062992125984,0.031496062992125984,0.031496062992125984,0.047244094488188976,0.051181102362204724,0.051181102362204724,0.051181102362204724,0.05905511811023622,0.031496062992125984,0.03937007874015748,0.027559055118110236,0.007874015748031496,0.047244094488188976,0.03543307086614173,0.03543307086614173,0.01968503937007874,0.03543307086614173,0.01968503937007874,0.031496062992125984,0.05511811023622047,0.027559055118110236,0.011811023622047244,0.03937007874015748
MYC Q2,0.9572192513368984,1.0,0.33689839572192515,0.10695187165775401,0.03208556149732621,0.0374331550802139,0.026737967914438502,0.0374331550802139,0.058823529411764705,0.053475935828877004,0.053475935828877004,0.0481283422459893,0.0481283422459893,0.03208556149732621,0.0106951871657754,0.026737967914438502,0.026737967914438502,0.026737967914438502,0.026737967914438502,0.026737967914438502,0.0481283422459893,0.0481283422459893,0.0481283422459893,0.0481283422459893,0.0748663101604278,0.026737967914438502,0.03208556149732621,0.03208556149732621,0.0106951871657754,0.0481283422459893,0.03208556149732621,0.026737967914438502,0.0213903743315508,0.0374331550802139,0.026737967914438502,0.03208556149732621,0.0481283422459893,0.026737967914438502,0.0106951871657754,0.026737967914438502
MYCMAX 01,0.24124513618677043,0.245136186770428,1.0,0.027237354085603113,0.023346303501945526,0.038910505836575876,0.04669260700389105,0.04669260700389105,0.08560311284046693,0.07782101167315175,0.08171206225680934,0.07003891050583658,0.058365758754863814,0.07782101167315175,0.06614785992217899,0.08171206225680934,0.08171206225680934,0.08171206225680934,0.08171206225680934,0.07782101167315175,0.07392996108949416,0.07392996108949416,0.058365758754863814,0.0622568093385214,0.08560311284046693,0.03501945525291829,0.038910505836575876,0.04669260700389105,0.0038910505836575876,0.04669260700389105,0.04669260700389105,0.054474708171206226,0.038910505836575876,0.05058365758754864,0.019455252918287938,0.058365758754863814,0.06614785992217899,0.038910505836575876,0.038910505836575876,0.05058365758754864
E2F Q2,0.16111111111111112,0.1111111111111111,0.03888888888888889,1.0,0.022222222222222223,0.022222222222222223,0.03333333333333333,0.022222222222222223,0.07222222222222222,0.044444444444444446,0.044444444444444446,0.06666666666666667,0.06111111111111111,0.05555555555555555,0.016666666666666666,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03888888888888889,0.07777777777777778,0.07777777777777778,0.03333333333333333,0.022222222222222223,0.027777777777777776,0.005555555555555556,0.016666666666666666,0.016666666666666666,0.044444444444444446,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.044444444444444446,0.044444444444444446,0.011111111111111112,0.011111111111111112,0.03333333333333333
BACH2 01,0.029304029304029304,0.02197802197802198,0.02197802197802198,0.014652014652014652,1.0,0.5714285714285714,0.32967032967032966,0.2600732600732601,0.029304029304029304,0.03296703296703297,0.03296703296703297,0.02564102564102564,0.029304029304029304,0.02564102564102564,0.018315018315018316,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.018315018315018316,0.018315018315018316,0.014652014652014652,0.02564102564102564,0.02197802197802198,0.04395604395604396,0.03296703296703297,0.02564102564102564,0.003663003663003663,0.040293040293040296,0.02197802197802198,0.03296703296703297,0.040293040293040296,0.040293040293040296,0.018315018315018316,0.040293040293040296,0.0989010989010989,0.03663003663003663,0.03296703296703297,0.03296703296703297
BACH1 01,0.03409090909090909,0.026515151515151516,0.03787878787878788,0.015151515151515152,0.5909090909090909,1.0,0.32575757575757575,0.3409090909090909,0.030303030303030304,0.03787878787878788,0.030303030303030304,0.026515151515151516,0.03409090909090909,0.01893939393939394,0.015151515151515152,0.01893939393939394,0.01893939393939394,0.01893939393939394,0.01893939393939394,0.022727272727272728,0.01893939393939394,0.01893939393939394,0.022727272727272728,0.026515151515151516,0.01893939393939394,0.03409090909090909,0.030303030303030304,0.022727272727272728,0.0,0.015151515151515152,0.022727272727272728,0.030303030303030304,0.04924242424242424,0.041666666666666664,0.026515151515151516,0.03787878787878788,0.0946969696969697,0.041666666666666664,0.03787878787878788,0.03409090909090909
AP1 C,0.018050541516245487,0.018050541516245487,0.04332129963898917,0.021660649819494584,0.3249097472924188,0.3104693140794224,1.0,0.4223826714801444,0.018050541516245487,0.021660649819494584,0.018050541516245487,0.01444043321299639,0.01444043321299639,0.0036101083032490976,0.0036101083032490976,0.0036101083032490976,0.0036101083032490976,0.0036101083032490976,0.0036101083032490976,0.007220216606498195,0.007220216606498195,0.007220216606498195,0.010830324909747292,0.007220216606498195,0.01444043321299639,0.036101083032490974,0.036101083032490974,0.02888086642599278,0.007220216606498195,0.02527075812274368,0.021660649819494584,0.032490974729241874,0.036101083032490974,0.021660649819494584,0.036101083032490974,0.05054151624548736,0.09025270758122744,0.02527075812274368,0.036101083032490974,0.032490974729241874
AP1 Q6 01,0.033707865168539325,0.026217228464419477,0.0449438202247191,0.0149812734082397,0.26591760299625467,0.33707865168539325,0.43820224719101125,1.0,0.018726591760299626,0.02247191011235955,0.02247191011235955,0.011235955056179775,0.033707865168539325,0.00749063670411985,0.003745318352059925,0.00749063670411985,0.00749063670411985,0.00749063670411985,0.00749063670411985,0.011235955056179775,0.011235955056179775,0.011235955056179775,0.0149812734082397,0.018726591760299626,0.00749063670411985,0.0599250936329588,0.056179775280898875,0.04119850187265917,0.003745318352059925,0.0299625468164794,0.02247191011235955,0.03745318352059925,0.03745318352059925,0.02247191011235955,0.03745318352059925,0.06367041198501873,0.06741573033707865,0.0149812734082397,0.0449438202247191,0.033707865168539325
E2F Q4 01,0.06302521008403361,0.046218487394957986,0.09243697478991597,0.0546218487394958,0.03361344537815126,0.03361344537815126,0.02100840336134454,0.02100840336134454,1.0,0.8109243697478992,0.7983193277310925,0.7857142857142857,0.6092436974789915,0.453781512605042,0.33613445378151263,0.4117647058823529,0.40756302521008403,0.40756302521008403,0.40756302521008403,0.40336134453781514,0.5126050420168067,0.5126050420168067,0.47058823529411764,0.49159663865546216,0.49159663865546216,0.04201680672268908,0.029411764705882353,0.01680672268907563,0.0,0.04201680672268908,0.046218487394957986,0.0546218487394958,0.029411764705882353,0.05042016806722689,0.029411764705882353,0.05042016806722689,0.04201680672268908,0.037815126050420166,0.02100840336134454,0.06722689075630252
E2F Q3 01,0.05508474576271186,0.0423728813559322,0.0847457627118644,0.03389830508474576,0.038135593220338986,0.0423728813559322,0.025423728813559324,0.025423728813559324,0.8177966101694916,1.0,0.9449152542372882,0.6694915254237288,0.6483050847457628,0.5127118644067796,0.3813559322033898,0.4745762711864407,0.4703389830508475,0.4703389830508475,0.4703389830508475,0.461864406779661,0.6101694915254238,0.6101694915254238,0.5338983050847458,0.5084745762711864,0.5466101694915254,0.05084745762711865,0.03389830508474576,0.0211864406779661,0.00423728813559322,0.05084745762711865,0.05508474576271186,0.046610169491525424,0.029661016949152543,0.0423728813559322,0.0423728813559322,0.05084745762711865,0.0423728813559322,0.038135593220338986,0.029661016949152543,0.0847457627118644
E2F1 Q4 01,0.056768558951965066,0.043668122270742356,0.09170305676855896,0.034934497816593885,0.039301310043668124,0.034934497816593885,0.021834061135371178,0.026200873362445413,0.8296943231441049,0.9737991266375546,1.0,0.6724890829694323,0.6462882096069869,0.519650655021834,0.3930131004366812,0.48034934497816595,0.4759825327510917,0.4759825327510917,0.4759825327510917,0.47161572052401746,0.6200873362445415,0.6200873362445415,0.5633187772925764,0.48034934497816595,0.5633187772925764,0.05240174672489083,0.03056768558951965,0.021834061135371178,0.004366812227074236,0.05240174672489083,0.056768558951965066,0.048034934497816595,0.03056768558951965,0.043668122270742356,0.043668122270742356,0.048034934497816595,0.039301310043668124,0.034934497816593885,0.03056768558951965,0.07860262008733625
