"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST"
"1","TP53","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","3.5","2","5","Literature--ChIP-seq(rank=27); ARCHS4--Coexpression(rank=59); ReMap--ChIP-seq(rank=154); Enrichr--Queries(rank=568); GTEx--Coexpression(rank=799)","138","rank=2; score=8.1333; p=7.3576e-09","rank=5; score=6.0373; p=9.176e-07"
"2","SP1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.0","4","5","ReMap--ChIP-seq(rank=17); ENCODE--ChIP-seq(rank=19); GTEx--Coexpression(rank=958); Enrichr--Queries(rank=1036); ARCHS4--Coexpression(rank=1469)","231","rank=4; score=7.108; p=7.7982e-08","rank=4; score=6.0728; p=8.4567e-07"
"3","E2F1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.5","1","6","GTEx--Coexpression(rank=3); Enrichr--Queries(rank=4); ARCHS4--Coexpression(rank=13); ReMap--ChIP-seq(rank=24); ENCODE--ChIP-seq(rank=61); Literature--ChIP-seq(rank=91)","6","rank=8; score=6.2274; p=5.9234e-07","rank=1; score=8.9045; p=1.2461e-09"
"4","E2F4","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.5","1","6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Literature--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=469); Enrichr--Queries(rank=813); GTEx--Coexpression(rank=991)","18","rank=1; score=14.69; p=2.0406e-15","rank=12; score=3.3812; p=0.00041574"
"5","FOXO3","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.5","8","4","Literature--ChIP-seq(rank=53); ARCHS4--Coexpression(rank=214); GTEx--Coexpression(rank=444); Enrichr--Queries(rank=579)","497","rank=13; score=5.0753; p=8.4079e-06","rank=8; score=4.2627; p=5.4615e-05"
"6","TFDP1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","13.0","9","4","GTEx--Coexpression(rank=5); ARCHS4--Coexpression(rank=12); Enrichr--Queries(rank=33); ReMap--ChIP-seq(rank=82)","10","rank=17; score=4.7619; p=1.7301e-05","rank=9; score=4.2311; p=5.8741e-05"
"7","ESR1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.0","5","6","Literature--ChIP-seq(rank=12); ENCODE--ChIP-seq(rank=13); ReMap--ChIP-seq(rank=186); Enrichr--Queries(rank=331); ARCHS4--Coexpression(rank=559); GTEx--Coexpression(rank=692)","296","rank=5; score=7.0742; p=8.4293e-08","rank=23; score=2.7791; p=0.0016632"
"8","STAT3","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","17.5","7","6","ENCODE--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=14); Literature--ChIP-seq(rank=15); ARCHS4--Coexpression(rank=493); Enrichr--Queries(rank=853); GTEx--Coexpression(rank=978)","186","rank=28; score=3.8212; p=0.00015093","rank=7; score=5.113; p=7.709e-06"
"9","JUN","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","22.5","16","6","ENCODE--ChIP-seq(rank=16); Literature--ChIP-seq(rank=49); ARCHS4--Coexpression(rank=90); GTEx--Coexpression(rank=104); ReMap--ChIP-seq(rank=153); Enrichr--Queries(rank=253)","222","rank=29; score=3.6936; p=0.00020249","rank=16; score=3.1023; p=0.00079012"
"10","RELA","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","23.5","3","6","Literature--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=76); ENCODE--ChIP-seq(rank=82); ARCHS4--Coexpression(rank=655); GTEx--Coexpression(rank=761); Enrichr--Queries(rank=840)","561","rank=44; score=2.613; p=0.0024378","rank=3; score=6.5358; p=2.9122e-07"
