Pathway,BACH2 01,BACH1 01,AP1 Q2 01,AP1 C,AP1 Q4 01,NFE2 01,AP1 01,AP1 Q6 01,AP1 Q2,AP1FJ Q2,AP1 Q4,AP1 Q6,CP2 01,MAZR 01,SP3 Q3,WGGAATGY TEF1 Q6,PXR Q2,ATF3 Q6,CREB Q2,CREB Q4,CREB Q4 01,ATF B,CREB 01,TGACGTCA ATF3 Q6,CREBP1CJUN 01,CREB Q2 01,YATTNATC UNKNOWN,COMP1 01,CEBP C,OCT Q6,P300 01,ETS Q4,SRF C,SRF 01,SRF Q6,SRF Q4,WWTAAGGC UNKNOWN,TATA 01,CYTAGCAAY UNKNOWN,RFX1 01
BACH2 01,1.0,0.5714285714285714,0.3882783882783883,0.32967032967032966,0.43223443223443225,0.2893772893772894,0.3992673992673993,0.2600732600732601,0.2271062271062271,0.2783882783882784,0.31135531135531136,0.38095238095238093,0.05128205128205128,0.04395604395604396,0.05860805860805861,0.0989010989010989,0.05128205128205128,0.040293040293040296,0.040293040293040296,0.02197802197802198,0.02197802197802198,0.014652014652014652,0.02197802197802198,0.02197802197802198,0.02197802197802198,0.02197802197802198,0.0695970695970696,0.01098901098901099,0.02197802197802198,0.040293040293040296,0.03296703296703297,0.04395604395604396,0.02564102564102564,0.003663003663003663,0.04395604395604396,0.04395604395604396,0.02197802197802198,0.029304029304029304,0.01098901098901099,0.04395604395604396
BACH1 01,0.5909090909090909,1.0,0.4356060606060606,0.32575757575757575,0.5,0.2840909090909091,0.42045454545454547,0.3409090909090909,0.1893939393939394,0.20454545454545456,0.32196969696969696,0.39015151515151514,0.041666666666666664,0.03787878787878788,0.05303030303030303,0.0946969696969697,0.04924242424242424,0.04924242424242424,0.015151515151515152,0.022727272727272728,0.026515151515151516,0.011363636363636364,0.01893939393939394,0.015151515151515152,0.015151515151515152,0.026515151515151516,0.07196969696969698,0.011363636363636364,0.041666666666666664,0.03787878787878788,0.04924242424242424,0.041666666666666664,0.022727272727272728,0.0,0.022727272727272728,0.03409090909090909,0.030303030303030304,0.03787878787878788,0.011363636363636364,0.030303030303030304
AP1 Q2 01,0.38405797101449274,0.4166666666666667,1.0,0.30434782608695654,0.36594202898550726,0.19202898550724637,0.30434782608695654,0.2717391304347826,0.2608695652173913,0.2572463768115942,0.29347826086956524,0.358695652173913,0.050724637681159424,0.057971014492753624,0.04710144927536232,0.07608695652173914,0.03985507246376811,0.06521739130434782,0.018115942028985508,0.025362318840579712,0.028985507246376812,0.021739130434782608,0.025362318840579712,0.021739130434782608,0.021739130434782608,0.025362318840579712,0.09057971014492754,0.025362318840579712,0.028985507246376812,0.05434782608695652,0.043478260869565216,0.057971014492753624,0.04710144927536232,0.007246376811594203,0.05434782608695652,0.05434782608695652,0.028985507246376812,0.043478260869565216,0.014492753623188406,0.028985507246376812
AP1 C,0.3249097472924188,0.3104693140794224,0.30324909747292417,1.0,0.5848375451263538,0.3862815884476534,0.48375451263537905,0.4223826714801444,0.3574007220216607,0.3104693140794224,0.35379061371841153,0.4187725631768953,0.05415162454873646,0.04693140794223827,0.039711191335740074,0.09025270758122744,0.05415162454873646,0.036101083032490974,0.02527075812274368,0.021660649819494584,0.02527075812274368,0.01444043321299639,0.018050541516245487,0.018050541516245487,0.018050541516245487,0.02527075812274368,0.06498194945848375,0.007220216606498195,0.010830324909747292,0.032490974729241874,0.04332129963898917,0.039711191335740074,0.02888086642599278,0.007220216606498195,0.04332129963898917,0.036101083032490974,0.036101083032490974,0.04693140794223827,0.010830324909747292,0.02888086642599278
AP1 Q4 01,0.44696969696969696,0.5,0.38257575757575757,0.6136363636363636,1.0,0.35984848484848486,0.4621212121212121,0.3068181818181818,0.30303030303030304,0.2537878787878788,0.3068181818181818,0.4393939393939394,0.045454545454545456,0.041666666666666664,0.05303030303030303,0.07575757575757576,0.07954545454545454,0.03787878787878788,0.011363636363636364,0.011363636363636364,0.022727272727272728,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.015151515151515152,0.06439393939393939,0.007575757575757576,0.041666666666666664,0.041666666666666664,0.04924242424242424,0.045454545454545456,0.007575757575757576,0.003787878787878788,0.022727272727272728,0.011363636363636364,0.026515151515151516,0.056818181818181816,0.007575757575757576,0.026515151515151516
NFE2 01,0.2872727272727273,0.2727272727272727,0.19272727272727272,0.3890909090909091,0.34545454545454546,1.0,0.509090909090909,0.41454545454545455,0.3054545454545455,0.3018181818181818,0.33454545454545453,0.3927272727272727,0.06181818181818182,0.04727272727272727,0.06181818181818182,0.06909090909090909,0.04727272727272727,0.05090909090909091,0.03272727272727273,0.02909090909090909,0.02909090909090909,0.025454545454545455,0.02909090909090909,0.02909090909090909,0.02909090909090909,0.025454545454545455,0.08,0.02181818181818182,0.01818181818181818,0.03272727272727273,0.04363636363636364,0.02909090909090909,0.025454545454545455,0.0,0.014545454545454545,0.03636363636363636,0.02909090909090909,0.03636363636363636,0.007272727272727273,0.03272727272727273
AP1 01,0.4022140221402214,0.4095940959409594,0.30996309963099633,0.4944649446494465,0.45018450184501846,0.5166051660516605,1.0,0.33210332103321033,0.2656826568265683,0.28413284132841327,0.3210332103321033,0.44280442804428044,0.07749077490774908,0.04059040590405904,0.04797047970479705,0.07749077490774908,0.04059040590405904,0.04428044280442804,0.03690036900369004,0.02952029520295203,0.033210332103321034,0.014760147601476014,0.02214022140221402,0.02214022140221402,0.02214022140221402,0.02952029520295203,0.08856088560885608,0.02214022140221402,0.02952029520295203,0.04428044280442804,0.05166051660516605,0.03690036900369004,0.02952029520295203,0.007380073800738007,0.02952029520295203,0.02952029520295203,0.033210332103321034,0.04428044280442804,0.007380073800738007,0.025830258302583026
AP1 Q6 01,0.26591760299625467,0.33707865168539325,0.2808988764044944,0.43820224719101125,0.30337078651685395,0.42696629213483145,0.33707865168539325,1.0,0.38202247191011235,0.3782771535580524,0.39325842696629215,0.4681647940074906,0.0449438202247191,0.0449438202247191,0.03745318352059925,0.06741573033707865,0.04119850187265917,0.03745318352059925,0.0299625468164794,0.02247191011235955,0.02247191011235955,0.018726591760299626,0.02247191011235955,0.02247191011235955,0.02247191011235955,0.026217228464419477,0.08239700374531835,0.011235955056179775,0.018726591760299626,0.026217228464419477,0.03745318352059925,0.04119850187265917,0.04119850187265917,0.003745318352059925,0.052434456928838954,0.0599250936329588,0.033707865168539325,0.04119850187265917,0.0149812734082397,0.052434456928838954
AP1 Q2,0.2339622641509434,0.18867924528301888,0.27169811320754716,0.37358490566037733,0.3018867924528302,0.3169811320754717,0.27169811320754716,0.3849056603773585,1.0,0.7735849056603774,0.7433962264150943,0.5207547169811321,0.06792452830188679,0.04905660377358491,0.04150943396226415,0.05660377358490566,0.06037735849056604,0.03773584905660377,0.04150943396226415,0.026415094339622643,0.03018867924528302,0.022641509433962263,0.022641509433962263,0.022641509433962263,0.022641509433962263,0.03018867924528302,0.07924528301886792,0.026415094339622643,0.03773584905660377,0.045283018867924525,0.03773584905660377,0.052830188679245285,0.033962264150943396,0.007547169811320755,0.045283018867924525,0.052830188679245285,0.03773584905660377,0.026415094339622643,0.007547169811320755,0.045283018867924525
AP1FJ Q2,0.28044280442804426,0.1992619926199262,0.26199261992619927,0.3173431734317343,0.24723247232472326,0.3062730627306273,0.28413284132841327,0.3726937269372694,0.7564575645756457,1.0,0.6826568265682657,0.5018450184501845,0.05904059040590406,0.05166051660516605,0.055350553505535055,0.06273062730627306,0.05166051660516605,0.05904059040590406,0.07749077490774908,0.055350553505535055,0.04428044280442804,0.03690036900369004,0.04428044280442804,0.04059040590405904,0.04059040590405904,0.04797047970479705,0.06273062730627306,0.02214022140221402,0.033210332103321034,0.033210332103321034,0.025830258302583026,0.05166051660516605,0.033210332103321034,0.007380073800738007,0.033210332103321034,0.04797047970479705,0.02952029520295203,0.02214022140221402,0.007380073800738007,0.033210332103321034
