Pathway,OXIDATIVE PHOSPHORYLATION,PARKINSONS DISEASE,HUNTINGTONS DISEASE,ALZHEIMERS DISEASE,CITRATE CYCLE TCA CYCLE,PEROXISOME,FATTY ACID METABOLISM,TERPENOID BACKBONE BIOSYNTHESIS,CARDIAC MUSCLE CONTRACTION,DILATED CARDIOMYOPATHY,LYSOSOME,VIBRIO CHOLERAE INFECTION,ABC TRANSPORTERS,RIBOSOME,PENTOSE AND GLUCURONATE INTERCONVERSIONS,ASCORBATE AND ALDARATE METABOLISM,STARCH AND SUCROSE METABOLISM,PORPHYRIN AND CHLOROPHYLL METABOLISM,RETINOL METABOLISM,METABOLISM OF XENOBIOTICS BY CYTOCHROME P450,DRUG METABOLISM CYTOCHROME P450,DRUG METABOLISM OTHER ENZYMES,STEROID HORMONE BIOSYNTHESIS,SPLICEOSOME,ECM RECEPTOR INTERACTION,FOCAL ADHESION,CELL CYCLE,DNA REPLICATION,MISMATCH REPAIR,NUCLEOTIDE EXCISION REPAIR,PROXIMAL TUBULE BICARBONATE RECLAMATION,ALDOSTERONE REGULATED SODIUM REABSORPTION,GLYCEROPHOSPHOLIPID METABOLISM,GLYCEROLIPID METABOLISM,PYRUVATE METABOLISM,PROPANOATE METABOLISM,NICOTINATE AND NICOTINAMIDE METABOLISM,NATURAL KILLER CELL MEDIATED CYTOTOXICITY,ALLOGRAFT REJECTION,MATURITY ONSET DIABETES OF THE YOUNG
OXIDATIVE PHOSPHORYLATION,1.0,0.7142857142857143,0.6616541353383458,0.6616541353383458,0.03759398496240601,0.0,0.0,0.0,0.24812030075187969,0.0,0.07518796992481203,0.18045112781954886,0.0,0.0,0.0,0.0,0.0,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARKINSONS DISEASE,0.7251908396946565,1.0,0.7709923664122137,0.7099236641221374,0.03816793893129771,0.0,0.0,0.0,0.25190839694656486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007633587786259542,0.0,0.0
HUNTINGTONS DISEASE,0.4808743169398907,0.5519125683060109,1.0,0.5519125683060109,0.0273224043715847,0.01092896174863388,0.0,0.0,0.18032786885245902,0.0,0.02185792349726776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0273224043715847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00546448087431694,0.0,0.0
ALZHEIMERS DISEASE,0.5269461077844312,0.5568862275449101,0.6047904191616766,1.0,0.029940119760479042,0.0,0.0,0.0,0.2275449101796407,0.03592814371257485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029940119760479042,0.005988023952095809,0.0,0.0,0.0,0.0,0.011976047904191617,0.0,0.005988023952095809,0.0,0.0,0.0,0.07784431137724551,0.011976047904191617,0.0
CITRATE CYCLE TCA CYCLE,0.15625,0.15625,0.15625,0.15625,1.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.0,0.0,0.0,0.3125,0.125,0.0,0.0,0.0,0.0
PEROXISOME,0.0,0.0,0.02564102564102564,0.0,0.02564102564102564,1.0,0.1282051282051282,0.02564102564102564,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.02564102564102564,0.01282051282051282,0.0,0.0,0.0
FATTY ACID METABOLISM,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,1.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11904761904761904,0.0,0.0,0.21428571428571427,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11904761904761904,0.16666666666666666,0.2619047619047619,0.0,0.0,0.0,0.0
TERPENOID BACKBONE BIOSYNTHESIS,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.13333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0
CARDIAC MUSCLE CONTRACTION,0.4177215189873418,0.4177215189873418,0.4177215189873418,0.4810126582278481,0.0,0.0,0.0,0.0,1.0,0.4430379746835443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.11392405063291139,0.11392405063291139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DILATED CARDIOMYOPATHY,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.3888888888888889,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24444444444444444,0.2777777777777778,0.03333333333333333,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.011111111111111112,0.0
LYSOSOME,0.08264462809917356,0.0,0.03305785123966942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08264462809917356,0.01652892561983471,0.0,0.008264462809917356,0.0,0.01652892561983471,0.008264462809917356,0.0,0.0,0.0,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008264462809917356,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.0
VIBRIO CHOLERAE INFECTION,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.18518518518518517,1.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09259259259259259,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.09259259259259259,0.0,0.0
ABC TRANSPORTERS,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.045454545454545456,0.022727272727272728,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIBOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PENTOSE AND GLUCURONATE INTERCONVERSIONS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,1.0,0.6785714285714286,0.75,0.6785714285714286,0.6428571428571429,0.6785714285714286,0.6428571428571429,0.6785714285714286,0.6428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.0,0.0,0.0,0.0,0.0
ASCORBATE AND ALDARATE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,1.0,0.76,0.72,0.72,0.72,0.72,0.72,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0
STARCH AND SUCROSE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.40384615384615385,0.36538461538461536,1.0,0.36538461538461536,0.34615384615384615,0.34615384615384615,0.34615384615384615,0.36538461538461536,0.34615384615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.019230769230769232
PORPHYRIN AND CHLOROPHYLL METABOLISM,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.4634146341463415,0.43902439024390244,0.4634146341463415,1.0,0.43902439024390244,0.43902439024390244,0.43902439024390244,0.4634146341463415,0.43902439024390244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RETINOL METABOLISM,0.0,0.0,0.0,0.0,0.0,0.015625,0.140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28125,0.28125,0.28125,0.28125,1.0,0.5625,0.59375,0.390625,0.359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,0.0,0.0,0.0,0.0,0.0
METABOLISM OF XENOBIOTICS BY CYTOCHROME P450,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2714285714285714,0.2571428571428571,0.2571428571428571,0.2571428571428571,0.5142857142857142,1.0,0.8571428571428571,0.3142857142857143,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRUG METABOLISM CYTOCHROME P450,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.09722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.5277777777777778,0.8333333333333334,1.0,0.3472222222222222,0.3055555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0
DRUG METABOLISM OTHER ENZYMES,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.37254901960784315,0.35294117647058826,0.37254901960784315,0.37254901960784315,0.49019607843137253,0.43137254901960786,0.49019607843137253,1.0,0.43137254901960786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
