"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST"
"1","JUN","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.5","1","6","ReMap--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=3); Literature--ChIP-seq(rank=3); GTEx--Coexpression(rank=6); ARCHS4--Coexpression(rank=8); Enrichr--Queries(rank=15)","13","rank=1; score=5.5733; p=2.6715e-06","rank=2; score=5.0512; p=8.8881e-06"
"2","CEBPB","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","3.5","1","6","ENCODE--ChIP-seq(rank=5); Literature--ChIP-seq(rank=12); ReMap--ChIP-seq(rank=19); Enrichr--Queries(rank=31); GTEx--Coexpression(rank=1006); ARCHS4--Coexpression(rank=1106)","90","rank=6; score=3.464; p=0.00034356","rank=1; score=5.8312; p=1.475e-06"
"3","ATF4","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.0","2","4","ReMap--ChIP-seq(rank=150); GTEx--Coexpression(rank=347); Enrichr--Queries(rank=685); ARCHS4--Coexpression(rank=762)","767","rank=2; score=4.7495; p=1.7802e-05","rank=6; score=3.701; p=0.00019908"
"4","FOS","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.0","3","5","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=2); ENCODE--ChIP-seq(rank=7); ARCHS4--Coexpression(rank=37); Enrichr--Queries(rank=41)","4","rank=5; score=3.6768; p=0.00021049","rank=3; score=4.4527; p=3.5261e-05"
"5","NFKB1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.0","4","4","ARCHS4--Coexpression(rank=16); GTEx--Coexpression(rank=52); Enrichr--Queries(rank=220); ReMap--ChIP-seq(rank=224)","36","rank=4; score=3.7129; p=0.00019367","rank=8; score=3.3479; p=0.00044884"
"6","FOSL1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.0","7","5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=5); GTEx--Coexpression(rank=102); ARCHS4--Coexpression(rank=135); Enrichr--Queries(rank=143)","66","rank=7; score=3.2508; p=0.00056132","rank=7; score=3.433; p=0.00036895"
"7","TP53","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","12.0","9","5","Literature--ChIP-seq(rank=41); ReMap--ChIP-seq(rank=158); GTEx--Coexpression(rank=351); ARCHS4--Coexpression(rank=933); Enrichr--Queries(rank=979)","773","rank=9; score=2.8965; p=0.0012691","rank=15; score=2.6989; p=0.0020002"
"8","RELA","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","12.5","8","6","Literature--ChIP-seq(rank=16); ENCODE--ChIP-seq(rank=38); ReMap--ChIP-seq(rank=105); Enrichr--Queries(rank=422); GTEx--Coexpression(rank=572); ARCHS4--Coexpression(rank=1169)","393","rank=8; score=2.9061; p=0.0012414","rank=17; score=2.5299; p=0.002952"
"9","REL","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.0","12","3","GTEx--Coexpression(rank=11); ARCHS4--Coexpression(rank=20); Enrichr--Queries(rank=71)","25","rank=12; score=2.7206; p=0.0019029","rank=16; score=2.6376; p=0.0023038"
"10","CEBPD","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","18.0","11","5","ENCODE--ChIP-seq(rank=61); Literature--ChIP-seq(rank=120); ReMap--ChIP-seq(rank=175); ARCHS4--Coexpression(rank=223); GTEx--Coexpression(rank=509)","523","rank=25; score=1.351; p=0.044565","rank=11; score=2.8631; p=0.0013706"
