"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","VIPER","CollecTRI"
"1","E2F4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.5","1","6","ENCODE--ChIP-seq(rank=28); Literature--ChIP-seq(rank=87); ReMap--ChIP-seq(rank=113); GTEx--Coexpression(rank=751); ARCHS4--Coexpression(rank=1269); Enrichr--Queries(rank=1300)","752","rank=2; score=7.0313; direction=Repressed","rank=1; score=7.048; p=1.8147e-12; direction=Repressed"
"2","SMAD3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.0","6","5","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=7); GTEx--Coexpression(rank=209); Enrichr--Queries(rank=271); ARCHS4--Coexpression(rank=853)","45","rank=12; score=4.3358; direction=Activated","rank=6; score=4.6666; p=3.0624e-06; direction=Activated"
"3","FOXO3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.0","2","4","Literature--ChIP-seq(rank=33); ARCHS4--Coexpression(rank=385); GTEx--Coexpression(rank=550); Enrichr--Queries(rank=585)","656","rank=18; score=3.9322; direction=Activated","rank=2; score=5.483; p=4.1818e-08; direction=Activated"
"4","MYC","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","15.0","6","6","ENCODE--ChIP-seq(rank=59); Literature--ChIP-seq(rank=79); GTEx--Coexpression(rank=120); Enrichr--Queries(rank=200); ReMap--ChIP-seq(rank=203); ARCHS4--Coexpression(rank=811)","276","rank=6; score=5.2912; direction=Repressed","rank=24; score=3.0515; p=0.0022772; direction=Repressed"
"5","SMAD4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.5","8","5","Literature--ChIP-seq(rank=17); ReMap--ChIP-seq(rank=153); Enrichr--Queries(rank=1271); ARCHS4--Coexpression(rank=1468); GTEx--Coexpression(rank=1505)","370","rank=31; score=3.3275; direction=Activated","rank=8; score=4.1219; p=3.7584e-05; direction=Activated"
"6","STAT1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","29.0","15","6","ENCODE--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=56); Literature--ChIP-seq(rank=100); ARCHS4--Coexpression(rank=193); GTEx--Coexpression(rank=253); Enrichr--Queries(rank=876)","412","rank=15; score=4.1212; direction=Activated","rank=43; score=2.6551; p=0.0079287; direction=Activated"
"7","TCF4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","29.5","10","5","Literature--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=24); ARCHS4--Coexpression(rank=333); Enrichr--Queries(rank=577); GTEx--Coexpression(rank=644)","296","rank=10; score=4.3848; direction=Activated","rank=49; score=2.5265; p=0.011521; direction=Activated"
"8","GATA6","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","40.5","36","5","ReMap--ChIP-seq(rank=15); Literature--ChIP-seq(rank=27); Enrichr--Queries(rank=76); ARCHS4--Coexpression(rank=231); GTEx--Coexpression(rank=1360)","193","rank=45; score=2.6993; direction=Activated","rank=36; score=2.7905; p=0.0052631; direction=Activated"
"9","REST","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.0","28","6","ENCODE--ChIP-seq(rank=27); Literature--ChIP-seq(rank=41); ReMap--ChIP-seq(rank=224); ARCHS4--Coexpression(rank=413); GTEx--Coexpression(rank=898); Enrichr--Queries(rank=1100)","734","rank=54; score=2.5691; direction=Repressed","rank=28; score=2.9347; p=0.0033383; direction=Activated"
"10","GATA3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.5","38","6","ENCODE--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=9); Literature--ChIP-seq(rank=35); Enrichr--Queries(rank=50); GTEx--Coexpression(rank=70); ARCHS4--Coexpression(rank=88)","116","rank=38; score=2.9904; direction=Activated","rank=45; score=2.6188; p=0.0088231; direction=Activated"
