Pathway,MTOR UP.N4.V1 DN,KRAS.50 UP.V1 DN,KRAS.600 UP.V1 DN,E2F3 UP.V1 UP,IL2 UP.V1 UP,IL15 UP.V1 UP,TBK1.DN.48HRS DN,P53 DN.V1 UP,HINATA NFKB MATRIX,CORDENONSI YAP CONSERVED SIGNATURE,EIF4E DN,RB P130 DN.V1 DN
MTOR UP.N4.V1 DN,1.0,0.005434782608695652,0.016304347826086956,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.0,0.0,0.0,0.0,0.0,0.016304347826086956
KRAS.50 UP.V1 DN,0.020833333333333332,1.0,1.0,0.0,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.0,0.0,0.020833333333333332
KRAS.600 UP.V1 DN,0.010714285714285714,0.17142857142857143,1.0,0.007142857142857143,0.014285714285714285,0.03214285714285714,0.0,0.017857142857142856,0.0,0.007142857142857143,0.0,0.007142857142857143
E2F3 UP.V1 UP,0.005263157894736842,0.0,0.010526315789473684,1.0,0.021052631578947368,0.03684210526315789,0.005263157894736842,0.02631578947368421,0.0,0.010526315789473684,0.0,0.005263157894736842
IL2 UP.V1 UP,0.005263157894736842,0.0,0.021052631578947368,0.021052631578947368,1.0,0.5684210526315789,0.005263157894736842,0.042105263157894736,0.0,0.010526315789473684,0.0,0.021052631578947368
IL15 UP.V1 UP,0.005291005291005291,0.005291005291005291,0.047619047619047616,0.037037037037037035,0.5714285714285714,1.0,0.005291005291005291,0.047619047619047616,0.0,0.010582010582010581,0.0,0.031746031746031744
TBK1.DN.48HRS DN,0.0,0.0,0.0,0.02,0.02,0.02,1.0,0.02,0.0,0.02,0.0,0.0
P53 DN.V1 UP,0.0,0.005154639175257732,0.02577319587628866,0.02577319587628866,0.041237113402061855,0.04639175257731959,0.005154639175257732,1.0,0.010309278350515464,0.030927835051546393,0.015463917525773196,0.005154639175257732
HINATA NFKB MATRIX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,1.0,0.09090909090909091,0.0,0.0
CORDENONSI YAP CONSERVED SIGNATURE,0.0,0.0,0.03508771929824561,0.03508771929824561,0.03508771929824561,0.03508771929824561,0.017543859649122806,0.10526315789473684,0.017543859649122806,1.0,0.0,0.0
EIF4E DN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,1.0,0.03
RB P130 DN.V1 DN,0.022058823529411766,0.007352941176470588,0.014705882352941176,0.007352941176470588,0.029411764705882353,0.04411764705882353,0.0,0.007352941176470588,0.0,0.0,0.022058823529411766,1.0
