"Analysis_Name","GeneSet_Name","Source","Ranked_Genes","GSEA_Terms","Positive_NES","Negative_NES","Single_Pathway_Plots","CSV_File","PDF_File","PNG_File"
"HMVL_ALL","hallmark","computed","12867","15","5","10","10","results/ngs/GSE310664/tables/HMVL_ALL/GSEA/hallmark/gsea_result.csv","results/ngs/GSE310664/plots/GSEA/HMVL_ALL/hallmark/pdf/dotplot.pdf","results/ngs/GSE310664/plots/GSEA/HMVL_ALL/hallmark/png/dotplot.png"
"HMVL_CRC29","hallmark","computed","12604","18","9","9","10","results/ngs/GSE310664/tables/HMVL_CRC29/GSEA/hallmark/gsea_result.csv","results/ngs/GSE310664/plots/GSEA/HMVL_CRC29/hallmark/pdf/dotplot.pdf","results/ngs/GSE310664/plots/GSEA/HMVL_CRC29/hallmark/png/dotplot.png"
"HMVL_HUB098","hallmark","computed","12321","20","6","14","10","results/ngs/GSE310664/tables/HMVL_HUB098/GSEA/hallmark/gsea_result.csv","results/ngs/GSE310664/plots/GSEA/HMVL_HUB098/hallmark/pdf/dotplot.pdf","results/ngs/GSE310664/plots/GSEA/HMVL_HUB098/hallmark/png/dotplot.png"
"HMVL_TOR10","hallmark","computed","12937","25","16","9","10","results/ngs/GSE310664/tables/HMVL_TOR10/GSEA/hallmark/gsea_result.csv","results/ngs/GSE310664/plots/GSEA/HMVL_TOR10/hallmark/pdf/dotplot.pdf","results/ngs/GSE310664/plots/GSEA/HMVL_TOR10/hallmark/png/dotplot.png"
"HVL_ALL","hallmark","computed","12683","21","12","9","10","results/ngs/GSE310664/tables/HVL_ALL/GSEA/hallmark/gsea_result.csv","results/ngs/GSE310664/plots/GSEA/HVL_ALL/hallmark/pdf/dotplot.pdf","results/ngs/GSE310664/plots/GSEA/HVL_ALL/hallmark/png/dotplot.png"
"HVL_CRC29","hallmark","computed","12508","25","15","10","10","results/ngs/GSE310664/tables/HVL_CRC29/GSEA/hallmark/gsea_result.csv","results/ngs/GSE310664/plots/GSEA/HVL_CRC29/hallmark/pdf/dotplot.pdf","results/ngs/GSE310664/plots/GSEA/HVL_CRC29/hallmark/png/dotplot.png"
"HVL_HUB098","hallmark","computed","12356","30","23","7","10","results/ngs/GSE310664/tables/HVL_HUB098/GSEA/hallmark/gsea_result.csv","results/ngs/GSE310664/plots/GSEA/HVL_HUB098/hallmark/pdf/dotplot.pdf","results/ngs/GSE310664/plots/GSEA/HVL_HUB098/hallmark/png/dotplot.png"
"HVL_TOR10","hallmark","computed","13165","27","18","9","10","results/ngs/GSE310664/tables/HVL_TOR10/GSEA/hallmark/gsea_result.csv","results/ngs/GSE310664/plots/GSEA/HVL_TOR10/hallmark/pdf/dotplot.pdf","results/ngs/GSE310664/plots/GSEA/HVL_TOR10/hallmark/png/dotplot.png"
"MVL_ALL","hallmark","computed","12385","14","2","12","10","results/ngs/GSE310664/tables/MVL_ALL/GSEA/hallmark/gsea_result.csv","results/ngs/GSE310664/plots/GSEA/MVL_ALL/hallmark/pdf/dotplot.pdf","results/ngs/GSE310664/plots/GSEA/MVL_ALL/hallmark/png/dotplot.png"
"MVL_CRC29","hallmark","computed","12388","23","14","9","10","results/ngs/GSE310664/tables/MVL_CRC29/GSEA/hallmark/gsea_result.csv","results/ngs/GSE310664/plots/GSEA/MVL_CRC29/hallmark/pdf/dotplot.pdf","results/ngs/GSE310664/plots/GSEA/MVL_CRC29/hallmark/png/dotplot.png"
"MVL_HUB098","hallmark","computed","12214","29","6","23","10","results/ngs/GSE310664/tables/MVL_HUB098/GSEA/hallmark/gsea_result.csv","results/ngs/GSE310664/plots/GSEA/MVL_HUB098/hallmark/pdf/dotplot.pdf","results/ngs/GSE310664/plots/GSEA/MVL_HUB098/hallmark/png/dotplot.png"
"MVL_TOR10","hallmark","computed","12702","24","16","8","10","results/ngs/GSE310664/tables/MVL_TOR10/GSEA/hallmark/gsea_result.csv","results/ngs/GSE310664/plots/GSEA/MVL_TOR10/hallmark/pdf/dotplot.pdf","results/ngs/GSE310664/plots/GSEA/MVL_TOR10/hallmark/png/dotplot.png"
"HMVL_ALL","CP_BIOCARTA","computed","12867","21","2","19","10","results/ngs/GSE310664/tables/HMVL_ALL/GSEA/CP_BIOCARTA/gsea_result.csv","results/ngs/GSE310664/plots/GSEA/HMVL_ALL/CP_BIOCARTA/pdf/dotplot.pdf","results/ngs/GSE310664/plots/GSEA/HMVL_ALL/CP_BIOCARTA/png/dotplot.png"
