"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","CollecTRI"
"1","CEBPB","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","20.33333333333333","4","6","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=9); Enrichr--Queries(rank=40); Literature--ChIP-seq(rank=96); GTEx--Coexpression(rank=100); ARCHS4--Coexpression(rank=175)","33","rank=33; score=0.008475","rank=4; score=43.178; p=7.2563e-05; adjP=0.0033209","rank=24; score=3.518; p=0.00043481; direction=Activated"
"2","PPARG","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","23.66666666666667","2","5","ReMap--ChIP-seq(rank=3); Literature--ChIP-seq(rank=17); ARCHS4--Coexpression(rank=25); Enrichr--Queries(rank=49); GTEx--Coexpression(rank=107)","41","rank=41; score=0.0101","rank=28; score=23.666; p=1.1819e-05; adjP=0.00041421","rank=2; score=5.3405; p=9.2686e-08; direction=Activated"
"3","HIF1A","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","30.66666666666667","3","5","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=47); ARCHS4--Coexpression(rank=117); GTEx--Coexpression(rank=624); Enrichr--Queries(rank=834)","47","rank=47; score=0.0122","rank=42; score=96.114; p=8.2911e-07; adjP=5.0852e-05","rank=3; score=4.9248; p=8.4442e-07; direction=Activated"
"4","KLF4","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","36.33333333333334","9","5","ARCHS4--Coexpression(rank=4); Enrichr--Queries(rank=9); GTEx--Coexpression(rank=32); Literature--ChIP-seq(rank=38); ReMap--ChIP-seq(rank=82)","9","rank=9; score=0.002457","rank=77; score=30.633; p=0.0014007; adjP=0.012129","rank=23; score=3.5218; p=0.00042868; direction=Activated"
"5","RELB","ChEA3;ENRICHR;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","40.33333333333334","8","4","Enrichr--Queries(rank=19); ReMap--ChIP-seq(rank=115); ARCHS4--Coexpression(rank=131); GTEx--Coexpression(rank=342)","54","rank=54; score=0.01353","rank=8; score=113.86; p=4.2088e-08; adjP=8.7421e-06","rank=59; score=3.065; p=0.0021766; direction=Activated"
"6","ESR1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","42.33333333333334","26","6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Literature--ChIP-seq(rank=12); ARCHS4--Coexpression(rank=254); Enrichr--Queries(rank=617); GTEx--Coexpression(rank=709)","26","rank=26; score=0.006734","rank=29; score=54.417; p=8.739e-05; adjP=0.0015688","rank=72; score=2.845; p=0.0044417; direction=Activated"
"7","VDR","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.33333333333334","12","5","ARCHS4--Coexpression(rank=20); Literature--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=51); GTEx--Coexpression(rank=133); Enrichr--Queries(rank=195)","48","rank=48; score=0.01229","rank=70; score=50.636; p=0.00098585; adjP=0.011583","rank=12; score=3.8337; p=0.00012625; direction=Activated"
"8","NR3C1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.33333333333334","1","6","ENCODE--ChIP-seq(rank=3); Literature--ChIP-seq(rank=57); ReMap--ChIP-seq(rank=60); ARCHS4--Coexpression(rank=471); Enrichr--Queries(rank=663); GTEx--Coexpression(rank=1533)","99","rank=99; score=0.02542","rank=39; score=29.196; p=2.4217e-07; adjP=1.7824e-05","rank=1; score=6.0622; p=1.3427e-09; direction=Activated"
"9","STAT2","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.33333333333334","17","5","ENCODE--ChIP-seq(rank=4); Enrichr--Queries(rank=30); ARCHS4--Coexpression(rank=40); ReMap--ChIP-seq(rank=63); GTEx--Coexpression(rank=1575)","86","rank=86; score=0.02137","rank=17; score=48.999; p=0.0015804; adjP=0.071591","rank=36; score=3.2344; p=0.0012191; direction=Activated"
"10","ATF3","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","57.33333333333334","4","6","ARCHS4--Coexpression(rank=2); Enrichr--Queries(rank=3); GTEx--Coexpression(rank=6); Literature--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=29); ENCODE--ChIP-seq(rank=106)","4","rank=4; score=0.001229","rank=99; score=25.963; p=0.0001689; adjP=0.0024862","rank=69; score=2.8899; p=0.0038537; direction=Activated"
