Data_Type,Dataset_ID,Plot_Category,Analysis_Name,GeneSet_Name,GSEA_Result_File,GMT_File,PathwayDenester_Input_File,PathwayDenester_Official_File,PathwayDenester_Result_File,Stdout_File,Stderr_File,PValue_Threshold,To_Test_Threshold,Top_N,Input_GSEA_Terms,Prepared_Terms,Evaluated_Terms,Kept_Terms,Excluded_Terms,Reciprocal_Terms,Excluded_Percent,Status,Error_Message
ngs,GSE282081,ATF3_correlation,2D_J2,C6,results/ngs/GSE282081/tables/ATF3_function/2D_J2/GSEA/C6/gsea_result.csv,data/reference/pathway_denester/msigdb_symbol_gmt/C6.gmt,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/C6/pathway_denester_input.tsv,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/C6/pathway_denester_official.tsv,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/C6/pathway_denester_result.csv,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/C6/pathway_denester_stdout.log,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/C6/pathway_denester_stderr.log,0.05,0.5,20,35,35,35,35,0,35,0.0,OK,
ngs,GSE282081,ATF3_correlation,2D_J2,CP_BIOCARTA,results/ngs/GSE282081/tables/ATF3_function/2D_J2/GSEA/CP_BIOCARTA/gsea_result.csv,data/reference/pathway_denester/msigdb_symbol_gmt/CP_BIOCARTA.gmt,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/CP_BIOCARTA/pathway_denester_input.tsv,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/CP_BIOCARTA/pathway_denester_official.tsv,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/CP_BIOCARTA/pathway_denester_result.csv,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/CP_BIOCARTA/pathway_denester_stdout.log,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/CP_BIOCARTA/pathway_denester_stderr.log,0.05,0.5,20,17,17,17,16,1,10,5.8824,OK,
ngs,GSE282081,ATF3_correlation,2D_J2,CP_KEGG_LEGACY,results/ngs/GSE282081/tables/ATF3_function/2D_J2/GSEA/CP_KEGG_LEGACY/gsea_result.csv,data/reference/pathway_denester/msigdb_symbol_gmt/CP_KEGG_LEGACY.gmt,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/CP_KEGG_LEGACY/pathway_denester_input.tsv,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/CP_KEGG_LEGACY/pathway_denester_official.tsv,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/CP_KEGG_LEGACY/pathway_denester_result.csv,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/CP_KEGG_LEGACY/pathway_denester_stdout.log,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/CP_KEGG_LEGACY/pathway_denester_stderr.log,0.05,0.5,20,20,20,20,20,0,18,0.0,OK,
ngs,GSE282081,ATF3_correlation,2D_J2,CP_KEGG_MEDICUS,results/ngs/GSE282081/tables/ATF3_function/2D_J2/GSEA/CP_KEGG_MEDICUS/gsea_result.csv,data/reference/pathway_denester/msigdb_symbol_gmt/CP_KEGG_MEDICUS.gmt,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/CP_KEGG_MEDICUS/pathway_denester_input.tsv,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/CP_KEGG_MEDICUS/pathway_denester_official.tsv,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/CP_KEGG_MEDICUS/pathway_denester_result.csv,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/CP_KEGG_MEDICUS/pathway_denester_stdout.log,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/CP_KEGG_MEDICUS/pathway_denester_stderr.log,0.05,0.5,20,52,52,52,50,2,33,3.8462,OK,
ngs,GSE282081,ATF3_correlation,2D_J2,CP_REACTOME,results/ngs/GSE282081/tables/ATF3_function/2D_J2/GSEA/CP_REACTOME/gsea_result.csv,data/reference/pathway_denester/msigdb_symbol_gmt/CP_REACTOME.gmt,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/CP_REACTOME/pathway_denester_input.tsv,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/CP_REACTOME/pathway_denester_official.tsv,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/CP_REACTOME/pathway_denester_result.csv,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/CP_REACTOME/pathway_denester_stdout.log,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/CP_REACTOME/pathway_denester_stderr.log,0.05,0.5,20,274,274,274,176,98,117,35.7664,OK,
ngs,GSE282081,ATF3_correlation,2D_J2,CP_WIKIPATHWAYS,results/ngs/GSE282081/tables/ATF3_function/2D_J2/GSEA/CP_WIKIPATHWAYS/gsea_result.csv,data/reference/pathway_denester/msigdb_symbol_gmt/CP_WIKIPATHWAYS.gmt,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/CP_WIKIPATHWAYS/pathway_denester_input.tsv,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/CP_WIKIPATHWAYS/pathway_denester_official.tsv,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/CP_WIKIPATHWAYS/pathway_denester_result.csv,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/CP_WIKIPATHWAYS/pathway_denester_stdout.log,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/CP_WIKIPATHWAYS/pathway_denester_stderr.log,0.05,0.5,20,67,67,67,65,2,59,2.9851,OK,
ngs,GSE282081,ATF3_correlation,2D_J2,GO_BP,results/ngs/GSE282081/tables/ATF3_function/2D_J2/GSEA/GO_BP/gsea_result.csv,data/reference/pathway_denester/msigdb_symbol_gmt/GO_BP.gmt,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/GO_BP/pathway_denester_input.tsv,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/GO_BP/pathway_denester_official.tsv,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/GO_BP/pathway_denester_result.csv,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/GO_BP/pathway_denester_stdout.log,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/GO_BP/pathway_denester_stderr.log,0.05,0.5,20,395,391,390,354,36,263,9.2308,OK,
ngs,GSE282081,ATF3_correlation,2D_J2,GO_CC,results/ngs/GSE282081/tables/ATF3_function/2D_J2/GSEA/GO_CC/gsea_result.csv,data/reference/pathway_denester/msigdb_symbol_gmt/GO_CC.gmt,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/GO_CC/pathway_denester_input.tsv,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/GO_CC/pathway_denester_official.tsv,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/GO_CC/pathway_denester_result.csv,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/GO_CC/pathway_denester_stdout.log,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/GO_CC/pathway_denester_stderr.log,0.05,0.5,20,102,100,100,87,13,68,13.0,OK,
ngs,GSE282081,ATF3_correlation,2D_J2,GO_MF,results/ngs/GSE282081/tables/ATF3_function/2D_J2/GSEA/GO_MF/gsea_result.csv,data/reference/pathway_denester/msigdb_symbol_gmt/GO_MF.gmt,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/GO_MF/pathway_denester_input.tsv,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/GO_MF/pathway_denester_official.tsv,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/GO_MF/pathway_denester_result.csv,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/GO_MF/pathway_denester_stdout.log,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/GO_MF/pathway_denester_stderr.log,0.05,0.5,20,150,146,146,133,13,109,8.9041,OK,
ngs,GSE282081,ATF3_correlation,2D_J2,HPO,results/ngs/GSE282081/tables/ATF3_function/2D_J2/GSEA/HPO/gsea_result.csv,data/reference/pathway_denester/msigdb_symbol_gmt/HPO.gmt,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/HPO/pathway_denester_input.tsv,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/HPO/pathway_denester_official.tsv,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/HPO/pathway_denester_result.csv,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/HPO/pathway_denester_stdout.log,results/ngs/GSE282081/tables/PathwayDenester/ATF3_correlation/2D_J2/HPO/pathway_denester_stderr.log,0.05,0.5,20,370,370,370,277,93,204,25.1351,OK,
