"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR"
"1","ATF3","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.5","1","6","ARCHS4--Coexpression(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=39); ENCODE--ChIP-seq(rank=60)","1","rank=1; score=0.0006143","rank=4; score=67.924; p=1.3742e-07; adjP=9.9903e-05"
"2","JUN","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.5","5","6","ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=6); GTEx--Coexpression(rank=10); ARCHS4--Coexpression(rank=44); Enrichr--Queries(rank=66)","12","rank=12; score=0.003367","rank=5; score=55.46; p=7.1546e-06; adjP=0.002032"
"3","RELB","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","10.5","8","4","Enrichr--Queries(rank=5); ARCHS4--Coexpression(rank=14); ReMap--ChIP-seq(rank=94); GTEx--Coexpression(rank=181)","13","rank=13; score=0.003561","rank=8; score=86.54; p=8.3853e-06; adjP=0.002032"
"4","FOSL2","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","17.0","3","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=13); Enrichr--Queries(rank=93); ARCHS4--Coexpression(rank=114); GTEx--Coexpression(rank=851)","31","rank=31; score=0.008475","rank=3; score=38.027; p=8.8805e-05; adjP=0.048451"
"5","FOS","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","20.5","6","5","GTEx--Coexpression(rank=3); ReMap--ChIP-seq(rank=4); ENCODE--ChIP-seq(rank=9); Enrichr--Queries(rank=20); ARCHS4--Coexpression(rank=220)","6","rank=6; score=0.001867","rank=35; score=48.172; p=0.0022277; adjP=0.038888"
"6","BATF","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","22.5","5","5","ARCHS4--Coexpression(rank=3); ENCODE--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=44); Enrichr--Queries(rank=163); GTEx--Coexpression(rank=592)","5","rank=5; score=0.001843","rank=40; score=20.7; p=0.033242; adjP=0.75447"
"7","RARG","ChEA3;ENRICHR","4","ChEA3;ENRICHR;TRRUST;CollecTRI","29.0","12","4","Literature--ChIP-seq(rank=2); Enrichr--Queries(rank=228); GTEx--Coexpression(rank=272); ARCHS4--Coexpression(rank=1310)","46","rank=46; score=0.0122","rank=12; score=52.022; p=1.3302e-05; adjP=0.0024177"
"8","NFKB1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.5","7","4","ARCHS4--Coexpression(rank=24); Enrichr--Queries(rank=237); ReMap--ChIP-seq(rank=240); GTEx--Coexpression(rank=616)","56","rank=56; score=0.01474","rank=7; score=44.387; p=0.00014541; adjP=0.0085574"
"9","JUNB","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.5","23","4","ReMap--ChIP-seq(rank=15); ARCHS4--Coexpression(rank=19); Enrichr--Queries(rank=19); GTEx--Coexpression(rank=38)","44","rank=44; score=0.01167","rank=23; score=14.723; p=0.078301; adjP=0.21946"
"10","NR1H3","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","36.0","21","5","Literature--ChIP-seq(rank=13); GTEx--Coexpression(rank=21); ARCHS4--Coexpression(rank=55); Enrichr--Queries(rank=94); ReMap--ChIP-seq(rank=274)","51","rank=51; score=0.01307","rank=21; score=167.77; p=0.00054451; adjP=0.017061"
