"Sample_ID","Title","cell_line","treatment","culture_model","J2_coculture","hepatocyte_coculture","replicate","treatment_class","liver_niche_model","sample_system","is_liver_metastasis_tumor_tissue","is_normal_tissue","analysis_Hepatocyte_coculture","analysis_3D_organoid","analysis_3D_hepatic_coculture","analysis_2D_J2_coculture","analysis_2D_J2_hepatocyte","analysis_2D_J2_hepatocyte_vs_2D_none"
"GSM8635700","3D organoid, SW480 cells, rep1","SW480","None","3D_organoid","No_J2","No_hepatocyte_coculture","1","None","3D_organoid_none","in_vitro_SW480_model",FALSE,FALSE,"No_hepatocyte_coculture","3D_organoid","3D_organoid_none","","",""
"GSM8635701","3D organoid, SW480 cells, rep2","SW480","None","3D_organoid","No_J2","No_hepatocyte_coculture","2","None","3D_organoid_none","in_vitro_SW480_model",FALSE,FALSE,"No_hepatocyte_coculture","3D_organoid","3D_organoid_none","","",""
"GSM8635702","3D organoid, SW480 cells, rep3","SW480","None","3D_organoid","No_J2","No_hepatocyte_coculture","3","None","3D_organoid_none","in_vitro_SW480_model",FALSE,FALSE,"No_hepatocyte_coculture","3D_organoid","3D_organoid_none","","",""
"GSM8635703","3D organoid, SW480 cells cultured with J2 cells and hepatocytes, rep1","SW480","Coculture with  3T3-J2 fibroblasts and Primary rat hepatocytes","3D_organoid","J2_coculture","Hepatocyte_coculture","1","J2_hepatocyte_coculture","3D_organoid_J2_hepatocyte","in_vitro_SW480_model",FALSE,FALSE,"Hepatocyte_coculture","3D_organoid","3D_hepatic_coculture","","",""
"GSM8635704","3D organoid, SW480 cells cultured with J2 cells and hepatocytes, rep2","SW480","Coculture with  3T3-J2 fibroblasts and Primary rat hepatocytes","3D_organoid","J2_coculture","Hepatocyte_coculture","2","J2_hepatocyte_coculture","3D_organoid_J2_hepatocyte","in_vitro_SW480_model",FALSE,FALSE,"Hepatocyte_coculture","3D_organoid","3D_hepatic_coculture","","",""
"GSM8635705","3D organoid, SW480 cells cultured with J2 cells and hepatocytes, rep3","SW480","Coculture with  3T3-J2 fibroblasts and Primary rat hepatocytes","3D_organoid","J2_coculture","Hepatocyte_coculture","3","J2_hepatocyte_coculture","3D_organoid_J2_hepatocyte","in_vitro_SW480_model",FALSE,FALSE,"Hepatocyte_coculture","3D_organoid","3D_hepatic_coculture","","",""
"GSM8635706","2D culture, SW480 cells, rep1","SW480","None","2D_culture","No_J2","No_hepatocyte_coculture","1","None","2D_none","in_vitro_SW480_model",FALSE,FALSE,"No_hepatocyte_coculture","2D_culture","","2D_none","","2D_none"
"GSM8635707","2D culture, SW480 cells, rep2","SW480","None","2D_culture","No_J2","No_hepatocyte_coculture","2","None","2D_none","in_vitro_SW480_model",FALSE,FALSE,"No_hepatocyte_coculture","2D_culture","","2D_none","","2D_none"
"GSM8635708","2D culture, SW480 cells, rep3","SW480","None","2D_culture","No_J2","No_hepatocyte_coculture","3","None","2D_none","in_vitro_SW480_model",FALSE,FALSE,"No_hepatocyte_coculture","2D_culture","","2D_none","","2D_none"
"GSM8635709","2D culture, SW480 cells cultured with J2 cells, rep1","SW480","Coculture with  3T3-J2 fibroblasts","2D_culture","J2_coculture","No_hepatocyte_coculture","1","J2_coculture","2D_J2","in_vitro_SW480_model",FALSE,FALSE,"No_hepatocyte_coculture","2D_culture","","2D_J2_coculture","2D_J2_coculture",""
"GSM8635710","2D culture, SW480 cells cultured with J2 cells, rep2","SW480","Coculture with  3T3-J2 fibroblasts","2D_culture","J2_coculture","No_hepatocyte_coculture","2","J2_coculture","2D_J2","in_vitro_SW480_model",FALSE,FALSE,"No_hepatocyte_coculture","2D_culture","","2D_J2_coculture","2D_J2_coculture",""
"GSM8635711","2D culture, SW480 cells cultured with J2 cells, rep3","SW480","Coculture with  3T3-J2 fibroblasts","2D_culture","J2_coculture","No_hepatocyte_coculture","3","J2_coculture","2D_J2","in_vitro_SW480_model",FALSE,FALSE,"No_hepatocyte_coculture","2D_culture","","2D_J2_coculture","2D_J2_coculture",""
"GSM8635712","2D culture, SW480 cells cultured with J2 cells and hepatocytes, rep1","SW480","Coculture with  3T3-J2 fibroblasts and Primary rat hepatocytes","2D_culture","J2_coculture","Hepatocyte_coculture","1","J2_hepatocyte_coculture","2D_J2_hepatocyte","in_vitro_SW480_model",FALSE,FALSE,"Hepatocyte_coculture","2D_culture","","","2D_J2_hepatocyte","2D_J2_hepatocyte_vs_2D_none"
"GSM8635713","2D culture, SW480 cells cultured with J2 cells and hepatocytes, rep2","SW480","Coculture with  3T3-J2 fibroblasts and Primary rat hepatocytes","2D_culture","J2_coculture","Hepatocyte_coculture","2","J2_hepatocyte_coculture","2D_J2_hepatocyte","in_vitro_SW480_model",FALSE,FALSE,"Hepatocyte_coculture","2D_culture","","","2D_J2_hepatocyte","2D_J2_hepatocyte_vs_2D_none"
"GSM8635714","2D culture, SW480 cells cultured with J2 cells and hepatocytes, rep3","SW480","Coculture with  3T3-J2 fibroblasts and Primary rat hepatocytes","2D_culture","J2_coculture","Hepatocyte_coculture","3","J2_hepatocyte_coculture","2D_J2_hepatocyte","in_vitro_SW480_model",FALSE,FALSE,"Hepatocyte_coculture","2D_culture","","","2D_J2_hepatocyte","2D_J2_hepatocyte_vs_2D_none"
