Pathway,PEPTIDE ANTIGEN BINDING,ANTIGEN BINDING,MHC CLASS II RECEPTOR ACTIVITY,GATED CHANNEL ACTIVITY,LIGAND GATED CHANNEL ACTIVITY,"LIGAND GATED MONOATOMIC CATION CHANNEL
ACTIVITY",LIGAND GATED SODIUM CHANNEL ACTIVITY,"POSTSYNAPTIC NEUROTRANSMITTER RECEPTOR
ACTIVITY","NEUROTRANSMITTER RECEPTOR ACTIVITY INVOLVED
IN REGULATION OF POSTSYNAPTIC MEMBRANE
POTENTIAL",MONOATOMIC CATION CHANNEL ACTIVITY,SODIUM CHANNEL ACTIVITY,VOLTAGE GATED SODIUM CHANNEL ACTIVITY,POTASSIUM CHANNEL ACTIVITY,METAL ION TRANSMEMBRANE TRANSPORTER ACTIVITY,"POTASSIUM ION TRANSMEMBRANE TRANSPORTER
ACTIVITY","VOLTAGE GATED MONOATOMIC CATION CHANNEL
ACTIVITY",VOLTAGE GATED CHANNEL ACTIVITY,VOLTAGE GATED CALCIUM CHANNEL ACTIVITY,CALMODULIN BINDING,STRUCTURAL CONSTITUENT OF CHROMATIN,MHC PROTEIN BINDING,MHC CLASS I PROTEIN BINDING,MHC PROTEIN COMPLEX BINDING,MHC CLASS IB RECEPTOR ACTIVITY,"TRANSMEMBRANE RECEPTOR PROTEIN TYROSINE
KINASE ACTIVITY","TRANSMEMBRANE RECEPTOR PROTEIN KINASE
ACTIVITY",GROWTH FACTOR RECEPTOR BINDING,HORMONE BINDING,MONOCARBOXYLIC ACID BINDING,GLUCURONOSYLTRANSFERASE ACTIVITY,"MAP KINASE TYROSINE SERINE THREONINE
PHOSPHATASE ACTIVITY",MAP KINASE PHOSPHATASE ACTIVITY,EXTRACELLULAR MATRIX STRUCTURAL CONSTITUENT,IMMUNOGLOBULIN BINDING,CHEMOKINE ACTIVITY,CCR CHEMOKINE RECEPTOR BINDING,SNARE BINDING,SYNTAXIN 1 BINDING,ARACHIDONATE MONOOXYGENASE ACTIVITY,SIALYLTRANSFERASE ACTIVITY
PEPTIDE ANTIGEN BINDING,1.0,1.0,0.1702127659574468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23404255319148937,0.06382978723404255,0.3617021276595745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0
ANTIGEN BINDING,0.27325581395348836,1.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0755813953488372,0.01744186046511628,0.11627906976744186,0.01744186046511628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01744186046511628,0.005813953488372093,0.0,0.0,0.0,0.0,0.0
MHC CLASS II RECEPTOR ACTIVITY,0.6153846153846154,0.6153846153846154,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATED CHANNEL ACTIVITY,0.0,0.0,0.0,1.0,0.5900621118012422,0.42857142857142855,0.055900621118012424,0.17080745341614906,0.17080745341614906,0.782608695652174,0.12732919254658384,0.037267080745341616,0.37267080745341613,0.6677018633540373,0.37577639751552794,0.4472049689440994,0.5496894409937888,0.13043478260869565,0.059006211180124224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003105590062111801,0.0,0.0,0.015527950310559006,0.003105590062111801,0.0,0.0
LIGAND GATED CHANNEL ACTIVITY,0.0,0.0,0.0,1.0,1.0,0.7263157894736842,0.09473684210526316,0.2894736842105263,0.2894736842105263,0.7421052631578947,0.1736842105263158,0.031578947368421054,0.3,0.5789473684210527,0.30526315789473685,0.24736842105263157,0.30526315789473685,0.04736842105263158,0.05789473684210526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005263157894736842,0.0,0.0,0.010526315789473684,0.0,0.0,0.0
"LIGAND GATED MONOATOMIC CATION CHANNEL
ACTIVITY",0.0,0.0,0.0,1.0,1.0,1.0,0.13043478260869565,0.2536231884057971,0.2536231884057971,1.0,0.2391304347826087,0.043478260869565216,0.4057971014492754,0.7608695652173914,0.4057971014492754,0.3333333333333333,0.4057971014492754,0.06521739130434782,0.07971014492753623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007246376811594203,0.0,0.0,0.014492753623188406,0.0,0.0,0.0
LIGAND GATED SODIUM CHANNEL ACTIVITY,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2777777777777778,0.2777777777777778,1.0,1.0,0.1111111111111111,0.2777777777777778,1.0,0.2777777777777778,0.05555555555555555,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0
"POSTSYNAPTIC NEUROTRANSMITTER RECEPTOR
ACTIVITY",0.0,0.0,0.0,0.7857142857142857,0.7857142857142857,0.5,0.07142857142857142,1.0,0.8142857142857143,0.5142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.014285714285714285,0.08571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0,0.0,0.0
"NEUROTRANSMITTER RECEPTOR ACTIVITY INVOLVED
IN REGULATION OF POSTSYNAPTIC MEMBRANE
POTENTIAL",0.0,0.0,0.0,0.9649122807017544,0.9649122807017544,0.6140350877192983,0.08771929824561403,1.0,1.0,0.631578947368421,0.08771929824561403,0.0,0.08771929824561403,0.2631578947368421,0.08771929824561403,0.017543859649122806,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.017543859649122806,0.0,0.0,0.0
MONOATOMIC CATION CHANNEL ACTIVITY,0.0,0.0,0.0,0.7411764705882353,0.4147058823529412,0.40588235294117647,0.052941176470588235,0.10588235294117647,0.10588235294117647,1.0,0.15588235294117647,0.06470588235294118,0.37058823529411766,0.7970588235294118,0.38529411764705884,0.4235294117647059,0.47352941176470587,0.12352941176470589,0.07647058823529412,0.0,0.0058823529411764705,0.0058823529411764705,0.0,0.0,0.0,0.0,0.0029411764705882353,0.0,0.0029411764705882353,0.0,0.0,0.0,0.0,0.0029411764705882353,0.0,0.0,0.01764705882352941,0.0058823529411764705,0.0,0.0
SODIUM CHANNEL ACTIVITY,0.0,0.0,0.0,0.7735849056603774,0.6226415094339622,0.6226415094339622,0.33962264150943394,0.09433962264150944,0.09433962264150944,1.0,1.0,0.41509433962264153,0.37735849056603776,1.0,0.37735849056603776,0.20754716981132076,0.2830188679245283,0.03773584905660377,0.07547169811320754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,0.0,0.0,0.0
VOLTAGE GATED SODIUM CHANNEL ACTIVITY,0.0,0.0,0.0,0.5454545454545454,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.0,0.0,1.0,1.0,1.0,0.3181818181818182,1.0,0.3181818181818182,0.36363636363636365,0.5,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0
POTASSIUM CHANNEL ACTIVITY,0.0,0.0,0.0,0.9523809523809523,0.4523809523809524,0.4444444444444444,0.03968253968253968,0.03968253968253968,0.03968253968253968,1.0,0.15873015873015872,0.05555555555555555,1.0,1.0,1.0,0.7857142857142857,0.8015873015873016,0.007936507936507936,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.007936507936507936,0.0,0.0
METAL ION TRANSMEMBRANE TRANSPORTER ACTIVITY,0.0,0.0,0.0,0.4777777777777778,0.24444444444444444,0.23333333333333334,0.04,0.03333333333333333,0.03333333333333333,0.6022222222222222,0.11777777777777777,0.04888888888888889,0.28,1.0,0.36,0.31333333333333335,0.3422222222222222,0.09333333333333334,0.07555555555555556,0.0,0.0,0.0,0.0022222222222222222,0.0,0.0,0.0,0.0022222222222222222,0.011111111111111112,0.0022222222222222222,0.0,0.0,0.0,0.0,0.0022222222222222222,0.0,0.0,0.013333333333333334,0.0044444444444444444,0.0,0.0
"POTASSIUM ION TRANSMEMBRANE TRANSPORTER
ACTIVITY",0.0,0.0,0.0,0.7469135802469136,0.35802469135802467,0.345679012345679,0.030864197530864196,0.030864197530864196,0.030864197530864196,0.808641975308642,0.12345679012345678,0.043209876543209874,0.7777777777777778,1.0,1.0,0.6111111111111112,0.6234567901234568,0.006172839506172839,0.06790123456790123,0.0,0.0,0.0,0.006172839506172839,0.0,0.0,0.0,0.0,0.018518518518518517,0.006172839506172839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.006172839506172839,0.0,0.0
"VOLTAGE GATED MONOATOMIC CATION CHANNEL
ACTIVITY",0.0,0.0,0.0,1.0,0.3263888888888889,0.3194444444444444,0.006944444444444444,0.006944444444444444,0.006944444444444444,1.0,0.0763888888888889,0.05555555555555555,0.6875,0.9791666666666666,0.6875,1.0,1.0,0.2916666666666667,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.006944444444444444,0.0,0.0
