"TF","SW48"
"AHR","4.77599472082749443"
"AR","1.11169666578080228"
"ARID2","2.52345585847733700"
"ARID3A","1.22973119336401804"
"ARNT","3.73347373577021413"
"ARNTL","0.99089075876551824"
"ASCL1","1.52560613346345875"
"ATF1","1.10853659346251332"
"ATF2","2.36726509002121510"
"ATF3","-0.71680796869142627"
"ATF4","1.07468131382891219"
"ATF6","-1.91917157371681468"
"ATF7","0.85952224374889574"
"BACH1","-0.80824214816388995"
"BACH2","3.36967284718100091"
"BATF","0.27575206736396779"
"BCL11A","2.19847412502509076"
"BCL6","-1.18224851334540659"
"BHLHE22","-0.96993278266757466"
"BHLHE40","-1.49918715153764248"
"CDX2","0.37257730343549256"
"CEBPA","0.30071133079830237"
"CEBPB","2.39214566770860326"
"CEBPD","-0.40479294684423966"
"CEBPG","0.53613784352839433"
"CLOCK","1.55122023328592329"
"CREB1","1.20812676443603317"
"CREB3","-0.50733499190742781"
"CREB3L1","0.11150104312787601"
"CREM","1.56305851157582976"
"CTCF","0.97636630033110294"
"CTCFL","-1.17886934360023155"
"CUX1","0.66670721858163229"
"DUX4","-0.99805042139143496"
"E2F1","-1.57664571466513137"
"E2F2","-4.79454853526426383"
"E2F3","-2.50152020725467805"
"E2F4","-7.03125849495026056"
"E2F5","-1.08053462988115734"
"E2F6","2.42971761600751002"
"E2F7","-0.40558945048568812"
"EBF1","3.47334808101717529"
"EGR1","1.41963857248425529"
"EHF","2.49629959296147108"
"ELF1","1.09868417758371484"
"ELF3","1.84686195904843808"
"ELF5","1.26689684425870785"
"ELK1","1.77224457641137434"
"ELK4","1.44141415974861298"
"EOMES","1.40791302437719335"
"EPAS1","-0.22438099629442060"
"ERG","1.38888415640091334"
"ESR1","3.55125800525131208"
"ESR2","1.59632010008373260"
"ESRRA","0.76487249617414632"
"ETS1","1.89820098728142006"
"ETS2","-0.58355728745852731"
"ETV1","2.14949489394452042"
"ETV4","0.98001337966592605"
"FLI1","0.88905940691423790"
"FOS","-0.21352694845463088"
"FOSL1","0.80995282271883651"
"FOSL2","-0.31141978931579778"
"FOXA1","2.05722377389323219"
"FOXA2","1.85639679695536919"
"FOXJ2","2.58379862536912608"
"FOXK2","0.30585713707746592"
"FOXL2","1.13522441218714176"
"FOXM1","-1.85514578992354551"
"FOXO1","2.58257240815519795"
"FOXO3","3.93224725027141764"
"FOXO4","2.57440459728213300"
"FOXP1","-5.71382148112536647"
"FOXP2","-2.05128418820267822"
"GABPA","2.75559532788610984"
"GATA2","0.16787744511779715"
"GATA3","2.99042053026435806"
"GATA4","0.05701317106719878"
"GATA6","2.69933935806419623"
"GFI1B","1.80424397597969555"
"GLI2","-0.03337331662128384"
"GRHL2","4.21144279513861619"
"HBP1","-2.93853290386157839"
"HHEX","-0.91749883808497856"
"HIF1A","2.17069626966808737"
"HINFP","-0.42889134153654906"
"HMBOX1","-2.08718308353256399"
"HNF1A","-0.94374069126794768"
"HNF1B","1.39753303032969112"
"HNF4A","1.65786095699900282"
"HNF4G","1.43750547649658267"
"HOXA9","0.10560532000812832"
"HOXB13","2.67956955881987957"
"HSF1","0.87090010397529183"
"IKZF1","2.42539614079367105"
"IRF1","-0.24815310403890453"
"IRF2","0.71393500324387216"
"IRF3","-5.79053346973701100"
"IRF4","2.92231172608523160"
"IRF9","1.05433051167877623"
"JUN","2.60211167312150948"
"JUNB","1.92083082930562976"
"JUND","-1.67686337053498291"
"KDM5B","1.00479025752377438"
"KLF1","1.53878590466706333"
"KLF13","0.81094752315851537"
"KLF3","2.52254006606985692"
"KLF4","3.63529184798119420"
"KLF5","1.84022237760354335"
"KLF6","0.37167710988417668"
"KLF9","0.29133348816233134"
"KMT2A","-0.68241016610632643"
"LEF1","-1.32698396793789963"
"LHX2","1.98696287417898243"
"LYL1","-0.80562434545191808"
"MAF","0.76344269148759525"
"MAFB","4.37201530129516414"
"MAFF","3.01532223819125855"
"MAFG","3.19627128663963544"
"MAFK","3.61248948673444747"
"MAX","1.27978536879487192"
"MAZ","-3.17976587678199474"
"MBD1","2.68439353859381002"
"MBD2","-0.68196198116187301"
"MEF2A","5.18684591130361028"
"MEF2B","0.94695640507002787"
"MEF2C","2.26022715657535800"
"MEIS1","1.94482833183730075"
"MEIS2","1.72575407068280118"
"MITF","0.66113260195901080"
"MNT","-0.78163425278863086"
"MXI1","0.13479383335631903"
"MYB","-1.34792852972838006"
"MYBL2","1.03088084636314159"
"MYC","-5.29116689429800413"
"MYCN","-1.38327948356353381"
"MYOD1","1.73136434371650250"
"NANOG","2.09008604703162071"
"NCOA1","3.69328655923243510"
"NCOA2","4.04263166052895428"
"NCOA3","3.72876424507033200"
"NEUROD1","0.03144076901211799"
"NFATC1","1.18142983696222492"
"NFE2","1.63826303662117945"
"NFE2L1","0.03368516205971164"
"NFE2L2","-0.24220967867344195"
"NFIC","-1.10753030404612618"
"NFKB1","1.12522248594107244"
"NFKB2","-0.27882420768220145"
"NFYA","-0.80717538905212471"
"NFYB","-1.58480362671293307"
"NR1H2","-1.55738742940301567"
"NR1H3","0.29417000993949383"
"NR2C2","-1.63749072983812449"
"NR2F1","-0.49196228804074627"
"NR2F2","0.34119871997234713"
"NR2F6","-0.95154532209435649"
"NR3C1","-1.67300129350772986"
"NR4A1","1.89809285080508028"
"NR5A2","1.25972384341876120"
"NRF1","-1.05343313811815786"
"ONECUT1","1.84797156048860001"
"OTX2","2.08888345806768472"
"PAX5","0.35028363055789530"
"PAX6","-0.30885384610956351"
"PBX2","1.99445911608923554"
"PBX3","2.53483002890738973"
"PDX1","0.88594766301231265"
"PKNOX1","0.82587404722551405"
"POU2F1","1.50102971805840735"
"POU4F2","2.36735918086734420"
"POU5F1","3.28913711719731250"
"PPARA","1.69469683970643215"
"PPARG","1.85146327130247457"
"PRDM1","1.48891725736675862"
"PRDM14","2.87613659478843564"
"PROX1","1.83665561002664446"
"RARA","1.64386380756381945"
"RBPJ","2.44133046972743495"
"REL","0.56295529057123139"
"RELA","1.24215167503629620"
"RELB","2.34461248050548665"
"REST","-2.56905917892570113"
"RFX1","-2.27128286064096585"
"RFX2","1.09128470219678420"
"RUNX1","0.84978101049041888"
"RUNX2","3.11762369738285061"
"RUNX3","0.33773998734111965"
"RXRA","-0.96559047297524903"
"SIX2","2.60336238595173741"
"SIX5","-3.81286835661762336"
"SMAD1","1.45798146593711109"
"SMAD3","4.33576805832317813"
"SMAD4","3.32752663671971360"
"SMAD5","-2.70520902023349885"
"SNAI2","-0.60603137201062252"
"SNAPC4","-3.79094361276770053"
"SOX11","2.10306017430349623"
"SOX13","1.57390861779776814"
"SOX6","0.71003428734802421"
"SOX9","0.65860548036886069"
"SP1","1.65696872351311186"
"SP2","-0.77856669988392113"
"SP3","3.80243111494020081"
"SP4","-1.54658654395496797"
"SPI1","0.76323835357550518"
"SPIB","-0.16184449687211352"
"SREBF1","-2.32444091606549597"
"SREBF2","-3.93399242794193027"
"SRF","-0.17279798356142687"
"STAT1","4.12115216518486704"
"STAT2","1.02969271074227309"
"STAT3","2.00079010378817657"
"STAT4","0.18390931015896589"
"STAT5A","1.49520546759862705"
"STAT5B","1.89836769259084459"
"STAT6","0.03443878225556950"
"TAL1","0.86759321161554293"
"TBP","2.37563775246726339"
"TBX21","2.06962844212228303"
"TCF12","3.86622611022227192"
"TCF3","-2.30229988131082530"
"TCF4","4.38475953458455425"
"TCF7","1.56713302559994805"
"TCF7L2","3.13749967712309719"
"TEAD1","7.04686333628331685"
"TEAD2","-0.18173531424278355"
"TEAD4","2.30735102764684008"
"TFAP2A","2.28137385688535321"
"TFAP2C","1.21581980058846861"
"TFAP4","2.07440808578843061"
"TFDP1","-2.04235160361186141"
"TGIF2","0.86092533541271798"
"THAP1","-0.79593834519460782"
"THAP11","1.14295449347719646"
"TP53","6.16575423048296312"
"TP63","2.79227990980644858"
"TP73","0.61637231543585091"
"TWIST1","0.13401059690275180"
"USF1","-0.13431540574164788"
"USF2","1.78797707677570994"
"VDR","-0.12045637459509641"
"WT1","1.67846979386176209"
"XBP1","-0.21751183074971212"
"YY1","-2.58881197812689789"
"ZBED1","-1.67775799463606412"
"ZBTB11","1.97453449871527398"
"ZBTB33","2.39290256201450946"
"ZBTB7A","0.76780534829366354"
"ZEB1","-0.06224498304553845"
"ZEB2","-1.93560412553135053"
"ZFX","-1.96413377862391902"
"ZKSCAN1","0.35068271584085797"
"ZNF143","1.39546088782149225"
"ZNF217","4.32295592136333795"
"ZNF24","-2.00621378277099449"
"ZNF263","1.08991149248338037"
"ZNF274","-1.36992413695814941"
"ZNF384","2.07329764662953853"
"ZNF592","0.57699926929491441"
"ZNF639","-1.49647476197369889"
"ZNF740","0.18402261747914353"
