Pathway,OXIDATIVE PHOSPHORYLATION,ADIPOGENESIS,FATTY ACID METABOLISM,XENOBIOTIC METABOLISM,BILE ACID METABOLISM,PEROXISOME,HEME METABOLISM,REACTIVE OXYGEN SPECIES PATHWAY,G2M CHECKPOINT,E2F TARGETS,MYC TARGETS V1,MYC TARGETS V2,EPITHELIAL MESENCHYMAL TRANSITION,ANGIOGENESIS,UV RESPONSE DN,TNFA SIGNALING VIA NFKB,INFLAMMATORY RESPONSE,INTERFERON GAMMA RESPONSE,INTERFERON ALPHA RESPONSE,MITOTIC SPINDLE,PI3K AKT MTOR SIGNALING,TGF BETA SIGNALING
OXIDATIVE PHOSPHORYLATION,1.0,0.205,0.155,0.045,0.02,0.03,0.025,0.02,0.0,0.0,0.055,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.01,0.0,0.0
ADIPOGENESIS,0.205,1.0,0.145,0.08,0.045,0.05,0.025,0.02,0.005,0.01,0.015,0.005,0.015,0.005,0.015,0.03,0.005,0.01,0.0,0.005,0.0,0.0
FATTY ACID METABOLISM,0.1962025316455696,0.18354430379746836,1.0,0.15822784810126583,0.06962025316455696,0.15822784810126583,0.0379746835443038,0.006329113924050633,0.0189873417721519,0.012658227848101266,0.02531645569620253,0.0,0.012658227848101266,0.0,0.012658227848101266,0.006329113924050633,0.0,0.012658227848101266,0.012658227848101266,0.0,0.0,0.0
XENOBIOTIC METABOLISM,0.045,0.08,0.125,1.0,0.06,0.045,0.045,0.02,0.005,0.0,0.02,0.005,0.025,0.005,0.01,0.035,0.025,0.035,0.0,0.01,0.005,0.01
BILE ACID METABOLISM,0.03571428571428571,0.08035714285714286,0.09821428571428571,0.10714285714285714,1.0,0.3482142857142857,0.03571428571428571,0.026785714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.026785714285714284,0.008928571428571428,0.026785714285714284,0.008928571428571428,0.0,0.0,0.008928571428571428,0.008928571428571428
PEROXISOME,0.057692307692307696,0.09615384615384616,0.2403846153846154,0.08653846153846154,0.375,1.0,0.009615384615384616,0.038461538461538464,0.019230769230769232,0.028846153846153848,0.038461538461538464,0.0,0.009615384615384616,0.0,0.019230769230769232,0.009615384615384616,0.0,0.028846153846153848,0.0,0.009615384615384616,0.009615384615384616,0.0
HEME METABOLISM,0.025,0.025,0.03,0.045,0.02,0.005,1.0,0.02,0.015,0.005,0.005,0.005,0.005,0.0,0.01,0.01,0.015,0.005,0.0,0.015,0.01,0.0
REACTIVE OXYGEN SPECIES PATHWAY,0.08163265306122448,0.08163265306122448,0.02040816326530612,0.08163265306122448,0.061224489795918366,0.08163265306122448,0.08163265306122448,1.0,0.0,0.02040816326530612,0.02040816326530612,0.0,0.0,0.0,0.02040816326530612,0.04081632653061224,0.02040816326530612,0.04081632653061224,0.0,0.0,0.0,0.02040816326530612
G2M CHECKPOINT,0.0,0.005,0.015,0.005,0.0,0.01,0.015,0.0,1.0,0.365,0.145,0.03,0.01,0.0,0.045,0.025,0.015,0.015,0.0,0.195,0.02,0.01
E2F TARGETS,0.0,0.01,0.01,0.0,0.0,0.015,0.005,0.005,0.365,1.0,0.175,0.06,0.005,0.0,0.01,0.01,0.01,0.01,0.0,0.095,0.02,0.0
MYC TARGETS V1,0.055,0.015,0.02,0.02,0.0,0.02,0.005,0.005,0.145,0.175,1.0,0.09,0.005,0.0,0.005,0.005,0.005,0.01,0.0,0.005,0.015,0.0
MYC TARGETS V2,0.017241379310344827,0.017241379310344827,0.0,0.017241379310344827,0.0,0.0,0.017241379310344827,0.0,0.10344827586206896,0.20689655172413793,0.3103448275862069,1.0,0.0,0.0,0.017241379310344827,0.034482758620689655,0.017241379310344827,0.0,0.0,0.017241379310344827,0.017241379310344827,0.0
EPITHELIAL MESENCHYMAL TRANSITION,0.0,0.015,0.01,0.025,0.0,0.005,0.005,0.0,0.01,0.005,0.005,0.0,1.0,0.06,0.1,0.11,0.065,0.025,0.005,0.015,0.0,0.025
ANGIOGENESIS,0.0,0.027777777777777776,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.1111111111111111,0.1111111111111111,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
UV RESPONSE DN,0.0,0.020833333333333332,0.013888888888888888,0.013888888888888888,0.020833333333333332,0.013888888888888888,0.013888888888888888,0.006944444444444444,0.0625,0.013888888888888888,0.006944444444444444,0.006944444444444444,0.1388888888888889,0.027777777777777776,1.0,0.08333333333333333,0.10416666666666667,0.013888888888888888,0.0,0.034722222222222224,0.020833333333333332,0.041666666666666664
TNFA SIGNALING VIA NFKB,0.0,0.03,0.005,0.035,0.005,0.005,0.01,0.01,0.025,0.01,0.005,0.01,0.11,0.02,0.06,1.0,0.255,0.135,0.045,0.01,0.015,0.05
INFLAMMATORY RESPONSE,0.0,0.005,0.0,0.025,0.015,0.0,0.015,0.005,0.015,0.01,0.005,0.005,0.065,0.015,0.075,0.255,1.0,0.185,0.085,0.01,0.015,0.01
INTERFERON GAMMA RESPONSE,0.005,0.01,0.01,0.035,0.005,0.015,0.005,0.01,0.015,0.01,0.01,0.0,0.025,0.0,0.01,0.135,0.185,1.0,0.365,0.005,0.025,0.0
INTERFERON ALPHA RESPONSE,0.0,0.0,0.020618556701030927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010309278350515464,0.0,0.0,0.09278350515463918,0.17525773195876287,0.7525773195876289,1.0,0.0,0.010309278350515464,0.0
MITOTIC SPINDLE,0.010050251256281407,0.005025125628140704,0.0,0.010050251256281407,0.0,0.005025125628140704,0.01507537688442211,0.0,0.19597989949748743,0.09547738693467336,0.005025125628140704,0.005025125628140704,0.01507537688442211,0.0,0.02512562814070352,0.010050251256281407,0.010050251256281407,0.005025125628140704,0.0,1.0,0.020100502512562814,0.010050251256281407
PI3K AKT MTOR SIGNALING,0.0,0.0,0.0,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.01904761904761905,0.0,0.0380952380952381,0.0380952380952381,0.02857142857142857,0.009523809523809525,0.0,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.047619047619047616,0.009523809523809525,0.0380952380952381,1.0,0.02857142857142857
TGF BETA SIGNALING,0.0,0.0,0.0,0.037037037037037035,0.018518518518518517,0.0,0.0,0.018518518518518517,0.037037037037037035,0.0,0.0,0.0,0.09259259259259259,0.0,0.1111111111111111,0.18518518518518517,0.037037037037037035,0.0,0.0,0.037037037037037035,0.05555555555555555,1.0
