"sig_names","p.value","statistic","p.adj","log10pvalue","stars","Method_Source","p.value.label","p.adj.label","Significance","Adjusted_Significance"
"CD4_c4_Tstr","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007829775360716369","0.841919006876376663","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002207996651722016","220.10625069783998242","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c4_Tstr","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017820149235517876845648081686356998220328379775155002359685984","0.789901511304581194","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002512641042208020744651502220275816493520741456781607297645695","174.74908866326825319","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Th1_cells_Bindea_et_al","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000355723243657581596390374534598339559033967751701407870426447959410494775303547376325712079336876640332425094750378750924","0.691086168562055403","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000033437984903812669778927059957513212349274427323969405315428707059815023432296910210463792443716231374940628818877803217","116.44888775622996491","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"T_cell_exhaustion_Peng_et_al","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000190051524250287320010299776940934215007283238417873998076390944831681830471292239175643417541353785172146849125605446663831779","0.678573201683872473","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013398632459645255174360186966905227205156115108764106830918644485208413678407314407197722669677992621539528001367590092997419","110.72112864292047618","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"GPAGs","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000031049772552317993401853487631662632023353905633745729019486823836978595719639737467075580681618695832966641558445206321914107801827284266","0.652127572146246282","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001751207171950734657314845234814144642102710125930732770151870164491969714660427605850228652282369796721539351347605601922495160942198632","99.50794157679609953","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c0_t_Teff","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003997356641171319740203422108878202577090134122131340417858963837176698051500291293023025523135412781813179159720486368671742673250099748303","0.646836977323311357","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000187875762135052024540995287353244515332484872277077259705139172729902463964756479585552026289061074111737911315458972953601229088833541487","97.39822710258226834","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Eosinophils_Bindea_et_al","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000033502461229405634322491118064812413918391819171344222411303031852743577389720091381307334294510099905733283593006882263974524164457315595516191865407090267","0.603175418020713394","0.00000000000000000000000000000000000000000000000000000000000000000000000000000001349670580956055453813006012921050235944154418216797890390564880478027339046821098638739538564557250060217334619749397426106745666280007437037927579651396","81.47492328672178985","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"IL_iCAF","0.00000000000000000000000000000000000000000000000000000000000000000000002024056347768275491786496310817528367923686155297663623799897027187505754430448845955992914515437753036378577591705723408517332372329481869213945340585266146403150090","0.569215387274779161","0.00000000000000000000000000000000000000000000000000000000000000000000071347986258831716212923937590487305146781828518307826313699468703784659611384143739536446688406958549975382779420104264622932794473558705323419203472041031265104124","70.69377740132621568","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Cyclooxygenase_Arachidonic_Acid_Metabolism","0.00000000000000000000000000000000000000000000000000000000000000000002559216200372228179380318955389335419195348771507977797604113239447639402364520699354599981047507008247502286556566903499089883051650010508233933569371975991211272513561","0.558658664936328209","0.00000000000000000000000000000000000000000000000000000000000000000080188774278329806953012231700173404909487653611920641248400574197243307976068970098608041776680580620068545726548470576624742464988466308457934908121914360267022507667","67.59189302374061015","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"TIP_Release_of_cancer_cell_antigens","0.00000000000000000000000000000000000000000000000000000000000000000016480455335495701204026314583166005785250165902295744796073848481674807805315468199935892600616225236499134175862323798575384811253806117047271505897394029322633381574176","0.555842271765815799","0.00000000000000000000000000000000000000000000000000000000000000000464748840460978767364668356726204347926195896400978123430556663202912361311294312545601989481277806512790977228335912955345799533383284956638895282505282765163486750210","66.78303079343008619","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"detox_iCAF","0.00000000000000000000000000000000000000000000000000000000006314360135255718336395570428175078432982355112803060011324409906675210667904646229388615216742080537329268395242530297095251661862994586821281131367583627778117261186707764863968","0.524180677077703328","0.00000000000000000000000000000000000000000000000000000000161877232558373880208259275090539495698717310582394395414596972344098759134449262744620761113105962208948372750840468923242397641469626643406440336114826550328871235251426696777","58.19967065204563994","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Sirtuin_Nicotinamide_Metabolism","0.00000000000000000000000000000000000000000000000000018688503087321925959665027980846937664681748591427790897461300766542235186912249495776649595485266740255243549677503729719251737879937014241704673622734844684600830078125000000000000000","-0.497878979326100868","0.00000000000000000000000000000000000000000000000000439179822552065274888952760299588578046962138089111139560599683044906536704594098821076625876421204385246554310255087793758092384183155942878329369705170392990112304687500000000000000","51.72842548336976165","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Pan_F_TBRs","0.00000000000000000000000000000000000000000000000000111348587117397017946414362314239601033021386329234227610327368904830489178471731154624691630754853961176132195517280162635761575715825921761847894231323152780532836914062500000000000000","0.494568942881542184","0.00000000000000000000000000000000000000000000000002415407812854304896946498232693698907589519635685926827837895668524849306930573941800386519881021074901434758147256580840272653307176931036792666418477892875671386718750000000000000000","50.95331528928114295","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CAF_Peng_et_al","0.00000000000000000000000000000000000000000000000000682548701613919620879591311959177910150701581173245243502727342999264256100935095175329758585655226018907242079079186685142404279053041094016407441813498735427856445312500000000000000000","0.491168644873684168","0.00000000000000000000000000000000000000000000000013748480989651808336299313466916809376511066492605647688328789123670532384845943761385985289918251743228691782900847891766963650150845666075838380493223667144775390625000000000000000000","50.16586635514789094","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"TGFβ_myCAF","0.00000000000000000000000000000000000000000000000004705750684588514563886003569035054349869911737602590146763803331808734578275307242411751838735394754191437030551647018883907377245767733597858750727027654647827148437500000000000000000000","0.487505345235187570","0.00000000000000000000000000000000000000000000000088468112870264073421234157267467071878624649884450408590320869293206411420384576524180605342432975017474258903514419951296353372693914707269868813455104827880859375000000000000000000000","49.32737108590961839","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Glyoxylate_and_Dicarboxylate_Metabolism","0.00000000000000000000000000000000000000000000000270071514722200916795932247374920124692884864863470468449728875819240027769406376224207600551272613421426432813303881172797837884047567058587446808815002441406250000000000000000000000000000","-0.479673724070751761","0.00000000000000000000000000000000000000000000004760010446978791249685756219277035173455221531013455686947743439065577165721675292910137973906366938270582623340051466563627169392702853656373918056488037109375000000000000000000000000000","47.56852121977902215","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Fatty_Acid_Degradation","0.00000000000000000000000000000000000000000000001264539799850669982521676726521462373628447781325058145025161823327763323682946830782969516181780217609876780985282565886174133140684716636314988136291503906250000000000000000000000000000000","-0.476634143454432391","0.00000000000000000000000000000000000000000000020976483738699352553640062754544464343460163442490067790041747996433595888327015878483763096763634262674586414200873091262522507349785882979631423950195312500000000000000000000000000000000","46.89806749721438450","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Propanoate_Metabolism","0.00000000000000000000000000000000000000000000004320729100449662812098042418938714281827853218062810516324126083598369843203908806095763557401718345020637152516305816429831310188092174939811229705810546875000000000000000000000000000000000","-0.474192849892005663","0.00000000000000000000000000000000000000000000067691422573711384056202664563373190415303033749650698089077975309707794210194571295500295732626920738656648722755457790734023859613444074057042598724365234375000000000000000000000000000000","46.36444296207756111","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Valine__Leucine_and_Isoleucine_Degradation","0.00000000000000000000000000000000000000000000016969533041341064274289250545412723974396714560650350282293874291842816757745963425782662417887616106416695094233739252165271693684189813211560249328613281250000000000000000000000000000000000","-0.471451415255600748","0.00000000000000000000000000000000000000000000251863595666220021336066113555671841171723996116262610850958954881694490275505755347745175444029610278264476696369854324952797242076485417783260345458984375000000000000000000000000000000000","45.77033010820436942","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Retinoid_Metabolism","0.00000000000000000000000000000000000000000000021778069029607714080139126465181209082298463825465992122563904467942745739748567331595550021371896608142248394673261367021632750606841000262647867202758789062500000000000000000000000000000000","0.470948761172101993","0.00000000000000000000000000000000000000000000307070773317468769696777047758019118149920350022843784038823334633211552386914164648565786682978137396795356700964288454436257325141923502087593078613281250000000000000000000000000000000000","45.66198062995044893","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Citric_Acid_Cycle","0.00000000000000000000000000000000000000000001080212765681380307262321795637462613848168184546378134727912201470051545200590251072156286899787083497424920193854050443071912468440132215619087219238281250000000000000000000000000000000000000","-0.462972068167891604","0.00000000000000000000000000000000000000000014505714282007107587758376819356835222813052273977718323685031666939785108230683093968271158948675121977203174815362896055148667073808610439300537109375000000000000000000000000000000000000000","43.96649069464210413","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Sulfur_Metabolism","0.00000000000000000000000000000000000000000013853637780340299002847635518236854348195666402159743149740793246086224001175386106379785490368608675317493319177619692794678485370241105556488037109375000000000000000000000000000000000000000000","-0.457642755365654796","0.00000000000000000000000000000000000000000177578447911634752263698196834016958880856163714875426315321099923910870411132164681487283076244590144889315928844464309577233507297933101654052734375000000000000000000000000000000000000000000","42.85843617169094699","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Hu_hypoxia_signature","0.00000000000000000000000000000000000000000015211407781150918166561608581228238034789391345492173125408621024065624243071518900298938559502592697260168585603884450208056478004436939954757690429687500000000000000000000000000000000000000000","0.457445657611449896","0.00000000000000000000000000000000000000000186505086708024283855657635418453241789683039648700910328993639939711151446061722469955763012949404661418415125873071502837774460203945636749267578125000000000000000000000000000000000000000000","42.81783059112166967","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Pyruvate_Metabolism","0.00000000000000000000000000000000000000000022640273638231783684180999922695766569107291591033140841818951957319496202671835514121075217601016499585614817971479517666466563241556286811828613281250000000000000000000000000000000000000000000","-0.456605876479407480","0.00000000000000000000000000000000000000000266023215249223444349572526682717833184307195727161105969207827563089702234892850161997245567553035618094570309566382348975821514613926410675048828125000000000000000000000000000000000000000000","42.64511832841769490","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"N_Glycan_Biosynthesis","0.00000000000000000000000000000000000000000436924326961416591969911927744107935345409407122761223772018632600789280898550220401816253011218985198517352624980603081894514616578817367553710937500000000000000000000000000000000000000000000000","-0.450280573257173800","0.00000000000000000000000000000000000000004928506408124779289965853551173566959499067206618368829328269167762786089882949487861240739852989143504353314328980673053592909127473831176757812500000000000000000000000000000000000000000000000","41.35959377407967708","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Retinoic_Acid_Metabolism","0.00000000000000000000000000000000000000001710199436721422705362130545277449336568477790051685713218252446312395746119779833051484578093725443800410604411332826657599071040749549865722656250000000000000000000000000000000000000000000000000","0.447319152095107975","0.00000000000000000000000000000000000000018549086198286201327656320409080534198665301096383753617502367880063550619679740157768869886211711087023804034323859468713635578751564025878906250000000000000000000000000000000000000000000000000","40.76695324094287542","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Base_excision_repair","0.00000000000000000000000000000000000000005977173500829813711011979975246860939870896408083641503801225080603847717848332759175661557238573611460993872945834937127074226737022399902343750000000000000000000000000000000000000000000000000000","-0.444577651686371367","0.00000000000000000000000000000000000000062428256564222500572043031963279582791511059500136798956691755861019783874926046448535588652682387503841526799064354236179497092962265014648437500000000000000000000000000000000000000000000000000","40.22350413761463983","****","IOBR::batch_cor","<0.001","<0.001","***","***"
