"TF","HMVL_ALL","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"E2F4","-11.64116584656603948","-11.64116584656603948","11.64116584656603948","Repressed","1","viper","1","11.64116584656603948",NA,NA,"6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=3); Enrichr--Queries(rank=76); ARCHS4--Coexpression(rank=209); GTEx--Coexpression(rank=1015)","33","0.01010000000000000","ReMap ChIP-seq,0.0101"
"E2F1","-6.45703967108524157","-6.45703967108524157","6.45703967108524157","Repressed","2","viper","2","6.45703967108524157",NA,NA,"6","GTEx--Coexpression(rank=2); Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=14); ARCHS4--Coexpression(rank=15); ENCODE--ChIP-seq(rank=21)","4","0.00124500000000000","GTEx Coexpression,0.001245"
"E2F2","-5.05616102722597027","-5.05616102722597027","5.05616102722597027","Repressed","3","viper","3","5.05616102722597027",NA,NA,"3","ARCHS4--Coexpression(rank=7); Enrichr--Queries(rank=9); GTEx--Coexpression(rank=493)","12","0.00430000000000000","ARCHS4 Coexpression,0.0043"
"FOXM1","-4.66517884314971454","-4.66517884314971454","4.66517884314971454","Repressed","4","viper","4","4.66517884314971454",NA,NA,"6","ENCODE--ChIP-seq(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=5)","2","0.00062230000000000","GTEx Coexpression,6.223E-4"
"ZFX","-4.41990905618727759","-4.41990905618727759","4.41990905618727759","Repressed","5","viper","5","4.41990905618727759",NA,NA,"5","ReMap--ChIP-seq(rank=53); Literature--ChIP-seq(rank=113); ARCHS4--Coexpression(rank=1086); GTEx--Coexpression(rank=1260); Enrichr--Queries(rank=1377)","640","0.17849999999999999","ReMap ChIP-seq,0.1785"
"MYC","-4.39585158236514584","-4.39585158236514584","4.39585158236514584","Repressed","6","viper","6","4.39585158236514584",NA,NA,"6","Literature--ChIP-seq(rank=7); ENCODE--ChIP-seq(rank=15); ReMap--ChIP-seq(rank=47); Enrichr--Queries(rank=85); ARCHS4--Coexpression(rank=116); GTEx--Coexpression(rank=471)","156","0.04268000000000000","Literature ChIP-seq,0.04268"
"TFDP1","-4.05792118528962309","-4.05792118528962309","4.05792118528962309","Repressed","7","viper","7","4.05792118528962309",NA,NA,"4","GTEx--Coexpression(rank=4); ReMap--ChIP-seq(rank=9); ARCHS4--Coexpression(rank=11); Enrichr--Queries(rank=19)","10","0.00248900000000000","GTEx Coexpression,0.002489"
"E2F3","-4.03847826903467411","-4.03847826903467411","4.03847826903467411","Repressed","8","viper","8","4.03847826903467411",NA,NA,"3","ARCHS4--Coexpression(rank=27); Enrichr--Queries(rank=28); GTEx--Coexpression(rank=1226)","56","0.01658000000000000","ARCHS4 Coexpression,0.01658"
"ZNF263","-3.64460259531873909","-3.64460259531873909","3.64460259531873909","Repressed","9","viper","9","3.64460259531873909",NA,NA,"6","ENCODE--ChIP-seq(rank=69); Literature--ChIP-seq(rank=160); ReMap--ChIP-seq(rank=229); ARCHS4--Coexpression(rank=731); Enrichr--Queries(rank=959); GTEx--Coexpression(rank=1474)","1289","0.44900000000000001","ARCHS4 Coexpression,0.449"
"SIX2","3.31524654643992589","3.31524654643992589","3.31524654643992589","Activated","10","viper","10","3.31524654643992589",NA,NA,"4","ReMap--ChIP-seq(rank=251); ARCHS4--Coexpression(rank=660); Enrichr--Queries(rank=1208); GTEx--Coexpression(rank=1471)","1211","0.40539999999999998","ARCHS4 Coexpression,0.4054"
