"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","CollecTRI"
"1","E2F1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.333333333333333","2","6","Literature--ChIP-seq(rank=3); Enrichr--Queries(rank=6); ENCODE--ChIP-seq(rank=7); GTEx--Coexpression(rank=7); ReMap--ChIP-seq(rank=8); ARCHS4--Coexpression(rank=11)","12","rank=12; score=0.004274","rank=2; score=517.27; p=3.5594e-63; adjP=6.6651e-61","rank=2; score=5.5779; p=2.4347e-08; direction=Repressed"
"2","E2F4","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.000000000000000","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=61); ARCHS4--Coexpression(rank=178); GTEx--Coexpression(rank=540)","19","rank=19; score=0.006734","rank=1; score=8795; p=1.1927e-202; adjP=1.2404e-200","rank=1; score=14.003; p=1.4862e-44; direction=Repressed"
"3","FOXM1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.333333333333334","2","6","Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=5)","2","rank=2; score=0.0006223","rank=3; score=7497.4; p=3.8138e-109; adjP=2.8566e-106","rank=20; score=2.5136; p=0.01195; direction=Repressed"
"4","MYBL2","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","13.000000000000000","7","6","Enrichr--Queries(rank=3); Literature--ChIP-seq(rank=4); ARCHS4--Coexpression(rank=6); GTEx--Coexpression(rank=10); ReMap--ChIP-seq(rank=10); ENCODE--ChIP-seq(rank=20)","7","rank=7; score=0.002137","rank=17; score=140.44; p=3.1468e-23; adjP=2.9462e-21","rank=15; score=2.6985; p=0.006965; direction=Repressed"
"5","TFDP1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.666666666666668","9","4","GTEx--Coexpression(rank=4); ReMap--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=16); Enrichr--Queries(rank=16)","9","rank=9; score=0.002489","rank=15; score=379.35; p=2.4013e-06; adjP=9.7766e-05","rank=35; score=2.1416; p=0.032228; direction=Repressed"
"6","E2F3","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","20.666666666666668","3","3","ARCHS4--Coexpression(rank=18); Enrichr--Queries(rank=29); GTEx--Coexpression(rank=839)","36","rank=36; score=0.01106","rank=23; score=183.68; p=1.7278e-05; adjP=0.00049241","rank=3; score=4.9645; p=6.8867e-07; direction=Repressed"
"7","MYC","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.000000000000000","4","6","Literature--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=31); Enrichr--Queries(rank=111); ARCHS4--Coexpression(rank=118); GTEx--Coexpression(rank=271)","111","rank=111; score=0.03049","rank=4; score=110.96; p=1.2177e-22; adjP=1.0134e-20","rank=8; score=3.3817; p=0.00072036; direction=Repressed"
"8","YBX1","ChEA3;ENRICHR;CollecTRI","4","ChEA3;ENRICHR;TRRUST;CollecTRI","72.666666666666671","20","3","ARCHS4--Coexpression(rank=74); Enrichr--Queries(rank=193); GTEx--Coexpression(rank=529)","169","rank=169; score=0.04545","rank=20; score=97.756; p=8.7629e-06; adjP=0.00027749","rank=29; score=2.3116; p=0.020802; direction=Repressed"
"9","E2F7","ChEA3;ENRICHR;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","73.000000000000000","6","5","ARCHS4--Coexpression(rank=3); Enrichr--Queries(rank=7); GTEx--Coexpression(rank=8); Literature--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=17)","6","rank=6; score=0.001843","rank=53; score=554.31; p=2.9631e-14; adjP=1.1097e-12","rank=160; score=1.2849; p=0.19882; direction=Repressed"
"10","IRF3","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","79.000000000000000","18","5","ReMap--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=4); GTEx--Coexpression(rank=359); Enrichr--Queries(rank=513); ARCHS4--Coexpression(rank=683)","32","rank=32; score=0.0101","rank=18; score=204.24; p=1.4403e-31; adjP=1.3059e-29","rank=187; score=1.2495; p=0.21148; direction=Activated"
