Pathway,REFERENCE ORIGIN UNWINDING AND ELONGATION,"REFERENCE TRAIP DEPENDENT REPLISOME
DISASSEMBLY",REFERENCE DNA REPLICATION TERMINATION,REFERENCE PRE IC FORMATION,REFERENCE DNA REPLICATION LICENSING,REFERENCE TRANSLATION INITIATION,REFERENCE NUCLEAR EXPORT OF MRNA,REFERENCE HOMOLOGOUS RECOMBINATION,REFERENCE MISMATCH REPAIR,REFERENCE CORE NER REACTION,REFERENCE HOMOLOGOUS RECOMBINATION IN ICLR,"REFERENCE ORGANIZATION OF THE INNER
KINETOCHORE","REFERENCE ASSEMBLY AND TRAFFICKING OF
TELOMERASE",REFERENCE BETA OXIDATION,REFERENCE ISOLEUCINE DEGRADATION,"VARIANT MUTATION CAUSED ABERRANT HTT TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","VARIANT MUTATION CAUSED ABERRANT ABETA TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","VARIANT SCRAPIE CONFORMATION PRPSC TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","VARIANT MUTATION CAUSED ABERRANT SNCA TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","VARIANT MUTATION INACTIVATED VCP TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","REFERENCE 26S PROTEASOME MEDIATED PROTEIN
DEGRADATION","VARIANT MUTATION INACTIVATED UBQLN2 TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","VARIANT MUTATION CAUSED ABERRANT SOD1 TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","VARIANT MUTATION INACTIVATED PINK1 TO
ELECTRON TRANSFER IN COMPLEX I",REFERENCE ELECTRON TRANSFER IN COMPLEX I,"VARIANT MUTATION CAUSED ABERRANT SNCA TO
ELECTRON TRANSFER IN COMPLEX I","VARIANT MUTATION CAUSED ABERRANT TDP43 TO
ELECTRON TRANSFER IN COMPLEX I","VARIANT MUTATION CAUSED ABERRANT ABETA TO
ELECTRON TRANSFER IN COMPLEX I",REFERENCE TRANSCRIPTION COUPLED NER,REFERENCE GLOBAL GENOME NER,"REFERENCE SPINDLE ASSEMBLY CHECKPOINT
SIGNALING","REFERENCE RECRUITMENT AND FORMATION OF THE
MCC","REFERENCE MITOCHONDRIAL COMPLEX UCP1 IN
THERMOGENESIS","VARIANT MUTATION CAUSED ABERRANT HTT TO
ELECTRON TRANSFER IN COMPLEX II","REFERENCE CITRATE CYCLE SECOND CARBON
OXIDATION 2","PATHOGEN EBV EBNA3C TO P27 CELL CYCLE G1 S
N00264","PATHOGEN EBV EBNA3C TO P27 CELL CYCLE G1 S
N00482",REFERENCE THYROID HORMONE SIGNALING PATHWAY,"REFERENCE EGF EGFR PLCG CAMK SIGNALING
PATHWAY",REFERENCE CDC25 CELL CYCLE G2 M
REFERENCE ORIGIN UNWINDING AND ELONGATION,1.0,0.36666666666666664,0.36666666666666664,0.5,0.23333333333333334,0.0,0.0,0.43333333333333335,0.43333333333333335,0.26666666666666666,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"REFERENCE TRAIP DEPENDENT REPLISOME
DISASSEMBLY",0.6875,1.0,0.9375,0.6875,0.4375,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE DNA REPLICATION TERMINATION,0.5238095238095238,0.7142857142857143,1.0,0.5238095238095238,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE PRE IC FORMATION,0.5555555555555556,0.4074074074074074,0.4074074074074074,1.0,0.6296296296296297,0.0,0.0,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE DNA REPLICATION LICENSING,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.7083333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.20833333333333334,0.0,0.0,0.0
REFERENCE TRANSLATION INITIATION,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024691358024691357,0.024691358024691357,0.024691358024691357,0.024691358024691357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE NUCLEAR EXPORT OF MRNA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE HOMOLOGOUS RECOMBINATION,0.3939393939393939,0.0,0.0,0.12121212121212122,0.0,0.0,0.0,1.0,0.5151515151515151,0.45454545454545453,0.2727272727272727,0.0,0.0,0.0,0.0,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE MISMATCH REPAIR,0.5,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.6538461538461539,1.0,0.5,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE CORE NER REACTION,0.27586206896551724,0.0,0.0,0.13793103448275862,0.0,0.0,0.0,0.5172413793103449,0.4482758620689655,1.0,0.13793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2413793103448276,0.2413793103448276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
