"TF","Score","Activity_Score_Mean","Method_P_Value","Condition_Scores","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"NR3C1","6.062200740496417772","6.062200740496417772","0.000000001342714819742569","HT55=6.062","Activated","1","collectri","1","6.062200740496417772",NA,"6","ENCODE--ChIP-seq(rank=3); Literature--ChIP-seq(rank=57); ReMap--ChIP-seq(rank=60); ARCHS4--Coexpression(rank=471); Enrichr--Queries(rank=663); GTEx--Coexpression(rank=1533)","99","0.025420000000000002","ENCODE ChIP-seq,0.02542"
"PPARG","5.340508759796359861","5.340508759796359861","0.000000092686098644037543","HT55=5.341","Activated","2","collectri","2","5.340508759796359861",NA,"5","ReMap--ChIP-seq(rank=3); Literature--ChIP-seq(rank=17); ARCHS4--Coexpression(rank=25); Enrichr--Queries(rank=49); GTEx--Coexpression(rank=107)","41","0.010100000000000000","ReMap ChIP-seq,0.0101"
"HIF1A","4.924811076485204886","4.924811076485204886","0.000000844418971269526109","HT55=4.925","Activated","3","collectri","3","4.924811076485204886",NA,"5","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=47); ARCHS4--Coexpression(rank=117); GTEx--Coexpression(rank=624); Enrichr--Queries(rank=834)","47","0.012200000000000001","Literature ChIP-seq,0.0122"
"CTNNB1","4.762054860386668587","4.762054860386668587","0.000001916315665967747578","HT55=4.762","Activated","4","collectri","4","4.762054860386668587",NA,"0","",NA,NA,NA
"GLI2","4.672563435279975863","4.672563435279975863","0.000002974636005907538125","HT55=4.673","Activated","5","collectri","5","4.672563435279975863",NA,"3","ARCHS4--Coexpression(rank=100); GTEx--Coexpression(rank=498); Enrichr--Queries(rank=550)","240","0.061429999999999998","ARCHS4 Coexpression,0.06143"
"NR1I3","4.511451477065343774","4.511451477065343774","0.000006438551325520080772","HT55=4.511","Activated","6","collectri","6","4.511451477065343774",NA,"3","ARCHS4--Coexpression(rank=504); GTEx--Coexpression(rank=800); Enrichr--Queries(rank=1016)","921","0.309599999999999986","ARCHS4 Coexpression,0.3096"
"NR2F2","4.399644210599542582","4.399644210599542582","0.000010842850248525904894","HT55=4.4","Activated","7","collectri","7","4.399644210599542582",NA,"5","ENCODE--ChIP-seq(rank=32); ARCHS4--Coexpression(rank=90); ReMap--ChIP-seq(rank=102); Enrichr--Queries(rank=120); GTEx--Coexpression(rank=535)","218","0.055280000000000003","ARCHS4 Coexpression,0.05528"
"DNMT1","4.113055887936509336","4.113055887936509336","0.000039045581033067894229","HT55=4.113","Activated","8","collectri","8","4.113055887936509336",NA,"2","ARCHS4--Coexpression(rank=1337); GTEx--Coexpression(rank=1451)","1596","0.821300000000000030","ARCHS4 Coexpression,0.8213"
"SMAD3","4.071146169331753661","4.071146169331753661","0.000046782381291861481162","HT55=4.071","Activated","9","collectri","9","4.071146169331753661",NA,"5","Literature--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=28); GTEx--Coexpression(rank=77); Enrichr--Queries(rank=412); ARCHS4--Coexpression(rank=426)","190","0.047919999999999997","GTEx Coexpression,0.04792"
"DBP","3.931539289220279176","3.931539289220279176","0.000084403698738612785066","HT55=3.932","Activated","10","collectri","10","3.931539289220279176",NA,"3","Enrichr--Queries(rank=149); GTEx--Coexpression(rank=449); ARCHS4--Coexpression(rank=1388)","384","0.106100000000000000","Enrichr Queries,0.1061"
"ETV4","3.911282808646734832","3.911282808646734832","0.000091807193709542164544","HT55=3.911","Activated","11","collectri","11","3.911282808646734832",NA,"4","ReMap--ChIP-seq(rank=59); ARCHS4--Coexpression(rank=204); Enrichr--Queries(rank=256); GTEx--Coexpression(rank=1370)","439","0.125299999999999995","ARCHS4 Coexpression,0.1253"
"VDR","3.833658250335695516","3.833658250335695516","0.000126251514671797118380","HT55=3.834","Activated","12","collectri","12","3.833658250335695516",NA,"5","ARCHS4--Coexpression(rank=20); Literature--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=51); GTEx--Coexpression(rank=133); Enrichr--Queries(rank=195)","48","0.012290000000000001","ARCHS4 Coexpression,0.01229"
"PGR","3.825837080335196205","3.825837080335196205","0.000130328465364675292028","HT55=3.826","Activated","13","collectri","13","3.825837080335196205",NA,"4","ReMap--ChIP-seq(rank=4); ARCHS4--Coexpression(rank=115); GTEx--Coexpression(rank=627); Enrichr--Queries(rank=777)","53","0.013469999999999999","ReMap ChIP-seq,0.01347"
"CEBPA","3.816265456484403629","3.816265456484403629","0.000135486740860861330392","HT55=3.816","Activated","14","collectri","14","3.816265456484403629",NA,"5","ReMap--ChIP-seq(rank=39); Literature--ChIP-seq(rank=80); Enrichr--Queries(rank=134); GTEx--Coexpression(rank=187); ARCHS4--Coexpression(rank=193)","352","0.095439999999999997","Enrichr Queries,0.09544"
"SMAD1","3.781814336061728454","3.781814336061728454","0.000155689466792341467492","HT55=3.782","Activated","15","collectri","15","3.781814336061728454",NA,"5","Literature--ChIP-seq(rank=61); ReMap--ChIP-seq(rank=177); Enrichr--Queries(rank=464); ARCHS4--Coexpression(rank=1218); GTEx--Coexpression(rank=1240)","962","0.330500000000000016","Enrichr Queries,0.3305"
"NPAS2","3.760916371800012925","3.760916371800012925","0.000169292026164684003813","HT55=3.761","Activated","16","collectri","16","3.760916371800012925",NA,"3","Enrichr--Queries(rank=205); GTEx--Coexpression(rank=333); ARCHS4--Coexpression(rank=518)","497","0.145999999999999991","Enrichr Queries,0.146"
