"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","VIPER","CollecTRI"
"1","E2F4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.0","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=90); ARCHS4--Coexpression(rank=820); GTEx--Coexpression(rank=971)","16","rank=1; score=14.869; direction=Repressed","rank=1; score=14.673; p=9.6506e-49; direction=Repressed"
"2","E2F1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.0","2","6","ENCODE--ChIP-seq(rank=3); Enrichr--Queries(rank=4); Literature--ChIP-seq(rank=4); GTEx--Coexpression(rank=7); ARCHS4--Coexpression(rank=14); ReMap--ChIP-seq(rank=98)","10","rank=2; score=8.8824; direction=Repressed","rank=2; score=7.0474; p=1.8234e-12; direction=Repressed"
"3","MYC","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","3.5","3","6","Literature--ChIP-seq(rank=7); ENCODE--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=63); Enrichr--Queries(rank=70); ARCHS4--Coexpression(rank=224); GTEx--Coexpression(rank=643)","165","rank=4; score=7.3897; direction=Repressed","rank=3; score=7.0265; p=2.1175e-12; direction=Repressed"
"4","E2F3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.5","4","3","ARCHS4--Coexpression(rank=17); Enrichr--Queries(rank=25); GTEx--Coexpression(rank=1247)","33","rank=9; score=5.2069; direction=Repressed","rank=4; score=5.1955; p=2.0416e-07; direction=Repressed"
"5","E2F2","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","12.5","3","3","ARCHS4--Coexpression(rank=6); Enrichr--Queries(rank=8); GTEx--Coexpression(rank=1005)","11","rank=3; score=7.8622; direction=Repressed","rank=22; score=3.1021; p=0.0019215; direction=Repressed"
"6","FOXM1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","12.5","12","6","GTEx--Coexpression(rank=1); ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); Enrichr--Queries(rank=3); ARCHS4--Coexpression(rank=7)","2","rank=12; score=4.2828; direction=Repressed","rank=13; score=3.4345; p=0.00059355; direction=Repressed"
"7","E2F5","VIPER;CollecTRI","4","DoRothEA;ChEA3;VIPER;CollecTRI","15.0","14","4","Enrichr--Queries(rank=48); ReMap--ChIP-seq(rank=55); GTEx--Coexpression(rank=471); ARCHS4--Coexpression(rank=656)","129","rank=14; score=3.927; direction=Repressed","rank=16; score=3.3426; p=0.00083003; direction=Repressed"
"8","IRF9","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","28.0","5","4","Enrichr--Queries(rank=97); GTEx--Coexpression(rank=136); ARCHS4--Coexpression(rank=157); ReMap--ChIP-seq(rank=222)","267","rank=51; score=2.442; direction=Activated","rank=5; score=4.7947; p=1.6295e-06; direction=Activated"
"9","ZFX","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","30.0","8","5","ReMap--ChIP-seq(rank=146); Literature--ChIP-seq(rank=151); Enrichr--Queries(rank=1331); ARCHS4--Coexpression(rank=1340); GTEx--Coexpression(rank=1391)","1333","rank=8; score=5.2203; direction=Repressed","rank=52; score=2.7219; p=0.0064904; direction=Activated"
"10","TFDP1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","30.5","5","4","GTEx--Coexpression(rank=4); Enrichr--Queries(rank=14); ReMap--ChIP-seq(rank=15); ARCHS4--Coexpression(rank=22)","9","rank=5; score=6.5039; direction=Repressed","rank=56; score=2.6561; p=0.0079039; direction=Repressed"
