"statistic","source","condition","score","p_value","TF","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","Method_Direction","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ora","HNF4G","MVL_HUB098","4.34122833043713463","0.00004557972174400886","HNF4G","1","dorothea","1","4.34122833043713463","0.00004557972174400886",NA,"","5","GTEx--Coexpression(rank=69); ARCHS4--Coexpression(rank=71); ENCODE--ChIP-seq(rank=80); ReMap--ChIP-seq(rank=130); Enrichr--Queries(rank=133)","180","0.042939999999999999","GTEx Coexpression,0.04294"
"ora","HIF1A","MVL_HUB098","4.32449882502832850","0.00004736975897485868","HIF1A","2","dorothea","2","4.32449882502832850","0.00004736975897485868",NA,"","5","ARCHS4--Coexpression(rank=8); ReMap--ChIP-seq(rank=42); Literature--ChIP-seq(rank=51); GTEx--Coexpression(rank=306); Enrichr--Queries(rank=649)","18","0.004914000000000000","ARCHS4 Coexpression,0.004914"
"ora","TEAD1","MVL_HUB098","4.31177585572373090","0.00004877801739940527","TEAD1","3","dorothea","3","4.31177585572373090","0.00004877801739940527",NA,"","4","ReMap--ChIP-seq(rank=3); ARCHS4--Coexpression(rank=58); Enrichr--Queries(rank=163); GTEx--Coexpression(rank=609)","40","0.010100000000000000","ReMap ChIP-seq,0.0101"
"ora","GRHL2","MVL_HUB098","4.02007269364268982","0.00009548327495901574","GRHL2","4","dorothea","4","4.02007269364268982","0.00009548327495901574",NA,"","5","Enrichr--Queries(rank=1); GTEx--Coexpression(rank=2); ARCHS4--Coexpression(rank=14); ReMap--ChIP-seq(rank=27); Literature--ChIP-seq(rank=119)","3","0.000712300000000000","Enrichr Queries,7.123E-4"
"ora","RUNX2","MVL_HUB098","3.87052074815636971","0.00013473463551490615","RUNX2","5","dorothea","5","3.87052074815636971","0.00013473463551490615",NA,"","5","ReMap--ChIP-seq(rank=5); Enrichr--Queries(rank=17); Literature--ChIP-seq(rank=42); GTEx--Coexpression(rank=146); ARCHS4--Coexpression(rank=231)","49","0.012109999999999999","Enrichr Queries,0.01211"
"ora","MAFK","MVL_HUB098","3.80761269772680278","0.00015573538551316612","MAFK","6","dorothea","6","3.80761269772680278","0.00015573538551316612",NA,"","5","ENCODE--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=143); GTEx--Coexpression(rank=429); Enrichr--Queries(rank=436); ARCHS4--Coexpression(rank=1402)","802","0.245799999999999991","ENCODE ChIP-seq,0.2458"
"ora","FOXP1","MVL_HUB098","3.61318246354225137","0.00024367868169416465","FOXP1","7","dorothea","7","3.61318246354225137","0.00024367868169416465",NA,"","5","Literature--ChIP-seq(rank=87); ReMap--ChIP-seq(rank=163); Enrichr--Queries(rank=208); GTEx--Coexpression(rank=271); ARCHS4--Coexpression(rank=835)","534","0.148100000000000009","Enrichr Queries,0.1481"
"ora","MEF2C","MVL_HUB098","3.51598872123819062","0.00030479741454299302","MEF2C","8","dorothea","8","3.51598872123819062","0.00030479741454299302",NA,"","5","ENCODE--ChIP-seq(rank=58); Enrichr--Queries(rank=64); ReMap--ChIP-seq(rank=171); ARCHS4--Coexpression(rank=190); GTEx--Coexpression(rank=1001)","191","0.045580000000000002","Enrichr Queries,0.04558"
"ora","MAFF","MVL_HUB098","3.38419673597544257","0.00041286043329913846","MAFF","9","dorothea","9","3.38419673597544257","0.00041286043329913846",NA,"","5","ENCODE--ChIP-seq(rank=79); Enrichr--Queries(rank=103); ReMap--ChIP-seq(rank=271); ARCHS4--Coexpression(rank=662); GTEx--Coexpression(rank=855)","301","0.073359999999999995","Enrichr Queries,0.07336"
"ora","RELA","MVL_HUB098","3.22354836853253390","0.00059765647838898610","RELA","10","dorothea","10","3.22354836853253390","0.00059765647838898610",NA,"","6","Literature--ChIP-seq(rank=4); ENCODE--ChIP-seq(rank=66); ReMap--ChIP-seq(rank=131); Enrichr--Queries(rank=788); GTEx--Coexpression(rank=952); ARCHS4--Coexpression(rank=1380)","102","0.024389999999999998","Literature ChIP-seq,0.02439"
