"sig_names","p.value","statistic","p.adj","log10pvalue","stars","Method_Source","p.value.label","p.adj.label","Significance","Adjusted_Significance"
"Mast_cells_activated_CIBERSORT","0.000000004079137060488636","0.2712633148371575986","0.0000001019784265122159","8.389431701985218481","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"T_cells_follicular_helper_CIBERSORT","0.000000657335540429889023","0.2306475580095910527","0.0000082166942553736123","6.182212885907198974","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Absolute_score_(sig_score)_CIBERSORT","0.000001049360902450932717","0.2265200021402200836","0.0000087446741870911060","5.979075120970663626","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"T_cells_CD4_memory_resting_CIBERSORT","0.000001606729667656421680","0.2226916098942660349","0.0000100420604228526358","5.794057187157715560","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Eosinophils_CIBERSORT","0.000003748253927365983052","0.2148708956178340124","0.0000187412696368299153","5.426170995287379561","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Dendritic_cells_activated_CIBERSORT","0.000336657532881005515293","0.1673561251657938176","0.0014027397203375229894","3.472811663530648296","***","IOBR::batch_cor","<0.001","0.001","***","**"
"NK_cells_resting_CIBERSORT","0.003175292294769582138875","0.1380264016363196289","0.0113403296241770795011","2.498216290478257218","**","IOBR::batch_cor","0.003","0.011","**","*"
"Mast_cells_resting_CIBERSORT","0.012442849396983576837350","-0.1170891739592094249","0.0388839043655736793514","1.905080155361798644","*","IOBR::batch_cor","0.012","0.039","*","*"
"T_cells_CD8_CIBERSORT","0.033729250416711951954252","0.0995679567072717542","0.0892022439759984908658","1.471993310263600918","*","IOBR::batch_cor","0.034","0.089","*","ns"
"B_cells_naive_CIBERSORT","0.036938625340843758704246","0.0978482281236892626","0.0892022439759984908658","1.432519270725626459","*","IOBR::batch_cor","0.037","0.089","*","ns"
"Macrophages_M1_CIBERSORT","0.039248987349439330707401","0.0966871715244654872","0.0892022439759984908658","1.406171543867110074","*","IOBR::batch_cor","0.039","0.089","*","ns"
"RMSE_CIBERSORT","0.043089699578211113073500","-0.0948791412621693281","0.0897702074546064959781","1.365626533806270970","*","IOBR::batch_cor","0.043","0.090","*","ns"
"B_cells_memory_CIBERSORT","0.050001440985994266563708","0.0919421603592650155","0.0922457501402483698305","1.301017479599018811","+","IOBR::batch_cor","0.050","0.092","ns","ns"
"Macrophages_M0_CIBERSORT","0.051657620078539086272418","0.0912893071575491266","0.0922457501402483698305","1.286865606110179305","+","IOBR::batch_cor","0.052","0.092","ns","ns"
"T_cells_CD4_memory_activated_CIBERSORT","0.062957074158061718249790","0.0872481457340086308","0.1049284569301028730015","1.200955463408438062","+","IOBR::batch_cor","0.063","0.105","ns","ns"
"Monocytes_CIBERSORT","0.069376451744673814370223","0.0852130321391833395","0.1084007058510528392903","1.158787915896593024","+","IOBR::batch_cor","0.069","0.108","ns","ns"
"P-value_CIBERSORT","0.092866909329542543516389","-0.0788755950201535105","0.1307303260277147827217","1.032139007811075926","+","IOBR::batch_cor","0.093","0.131","ns","ns"
"Correlation_CIBERSORT","0.094125834739954644669879","0.0785742312405887655","0.1307303260277147827217","1.026291159302811229","+","IOBR::batch_cor","0.094","0.131","ns","ns"
"T_cells_gamma_delta_CIBERSORT","0.120546239080009914834690","0.0728852765706799882","0.1586134724736972811954","0.918846334621058358","+","IOBR::batch_cor","0.121","0.159","ns","ns"
"T_cells_regulatory_(Tregs)_CIBERSORT","0.144639572136777472266544","0.0684943706160539428","0.1807994651709718403332","0.839712871568043973","+","IOBR::batch_cor","0.145","0.181","ns","ns"
"Neutrophils_CIBERSORT","0.227268735672577354423041","0.0567153682132995884","0.2705580186578301904454","0.643460304084813473","+","IOBR::batch_cor","0.227","0.271","ns","ns"
"NK_cells_activated_CIBERSORT","0.260609872810396825393298","-0.0528470171912324496","0.2897432438660971776301","0.584009135722979189","+","IOBR::batch_cor","0.261","0.290","ns","ns"
"Plasma_cells_CIBERSORT","0.266563784356809441167258","0.0521930435304333029","0.2897432438660971776301","0.574198854630999178","+","IOBR::batch_cor","0.267","0.290","ns","ns"
"Macrophages_M2_CIBERSORT","0.339514612992996678286772","0.0448778231027459062","0.3536610552010382435562","0.469141528583348011","+","IOBR::batch_cor","0.340","0.354","ns","ns"
"Dendritic_cells_resting_CIBERSORT","0.991228975947205825924868","-0.0005167845654538431","0.9912289759472058259249","0.003826011000388506","","IOBR::batch_cor","0.991","0.991","ns","ns"
