"TF","HMVL_HUB098","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"MEF2A","4.376553192234450052","4.376553192234450052","4.376553192234450052","Activated","11","viper","11","4.376553192234450052",NA,NA,"6","ENCODE--ChIP-seq(rank=38); Literature--ChIP-seq(rank=139); ReMap--ChIP-seq(rank=166); ARCHS4--Coexpression(rank=561); GTEx--Coexpression(rank=650); Enrichr--Queries(rank=744)","940","0.322000000000000008","ENCODE ChIP-seq,0.322"
"PDX1","4.353414303074495173","4.353414303074495173","4.353414303074495173","Activated","12","viper","12","4.353414303074495173",NA,NA,"5","Literature--ChIP-seq(rank=149); ReMap--ChIP-seq(rank=254); ARCHS4--Coexpression(rank=485); Enrichr--Queries(rank=711); GTEx--Coexpression(rank=789)","883","0.297899999999999998","ARCHS4 Coexpression,0.2979"
"NCOA3","4.255790315248041189","4.255790315248041189","4.255790315248041189","Activated","13","viper","13","4.255790315248041189",NA,NA,"4","ReMap--ChIP-seq(rank=260); ARCHS4--Coexpression(rank=564); Enrichr--Queries(rank=930); GTEx--Coexpression(rank=1163)","985","0.346399999999999986","ARCHS4 Coexpression,0.3464"
"RFX5","4.040810295114748207","4.040810295114748207","4.040810295114748207","Activated","14","viper","14","4.040810295114748207",NA,NA,"5","ENCODE--ChIP-seq(rank=56); GTEx--Coexpression(rank=127); ReMap--ChIP-seq(rank=200); Enrichr--Queries(rank=905); ARCHS4--Coexpression(rank=1579)","309","0.079030000000000003","GTEx Coexpression,0.07903"
"NANOG","3.968428432170789222","3.968428432170789222","3.968428432170789222","Activated","15","viper","15","3.968428432170789222",NA,NA,"6","ReMap--ChIP-seq(rank=5); Literature--ChIP-seq(rank=12); ENCODE--ChIP-seq(rank=70); Enrichr--Queries(rank=532); ARCHS4--Coexpression(rank=842); GTEx--Coexpression(rank=971)","78","0.016840000000000001","ReMap ChIP-seq,0.01684"
"TCF12","3.915554974373423480","3.915554974373423480","3.915554974373423480","Activated","16","viper","16","3.915554974373423480",NA,NA,"5","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=10); ARCHS4--Coexpression(rank=29); GTEx--Coexpression(rank=217); Enrichr--Queries(rank=821)","79","0.016950000000000000","ENCODE ChIP-seq,0.01695"
"HNF1B","3.888619429016681561","3.888619429016681561","3.888619429016681561","Activated","17","viper","17","3.888619429016681561",NA,NA,"3","ARCHS4--Coexpression(rank=7); ReMap--ChIP-seq(rank=39); Enrichr--Queries(rank=443)","20","0.004300000000000000","ARCHS4 Coexpression,0.0043"
"HMBOX1","-3.870726566525302115","-3.870726566525302115","3.870726566525302115","Repressed","18","viper","18","3.870726566525302115",NA,NA,"4","ReMap--ChIP-seq(rank=213); Enrichr--Queries(rank=639); ARCHS4--Coexpression(rank=970); GTEx--Coexpression(rank=1143)","1194","0.455100000000000005","Enrichr Queries,0.4551"
"SNAPC4","-3.668101996958719191","-3.668101996958719191","3.668101996958719191","Repressed","19","viper","19","3.668101996958719191",NA,NA,"4","ReMap--ChIP-seq(rank=263); GTEx--Coexpression(rank=1035); Enrichr--Queries(rank=1401); ARCHS4--Coexpression(rank=1589)","1447","0.644100000000000006","GTEx Coexpression,0.6441"
"SIX5","-3.667898776088565072","-3.667898776088565072","3.667898776088565072","Repressed","20","viper","20","3.667898776088565072",NA,NA,"5","ENCODE--ChIP-seq(rank=99); ReMap--ChIP-seq(rank=111); GTEx--Coexpression(rank=602); Enrichr--Queries(rank=625); ARCHS4--Coexpression(rank=886)","1044","0.373699999999999977","ReMap ChIP-seq,0.3737"
