"TF","HMVL_HUB098","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"SOX6","1.944035069776591351","1.944035069776591351","1.944035069776591351","Activated","76","viper","76","1.944035069776591351",NA,NA,"4","ReMap--ChIP-seq(rank=105); Enrichr--Queries(rank=135); ARCHS4--Coexpression(rank=370); GTEx--Coexpression(rank=834)","357","0.096150000000000013","Enrichr Queries,0.09615"
"SOX9","-1.940833827181617677","-1.940833827181617677","1.940833827181617677","Repressed","77","viper","77","1.940833827181617677",NA,NA,"5","ReMap--ChIP-seq(rank=13); Literature--ChIP-seq(rank=30); Enrichr--Queries(rank=128); GTEx--Coexpression(rank=290); ARCHS4--Coexpression(rank=291)","183","0.043770000000000003","ReMap ChIP-seq,0.04377"
"HNF4G","1.925667306801469802","1.925667306801469802","1.925667306801469802","Activated","78","viper","78","1.925667306801469802",NA,NA,"5","ENCODE--ChIP-seq(rank=62); ReMap--ChIP-seq(rank=127); GTEx--Coexpression(rank=158); Enrichr--Queries(rank=262); ARCHS4--Coexpression(rank=310)","363","0.098320000000000005","GTEx Coexpression,0.09832"
"NR1H2","-1.895276391265860783","-1.895276391265860783","1.895276391265860783","Repressed","79","viper","79","1.895276391265860783",NA,NA,"4","ReMap--ChIP-seq(rank=4); GTEx--Coexpression(rank=389); Enrichr--Queries(rank=1214); ARCHS4--Coexpression(rank=1237)","64","0.013469999999999999","ReMap ChIP-seq,0.01347"
"MAX","-1.890512589800134702","-1.890512589800134702","1.890512589800134702","Repressed","80","viper","80","1.890512589800134702",NA,NA,"5","ReMap--ChIP-seq(rank=37); ENCODE--ChIP-seq(rank=71); ARCHS4--Coexpression(rank=343); Enrichr--Queries(rank=1144); GTEx--Coexpression(rank=1535)","446","0.124600000000000002","ReMap ChIP-seq,0.1246"
"PBX2","1.866993351967086046","1.866993351967086046","1.866993351967086046","Activated","81","viper","81","1.866993351967086046",NA,NA,"4","ReMap--ChIP-seq(rank=47); Enrichr--Queries(rank=962); GTEx--Coexpression(rank=1265); ARCHS4--Coexpression(rank=1480)","538","0.158200000000000007","ReMap ChIP-seq,0.1582"
"ATF7","1.836224613081950396","1.836224613081950396","1.836224613081950396","Activated","82","viper","82","1.836224613081950396",NA,NA,"4","ReMap--ChIP-seq(rank=138); ARCHS4--Coexpression(rank=707); GTEx--Coexpression(rank=746); Enrichr--Queries(rank=1259)","1160","0.434300000000000019","ARCHS4 Coexpression,0.4343"
"SOX11","1.815096421571196883","1.815096421571196883","1.815096421571196883","Activated","83","viper","83","1.815096421571196883",NA,NA,"5","ARCHS4--Coexpression(rank=82); Literature--ChIP-seq(rank=118); Enrichr--Queries(rank=215); ReMap--ChIP-seq(rank=282); GTEx--Coexpression(rank=1090)","206","0.050369999999999998","ARCHS4 Coexpression,0.05037"
"KLF6","-1.793816587144017927","-1.793816587144017927","1.793816587144017927","Repressed","84","viper","84","1.793816587144017927",NA,NA,"4","ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=184); ARCHS4--Coexpression(rank=628); GTEx--Coexpression(rank=791)","32","0.006734000000000000","ReMap ChIP-seq,0.006734"
"IRF2","1.765201340553607334","1.765201340553607334","1.765201340553607334","Activated","85","viper","85","1.765201340553607334",NA,NA,"4","ReMap--ChIP-seq(rank=144); ARCHS4--Coexpression(rank=634); Enrichr--Queries(rank=647); GTEx--Coexpression(rank=1365)","1077","0.389400000000000024","ARCHS4 Coexpression,0.3894"
"ATF3","1.715552438762334653","1.715552438762334653","1.715552438762334653","Activated","86","viper","86","1.715552438762334653",NA,NA,"6","Literature--ChIP-seq(rank=54); ENCODE--ChIP-seq(rank=81); GTEx--Coexpression(rank=98); ARCHS4--Coexpression(rank=110); ReMap--ChIP-seq(rank=115); Enrichr--Queries(rank=279)","244","0.060979999999999999","GTEx Coexpression,0.06098"
"EBF1","1.711194190404418780","1.711194190404418780","1.711194190404418780","Activated","87","viper","87","1.711194190404418780",NA,NA,"5","Enrichr--Queries(rank=46); GTEx--Coexpression(rank=48); ENCODE--ChIP-seq(rank=96); ReMap--ChIP-seq(rank=172); ARCHS4--Coexpression(rank=230)","128","0.029870000000000001","GTEx Coexpression,0.02987"
"MYB","-1.708357425945607355","-1.708357425945607355","1.708357425945607355","Repressed","88","viper","88","1.708357425945607355",NA,NA,"6","Literature--ChIP-seq(rank=33); ENCODE--ChIP-seq(rank=54); ReMap--ChIP-seq(rank=158); GTEx--Coexpression(rank=338); ARCHS4--Coexpression(rank=724); Enrichr--Queries(rank=1013)","648","0.201199999999999990","Literature ChIP-seq,0.2012"
"BCL11A","1.680293026637757592","1.680293026637757592","1.680293026637757592","Activated","89","viper","89","1.680293026637757592",NA,NA,"5","ENCODE--ChIP-seq(rank=32); GTEx--Coexpression(rank=81); ARCHS4--Coexpression(rank=91); ReMap--ChIP-seq(rank=126); Enrichr--Queries(rank=313)","207","0.050400000000000000","GTEx Coexpression,0.0504"
"NFE2L1","1.677866445028349141","1.677866445028349141","1.677866445028349141","Activated","90","viper","90","1.677866445028349141",NA,NA,"4","ReMap--ChIP-seq(rank=266); GTEx--Coexpression(rank=866); Enrichr--Queries(rank=1315); ARCHS4--Coexpression(rank=1450)","1327","0.538900000000000046","GTEx Coexpression,0.5389"
"EGR1","-1.663510923734652147","-1.663510923734652147","1.663510923734652147","Repressed","91","viper","91","1.663510923734652147",NA,NA,"6","GTEx--Coexpression(rank=2); ReMap--ChIP-seq(rank=29); ENCODE--ChIP-seq(rank=34); Literature--ChIP-seq(rank=58); Enrichr--Queries(rank=96); ARCHS4--Coexpression(rank=475)","5","0.001245000000000000","GTEx Coexpression,0.001245"
"NR2F1","-1.660392171751164492","-1.660392171751164492","1.660392171751164492","Repressed","92","viper","92","1.660392171751164492",NA,NA,"4","Enrichr--Queries(rank=64); ReMap--ChIP-seq(rank=120); ARCHS4--Coexpression(rank=156); GTEx--Coexpression(rank=846)","191","0.045580000000000002","Enrichr Queries,0.04558"
"MYC","-1.649159972160317400","-1.649159972160317400","1.649159972160317400","Repressed","93","viper","93","1.649159972160317400",NA,NA,"6","Literature--ChIP-seq(rank=38); ENCODE--ChIP-seq(rank=53); ReMap--ChIP-seq(rank=102); GTEx--Coexpression(rank=110); Enrichr--Queries(rank=502); ARCHS4--Coexpression(rank=1370)","269","0.068449999999999997","GTEx Coexpression,0.06845"
"TP53","1.617413001596589739","1.617413001596589739","1.617413001596589739","Activated","94","viper","94","1.617413001596589739",NA,NA,"5","Literature--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=74); Enrichr--Queries(rank=1051); GTEx--Coexpression(rank=1289); ARCHS4--Coexpression(rank=1572)","155","0.036589999999999998","Literature ChIP-seq,0.03659"
"MEF2B","1.582898152088518140","1.582898152088518140","1.582898152088518140","Activated","95","viper","95","1.582898152088518140",NA,NA,"4","ReMap--ChIP-seq(rank=231); Enrichr--Queries(rank=798); ARCHS4--Coexpression(rank=1304); GTEx--Coexpression(rank=1493)","1370","0.568400000000000016","Enrichr Queries,0.5684"
"JUNB","-1.570325853093974988","-1.570325853093974988","1.570325853093974988","Repressed","96","viper","96","1.570325853093974988",NA,NA,"4","ReMap--ChIP-seq(rank=151); Enrichr--Queries(rank=154); GTEx--Coexpression(rank=207); ARCHS4--Coexpression(rank=557)","400","0.109700000000000006","Enrichr Queries,0.1097"
"IRF4","1.569833529209755829","1.569833529209755829","1.569833529209755829","Activated","97","viper","97","1.569833529209755829",NA,NA,"5","ENCODE--ChIP-seq(rank=107); ReMap--ChIP-seq(rank=145); ARCHS4--Coexpression(rank=248); Enrichr--Queries(rank=762); GTEx--Coexpression(rank=1165)","522","0.152299999999999991","ARCHS4 Coexpression,0.1523"
"TFAP2C","-1.566948367970505185","-1.566948367970505185","1.566948367970505185","Repressed","98","viper","98","1.566948367970505185",NA,NA,"6","GTEx--Coexpression(rank=35); Literature--ChIP-seq(rank=42); ENCODE--ChIP-seq(rank=48); ReMap--ChIP-seq(rank=76); Enrichr--Queries(rank=212); ARCHS4--Coexpression(rank=586)","98","0.021780000000000001","GTEx Coexpression,0.02178"
"SMAD4","-1.552968500938348706","-1.552968500938348706","1.552968500938348706","Repressed","99","viper","99","1.552968500938348706",NA,NA,"5","Literature--ChIP-seq(rank=17); ReMap--ChIP-seq(rank=19); ARCHS4--Coexpression(rank=853); GTEx--Coexpression(rank=941); Enrichr--Queries(rank=1258)","251","0.063969999999999999","ReMap ChIP-seq,0.06397"
"TCF7","1.548631688037214627","1.548631688037214627","1.548631688037214627","Activated","100","viper","100","1.548631688037214627",NA,NA,"5","Literature--ChIP-seq(rank=99); ReMap--ChIP-seq(rank=197); Enrichr--Queries(rank=336); ARCHS4--Coexpression(rank=559); GTEx--Coexpression(rank=784)","750","0.239300000000000013","Enrichr Queries,0.2393"
"THAP11","1.539835679374847555","1.539835679374847555","1.539835679374847555","Activated","101","viper","101","1.539835679374847555",NA,NA,"5","Literature--ChIP-seq(rank=156); ReMap--ChIP-seq(rank=289); ARCHS4--Coexpression(rank=673); GTEx--Coexpression(rank=975); Enrichr--Queries(rank=1340)","1123","0.413399999999999990","ARCHS4 Coexpression,0.4134"
"EPAS1","1.539198519770681894","1.539198519770681894","1.539198519770681894","Activated","102","viper","102","1.539198519770681894",NA,NA,"4","Enrichr--Queries(rank=34); ReMap--ChIP-seq(rank=154); ARCHS4--Coexpression(rank=160); GTEx--Coexpression(rank=185)","105","0.024219999999999998","Enrichr Queries,0.02422"
"FOXO3","1.530523974471165616","1.530523974471165616","1.530523974471165616","Activated","103","viper","103","1.530523974471165616",NA,NA,"4","Literature--ChIP-seq(rank=87); Enrichr--Queries(rank=882); GTEx--Coexpression(rank=934); ARCHS4--Coexpression(rank=1010)","1313","0.530499999999999972","Literature ChIP-seq,0.5305"
"PRDM1","1.526877361879293682","1.526877361879293682","1.526877361879293682","Activated","104","viper","104","1.526877361879293682",NA,NA,"5","ENCODE--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=161); Enrichr--Queries(rank=178); GTEx--Coexpression(rank=189); ARCHS4--Coexpression(rank=1053)","238","0.059319999999999998","ENCODE ChIP-seq,0.05932"
"PPARG","1.521741005773861843","1.521741005773861843","1.521741005773861843","Activated","105","viper","105","1.521741005773861843",NA,NA,"5","Literature--ChIP-seq(rank=22); ReMap--ChIP-seq(rank=30); Enrichr--Queries(rank=162); ARCHS4--Coexpression(rank=445); GTEx--Coexpression(rank=704)","372","0.101000000000000006","ReMap ChIP-seq,0.101"
"SNAI2","1.514181559894663520","1.514181559894663520","1.514181559894663520","Activated","106","viper","106","1.514181559894663520",NA,NA,"4","ARCHS4--Coexpression(rank=2); Enrichr--Queries(rank=29); ReMap--ChIP-seq(rank=45); GTEx--Coexpression(rank=97)","4","0.001229000000000000","ARCHS4 Coexpression,0.001229"
"WT1","1.500233729156904339","1.500233729156904339","1.500233729156904339","Activated","107","viper","107","1.500233729156904339",NA,NA,"4","Literature--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=117); Enrichr--Queries(rank=259); GTEx--Coexpression(rank=753)","131","0.030490000000000000","Literature ChIP-seq,0.03049"
"CEBPG","1.485081362287684170","1.485081362287684170","1.485081362287684170","Activated","108","viper","108","1.485081362287684170",NA,NA,"4","ReMap--ChIP-seq(rank=211); Enrichr--Queries(rank=616); GTEx--Coexpression(rank=1473); ARCHS4--Coexpression(rank=1511)","1168","0.438699999999999979","Enrichr Queries,0.4387"
"RELB","1.477604845809553424","1.477604845809553424","1.477604845809553424","Activated","109","viper","109","1.477604845809553424",NA,NA,"4","ReMap--ChIP-seq(rank=58); Enrichr--Queries(rank=268); ARCHS4--Coexpression(rank=876); GTEx--Coexpression(rank=1369)","624","0.190899999999999986","Enrichr Queries,0.1909"
"MAFB","1.452977558326553176","1.452977558326553176","1.452977558326553176","Activated","110","viper","110","1.452977558326553176",NA,NA,"4","ReMap--ChIP-seq(rank=170); GTEx--Coexpression(rank=253); Enrichr--Queries(rank=411); ARCHS4--Coexpression(rank=761)","534","0.157400000000000012","GTEx Coexpression,0.1574"
"ZNF592","-1.410575430721662471","-1.410575430721662471","1.410575430721662471","Repressed","111","viper","111","1.410575430721662471",NA,NA,"4","ReMap--ChIP-seq(rank=222); GTEx--Coexpression(rank=1294); ARCHS4--Coexpression(rank=1318); Enrichr--Queries(rank=1403)","1537","0.747500000000000053","ReMap ChIP-seq,0.7475"
"RFX2","-1.383436228876923080","-1.383436228876923080","1.383436228876923080","Repressed","112","viper","112","1.383436228876923080",NA,NA,"4","ARCHS4--Coexpression(rank=167); ReMap--ChIP-seq(rank=262); Enrichr--Queries(rank=270); GTEx--Coexpression(rank=958)","378","0.102599999999999997","ARCHS4 Coexpression,0.1026"
"CLOCK","1.382137990983380416","1.382137990983380416","1.382137990983380416","Activated","113","viper","113","1.382137990983380416",NA,NA,"5","Literature--ChIP-seq(rank=85); ReMap--ChIP-seq(rank=178); ARCHS4--Coexpression(rank=812); Enrichr--Queries(rank=985); GTEx--Coexpression(rank=1599)","1270","0.498800000000000021","ARCHS4 Coexpression,0.4988"
"GATA6","1.357033943509755813","1.357033943509755813","1.357033943509755813","Activated","114","viper","114","1.357033943509755813",NA,NA,"5","Enrichr--Queries(rank=36); ReMap--ChIP-seq(rank=75); Literature--ChIP-seq(rank=80); ARCHS4--Coexpression(rank=183); GTEx--Coexpression(rank=430)","111","0.025640000000000000","Enrichr Queries,0.02564"
"MAFF","1.355572608480118735","1.355572608480118735","1.355572608480118735","Activated","115","viper","115","1.355572608480118735",NA,NA,"5","GTEx--Coexpression(rank=57); Enrichr--Queries(rank=77); ENCODE--ChIP-seq(rank=90); ReMap--ChIP-seq(rank=235); ARCHS4--Coexpression(rank=914)","150","0.035470000000000002","GTEx Coexpression,0.03547"
"FOXM1","-1.351097381630187444","-1.351097381630187444","1.351097381630187444","Repressed","116","viper","116","1.351097381630187444",NA,NA,"6","ENCODE--ChIP-seq(rank=5); Literature--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=79); ARCHS4--Coexpression(rank=859); GTEx--Coexpression(rank=945); Enrichr--Queries(rank=1158)","177","0.042369999999999998","ENCODE ChIP-seq,0.04237"
"MAF","-1.349715034920794920","-1.349715034920794920","1.349715034920794920","Repressed","117","viper","117","1.349715034920794920",NA,NA,"4","Enrichr--Queries(rank=204); ReMap--ChIP-seq(rank=230); GTEx--Coexpression(rank=401); ARCHS4--Coexpression(rank=653)","506","0.145300000000000012","Enrichr Queries,0.1453"
"EOMES","1.348396501090859179","1.348396501090859179","1.348396501090859179","Activated","118","viper","118","1.348396501090859179",NA,NA,"5","Literature--ChIP-seq(rank=62); ReMap--ChIP-seq(rank=270); Enrichr--Queries(rank=517); GTEx--Coexpression(rank=802); ARCHS4--Coexpression(rank=1039)","1035","0.368200000000000027","Enrichr Queries,0.3682"
"NFE2","1.342270163567840457","1.342270163567840457","1.342270163567840457","Activated","119","viper","119","1.342270163567840457",NA,NA,"5","ENCODE--ChIP-seq(rank=79); ReMap--ChIP-seq(rank=174); Enrichr--Queries(rank=763); ARCHS4--Coexpression(rank=873); GTEx--Coexpression(rank=1477)","1324","0.536200000000000010","ARCHS4 Coexpression,0.5362"
"KDM5B","-1.330113021817415753","-1.330113021817415753","1.330113021817415753","Repressed","120","viper","120","1.330113021817415753",NA,NA,"5","ReMap--ChIP-seq(rank=23); ENCODE--ChIP-seq(rank=61); Literature--ChIP-seq(rank=146); ARCHS4--Coexpression(rank=425); GTEx--Coexpression(rank=761)","303","0.077439999999999995","ReMap ChIP-seq,0.07744"
"CUX1","-1.318044487569823842","-1.318044487569823842","1.318044487569823842","Repressed","121","viper","121","1.318044487569823842",NA,NA,"6","ENCODE--ChIP-seq(rank=78); Literature--ChIP-seq(rank=110); ReMap--ChIP-seq(rank=140); GTEx--Coexpression(rank=511); Enrichr--Queries(rank=748); ARCHS4--Coexpression(rank=1166)","931","0.318000000000000005","GTEx Coexpression,0.318"
"NFIC","-1.309684725488563961","-1.309684725488563961","1.309684725488563961","Repressed","122","viper","122","1.309684725488563961",NA,NA,"5","ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=25); Enrichr--Queries(rank=725); ARCHS4--Coexpression(rank=784); GTEx--Coexpression(rank=992)","324","0.084180000000000005","ReMap ChIP-seq,0.08418"
"TWIST1","-1.309300073886953131","-1.309300073886953131","1.309300073886953131","Repressed","123","viper","123","1.309300073886953131",NA,NA,"4","ARCHS4--Coexpression(rank=9); ReMap--ChIP-seq(rank=88); Enrichr--Queries(rank=152); GTEx--Coexpression(rank=219)","25","0.005528000000000000","ARCHS4 Coexpression,0.005528"
"TBX21","1.306616831487982910","1.306616831487982910","1.306616831487982910","Activated","124","viper","124","1.306616831487982910",NA,NA,"4","ReMap--ChIP-seq(rank=207); GTEx--Coexpression(rank=932); ARCHS4--Coexpression(rank=971); Enrichr--Queries(rank=1101)","1384","0.579999999999999960","GTEx Coexpression,0.58"
"E2F1","-1.291975884168810929","-1.291975884168810929","1.291975884168810929","Repressed","125","viper","125","1.291975884168810929",NA,NA,"6","ENCODE--ChIP-seq(rank=65); ReMap--ChIP-seq(rank=116); Literature--ChIP-seq(rank=131); ARCHS4--Coexpression(rank=887); GTEx--Coexpression(rank=924); Enrichr--Queries(rank=1095)","1080","0.390600000000000003","ReMap ChIP-seq,0.3906"
"YY1","-1.286549085282982174","-1.286549085282982174","1.286549085282982174","Repressed","126","viper","126","1.286549085282982174",NA,NA,"6","ReMap--ChIP-seq(rank=56); ENCODE--ChIP-seq(rank=112); Literature--ChIP-seq(rank=133); ARCHS4--Coexpression(rank=1048); GTEx--Coexpression(rank=1298); Enrichr--Queries(rank=1333)","619","0.188599999999999990","ReMap ChIP-seq,0.1886"
"ESR1","-1.281846992561967102","-1.281846992561967102","1.281846992561967102","Repressed","127","viper","127","1.281846992561967102",NA,NA,"6","ENCODE--ChIP-seq(rank=4); Literature--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=118); Enrichr--Queries(rank=365); GTEx--Coexpression(rank=437); ARCHS4--Coexpression(rank=560)","145","0.033900000000000000","ENCODE ChIP-seq,0.0339"
"ZBTB33","1.280671147335356919","1.280671147335356919","1.280671147335356919","Activated","128","viper","128","1.280671147335356919",NA,NA,"5","ENCODE--ChIP-seq(rank=110); ReMap--ChIP-seq(rank=240); GTEx--Coexpression(rank=246); Enrichr--Queries(rank=1284); ARCHS4--Coexpression(rank=1439)","524","0.153100000000000014","GTEx Coexpression,0.1531"
"BATF","1.254261266107434603","1.254261266107434603","1.254261266107434603","Activated","129","viper","129","1.254261266107434603",NA,NA,"5","ENCODE--ChIP-seq(rank=75); ReMap--ChIP-seq(rank=239); ARCHS4--Coexpression(rank=409); Enrichr--Queries(rank=1160); GTEx--Coexpression(rank=1351)","779","0.251199999999999979","ARCHS4 Coexpression,0.2512"
"SP2","-1.248909017485365425","-1.248909017485365425","1.248909017485365425","Repressed","130","viper","130","1.248909017485365425",NA,NA,"5","ENCODE--ChIP-seq(rank=97); ReMap--ChIP-seq(rank=265); GTEx--Coexpression(rank=888); Enrichr--Queries(rank=1066); ARCHS4--Coexpression(rank=1174)","1346","0.552599999999999980","GTEx Coexpression,0.5526"
"BCL6","-1.245830294821110629","-1.245830294821110629","1.245830294821110629","Repressed","131","viper","131","1.245830294821110629",NA,NA,"5","Literature--ChIP-seq(rank=120); ReMap--ChIP-seq(rank=157); Enrichr--Queries(rank=263); GTEx--Coexpression(rank=1181); ARCHS4--Coexpression(rank=1353)","617","0.187299999999999994","Enrichr Queries,0.1873"
"FOXO1","1.238959256483957549","1.238959256483957549","1.238959256483957549","Activated","132","viper","132","1.238959256483957549",NA,NA,"5","Literature--ChIP-seq(rank=56); ARCHS4--Coexpression(rank=85); ReMap--ChIP-seq(rank=119); Enrichr--Queries(rank=258); GTEx--Coexpression(rank=902)","213","0.052209999999999999","ARCHS4 Coexpression,0.05221"
"ELK1","-1.228598930166522774","-1.228598930166522774","1.228598930166522774","Repressed","133","viper","133","1.228598930166522774",NA,NA,"5","Literature--ChIP-seq(rank=92); ENCODE--ChIP-seq(rank=104); ReMap--ChIP-seq(rank=249); GTEx--Coexpression(rank=658); ARCHS4--Coexpression(rank=1296)","1115","0.409499999999999975","GTEx Coexpression,0.4095"
"ZNF24","1.223783927902419411","1.223783927902419411","1.223783927902419411","Activated","134","viper","134","1.223783927902419411",NA,NA,"4","ReMap--ChIP-seq(rank=89); GTEx--Coexpression(rank=598); ARCHS4--Coexpression(rank=1281); Enrichr--Queries(rank=1357)","889","0.299700000000000022","ReMap ChIP-seq,0.2997"
"ETS2","-1.169738825836763807","-1.169738825836763807","1.169738825836763807","Repressed","135","viper","135","1.169738825836763807",NA,NA,"4","Literature--ChIP-seq(rank=82); Enrichr--Queries(rank=121); GTEx--Coexpression(rank=204); ARCHS4--Coexpression(rank=328)","331","0.086180000000000007","Enrichr Queries,0.08618"
"TEAD2","-1.144680776534500843","-1.144680776534500843","1.144680776534500843","Repressed","136","viper","136","1.144680776534500843",NA,NA,"4","GTEx--Coexpression(rank=119); ReMap--ChIP-seq(rank=252); Enrichr--Queries(rank=307); ARCHS4--Coexpression(rank=605)","289","0.074050000000000005","GTEx Coexpression,0.07405"
"ARID3A","-1.126106311637308233","-1.126106311637308233","1.126106311637308233","Repressed","137","viper","137","1.126106311637308233",NA,NA,"5","ENCODE--ChIP-seq(rank=82); ReMap--ChIP-seq(rank=155); ARCHS4--Coexpression(rank=611); Enrichr--Queries(rank=643); GTEx--Coexpression(rank=1480)","1049","0.375300000000000022","ARCHS4 Coexpression,0.3753"
"CREB1","1.122789163995409289","1.122789163995409289","1.122789163995409289","Activated","138","viper","138","1.122789163995409289",NA,NA,"6","ENCODE--ChIP-seq(rank=87); Literature--ChIP-seq(rank=137); ReMap--ChIP-seq(rank=173); ARCHS4--Coexpression(rank=536); GTEx--Coexpression(rank=824); Enrichr--Queries(rank=1071)","957","0.329199999999999993","ARCHS4 Coexpression,0.3292"
"NR4A1","1.119372119784446618","1.119372119784446618","1.119372119784446618","Activated","139","viper","139","1.119372119784446618",NA,NA,"4","GTEx--Coexpression(rank=28); Enrichr--Queries(rank=76); ARCHS4--Coexpression(rank=86); ReMap--ChIP-seq(rank=210)","81","0.017420000000000001","GTEx Coexpression,0.01742"
"HSF1","-1.108861538482639908","-1.108861538482639908","1.108861538482639908","Repressed","140","viper","140","1.108861538482639908",NA,NA,"5","ENCODE--ChIP-seq(rank=83); Literature--ChIP-seq(rank=90); ReMap--ChIP-seq(rank=217); ARCHS4--Coexpression(rank=1447); GTEx--Coexpression(rank=1458)","1342","0.548799999999999955","Literature ChIP-seq,0.5488"
"JUND","-1.108678312734962423","-1.108678312734962423","1.108678312734962423","Repressed","141","viper","141","1.108678312734962423",NA,NA,"6","ENCODE--ChIP-seq(rank=13); Literature--ChIP-seq(rank=65); ReMap--ChIP-seq(rank=113); ARCHS4--Coexpression(rank=691); Enrichr--Queries(rank=788); GTEx--Coexpression(rank=1012)","402","0.110200000000000006","ENCODE ChIP-seq,0.1102"
"TP73","1.094973189911091493","1.094973189911091493","1.094973189911091493","Activated","142","viper","142","1.094973189911091493",NA,NA,"3","GTEx--Coexpression(rank=63); ARCHS4--Coexpression(rank=598); Enrichr--Queries(rank=1002)","165","0.039199999999999999","GTEx Coexpression,0.0392"
"NR1H3","-1.088232939209942352","-1.088232939209942352","1.088232939209942352","Repressed","143","viper","143","1.088232939209942352",NA,NA,"5","Literature--ChIP-seq(rank=98); GTEx--Coexpression(rank=149); ReMap--ChIP-seq(rank=283); ARCHS4--Coexpression(rank=746); Enrichr--Queries(rank=970)","346","0.092719999999999997","GTEx Coexpression,0.09272"
"EHF","1.084434357380990033","1.084434357380990033","1.084434357380990033","Activated","144","viper","144","1.084434357380990033",NA,NA,"4","ARCHS4--Coexpression(rank=55); Enrichr--Queries(rank=104); ReMap--ChIP-seq(rank=104); GTEx--Coexpression(rank=278)","144","0.033779999999999998","ARCHS4 Coexpression,0.03378"
"CTCFL","-1.083260393028820934","-1.083260393028820934","1.083260393028820934","Repressed","145","viper","145","1.083260393028820934",NA,NA,"5","ReMap--ChIP-seq(rank=14); ENCODE--ChIP-seq(rank=63); GTEx--Coexpression(rank=457); ARCHS4--Coexpression(rank=550); Enrichr--Queries(rank=559)","196","0.047140000000000001","ReMap ChIP-seq,0.04714"
"ESRRA","-1.059431050177636946","-1.059431050177636946","1.059431050177636946","Repressed","146","viper","146","1.059431050177636946",NA,NA,"5","ReMap--ChIP-seq(rank=44); ENCODE--ChIP-seq(rank=52); ARCHS4--Coexpression(rank=827); Enrichr--Queries(rank=1097); GTEx--Coexpression(rank=1211)","513","0.148100000000000009","ReMap ChIP-seq,0.1481"
"ATF4","1.053051131140132268","1.053051131140132268","1.053051131140132268","Activated","147","viper","147","1.053051131140132268",NA,NA,"4","GTEx--Coexpression(rank=100); ReMap--ChIP-seq(rank=257); Enrichr--Queries(rank=1350); ARCHS4--Coexpression(rank=1557)","247","0.062230000000000001","GTEx Coexpression,0.06223"
"CREB3L1","-1.050404543582436290","-1.050404543582436290","1.050404543582436290","Repressed","148","viper","148","1.050404543582436290",NA,NA,"4","ARCHS4--Coexpression(rank=13); Enrichr--Queries(rank=109); ReMap--ChIP-seq(rank=162); GTEx--Coexpression(rank=1126)","39","0.007985000000000001","ARCHS4 Coexpression,0.007985"
"CREM","1.045093046355077826","1.045093046355077826","1.045093046355077826","Activated","149","viper","149","1.045093046355077826",NA,NA,"5","ReMap--ChIP-seq(rank=57); Literature--ChIP-seq(rank=151); Enrichr--Queries(rank=247); ARCHS4--Coexpression(rank=637); GTEx--Coexpression(rank=1384)","590","0.175900000000000001","Enrichr Queries,0.1759"
"E2F2","-1.031374578196642355","-1.031374578196642355","1.031374578196642355","Repressed","150","viper","150","1.031374578196642355",NA,NA,"3","GTEx--Coexpression(rank=1042); Enrichr--Queries(rank=1154); ARCHS4--Coexpression(rank=1343)","1452","0.648399999999999976","GTEx Coexpression,0.6484"
"GFI1B","1.006945012154121688","1.006945012154121688","1.006945012154121688","Activated","151","viper","151","1.006945012154121688",NA,NA,"5","ReMap--ChIP-seq(rank=96); Literature--ChIP-seq(rank=155); ARCHS4--Coexpression(rank=440); Enrichr--Queries(rank=1334); GTEx--Coexpression(rank=1517)","821","0.270299999999999985","ARCHS4 Coexpression,0.2703"
"HBP1","-1.004063134032012750","-1.004063134032012750","1.004063134032012750","Repressed","152","viper","152","1.004063134032012750",NA,NA,"4","ReMap--ChIP-seq(rank=156); Enrichr--Queries(rank=682); ARCHS4--Coexpression(rank=740); GTEx--Coexpression(rank=947)","1193","0.454500000000000015","ARCHS4 Coexpression,0.4545"
"NFE2L2","0.969650069029890593","0.969650069029890593","0.969650069029890593","Activated","153","viper","153","0.969650069029890593",NA,NA,"5","Literature--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=48); GTEx--Coexpression(rank=168); ARCHS4--Coexpression(rank=238); Enrichr--Queries(rank=943)","179","0.042680000000000003","Literature ChIP-seq,0.04268"
"TCF7L2","0.968077210776225550","0.968077210776225550","0.968077210776225550","Activated","154","viper","154","0.968077210776225550",NA,NA,"6","ReMap--ChIP-seq(rank=6); ENCODE--ChIP-seq(rank=11); Literature--ChIP-seq(rank=84); GTEx--Coexpression(rank=440); Enrichr--Queries(rank=506); ARCHS4--Coexpression(rank=540)","91","0.020199999999999999","ReMap ChIP-seq,0.0202"
