"TF","Score","Activity_Score_Mean","Method_P_Value","Condition_Scores","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ZNF384","1.152973086900684008","1.152973086900684008","0.248921431213588922881640996820351574569940567017","HMVL_ALL=1.153","Activated","194","collectri","194","1.152973086900684008",NA,"5","ENCODE--ChIP-seq(rank=54); ReMap--ChIP-seq(rank=99); ARCHS4--Coexpression(rank=357); Enrichr--Queries(rank=360); GTEx--Coexpression(rank=1142)","770","0.21929999999999999","ARCHS4 Coexpression,0.2193"
"MAX","1.149119898293432751","-1.149119898293432751","0.250506544453460266996813743389793671667575836182","HMVL_ALL=-1.149","Repressed","195","collectri","195","1.149119898293432751",NA,"5","ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=103); GTEx--Coexpression(rank=873); Enrichr--Queries(rank=933); ARCHS4--Coexpression(rank=1132)","547","0.15250000000000000","ENCODE ChIP-seq,0.1525"
"KDM5D","1.147969117391438143","1.147969117391438143","0.250981313020417096115721733440295793116092681885","HMVL_ALL=1.148","Activated","196","collectri","196","1.147969117391438143",NA,"0","",NA,NA,NA
"SMAD2","1.144528934810916665","1.144528934810916665","0.252404345200249347058729654236230999231338500977","HMVL_ALL=1.145","Activated","197","collectri","197","1.144528934810916665",NA,"0","",NA,NA,NA
"IRF3","1.140338083486554188","1.140338083486554188","0.254145477419948417896478076727362349629402160645","HMVL_ALL=1.14","Activated","198","collectri","198","1.140338083486554188",NA,"5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=4); GTEx--Coexpression(rank=218); Enrichr--Queries(rank=448); ARCHS4--Coexpression(rank=694)","44","0.01347000000000000","ReMap ChIP-seq,0.01347"
"DLX2","1.139665495053398869","1.139665495053398869","0.254425687670209565993673095363192260265350341797","HMVL_ALL=1.14","Activated","199","collectri","199","1.139665495053398869",NA,"3","GTEx--Coexpression(rank=79); Enrichr--Queries(rank=606); ARCHS4--Coexpression(rank=1172)","186","0.04916000000000000","GTEx Coexpression,0.04916"
"PAX7","1.134604199513912448","-1.134604199513912448","0.256541192799330963758563939336454495787620544434","HMVL_ALL=-1.135","Repressed","200","collectri","200","1.134604199513912448",NA,"3","Enrichr--Queries(rank=733); GTEx--Coexpression(rank=1144); ARCHS4--Coexpression(rank=1396)","1400","0.52210000000000001","Enrichr Queries,0.5221"
"SALL3","1.132467518919544558","-1.132467518919544558","0.257437932569914373903685600453172810375690460205","HMVL_ALL=-1.132","Repressed","201","collectri","201","1.132467518919544558",NA,"3","ARCHS4--Coexpression(rank=81); Enrichr--Queries(rank=761); GTEx--Coexpression(rank=1567)","187","0.04975000000000000","ARCHS4 Coexpression,0.04975"
"HIVEP2","1.132132225104420575","1.132132225104420575","0.257578848624580192261390720886993221938610076904","HMVL_ALL=1.132","Activated","202","collectri","202","1.132132225104420575",NA,"3","ARCHS4--Coexpression(rank=906); Enrichr--Queries(rank=1207); GTEx--Coexpression(rank=1324)","1442","0.55649999999999999","ARCHS4 Coexpression,0.5565"
"ZNF350","1.128141154902690957","-1.128141154902690957","0.259260310834997453888206564442953094840049743652","HMVL_ALL=-1.128","Repressed","203","collectri","203","1.128141154902690957",NA,"3","ARCHS4--Coexpression(rank=574); Enrichr--Queries(rank=738); GTEx--Coexpression(rank=852)","1100","0.35260000000000002","ARCHS4 Coexpression,0.3526"
"GTF2I","1.125718184624377338","-1.125718184624377338","0.260284824112273383001081583643099293112754821777","HMVL_ALL=-1.126","Repressed","204","collectri","204","1.125718184624377338",NA,"1","ARCHS4--Coexpression(rank=540)","1059","0.33169999999999999","ARCHS4 Coexpression,0.3317"
"PITX1","1.123182029396290416","1.123182029396290416","0.261360193201157553488656049012206494808197021484","HMVL_ALL=1.123","Activated","205","collectri","205","1.123182029396290416",NA,"3","Enrichr--Queries(rank=92); ARCHS4--Coexpression(rank=221); GTEx--Coexpression(rank=797)","246","0.06553000000000000","Enrichr Queries,0.06553"
"EP300","1.122509339260095329","-1.122509339260095329","0.261645938896682750396394112613052129745483398438","HMVL_ALL=-1.123","Repressed","206","collectri","206","1.122509339260095329",NA,"0","",NA,NA,NA
"PLAGL1","1.114602650928659289","1.114602650928659289","0.265020733857188051096898107061861082911491394043","HMVL_ALL=1.115","Activated","207","collectri","207","1.114602650928659289",NA,"3","GTEx--Coexpression(rank=627); Enrichr--Queries(rank=810); ARCHS4--Coexpression(rank=1310)","1177","0.39019999999999999","GTEx Coexpression,0.3902"
"IRF8","1.109608113094022963","1.109608113094022963","0.267167933680122982043059209900093264877796173096","HMVL_ALL=1.11","Activated","208","collectri","208","1.109608113094022963",NA,"4","Literature--ChIP-seq(rank=32); GTEx--Coexpression(rank=819); Enrichr--Queries(rank=1094); ARCHS4--Coexpression(rank=1469)","695","0.19510000000000000","Literature ChIP-seq,0.1951"
"POU4F1","1.104626343336550853","-1.104626343336550853","0.269321531403069580612452682544244453310966491699","HMVL_ALL=-1.105","Repressed","209","collectri","209","1.104626343336550853",NA,"3","GTEx--Coexpression(rank=64); Enrichr--Queries(rank=746); ARCHS4--Coexpression(rank=970)","145","0.03983000000000000","GTEx Coexpression,0.03983"
"NPM1","1.095596779355188843","-1.095596779355188843","0.273255271762218754361128958407789468765258789062","HMVL_ALL=-1.096","Repressed","210","collectri","210","1.095596779355188843",NA,"0","",NA,NA,NA
