Pathway,IMMUNOGLOBULIN COMPLEX,T CELL RECEPTOR COMPLEX,PLASMA MEMBRANE SIGNALING RECEPTOR COMPLEX,PRERIBOSOME,SMALL SUBUNIT PROCESSOME,90S PRERIBOSOME,PROTEIN FOLDING CHAPERONE COMPLEX,CONDENSED CHROMOSOME,CONDENSED CHROMOSOME CENTROMERIC REGION,CHROMOSOMAL REGION,CHROMOSOME CENTROMERIC REGION,MITOTIC SPINDLE,SPINDLE,SPINDLE POLE,NUCLEAR PORE,NUCLEAR ENVELOPE,SM LIKE PROTEIN FAMILY COMPLEX,SMALL NUCLEAR RIBONUCLEOPROTEIN COMPLEX,PRECATALYTIC SPLICEOSOME,CATALYTIC STEP 2 SPLICEOSOME,SPLICEOSOMAL COMPLEX,U2 TYPE SPLICEOSOMAL COMPLEX,CATALYTIC STEP 1 SPLICEOSOME,NUCLEAR RIBONUCLEOPROTEIN GRANULE,METHYLTRANSFERASE COMPLEX,NUCLEAR CHROMOSOME,REPLICATION FORK,CHROMOSOME TELOMERIC REGION,PROTEIN DNA COMPLEX,RNA POLYMERASE COMPLEX,"TRANSFERASE COMPLEX TRANSFERRING PHOSPHORUS
CONTAINING GROUPS",RESPIRATORY CHAIN COMPLEX,RIBOSOMAL SUBUNIT,RIBOSOME,LARGE RIBOSOMAL SUBUNIT,MONOATOMIC ION CHANNEL COMPLEX,CATION CHANNEL COMPLEX,SYNAPTIC MEMBRANE,HEMOGLOBIN COMPLEX,HAPTOGLOBIN HEMOGLOBIN COMPLEX
IMMUNOGLOBULIN COMPLEX,1.0,0.10919540229885058,0.13793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T CELL RECEPTOR COMPLEX,0.1292517006802721,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLASMA MEMBRANE SIGNALING RECEPTOR COMPLEX,0.0664819944598338,0.407202216066482,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00554016620498615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04986149584487535,0.0,0.0,0.0,0.0,0.18559556786703602,0.060941828254847646,0.18282548476454294,0.0,0.0
PRERIBOSOME,0.0,0.0,0.0,1.0,0.6981132075471698,0.2641509433962264,0.0,0.018867924528301886,0.0,0.03773584905660377,0.009433962264150943,0.0,0.009433962264150943,0.0,0.0,0.018867924528301886,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.0,0.009433962264150943,0.009433962264150943,0.0,0.02830188679245283,0.009433962264150943,0.018867924528301886,0.0,0.02830188679245283,0.018867924528301886,0.0,0.018867924528301886,0.0,0.18867924528301888,0.19811320754716982,0.0,0.0,0.0,0.0,0.0,0.0
SMALL SUBUNIT PROCESSOME,0.0,0.0,0.0,1.0,1.0,0.22972972972972974,0.0,0.013513513513513514,0.0,0.05405405405405406,0.013513513513513514,0.0,0.0,0.0,0.0,0.02702702702702703,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.0,0.013513513513513514,0.013513513513513514,0.0,0.04054054054054054,0.0,0.013513513513513514,0.0,0.04054054054054054,0.02702702702702703,0.0,0.02702702702702703,0.0,0.2702702702702703,0.2702702702702703,0.0,0.0,0.0,0.0,0.0,0.0
90S PRERIBOSOME,0.0,0.0,0.0,1.0,0.6071428571428571,1.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROTEIN FOLDING CHAPERONE COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02,0.02,0.04,0.02,0.02,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.04,0.04,0.04,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
CONDENSED CHROMOSOME,0.0,0.0,0.0,0.006756756756756757,0.0033783783783783786,0.0033783783783783786,0.0033783783783783786,1.0,0.6486486486486487,0.7702702702702703,0.7027027027027027,0.0945945945945946,0.32432432432432434,0.1554054054054054,0.09121621621621621,0.14527027027027026,0.0,0.0,0.0033783783783783786,0.006756756756756757,0.006756756756756757,0.0,0.0,0.05405405405405406,0.02027027027027027,0.34797297297297297,0.02027027027027027,0.11486486486486487,0.060810810810810814,0.0033783783783783786,0.010135135135135136,0.0,0.0,0.0,0.0,0.0033783783783783786,0.0033783783783783786,0.006756756756756757,0.0,0.0
CONDENSED CHROMOSOME CENTROMERIC REGION,0.0,0.0,0.0,0.0,0.0,0.0,0.005208333333333333,1.0,1.0,1.0,1.0,0.125,0.4427083333333333,0.203125,0.13541666666666666,0.18229166666666666,0.0,0.0,0.005208333333333333,0.010416666666666666,0.010416666666666666,0.0,0.0,0.052083333333333336,0.026041666666666668,0.13541666666666666,0.0,0.052083333333333336,0.0625,0.005208333333333333,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0
CHROMOSOMAL REGION,0.0,0.0,0.0,0.00954653937947494,0.00954653937947494,0.0,0.00477326968973747,0.5441527446300716,0.45823389021479716,1.0,0.6515513126491647,0.081145584725537,0.2529832935560859,0.11694510739856802,0.06443914081145585,0.1288782816229117,0.002386634844868735,0.0,0.002386634844868735,0.011933174224343675,0.016706443914081145,0.002386634844868735,0.0,0.0883054892601432,0.03341288782816229,0.1909307875894988,0.0477326968973747,0.4224343675417661,0.1575178997613365,0.011933174224343675,0.04295942720763723,0.0,0.0,0.002386634844868735,0.0,0.0,0.0,0.007159904534606206,0.0,0.0
