"TF","MVL_HUB098"
"AHR","1.537787088228875776"
"AR","-1.117312661111913741"
"ARID2","4.597303728805536949"
"ARID3A","-2.289703747732524608"
"ARNT","0.151795131149332491"
"ARNTL","0.648513564128918585"
"ASCL1","-1.975003643107707152"
"ATF1","-0.215950933674469436"
"ATF2","0.372571303087282590"
"ATF3","3.798657616152634198"
"ATF4","0.982491658664174761"
"ATF6","1.007127160629385232"
"ATF7","-0.022278138496487673"
"BACH1","-1.444653631215038203"
"BACH2","-2.201618858902524067"
"BATF","-0.307251784800958494"
"BCL11A","-0.142605737654022235"
"BCL6","0.127651920363029719"
"BHLHE22","0.252603090914577333"
"BHLHE40","3.397728458310235400"
"CEBPA","-0.457792638399574903"
"CEBPB","0.542012354244643224"
"CEBPD","0.157687749881577743"
"CEBPG","-1.703586832538253937"
"CLOCK","0.023410665968542570"
"CREB1","0.709049673129524827"
"CREB3","-2.122672356250457248"
"CREB3L1","-0.825865313104047538"
"CREM","-1.612133902600426660"
"CTCF","-0.288650288432443003"
"CTCFL","-1.302240891865540817"
"CUX1","-4.096334170356552562"
"DUX4","2.853454609915042184"
"E2F1","0.371330311059371587"
"E2F2","-0.538402537689409488"
"E2F3","-2.501400565954086552"
"E2F4","0.529461891369661153"
"E2F5","0.632638111130322756"
"E2F6","2.312518636245959325"
"E2F7","0.006497269377163343"
"EBF1","-1.343598065350511073"
"EGR1","-3.374920352529333645"
"EHF","-0.805485484470486401"
"ELF1","-0.665446352267445418"
"ELF3","-2.430387771196153235"
"ELF5","0.091844816753547956"
"ELK1","-0.514452867171545258"
"ELK4","-0.637788906361312691"
"EOMES","-0.792612857241858371"
"EPAS1","1.173518256861967979"
"ERG","-0.664174019918828629"
"ESR1","-3.042145205818270526"
"ESR2","-0.565579453503245233"
"ESRRA","-4.245835814819918674"
"ETS1","-1.922847906466055301"
"ETS2","-1.183025676032029905"
"ETV1","2.951647226909908106"
"ETV4","-1.378468880246997763"
"FLI1","-0.389623932962996911"
"FOS","-0.472704578072076553"
"FOSL1","-0.566944289842930105"
"FOSL2","-1.264978863001591680"
"FOXA1","0.883272516414766229"
"FOXJ2","2.012151536343869562"
"FOXK2","-3.365534629915413412"
"FOXL2","1.201040187611829735"
"FOXM1","0.980601365882302844"
"FOXO1","1.008999685218218589"
"FOXO3","1.346640230502431645"
"FOXO4","0.146938602244015809"
"FOXP1","-2.467127088302067062"
"FOXP2","1.467491573417813333"
"GABPA","-0.007338636427990047"
"GATA1","-0.202505088527987709"
"GATA2","0.330208949682302411"
"GATA3","0.592552088693964252"
"GATA4","-1.876767447415925716"
"GATA6","-1.158472325112691603"
"GFI1B","-1.581389312949201376"
"GLI2","0.210483980682722199"
"GRHL2","-1.621521126438709270"
"HBP1","-0.881983170854607312"
"HHEX","0.629453033941362650"
"HIF1A","-0.750019840498446722"
"HINFP","0.307107240979821061"
"HMBOX1","-2.275204458682628328"
"HNF1B","2.636928894325503592"
"HNF4A","-1.776119901681411095"
"HNF4G","-1.223722361863511132"
"HOXA9","0.166623342903699206"
"HOXB13","0.374643168542632410"
"HSF1","-1.864382918856405613"
"IKZF1","-1.438725668908544586"
"IRF1","1.246209817507681228"
"IRF2","1.741536308190965388"
"IRF3","-1.862176532361523806"
"IRF4","-0.318339490620591636"
"IRF9","0.786857541742172595"
"JUN","-0.585943016139465978"
"JUNB","-3.756243330305052641"
"JUND","-2.181550863220521386"
"KDM5B","-3.355640315838260612"
"KLF1","-3.445366423734509631"
"KLF13","4.935215070042633378"
"KLF3","-0.378562406314400191"
"KLF4","-0.407318265301177374"
"KLF5","-7.179030640681894226"
"KLF6","-4.536745275283571743"
"KLF9","-4.194821980277987805"
"KMT2A","-0.735448273727642654"
"LEF1","-1.020621478708707786"
"LHX2","0.084216668453410068"
"LYL1","-4.065397013756749445"
"MAF","-3.051361943708405189"
"MAFB","-1.746708158859002324"
"MAFF","-1.065294325783739504"
"MAFG","0.158383730103800829"
"MAFK","-0.836983699769175638"
"MAX","-4.583589488927166222"
"MAZ","-7.350928677629928742"
"MBD1","2.074358768085001081"
"MBD2","-0.925778294501137244"
"MEF2A","1.183685568166049196"
"MEF2B","0.549096945648943069"
"MEF2C","-0.163074421432394923"
"MEIS1","0.237813809317101499"
"MEIS2","0.918909774521093681"
"MITF","1.695448992795372867"
"MNT","5.678031842154060982"
"MXI1","4.269000103250646383"
"MYB","-1.088829089672749717"
"MYBL2","0.557982266526686810"
"MYC","-2.626892589928846000"
"MYCN","-1.109869854643363407"
"MYOD1","-0.499718119001790306"
"NANOG","2.847577910198598516"
"NCOA1","3.654657555576106720"
"NCOA2","2.321407354664336342"
"NCOA3","3.833219497454702918"
"NEUROD1","-3.735533580830701084"
"NFATC1","-1.578279960139083116"
"NFE2","-1.412887343292099862"
"NFE2L1","-0.364715678728260051"
"NFE2L2","-1.118713057655088772"
"NFIC","-1.096987269727156100"
"NFKB1","0.422318753209511066"
"NFKB2","0.842626395634451741"
"NFYA","0.377573008180897840"
"NFYB","-0.240500589007582366"
"NR1H2","-3.964986793165251822"
"NR1H3","-3.211714140370662385"
"NR2C2","0.547884547807992450"
"NR2F1","-3.363869282299387642"
"NR2F6","1.477986054260956861"
"NR3C1","-0.172185947558331914"
"NR4A1","-1.583592544292933280"
"NR5A2","-1.424641532832096269"
"NRF1","-1.515197658418432125"
"ONECUT1","3.462152829747429106"
"OTX2","2.762653259731419286"
"PAX5","-3.026583394807493388"
