"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR"
"1","FOXM1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.5","2","6","ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); GTEx--Coexpression(rank=3); ARCHS4--Coexpression(rank=7); Enrichr--Queries(rank=8)","7","rank=7; score=0.001867","rank=2; score=236.25; p=2.2677e-16; adjP=1.7007e-13"
"2","E2F1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.5","4","6","GTEx--Coexpression(rank=6); Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=12); ARCHS4--Coexpression(rank=33); ENCODE--ChIP-seq(rank=33); ReMap--ChIP-seq(rank=194)","13","rank=13; score=0.003734","rank=4; score=165.53; p=4.7122e-12; adjP=1.72e-09"
"3","E2F4","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.0","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=6); Enrichr--Queries(rank=368); GTEx--Coexpression(rank=1305); ARCHS4--Coexpression(rank=1318)","17","rank=17; score=0.006098","rank=1; score=471.78; p=9.9137e-39; adjP=1.031e-36"
"4","E2F7","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","9.5","6","5","ReMap--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=3); Enrichr--Queries(rank=4); Literature--ChIP-seq(rank=5); GTEx--Coexpression(rank=7)","6","rank=6; score=0.001843","rank=13; score=286.89; p=6.1472e-10; adjP=9.2208e-08"
"5","TFDP1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","12.0","2","4","GTEx--Coexpression(rank=1); ARCHS4--Coexpression(rank=28); Enrichr--Queries(rank=29); ReMap--ChIP-seq(rank=59)","2","rank=2; score=0.0006223","rank=22; score=284.53; p=1.5966e-05; adjP=0.00072844"
"6","TP53","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","15.5","3","5","ARCHS4--Coexpression(rank=14); Literature--ChIP-seq(rank=24); ReMap--ChIP-seq(rank=128); GTEx--Coexpression(rank=139); Enrichr--Queries(rank=493)","28","rank=28; score=0.0086","rank=3; score=61.895; p=2.3487e-07; adjP=2.8576e-05"
"7","MYBL2","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","22.5","16","6","Literature--ChIP-seq(rank=7); ARCHS4--Coexpression(rank=9); Enrichr--Queries(rank=9); GTEx--Coexpression(rank=14); ReMap--ChIP-seq(rank=37); ENCODE--ChIP-seq(rank=70)","16","rank=16; score=0.005528","rank=29; score=27.624; p=3.4835e-07; adjP=2.6126e-05"
"8","BACH1","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","39.5","11","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=12); ReMap--ChIP-seq(rank=136); Enrichr--Queries(rank=512); ARCHS4--Coexpression(rank=957); GTEx--Coexpression(rank=1547)","68","rank=68; score=0.01829","rank=11; score=70.039; p=5.8069e-13; adjP=1.0888e-10"
"9","MYCN","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","44.5","5","5","Literature--ChIP-seq(rank=17); ARCHS4--Coexpression(rank=37); Enrichr--Queries(rank=71); ReMap--ChIP-seq(rank=102); GTEx--Coexpression(rank=519)","84","rank=84; score=0.02273","rank=5; score=155.95; p=6.7171e-08; adjP=1.2259e-05"
"10","CTCF","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.5","29","6","ENCODE--ChIP-seq(rank=7); ARCHS4--Coexpression(rank=15); Literature--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=47); Enrichr--Queries(rank=1000); GTEx--Coexpression(rank=1537)","29","rank=29; score=0.009214","rank=64; score=15.964; p=5.4204e-05; adjP=0.0021396"
