"TF","HMVL_ALL"
"AHR","1.00917922871349286"
"AR","1.17320462690135785"
"ARID2","-0.08219487958221000"
"ARID3A","1.24297394668142669"
"ARNT","1.89806340966244758"
"ARNTL","0.41488382642462679"
"ASCL1","1.51537384110641415"
"ATF1","-0.82851639043104330"
"ATF2","1.48352564494053807"
"ATF3","-0.43692248260852329"
"ATF4","0.39047709056701829"
"ATF6","-1.46204269353493577"
"ATF7","1.62954888979796708"
"BACH1","0.42535653340679841"
"BACH2","-0.01594662174737782"
"BATF","0.73429439238621741"
"BCL11A","1.24682117305733953"
"BCL6","-1.82697030184710663"
"BHLHE22","-0.09584299660920606"
"BHLHE40","-0.82718887084850312"
"CDX2","0.58206140861256861"
"CEBPA","-0.47807387679035640"
"CEBPB","0.89546247368389187"
"CEBPD","0.18561087820728023"
"CEBPG","0.58919617906157995"
"CLOCK","2.33555758150176995"
"CREB1","-1.09304472108512152"
"CREB3","-1.79638349515180007"
"CREB3L1","-0.80834892336047437"
"CREM","0.27180090175678329"
"CTCF","0.03000660841093856"
"CTCFL","-0.60731950086719200"
"CUX1","0.26662324602066317"
"DUX4","0.65974634351324213"
"E2F1","-6.45703967108524157"
"E2F2","-5.05616102722596938"
"E2F3","-4.03847826903467322"
"E2F4","-11.64116584656603948"
"E2F5","-1.69873523208604649"
"E2F6","0.10037052295986895"
"E2F7","-2.17478550558008754"
"EBF1","3.04827871710438281"
"EGR1","0.35188654302461031"
"EHF","2.45662813352736142"
"ELF1","-0.77162327024585953"
"ELF3","2.10146774770556632"
"ELF5","1.15132888030349023"
"ELK1","0.45636160827513317"
"ELK4","-1.16105958454726688"
"EOMES","1.57266370041335879"
"EPAS1","0.56646268739802308"
"ERG","0.97505771713109002"
"ESR1","0.43158084214766584"
"ESR2","1.46762823448813773"
"ESRRA","1.64694945247134683"
"ETS1","-0.09774228968845401"
"ETS2","-1.36411580334029736"
"ETV1","2.01026476031817936"
"ETV4","0.17330776055026800"
"FLI1","0.25260475717950343"
"FOS","0.26858815478609810"
"FOSL1","0.28937479822407808"
"FOSL2","-0.68628952788356246"
"FOXA1","0.54985698256730320"
"FOXA2","0.72106552949817593"
"FOXJ2","0.82857805289503428"
"FOXK2","-1.60027761249171463"
"FOXL2","0.96614861889017922"
"FOXM1","-4.66517884314971454"
"FOXO1","2.19262129258823979"
"FOXO3","1.50703258065013657"
"FOXO4","1.62700893471111785"
"FOXP1","-1.56659738474028631"
"FOXP2","-0.61911038445403765"
"GABPA","-0.59960487254304773"
"GATA1","0.34291315353721663"
"GATA2","0.06258135019438162"
"GATA3","1.86364443924334955"
"GATA4","0.01761895140461072"
"GATA6","1.06823445649983451"
"GFI1B","1.09184401394442943"
"GLI2","-0.57045109736688404"
"GRHL2","2.30660415461251311"
"HBP1","-0.32751933614291806"
"HHEX","-0.72398929748376795"
"HIF1A","-0.07432778577289936"
"HINFP","-0.88273190127648105"
"HMBOX1","-1.90139958155275579"
"HNF1B","2.31647210149399330"
"HNF4A","1.96800112874802502"
