"TF","HMVL_ALL"
"HNF4G","1.84968598956352226"
"HOXA9","0.69731642296856944"
"HOXB13","0.33992345642207228"
"HSF1","-0.35885933960553845"
"IKZF1","0.17572380864665541"
"IRF1","1.50319060552099981"
"IRF2","-0.54676017307226099"
"IRF3","-1.41885359392586818"
"IRF4","1.45554456392035414"
"IRF9","0.39947790402673838"
"JUN","1.23072534634074171"
"JUNB","0.44092453960271699"
"JUND","-0.67109012325939499"
"KDM5B","-0.17145243709671198"
"KLF1","1.28811955916597332"
"KLF13","1.45222213215600515"
"KLF3","0.09402430901227656"
"KLF4","0.77348432823381130"
"KLF5","0.85632521241881243"
"KLF6","0.49757849250516040"
"KLF9","1.31920651901425146"
"KMT2A","0.24523774262078130"
"LEF1","-0.74732334503135622"
"LHX2","0.52045751566196030"
"LYL1","2.10242132716234709"
"MAF","-0.19614017184931307"
"MAFB","2.06136087261323109"
"MAFF","0.49851582025879321"
"MAFG","2.17438305633875384"
"MAFK","1.70007470238214431"
"MAX","0.58081022032442953"
"MAZ","-2.14313388742117850"
"MBD1","2.39052086414723375"
"MBD2","2.06823033709745152"
"MEF2A","2.46784760072299081"
"MEF2B","0.88693124235103737"
"MEF2C","1.79772604223145827"
"MEIS1","2.18472903423838005"
"MEIS2","1.95940839358634245"
"MITF","0.93195755117458312"
"MNT","2.14023933529983479"
"MXI1","0.63967926474840120"
"MYB","-1.22164336667701900"
"MYBL2","-1.70711824405926338"
"MYC","-4.39585158236514673"
"MYCN","-2.34542595585393210"
"MYOD1","1.31811204436578255"
"NANOG","2.68053339771406884"
"NCOA1","2.37787633503248363"
"NCOA2","2.70243573734642517"
"NCOA3","0.68946378583364176"
"NEUROD1","0.93691675500251370"
"NFATC1","0.89295771455821171"
"NFE2","2.47419520008116089"
"NFE2L1","1.38018121239083569"
"NFE2L2","1.80063433045819776"
"NFIC","-0.85126484299549265"
"NFKB1","2.16110264775852512"
"NFKB2","-0.01174646216358047"
"NFYA","-2.20149895568436893"
"NFYB","-2.94715046658916879"
"NR1H2","0.79435901745556181"
"NR1H3","1.44813631171761803"
"NR2C2","-2.18423477954673162"
"NR2F1","1.89943107316734450"
"NR2F6","0.17747163207833577"
"NR3C1","-0.16841565042779444"
"NR4A1","1.83130501551101665"
"NR5A2","0.12934323288169700"
"NRF1","-1.06118986876006938"
"ONECUT1","1.41989113924041965"
"OTX2","2.54765327377614037"
"PAX5","0.31513909586709676"
"PAX6","-0.48036832769924637"
"PAX8","-0.87952965062411070"
"PBX2","1.50879656340624835"
"PBX3","2.83796003759451088"
"PDX1","3.05878096198796268"
"PGR","-0.75989803958627744"
"PKNOX1","0.45000625629184504"
"POU2F1","1.10680505021767983"
"POU4F2","2.12698373288272435"
"POU5F1","2.53092500958744093"
"PPARA","1.60563878212013522"
"PPARG","0.14402475304089030"
"PRDM1","1.60889365924271122"
"PRDM14","2.74485148717370331"
"PROX1","1.83667835100599097"
"RARA","3.09748266076571133"
"RBPJ","2.37908071255627984"
"REL","0.79165900604833506"
"RELA","1.79129803290497436"
"RELB","0.42983895576106923"
"REST","-1.08654706001957790"
"RFX1","2.92037411228899391"
"RFX2","2.48014967331103087"
"RFX5","1.17803370217223491"
"RUNX1","1.56877572724167158"
"RUNX2","2.09327664907751565"
"RUNX3","0.18213152932925791"
"RXRA","1.01566046842773039"
"SIX2","3.31524654643992545"
"SIX5","-0.26395779427545796"
"SMAD1","-0.01134018967387467"
"SMAD3","1.70085452667324777"
"SMAD4","0.82544041119676803"
"SMAD5","-2.19980194795604822"
"SNAI2","-0.23078679115910608"
"SNAPC4","-2.20033941164033831"
"SOX10","0.50628772568204272"
"SOX11","1.02142858741602693"
"SOX13","1.27262057495749570"
"SOX6","0.84214659772289779"
"SOX9","0.13395602566296763"
"SP1","-1.18235376272082537"
"SP2","-2.80303077792518218"
"SP3","1.99513069837827617"
"SP4","-0.43599402298092349"
"SPI1","1.90058817516519385"
"SPIB","0.14308054344882426"
"SREBF1","-0.18174061066136399"
"SREBF2","-1.37097126702910366"
"SRF","-0.72486366011135761"
"STAT1","2.81348153303443471"
"STAT2","0.75988976341586945"
"STAT3","0.28847128280040041"
"STAT4","0.38550932701320900"
"STAT5A","0.15032405958916306"
"STAT5B","1.11020110832455754"
"STAT6","-0.18943064248533378"
"TAL1","2.46936755932604557"
"TBP","0.03520144893800632"
"TBX21","0.97045889503415239"
"TCF12","2.97025485299117697"
"TCF3","-1.51003452981655983"
"TCF4","1.47253240146695341"
"TCF7","-0.25350047516622298"
"TCF7L2","-0.46547046665034991"
"TEAD1","2.85260278099705378"
"TEAD2","0.56026073269390764"
"TEAD4","3.16228868455863843"
"TFAP2A","0.66571413914552913"
"TFAP2C","0.07741524401502616"
"TFAP4","1.44236331579966670"
"TFDP1","-4.05792118528962309"
"TGIF2","1.54559456885461666"
"THAP1","-0.20271112749305609"
"THAP11","3.08226001463002675"
"TP53","2.11629530319882653"
"TP63","0.82631236826157828"
"TP73","0.46431608043065298"
"TWIST1","0.16368347490015461"
"USF1","-0.07192268460328034"
"USF2","0.62433931334818094"
"VDR","1.25838848655837543"
"WT1","-0.09216586970723778"
"XBP1","0.03683550736150525"
"YY1","-2.09436152319739222"
"ZBED1","-0.70905896621837050"
"ZBTB11","-1.94298478604571034"
"ZBTB33","-2.35539056357648047"
"ZBTB7A","-0.22701030857301432"
"ZEB1","0.44852378077332827"
"ZEB2","-0.95355302154892796"
"ZFX","-4.41990905618727759"
"ZKSCAN1","0.91890338092574719"
"ZNF143","-0.26620281562964826"
"ZNF217","0.40400997218066853"
"ZNF24","-0.10707007932505730"
"ZNF263","-3.64460259531873954"
"ZNF274","-1.84005986166171032"
"ZNF384","-0.32366098633431861"
"ZNF592","-0.36577240315723275"
"ZNF639","2.67710788350096296"
"ZNF740","-1.33768565690540231"
