"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ENRICHR","TRRUST","CollecTRI"
"1","ATF4","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.666666666666666","3","4","ReMap--ChIP-seq(rank=184); GTEx--Coexpression(rank=631); ARCHS4--Coexpression(rank=844); Enrichr--Queries(rank=933)","1161","rank=10; score=365.2; p=1.3088e-05; adjP=0.00072423","rank=3; score=4.8831; p=1.3089e-05","rank=16; score=2.3074; p=0.0001341; direction=Activated"
"2","SMAD7","ENRICHR;TRRUST;CollecTRI","3","ENRICHR;TRRUST;CollecTRI","15.000000000000000","6","0","",NA,"rank=30; score=520.88; p=0.00060108; adjP=0.012109","rank=6; score=3.2211; p=0.0006011","rank=9; score=2.9676; p=3.2224e-05; direction=Activated"
"3","FOXO3","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.000000000000000","2","4","Literature--ChIP-seq(rank=94); Enrichr--Queries(rank=330); ARCHS4--Coexpression(rank=385); GTEx--Coexpression(rank=919)","790","rank=51; score=184.09; p=0.0024934; adjP=0.025339","rank=10; score=2.6032; p=0.0024934","rank=2; score=6.1236; p=1.8548e-10; direction=Activated"
"4","FOS","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","30.000000000000000","3","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=18); Enrichr--Queries(rank=92); ARCHS4--Coexpression(rank=204)","14","rank=3; score=68.676; p=0.00015287; adjP=0.013662","rank=38; score=1.6302; p=0.023433","rank=49; score=2.4248; p=0.0027584; direction=Activated"
"5","MYC","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.666666666666664","4","6","ENCODE--ChIP-seq(rank=21); Literature--ChIP-seq(rank=32); ReMap--ChIP-seq(rank=209); GTEx--Coexpression(rank=334); Enrichr--Queries(rank=373); ARCHS4--Coexpression(rank=1132)","643","rank=44; score=110.26; p=0.0011064; adjP=0.016697","rank=65; score=1.1879; p=0.064879","rank=4; score=3.8728; p=6.7951e-06; direction=Repressed"
"6","NR3C1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.333333333333336","10","6","ARCHS4--Coexpression(rank=10); ENCODE--ChIP-seq(rank=13); Enrichr--Queries(rank=43); Literature--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=85); GTEx--Coexpression(rank=1302)","28","rank=18; score=29.53; p=2.7177e-05; adjP=0.0034006","rank=96; score=0.83476; p=0.1463","rank=10; score=2.8509; p=3.6534e-05; direction=Activated"
"7","STAT1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.333333333333336","19","6","ARCHS4--Coexpression(rank=34); ReMap--ChIP-seq(rank=37); ENCODE--ChIP-seq(rank=44); Enrichr--Queries(rank=117); Literature--ChIP-seq(rank=134); GTEx--Coexpression(rank=875)","95","rank=86; score=48.373; p=0.0051565; adjP=0.031871","rank=19; score=2.2876; p=0.0051566","rank=19; score=3.2845; p=0.00017041; direction=Activated"
"8","FOXD3","ENRICHR;TRRUST;CollecTRI","4","ChEA3;ENRICHR;TRRUST;CollecTRI","42.666666666666664","5","3","GTEx--Coexpression(rank=84); Enrichr--Queries(rank=770); ARCHS4--Coexpression(rank=914)","231","rank=21; score=628.09; p=0.00046877; adjP=0.012109","rank=5; score=3.329; p=0.00046878","rank=102; score=1.5958; p=0.012084; direction=Activated"
"9","REST","ENRICHR;TRRUST;CollecTRI","5","DoRothEA;ChEA3;ENRICHR;TRRUST;CollecTRI","43.000000000000000","5","6","ENCODE--ChIP-seq(rank=34); ARCHS4--Coexpression(rank=98); Literature--ChIP-seq(rank=109); ReMap--ChIP-seq(rank=163); GTEx--Coexpression(rank=917); Enrichr--Queries(rank=1072)","257","rank=100; score=79.475; p=0.007785; adjP=0.041687","rank=24; score=2.1087; p=0.0077851","rank=5; score=2.9289; p=6.9712e-06; direction=Activated"
"10","CREB1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","47.000000000000000","22","6","Literature--ChIP-seq(rank=33); ENCODE--ChIP-seq(rank=85); ReMap--ChIP-seq(rank=133); GTEx--Coexpression(rank=514); Enrichr--Queries(rank=1096); ARCHS4--Coexpression(rank=1503)","709","rank=63; score=43.385; p=0.0062457; adjP=0.035751","rank=22; score=2.2044; p=0.0062458","rank=56; score=2.045; p=0.0032372; direction=Activated"
