Pathway,CYTOSOLIC RIBOSOME,RIBOSOME,CYTOSOLIC LARGE RIBOSOMAL SUBUNIT,RIBOSOMAL SUBUNIT,LARGE RIBOSOMAL SUBUNIT,CELL SUBSTRATE JUNCTION,ACTIN FILAMENT BUNDLE,ACTOMYOSIN,ADHERENS JUNCTION,CELL LEADING EDGE,RUFFLE,RUFFLE MEMBRANE,LEADING EDGE MEMBRANE,SITE OF POLARIZED GROWTH,DISTAL AXON,FILOPODIUM,ACTIN BASED CELL PROJECTION,LAMELLIPODIUM,SPINDLE,MIDBODY,MICROTUBULE,CYTOPLASMIC SIDE OF PLASMA MEMBRANE,BASAL PART OF CELL,BASOLATERAL PLASMA MEMBRANE,CELL PROJECTION MEMBRANE,MICROVILLUS MEMBRANE,APICAL PLASMA MEMBRANE,BRUSH BORDER,MEMBRANE MICRODOMAIN,CELL CORTEX,CORTICAL CYTOSKELETON,PLATELET DENSE TUBULAR NETWORK MEMBRANE,SPLICEOSOMAL COMPLEX,NUCLEAR SPECK,NUCLEAR RIBONUCLEOPROTEIN GRANULE,CYTOSOLIC SMALL RIBOSOMAL SUBUNIT,SMALL RIBOSOMAL SUBUNIT,CLATHRIN COATED PIT,CLATHRIN COATED VESICLE,VESICLE LUMEN
CYTOSOLIC RIBOSOME,1.0,1.0,0.4793388429752066,0.8181818181818182,0.4793388429752066,0.33884297520661155,0.0,0.0,0.0,0.024793388429752067,0.01652892561983471,0.01652892561983471,0.01652892561983471,0.0,0.0,0.0,0.0,0.008264462809917356,0.008264462809917356,0.008264462809917356,0.0,0.0,0.0,0.0,0.01652892561983471,0.0,0.0,0.0,0.0,0.008264462809917356,0.008264462809917356,0.0,0.0,0.01652892561983471,0.01652892561983471,0.33884297520661155,0.33884297520661155,0.0,0.0,0.01652892561983471
RIBOSOME,0.5127118644067796,1.0,0.2457627118644068,0.7754237288135594,0.4745762711864407,0.18220338983050846,0.0,0.0,0.0,0.012711864406779662,0.00847457627118644,0.00847457627118644,0.00847457627118644,0.00423728813559322,0.00423728813559322,0.0,0.0,0.00423728813559322,0.00847457627118644,0.00423728813559322,0.00847457627118644,0.0,0.0,0.0,0.00847457627118644,0.0,0.0,0.0,0.0,0.00847457627118644,0.00423728813559322,0.0,0.00847457627118644,0.0211864406779661,0.0211864406779661,0.17372881355932204,0.3135593220338983,0.0,0.0,0.012711864406779662
CYTOSOLIC LARGE RIBOSOMAL SUBUNIT,1.0,1.0,1.0,1.0,1.0,0.39655172413793105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIBOSOMAL SUBUNIT,0.5409836065573771,1.0,0.31693989071038253,1.0,0.6120218579234973,0.22950819672131148,0.0,0.0,0.0,0.01092896174863388,0.00546448087431694,0.00546448087431694,0.00546448087431694,0.0,0.0,0.0,0.0,0.00546448087431694,0.01092896174863388,0.00546448087431694,0.0,0.0,0.0,0.0,0.00546448087431694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00546448087431694,0.00546448087431694,0.00546448087431694,0.22404371584699453,0.40437158469945356,0.0,0.0,0.00546448087431694
LARGE RIBOSOMAL SUBUNIT,0.5178571428571429,1.0,0.5178571428571429,1.0,1.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.008928571428571428,0.008928571428571428,0.0,0.026785714285714284,0.0,0.0,0.0
CELL SUBSTRATE JUNCTION,0.09832134292565947,0.10311750599520383,0.05515587529976019,0.10071942446043165,0.05755395683453238,1.0,0.09112709832134293,0.08872901678657075,0.11510791366906475,0.23741007194244604,0.12470023980815348,0.07673860911270983,0.10071942446043165,0.03597122302158273,0.04316546762589928,0.047961630695443645,0.05995203836930456,0.1510791366906475,0.050359712230215826,0.03117505995203837,0.0407673860911271,0.03836930455635491,0.0815347721822542,0.05995203836930456,0.12709832134292565,0.011990407673860911,0.07434052757793765,0.03357314148681055,0.09832134292565947,0.13908872901678657,0.07913669064748201,0.0,0.007194244604316547,0.019184652278177457,0.019184652278177457,0.04316546762589928,0.045563549160671464,0.016786570743405275,0.03117505995203837,0.05275779376498801
ACTIN FILAMENT BUNDLE,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.9052631578947369,0.15789473684210525,0.30526315789473685,0.15789473684210525,0.05263157894736842,0.06315789473684211,0.05263157894736842,0.05263157894736842,0.07368421052631578,0.10526315789473684,0.2,0.07368421052631578,0.042105263157894736,0.06315789473684211,0.05263157894736842,0.06315789473684211,0.031578947368421054,0.08421052631578947,0.0,0.08421052631578947,0.10526315789473684,0.031578947368421054,0.25263157894736843,0.07368421052631578,0.0,0.0,0.010526315789473684,0.010526315789473684,0.0,0.0,0.0,0.0,0.031578947368421054
ACTOMYOSIN,0.0,0.0,0.0,0.0,0.0,0.3978494623655914,0.9247311827956989,1.0,0.16129032258064516,0.3118279569892473,0.13978494623655913,0.043010752688172046,0.053763440860215055,0.053763440860215055,0.053763440860215055,0.053763440860215055,0.07526881720430108,0.20430107526881722,0.07526881720430108,0.053763440860215055,0.06451612903225806,0.053763440860215055,0.06451612903225806,0.03225806451612903,0.07526881720430108,0.0,0.08602150537634409,0.08602150537634409,0.03225806451612903,0.23655913978494625,0.06451612903225806,0.0,0.0,0.010752688172043012,0.010752688172043012,0.0,0.0,0.0,0.0,0.03225806451612903
ADHERENS JUNCTION,0.0,0.0,0.0,0.0,0.0,0.24120603015075376,0.07537688442211055,0.07537688442211055,1.0,0.19095477386934673,0.08542713567839195,0.05025125628140704,0.06532663316582915,0.03015075376884422,0.04020100502512563,0.05527638190954774,0.08542713567839195,0.12060301507537688,0.01507537688442211,0.01507537688442211,0.05527638190954774,0.06532663316582915,0.1407035175879397,0.12562814070351758,0.09045226130653267,0.02512562814070352,0.1306532663316583,0.03015075376884422,0.11557788944723618,0.1507537688442211,0.10050251256281408,0.0,0.0,0.005025125628140704,0.010050251256281407,0.0,0.0,0.010050251256281407,0.01507537688442211,0.035175879396984924
CELL LEADING EDGE,0.00684931506849315,0.00684931506849315,0.0,0.0045662100456621,0.0,0.22602739726027396,0.06621004566210045,0.06621004566210045,0.0867579908675799,1.0,0.4337899543378995,0.23059360730593606,0.4269406392694064,0.09817351598173515,0.13470319634703196,0.1324200913242009,0.1735159817351598,0.4748858447488584,0.05251141552511415,0.02511415525114155,0.0639269406392694,0.03424657534246575,0.0821917808219178,0.0639269406392694,0.4383561643835616,0.01598173515981735,0.091324200913242,0.03424657534246575,0.07990867579908675,0.17123287671232876,0.07077625570776255,0.0,0.00228310502283105,0.02054794520547945,0.02054794520547945,0.0045662100456621,0.0045662100456621,0.0182648401826484,0.0319634703196347,0.0319634703196347
