"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","CollecTRI"
"1","ATF4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","3.666666666666667","1","4","ReMap--ChIP-seq(rank=7); GTEx--Coexpression(rank=389); Enrichr--Queries(rank=465); ARCHS4--Coexpression(rank=800)","94","rank=1; score=7.8842; p=1.3055e-08","rank=7; score=4.2637; direction=Activated","rank=3; score=3.6216; p=1.2003e-07; direction=Activated"
"2","FOXO3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.666666666666666","2","4","Literature--ChIP-seq(rank=101); Enrichr--Queries(rank=279); GTEx--Coexpression(rank=845); ARCHS4--Coexpression(rank=903)","684","rank=16; score=1.794; p=0.016069","rank=8; score=3.9218; direction=Activated","rank=2; score=3.349; p=1.8592e-09; direction=Activated"
"3","E2F1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","11.666666666666666","4","6","Literature--ChIP-seq(rank=46); ENCODE--ChIP-seq(rank=101); GTEx--Coexpression(rank=136); ReMap--ChIP-seq(rank=284); Enrichr--Queries(rank=682); ARCHS4--Coexpression(rank=931)","318","rank=18; score=1.5986; p=0.025202","rank=4; score=4.6351; direction=Repressed","rank=13; score=3.5176; p=0.00011301; direction=Activated"
"4","NFKB1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","26.000000000000000","12","4","ARCHS4--Coexpression(rank=100); ReMap--ChIP-seq(rank=225); Enrichr--Queries(rank=818); GTEx--Coexpression(rank=1119)","234","rank=12; score=2.0024; p=0.0099451","rank=31; score=2.6432; direction=Activated","rank=35; score=2.3354; p=0.0016158; direction=Activated"
"5","STAT1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.666666666666668","12","6","ENCODE--ChIP-seq(rank=65); ReMap--ChIP-seq(rank=105); Literature--ChIP-seq(rank=120); GTEx--Coexpression(rank=131); ARCHS4--Coexpression(rank=218); Enrichr--Queries(rank=759)","305","rank=57; score=0.73377; p=0.1846","rank=14; score=3.2161; direction=Activated","rank=12; score=2.9871; p=7.2003e-05; direction=Activated"
"6","E2F4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","28.000000000000000","1","6","ENCODE--ChIP-seq(rank=42); Literature--ChIP-seq(rank=103); ReMap--ChIP-seq(rank=145); Enrichr--Queries(rank=961); ARCHS4--Coexpression(rank=1035); GTEx--Coexpression(rank=1493)","1060","rank=82; score=0.46706; p=0.34114","rank=1; score=7.0116; direction=Repressed","rank=1; score=7.3994; p=2.1756e-28; direction=Repressed"
"7","FOSL1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","30.666666666666668","30","5","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=4); Enrichr--Queries(rank=49); ARCHS4--Coexpression(rank=62); GTEx--Coexpression(rank=223)","56","rank=30; score=1.262; p=0.054704","rank=32; score=2.5787; direction=Activated","rank=30; score=1.7649; p=0.00092159; direction=Activated"
"8","TP53","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","32.333333333333336","11","5","Literature--ChIP-seq(rank=44); ReMap--ChIP-seq(rank=124); GTEx--Coexpression(rank=655); ARCHS4--Coexpression(rank=909); Enrichr--Queries(rank=1039)","859","rank=11; score=2.0529; p=0.0088534","rank=25; score=2.907; direction=Activated","rank=61; score=1.5646; p=0.0057396; direction=Activated"
"9","MYC","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.666666666666664","6","6","Literature--ChIP-seq(rank=43); ENCODE--ChIP-seq(rank=55); GTEx--Coexpression(rank=109); Enrichr--Queries(rank=177); ReMap--ChIP-seq(rank=257); ARCHS4--Coexpression(rank=445)","254","rank=86; score=0.063635; p=0.8637","rank=6; score=4.3072; direction=Repressed","rank=9; score=2.3249; p=1.9931e-05; direction=Repressed"
"10","ERG","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","47.333333333333336","32","5","Literature--ChIP-seq(rank=131); GTEx--Coexpression(rank=192); ARCHS4--Coexpression(rank=244); ReMap--ChIP-seq(rank=270); Enrichr--Queries(rank=707)","441","rank=32; score=1.2253; p=0.059528","rank=72; score=1.9214; direction=Activated","rank=38; score=2.6425; p=0.002023; direction=Activated"
