"TF","DLD1_HCT15_SW48"
"AHR","2.518663755695233597"
"AR","0.525710712581757056"
"ARID2","1.800623642211862663"
"ARID3A","3.335307492019437436"
"ARNT","2.065763979383341109"
"ARNTL","4.191126252892838799"
"ASCL1","1.117058453354632608"
"ATF1","-0.237058896134789837"
"ATF2","1.604985775294049510"
"ATF3","-2.026376772749467925"
"ATF4","4.347483308106873778"
"ATF6","0.474974290754485273"
"ATF7","1.194706950128649137"
"BACH1","0.180192573030314218"
"BACH2","2.818362045594096088"
"BATF","0.627481879539248166"
"BCL11A","0.684651698041531920"
"BCL6","-1.012084764684683780"
"BHLHE22","-1.466560669689211727"
"BHLHE40","-0.673022705950282241"
"CDX2","0.247855766733886179"
"CEBPA","-0.683108052105926289"
"CEBPB","2.254088496908838390"
"CEBPD","0.962247571767346099"
"CEBPG","2.107846552936726514"
"CLOCK","2.878722924234869751"
"CREB1","0.783381194855455321"
"CREB3","0.168822847924205321"
"CREB3L1","1.201647645217967408"
"CREM","1.957015053702158003"
"CTCF","0.763121975853977341"
"CTCFL","0.195151470326966864"
"CUX1","0.464448415406258697"
"DUX4","-0.719817476631493314"
"E2F1","-3.716983253504553275"
"E2F2","-4.627458410171066738"
"E2F3","-2.935807961540367828"
"E2F4","-8.445812308632669740"
"E2F5","-2.063805756770128230"
"E2F6","1.568130942405007611"
"E2F7","-0.355628492850426192"
"EBF1","1.887281058799688660"
"EGR1","0.608529556057410215"
"EHF","1.936192703288702965"
"ELF1","2.378852828380810358"
"ELF3","0.825131531879213176"
"ELF5","-0.113132019217794810"
"ELK1","1.558516140663014360"
"ELK4","1.470128903189383607"
"EOMES","-0.471588285505692151"
"EPAS1","1.639595446431907577"
"ERG","1.722452650514660233"
"ESR1","3.946905557452681901"
"ESR2","1.679062114968132402"
"ESRRA","1.511034847114867574"
"ETS1","1.629679801489913205"
"ETS2","-0.250239809519809175"
"ETV1","1.785540347103441672"
"ETV4","2.623146550931122700"
"FLI1","0.343875571022964566"
"FOS","1.303395597050842403"
"FOSL1","2.598442082614288662"
"FOSL2","2.109861803893902543"
"FOXA1","1.827025190632874052"
"FOXA2","0.319861801304479720"
"FOXJ2","2.735984467383729246"
"FOXK2","1.422046446490125682"
"FOXL2","2.504073007066805800"
"FOXM1","-2.668338060074727291"
"FOXO1","2.626551817568683944"
"FOXO3","4.334246970336223193"
"FOXO4","1.602042145031553622"
"FOXP1","-2.312958246615444136"
"FOXP2","-1.374159456916177913"
"GABPA","1.897400978649872449"
"GATA2","-0.085205842911660737"
"GATA3","2.126989707255984463"
"GATA4","0.850854171533314108"
"GATA6","1.908104838944155279"
"GFI1B","1.457543757858560163"
"GLI2","-0.493634149166932545"
"GRHL2","2.218916052614923640"
"HBP1","-2.967043445120219669"
"HHEX","-0.903346688698410394"
"HIF1A","2.977832561116787513"
"HINFP","-0.125871067227041639"
"HMBOX1","-1.915936784016107008"
"HNF1A","-0.141310824312437522"
"HNF1B","0.581389425332997201"
"HNF4A","-1.174735805795037225"
"HNF4G","2.245480355965683295"
"HOXA9","1.416594614559037124"
"HOXB13","0.758773116504727119"
"HSF1","1.827508101874010249"
"IKZF1","2.173448188027367944"
"IRF1","1.488283485293709907"
"IRF2","1.790067282411657468"
"IRF3","-2.752086057357889359"
"IRF4","2.967867146967628322"
"IRF9","2.051941724034190617"
"JUN","3.515273537418355687"
"JUNB","2.748428590552184581"
"JUND","0.273121776791408255"
"KDM5B","1.393425370189989687"
"KLF1","0.833095822312102885"
"KLF13","-0.175784457126089422"
"KLF3","1.314614726896031094"
"KLF4","2.377924612922357461"
"KLF5","1.837104361353564919"
"KLF6","1.504003954673236665"
"KLF9","1.685240724405331569"
"KMT2A","-0.964351468334182282"
"LEF1","-2.529670782546669994"
"LHX2","1.907796570244473688"
"LYL1","0.568899981220839512"
"MAF","1.150030247697033658"
"MAFB","3.004372518971094586"
"MAFF","3.361189040777071924"
"MAFG","2.239452986979098004"
"MAFK","3.051095693118127006"
"MAX","1.764225217771096865"
"MAZ","-2.262860837443339879"
"MBD1","2.343206654506153619"
"MBD2","0.372163905023148056"
"MEF2A","4.602500936549033916"
"MEF2B","1.386749502628084940"
"MEF2C","1.193813332295169394"
"MEIS1","1.101471917672242729"
"MEIS2","1.147314003949916117"
"MITF","1.048692109277673534"
"MNT","-2.758856306100105016"
"MXI1","0.013906024873039826"
"MYB","-1.709227951231942599"
"MYBL2","-0.860241748076772561"
"MYC","-5.408045225187173344"
