"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","VIPER","CollecTRI"
"1","E2F4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.0","1","6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=3); Enrichr--Queries(rank=76); ARCHS4--Coexpression(rank=209); GTEx--Coexpression(rank=1015)","33","rank=1; score=11.641; direction=Repressed","rank=1; score=12.111; p=9.224e-34; direction=Repressed"
"2","E2F1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.0","2","6","GTEx--Coexpression(rank=2); Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=14); ARCHS4--Coexpression(rank=15); ENCODE--ChIP-seq(rank=21)","4","rank=2; score=6.457; direction=Repressed","rank=2; score=4; p=6.334e-05; direction=Repressed"
"3","MYC","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.5","5","6","Literature--ChIP-seq(rank=7); ENCODE--ChIP-seq(rank=15); ReMap--ChIP-seq(rank=47); Enrichr--Queries(rank=85); ARCHS4--Coexpression(rank=116); GTEx--Coexpression(rank=471)","156","rank=6; score=4.3959; direction=Repressed","rank=5; score=3.3494; p=0.00080993; direction=Repressed"
"4","E2F3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.0","8","3","ARCHS4--Coexpression(rank=27); Enrichr--Queries(rank=28); GTEx--Coexpression(rank=1226)","56","rank=8; score=4.0385; direction=Repressed","rank=10; score=3.1072; p=0.0018886; direction=Repressed"
"5","RARA","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.0","12","5","Literature--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=77); GTEx--Coexpression(rank=828); Enrichr--Queries(rank=845); ARCHS4--Coexpression(rank=1308)","882","rank=12; score=3.0975; direction=Activated","rank=36; score=1.8795; p=0.060178; direction=Activated"
"6","ZBTB33","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","28.0","19","5","ENCODE--ChIP-seq(rank=49); ReMap--ChIP-seq(rank=72); GTEx--Coexpression(rank=249); ARCHS4--Coexpression(rank=258); Enrichr--Queries(rank=427)","557","rank=37; score=2.3554; direction=Repressed","rank=19; score=2.2847; p=0.02233; direction=Activated"
"7","ZFX","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","33.0","5","5","ReMap--ChIP-seq(rank=53); Literature--ChIP-seq(rank=113); ARCHS4--Coexpression(rank=1086); GTEx--Coexpression(rank=1260); Enrichr--Queries(rank=1377)","640","rank=5; score=4.4199; direction=Repressed","rank=61; score=1.7328; p=0.083125; direction=Activated"
"8","STAT1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.5","21","6","ENCODE--ChIP-seq(rank=30); GTEx--Coexpression(rank=30); Literature--ChIP-seq(rank=149); ReMap--ChIP-seq(rank=163); Enrichr--Queries(rank=283); ARCHS4--Coexpression(rank=1374)","64","rank=21; score=2.8135; direction=Activated","rank=66; score=1.7085; p=0.087538; direction=Activated"
"9","NFYA","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.5","42","5","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=10); GTEx--Coexpression(rank=88); Enrichr--Queries(rank=187); ARCHS4--Coexpression(rank=224)","91","rank=42; score=2.2015; direction=Repressed","rank=45; score=1.8411; p=0.065612; direction=Repressed"
"10","FOXO3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","51.5","6","4","Literature--ChIP-seq(rank=21); GTEx--Coexpression(rank=876); Enrichr--Queries(rank=898); ARCHS4--Coexpression(rank=1322)","461","rank=97; score=1.507; direction=Activated","rank=6; score=3.3344; p=0.00085487; direction=Activated"
