"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","VIPER","CollecTRI"
"1","SREBF2","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.0","2","6","ENCODE--ChIP-seq(rank=104); Literature--ChIP-seq(rank=152); ReMap--ChIP-seq(rank=204); GTEx--Coexpression(rank=782); Enrichr--Queries(rank=977); ARCHS4--Coexpression(rank=1622)","1264","rank=26; score=3.4871; direction=Repressed","rank=2; score=3.9122; p=9.1471e-05; direction=Repressed"
"2","SREBF1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.5","1","6","ENCODE--ChIP-seq(rank=81); Literature--ChIP-seq(rank=131); ReMap--ChIP-seq(rank=290); GTEx--Coexpression(rank=852); Enrichr--Queries(rank=1051); ARCHS4--Coexpression(rank=1577)","1319","rank=38; score=3.1247; direction=Repressed","rank=1; score=4.3848; p=1.1609e-05; direction=Repressed"
"3","KLF5","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","25.5","3","5","Enrichr--Queries(rank=2); GTEx--Coexpression(rank=8); ARCHS4--Coexpression(rank=9); Literature--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=83)","5","rank=3; score=7.179; direction=Repressed","rank=48; score=2.6301; p=0.008536; direction=Repressed"
"4","PAX5","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","26.0","10","5","ENCODE--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=261); ARCHS4--Coexpression(rank=628); GTEx--Coexpression(rank=659); Enrichr--Queries(rank=722)","1104","rank=42; score=3.0266; direction=Repressed","rank=10; score=3.3506; p=0.00080623; direction=Repressed"
"5","ETV1","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","30.5","17","4","Enrichr--Queries(rank=102); GTEx--Coexpression(rank=207); ReMap--ChIP-seq(rank=234); ARCHS4--Coexpression(rank=238)","300","rank=44; score=2.9516; direction=Activated","rank=17; score=3.2247; p=0.0012612; direction=Repressed"
"6","E2F6","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.5","3","5","ENCODE--ChIP-seq(rank=55); ReMap--ChIP-seq(rank=108); Enrichr--Queries(rank=834); ARCHS4--Coexpression(rank=1128); GTEx--Coexpression(rank=1413)","1063","rank=64; score=2.3125; direction=Activated","rank=3; score=3.5483; p=0.00038777; direction=Activated"
"7","MYC","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","44.0","36","6","GTEx--Coexpression(rank=56); ENCODE--ChIP-seq(rank=60); Literature--ChIP-seq(rank=62); ReMap--ChIP-seq(rank=218); Enrichr--Queries(rank=360); ARCHS4--Coexpression(rank=1475)","148","rank=52; score=2.6269; direction=Repressed","rank=36; score=2.7597; p=0.0057853; direction=Repressed"
"8","CREB3","VIPER;CollecTRI","4","DoRothEA;ChEA3;VIPER;CollecTRI","48.5","24","4","ReMap--ChIP-seq(rank=99); Enrichr--Queries(rank=886); ARCHS4--Coexpression(rank=890); GTEx--Coexpression(rank=1221)","1002","rank=73; score=2.1227; direction=Repressed","rank=24; score=3.0597; p=0.0022159; direction=Repressed"
"9","SNAI2","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","51.0","24","4","ARCHS4--Coexpression(rank=1); ReMap--ChIP-seq(rank=79); Enrichr--Queries(rank=115); GTEx--Coexpression(rank=182)","1","rank=24; score=3.5914; direction=Activated","rank=78; score=2.3006; p=0.021415; direction=Repressed"
"10","ESR1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","67.5","41","6","ENCODE--ChIP-seq(rank=6); Literature--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=52); ARCHS4--Coexpression(rank=133); GTEx--Coexpression(rank=243); Enrichr--Queries(rank=374)","215","rank=41; score=3.0421; direction=Repressed","rank=94; score=2.1333; p=0.032901; direction=Repressed"
