Pathway,RIBOSOME,SPLICEOSOME,OXIDATIVE PHOSPHORYLATION,PARKINSONS DISEASE,HUNTINGTONS DISEASE,PYRIMIDINE METABOLISM,RNA POLYMERASE,PURINE METABOLISM,ERBB SIGNALING PATHWAY,PATHWAYS IN CANCER,CHRONIC MYELOID LEUKEMIA,RENAL CELL CARCINOMA,FOCAL ADHESION,DORSO VENTRAL AXIS FORMATION,NATURAL KILLER CELL MEDIATED CYTOTOXICITY,B CELL RECEPTOR SIGNALING PATHWAY,T CELL RECEPTOR SIGNALING PATHWAY,ADHERENS JUNCTION,TIGHT JUNCTION,ENDOCYTOSIS,CHEMOKINE SIGNALING PATHWAY,NOD LIKE RECEPTOR SIGNALING PATHWAY,MAPK SIGNALING PATHWAY,APOPTOSIS,ADIPOCYTOKINE SIGNALING PATHWAY,INSULIN SIGNALING PATHWAY,BASE EXCISION REPAIR,REGULATION OF ACTIN CYTOSKELETON,FC GAMMA R MEDIATED PHAGOCYTOSIS,PHOSPHATIDYLINOSITOL SIGNALING SYSTEM,INOSITOL PHOSPHATE METABOLISM,WNT SIGNALING PATHWAY,MELANOGENESIS,LONG TERM POTENTIATION,VASCULAR SMOOTH MUSCLE CONTRACTION,JAK STAT SIGNALING PATHWAY,HEMATOPOIETIC CELL LINEAGE,LEISHMANIA INFECTION,GLUTATHIONE METABOLISM,PROTEASOME
RIBOSOME,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPLICEOSOME,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047244094488188976,0.0,0.0,0.047244094488188976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXIDATIVE PHOSPHORYLATION,0.0,0.0,1.0,0.7142857142857143,0.6616541353383458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARKINSONS DISEASE,0.0,0.0,0.7251908396946565,1.0,0.7709923664122137,0.0,0.0,0.0,0.0,0.022900763358778626,0.0,0.0,0.0,0.0,0.007633587786259542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007633587786259542,0.030534351145038167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUNTINGTONS DISEASE,0.0,0.0,0.4808743169398907,0.5519125683060109,1.0,0.07650273224043716,0.07650273224043716,0.07650273224043716,0.0,0.060109289617486336,0.01639344262295082,0.01092896174863388,0.0,0.0,0.00546448087431694,0.0,0.0,0.01092896174863388,0.0,0.04918032786885246,0.02185792349726776,0.00546448087431694,0.01639344262295082,0.03825136612021858,0.00546448087431694,0.00546448087431694,0.0,0.0,0.0,0.0273224043715847,0.02185792349726776,0.03825136612021858,0.07103825136612021,0.060109289617486336,0.03278688524590164,0.01092896174863388,0.0,0.0,0.00546448087431694,0.0
PYRIMIDINE METABOLISM,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,0.29591836734693877,0.7244897959183674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08163265306122448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030612244897959183,0.0
RNA POLYMERASE,0.0,0.0,0.0,0.0,0.4827586206896552,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PURINE METABOLISM,0.0,0.0,0.0,0.0,0.0880503144654088,0.44654088050314467,0.18238993710691823,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05660377358490566,0.0,0.0,0.0,0.0,0.018867924528301886,0.050314465408805034,0.0,0.0,0.0,0.0,0.0,0.05660377358490566,0.012578616352201259,0.0880503144654088,0.0,0.0,0.0,0.018867924528301886,0.0
ERBB SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5977011494252874,0.45977011494252873,0.40229885057471265,0.5402298850574713,0.09195402298850575,0.3563218390804598,0.2988505747126437,0.4367816091954023,0.05747126436781609,0.11494252873563218,0.10344827586206896,0.3793103448275862,0.05747126436781609,0.367816091954023,0.13793103448275862,0.08045977011494253,0.4942528735632184,0.0,0.3563218390804598,0.28735632183908044,0.14942528735632185,0.06896551724137931,0.14942528735632185,0.1839080459770115,0.19540229885057472,0.11494252873563218,0.22988505747126436,0.0,0.05747126436781609,0.0,0.0
PATHWAYS IN CANCER,0.0,0.0,0.0,0.009230769230769232,0.033846153846153845,0.0,0.0,0.0,0.16,1.0,0.20615384615384616,0.17846153846153845,0.2553846153846154,0.027692307692307693,0.10153846153846154,0.11076923076923077,0.12,0.08615384615384615,0.052307692307692305,0.05846153846153846,0.12615384615384614,0.06461538461538462,0.2523076923076923,0.1076923076923077,0.05846153846153846,0.11384615384615385,0.0,0.20923076923076922,0.08,0.043076923076923075,0.021538461538461538,0.2,0.16615384615384615,0.046153846153846156,0.033846153846153845,0.10461538461538461,0.036923076923076927,0.052307692307692305,0.003076923076923077,0.0
CHRONIC MYELOID LEUKEMIA,0.0,0.0,0.0,0.0,0.0410958904109589,0.0,0.0,0.0,0.547945205479452,0.9178082191780822,1.0,0.410958904109589,0.3835616438356164,0.0958904109589041,0.3561643835616438,0.3835616438356164,0.4383561643835616,0.0821917808219178,0.0958904109589041,0.0684931506849315,0.4794520547945205,0.1095890410958904,0.410958904109589,0.273972602739726,0.136986301369863,0.4794520547945205,0.0,0.3013698630136986,0.2465753424657534,0.1095890410958904,0.0547945205479452,0.0958904109589041,0.1095890410958904,0.136986301369863,0.0958904109589041,0.3150684931506849,0.0,0.1095890410958904,0.0,0.0
RENAL CELL CARCINOMA,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.5,0.8285714285714286,0.42857142857142855,1.0,0.6,0.11428571428571428,0.34285714285714286,0.34285714285714286,0.42857142857142855,0.1,0.1,0.04285714285714286,0.4142857142857143,0.02857142857142857,0.4,0.15714285714285714,0.07142857142857142,0.38571428571428573,0.0,0.44285714285714284,0.2857142857142857,0.11428571428571428,0.05714285714285714,0.07142857142857142,0.14285714285714285,0.2,0.1,0.24285714285714285,0.0,0.08571428571428572,0.0,0.0
FOCAL ADHESION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23618090452261306,0.41708542713567837,0.1407035175879397,0.21105527638190955,1.0,0.035175879396984924,0.16080402010050251,0.1407035175879397,0.17587939698492464,0.10552763819095477,0.1306532663316583,0.05527638190954774,0.21608040201005024,0.04020100502512563,0.20100502512562815,0.08542713567839195,0.03015075376884422,0.18592964824120603,0.0,0.4623115577889447,0.1457286432160804,0.06532663316582915,0.03015075376884422,0.09045226130653267,0.05025125628140704,0.07537688442211055,0.09547738693467336,0.08542713567839195,0.04020100502512563,0.035175879396984924,0.0,0.0
DORSO VENTRAL AXIS FORMATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.375,0.2916666666666667,0.3333333333333333,0.2916666666666667,1.0,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.125,0.041666666666666664,0.041666666666666664,0.2916666666666667,0.08333333333333333,0.3333333333333333,0.0,0.0,0.2916666666666667,0.0,0.2916666666666667,0.125,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.125,0.125,0.0,0.08333333333333333,0.0,0.0
NATURAL KILLER CELL MEDIATED CYTOTOXICITY,0.0,0.0,0.0,0.0072992700729927005,0.0072992700729927005,0.0,0.0,0.0,0.22627737226277372,0.24087591240875914,0.1897810218978102,0.17518248175182483,0.23357664233576642,0.051094890510948905,1.0,0.29927007299270075,0.3357664233576642,0.051094890510948905,0.043795620437956206,0.043795620437956206,0.22627737226277372,0.021897810218978103,0.23357664233576642,0.18248175182481752,0.014598540145985401,0.18248175182481752,0.0,0.2116788321167883,0.1897810218978102,0.0948905109489051,0.043795620437956206,0.13138686131386862,0.08029197080291971,0.145985401459854,0.072992700729927,0.24087591240875914,0.014598540145985401,0.08029197080291971,0.0,0.0072992700729927005
B CELL RECEPTOR SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3466666666666667,0.48,0.37333333333333335,0.32,0.37333333333333335,0.09333333333333334,0.5466666666666666,1.0,0.6933333333333334,0.08,0.09333333333333334,0.013333333333333334,0.48,0.12,0.4666666666666667,0.32,0.14666666666666667,0.3333333333333333,0.0,0.32,0.3466666666666667,0.14666666666666667,0.06666666666666667,0.24,0.13333333333333333,0.21333333333333335,0.08,0.2,0.04,0.13333333333333333,0.0,0.0
T CELL RECEPTOR SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35185185185185186,0.3611111111111111,0.2962962962962963,0.2777777777777778,0.32407407407407407,0.06481481481481481,0.42592592592592593,0.48148148148148145,1.0,0.06481481481481481,0.09259259259259259,0.046296296296296294,0.3333333333333333,0.14814814814814814,0.4074074074074074,0.24074074074074073,0.12962962962962962,0.26851851851851855,0.0,0.26851851851851855,0.21296296296296297,0.08333333333333333,0.046296296296296294,0.1574074074074074,0.08333333333333333,0.1388888888888889,0.06481481481481481,0.2222222222222222,0.09259259259259259,0.16666666666666666,0.0,0.009259259259259259
ADHERENS JUNCTION,0.0,0.0,0.0,0.0,0.0273972602739726,0.0,0.0,0.0,0.0684931506849315,0.3835616438356164,0.0821917808219178,0.0958904109589041,0.2876712328767123,0.0410958904109589,0.0958904109589041,0.0821917808219178,0.0958904109589041,1.0,0.273972602739726,0.0821917808219178,0.1232876712328767,0.0410958904109589,0.1643835616438356,0.0,0.0,0.0821917808219178,0.0,0.3013698630136986,0.136986301369863,0.0,0.0,0.2602739726027397,0.1232876712328767,0.0547945205479452,0.0410958904109589,0.0410958904109589,0.0,0.0547945205479452,0.0,0.0
TIGHT JUNCTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07575757575757576,0.12878787878787878,0.05303030303030303,0.05303030303030303,0.19696969696969696,0.007575757575757576,0.045454545454545456,0.05303030303030303,0.07575757575757576,0.15151515151515152,1.0,0.06818181818181818,0.11363636363636363,0.0,0.10606060606060606,0.022727272727272728,0.030303030303030304,0.06060606060606061,0.0,0.1893939393939394,0.06818181818181818,0.030303030303030304,0.007575757575757576,0.09090909090909091,0.07575757575757576,0.045454545454545456,0.07575757575757576,0.022727272727272728,0.0,0.007575757575757576,0.0,0.0
ENDOCYTOSIS,0.0,0.03314917127071823,0.0,0.0,0.049723756906077346,0.0,0.0,0.0,0.049723756906077346,0.10497237569060773,0.027624309392265192,0.016574585635359115,0.06077348066298342,0.0055248618784530384,0.03314917127071823,0.0055248618784530384,0.027624309392265192,0.03314917127071823,0.049723756906077346,1.0,0.09392265193370165,0.0055248618784530384,0.09944751381215469,0.0055248618784530384,0.0,0.03314917127071823,0.0,0.08287292817679558,0.08839779005524862,0.027624309392265192,0.027624309392265192,0.0,0.011049723756906077,0.0055248618784530384,0.0,0.04419889502762431,0.022099447513812154,0.0055248618784530384,0.0,0.0
CHEMOKINE SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.047872340425531915,0.17553191489361702,0.21808510638297873,0.18617021276595744,0.15425531914893617,0.22872340425531915,0.03723404255319149,0.16489361702127658,0.19148936170212766,0.19148936170212766,0.047872340425531915,0.0797872340425532,0.09042553191489362,1.0,0.09574468085106383,0.19148936170212766,0.11170212765957446,0.06382978723404255,0.18617021276595744,0.0,0.2074468085106383,0.1702127659574468,0.06914893617021277,0.0425531914893617,0.0797872340425532,0.15425531914893617,0.11170212765957446,0.14361702127659576,0.10638297872340426,0.0,0.05319148936170213,0.0,0.0
NOD LIKE RECEPTOR SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.08064516129032258,0.3387096774193548,0.12903225806451613,0.03225806451612903,0.12903225806451613,0.03225806451612903,0.04838709677419355,0.14516129032258066,0.25806451612903225,0.04838709677419355,0.0,0.016129032258064516,0.2903225806451613,1.0,0.3225806451612903,0.1935483870967742,0.1774193548387097,0.0967741935483871,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.016129032258064516,0.04838709677419355,0.25806451612903225,0.0,0.0
MAPK SIGNALING PATHWAY,0.0,0.02247191011235955,0.0,0.003745318352059925,0.011235955056179775,0.0,0.0,0.0,0.1198501872659176,0.30711610486891383,0.11235955056179775,0.10486891385767791,0.149812734082397,0.0299625468164794,0.1198501872659176,0.13108614232209737,0.1647940074906367,0.0449438202247191,0.052434456928838954,0.06741573033707865,0.1348314606741573,0.0749063670411985,1.0,0.1198501872659176,0.052434456928838954,0.10486891385767791,0.0,0.21722846441947566,0.0749063670411985,0.011235955056179775,0.0,0.10112359550561797,0.056179775280898875,0.11610486891385768,0.12734082397003746,0.026217228464419477,0.02247191011235955,0.08239700374531835,0.0,0.0
APOPTOSIS,0.0,0.0,0.0,0.04597701149425287,0.08045977011494253,0.0,0.0,0.0,0.13793103448275862,0.40229885057471265,0.22988505747126436,0.12643678160919541,0.19540229885057472,0.0,0.28735632183908044,0.27586206896551724,0.2988505747126437,0.0,0.034482758620689655,0.011494252873563218,0.2413793103448276,0.13793103448275862,0.367816091954023,1.0,0.14942528735632185,0.2413793103448276,0.0,0.09195402298850575,0.12643678160919541,0.09195402298850575,0.04597701149425287,0.13793103448275862,0.04597701149425287,0.12643678160919541,0.04597701149425287,0.1724137931034483,0.06896551724137931,0.10344827586206896,0.0,0.0
ADIPOCYTOKINE SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,0.1044776119402985,0.2835820895522388,0.14925373134328357,0.07462686567164178,0.08955223880597014,0.0,0.029850746268656716,0.16417910447761194,0.208955223880597,0.0,0.05970149253731343,0.0,0.1791044776119403,0.16417910447761194,0.208955223880597,0.19402985074626866,1.0,0.3880597014925373,0.0,0.0,0.04477611940298507,0.0,0.0,0.04477611940298507,0.014925373134328358,0.0,0.014925373134328358,0.13432835820895522,0.029850746268656716,0.08955223880597014,0.0,0.0
INSULIN SIGNALING PATHWAY,0.0072992700729927005,0.0,0.0,0.0,0.0072992700729927005,0.0,0.0,0.021897810218978103,0.31386861313868614,0.27007299270072993,0.25547445255474455,0.19708029197080293,0.27007299270072993,0.051094890510948905,0.18248175182481752,0.18248175182481752,0.2116788321167883,0.043795620437956206,0.058394160583941604,0.043795620437956206,0.25547445255474455,0.043795620437956206,0.20437956204379562,0.15328467153284672,0.1897810218978102,1.0,0.0,0.1897810218978102,0.145985401459854,0.11678832116788321,0.0364963503649635,0.058394160583941604,0.1386861313868613,0.1678832116788321,0.145985401459854,0.15328467153284672,0.0,0.021897810218978103,0.0,0.0
BASE EXCISION REPAIR,0.0,0.0,0.0,0.0,0.0,0.22857142857142856,0.0,0.22857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGULATION OF ACTIN CYTOSKELETON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14553990610328638,0.3192488262910798,0.10328638497652583,0.14553990610328638,0.431924882629108,0.03286384976525822,0.13615023474178403,0.11267605633802817,0.13615023474178403,0.10328638497652583,0.11737089201877934,0.07042253521126761,0.18309859154929578,0.009389671361502348,0.27230046948356806,0.03755868544600939,0.0,0.12206572769953052,0.0,1.0,0.20187793427230047,0.07042253521126761,0.051643192488262914,0.03755868544600939,0.03755868544600939,0.06572769953051644,0.10328638497652583,0.046948356807511735,0.046948356807511735,0.028169014084507043,0.0,0.0
FC GAMMA R MEDIATED PHAGOCYTOSIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2604166666666667,0.2708333333333333,0.1875,0.20833333333333334,0.3020833333333333,0.03125,0.2708333333333333,0.2708333333333333,0.23958333333333334,0.10416666666666667,0.09375,0.16666666666666666,0.3333333333333333,0.020833333333333332,0.20833333333333334,0.11458333333333333,0.03125,0.20833333333333334,0.0,0.4479166666666667,1.0,0.19791666666666666,0.11458333333333333,0.052083333333333336,0.07291666666666667,0.07291666666666667,0.13541666666666666,0.11458333333333333,0.010416666666666666,0.09375,0.0,0.0
PHOSPHATIDYLINOSITOL SIGNALING SYSTEM,0.0,0.0,0.0,0.0,0.06578947368421052,0.0,0.0,0.0,0.17105263157894737,0.18421052631578946,0.10526315789473684,0.10526315789473684,0.17105263157894737,0.0,0.17105263157894737,0.14473684210526316,0.11842105263157894,0.0,0.05263157894736842,0.06578947368421052,0.17105263157894737,0.0,0.039473684210526314,0.10526315789473684,0.0,0.21052631578947367,0.0,0.19736842105263158,0.25,1.0,0.631578947368421,0.09210526315789473,0.17105263157894737,0.21052631578947367,0.21052631578947367,0.10526315789473684,0.0,0.013157894736842105,0.0,0.0
INOSITOL PHOSPHATE METABOLISM,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0.0,0.0,0.1111111111111111,0.12962962962962962,0.07407407407407407,0.07407407407407407,0.1111111111111111,0.0,0.1111111111111111,0.09259259259259259,0.09259259259259259,0.0,0.018518518518518517,0.09259259259259259,0.14814814814814814,0.0,0.0,0.07407407407407407,0.0,0.09259259259259259,0.0,0.2037037037037037,0.2037037037037037,0.8888888888888888,1.0,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.0,0.0,0.0,0.0
WNT SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.046357615894039736,0.0,0.0,0.0,0.08609271523178808,0.4304635761589404,0.046357615894039736,0.033112582781456956,0.11920529801324503,0.0,0.11920529801324503,0.11920529801324503,0.11258278145695365,0.12582781456953643,0.07947019867549669,0.0,0.09933774834437085,0.026490066225165563,0.17880794701986755,0.07947019867549669,0.019867549668874173,0.052980132450331126,0.0,0.052980132450331126,0.033112582781456956,0.046357615894039736,0.026490066225165563,1.0,0.36423841059602646,0.15894039735099338,0.09271523178807947,0.039735099337748346,0.0,0.019867549668874173,0.0,0.0
MELANOGENESIS,0.0,0.0,0.0,0.0,0.12871287128712872,0.0,0.0,0.0891089108910891,0.15841584158415842,0.5346534653465347,0.07920792079207921,0.09900990099009901,0.09900990099009901,0.039603960396039604,0.10891089108910891,0.09900990099009901,0.0891089108910891,0.0891089108910891,0.09900990099009901,0.019801980198019802,0.2871287128712871,0.019801980198019802,0.1485148514851485,0.039603960396039604,0.009900990099009901,0.18811881188118812,0.0,0.07920792079207921,0.06930693069306931,0.12871287128712872,0.039603960396039604,0.5445544554455446,1.0,0.33663366336633666,0.32673267326732675,0.019801980198019802,0.019801980198019802,0.0297029702970297,0.0,0.0
LONG TERM POTENTIATION,0.0,0.0,0.0,0.0,0.15714285714285714,0.0,0.0,0.02857142857142857,0.24285714285714285,0.21428571428571427,0.14285714285714285,0.2,0.21428571428571427,0.05714285714285714,0.2857142857142857,0.22857142857142856,0.21428571428571427,0.05714285714285714,0.08571428571428572,0.014285714285714285,0.3,0.02857142857142857,0.44285714285714284,0.15714285714285714,0.0,0.32857142857142857,0.0,0.2,0.1,0.22857142857142856,0.05714285714285714,0.34285714285714286,0.4857142857142857,1.0,0.5,0.02857142857142857,0.0,0.04285714285714286,0.0,0.0
VASCULAR SMOOTH MUSCLE CONTRACTION,0.0,0.0,0.0,0.0,0.05217391304347826,0.0,0.0,0.12173913043478261,0.08695652173913043,0.09565217391304348,0.06086956521739131,0.06086956521739131,0.16521739130434782,0.02608695652173913,0.08695652173913043,0.05217391304347826,0.06086956521739131,0.02608695652173913,0.08695652173913043,0.0,0.23478260869565218,0.017391304347826087,0.2956521739130435,0.034782608695652174,0.008695652173913044,0.17391304347826086,0.0,0.19130434782608696,0.11304347826086956,0.1391304347826087,0.034782608695652174,0.12173913043478261,0.28695652173913044,0.30434782608695654,1.0,0.0,0.0,0.02608695652173913,0.0,0.0
JAK STAT SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.012903225806451613,0.0,0.0,0.0,0.12903225806451613,0.21935483870967742,0.14838709677419354,0.10967741935483871,0.10967741935483871,0.01935483870967742,0.2129032258064516,0.0967741935483871,0.15483870967741936,0.01935483870967742,0.01935483870967742,0.05161290322580645,0.12903225806451613,0.0064516129032258064,0.04516129032258064,0.0967741935483871,0.05806451612903226,0.13548387096774195,0.0,0.06451612903225806,0.07096774193548387,0.05161290322580645,0.025806451612903226,0.03870967741935484,0.012903225806451613,0.012903225806451613,0.0,1.0,0.13548387096774195,0.07096774193548387,0.0,0.0064516129032258064
HEMATOPOIETIC CELL LINEAGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13793103448275862,0.0,0.0,0.09195402298850575,0.0,0.022988505747126436,0.034482758620689655,0.11494252873563218,0.0,0.0,0.04597701149425287,0.0,0.034482758620689655,0.06896551724137931,0.06896551724137931,0.022988505747126436,0.0,0.0,0.11494252873563218,0.011494252873563218,0.0,0.0,0.0,0.022988505747126436,0.0,0.0,0.2413793103448276,1.0,0.14942528735632185,0.011494252873563218,0.0
LEISHMANIA INFECTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06944444444444445,0.2361111111111111,0.1111111111111111,0.08333333333333333,0.09722222222222222,0.027777777777777776,0.1527777777777778,0.1388888888888889,0.25,0.05555555555555555,0.013888888888888888,0.013888888888888888,0.1388888888888889,0.2222222222222222,0.3055555555555556,0.125,0.08333333333333333,0.041666666666666664,0.0,0.08333333333333333,0.125,0.013888888888888888,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.1527777777777778,0.18055555555555555,1.0,0.0,0.013888888888888888
