"TF","DLD1"
"AHR","1.56977611742686851"
"AR","0.85293364732954335"
"ARID2","-0.82723994904323128"
"ARID3A","4.43661851234271953"
"ARNT","1.70724026021838249"
"ARNTL","2.65364398036686033"
"ASCL1","2.59882660212234962"
"ATF1","0.29033909255737211"
"ATF2","-0.80766041750689455"
"ATF3","-1.74805428991407719"
"ATF4","3.56764078385780081"
"ATF6","1.59221994164729952"
"ATF7","0.28890819014274660"
"BACH1","0.16108928438876721"
"BACH2","1.52804424125398386"
"BATF","0.92628208137850143"
"BCL11A","0.39683289239071695"
"BCL6","-0.75801310005644829"
"BHLHE22","-2.73933341934383190"
"BHLHE40","-2.46684614249642964"
"CDX2","1.57932482494907522"
"CEBPA","-1.39898264179101250"
"CEBPB","1.26665035230685219"
"CEBPD","0.19525734187948510"
"CEBPG","1.80241094079697040"
"CLOCK","3.10139164604865369"
"CREB1","-0.44092936232782276"
"CREB3","-0.01000632049720926"
"CREB3L1","1.08199828752536087"
"CREM","1.19770230644635145"
"CTCF","1.02764925105089588"
"CTCFL","1.99734028058641666"
"CUX1","0.66908129293256047"
"DUX4","-1.12355968609627288"
"E2F1","-6.94446816082077234"
"E2F2","-5.91470691975016649"
"E2F3","-3.63900859024534284"
"E2F4","-12.03626670307464686"
"E2F5","-2.07482950686622125"
"E2F6","0.15254305306038998"
"E2F7","-0.72614997984539609"
"EBF1","2.37533069040794143"
"EGR1","1.48514528213304731"
"EHF","2.21594310394510963"
"ELF1","2.48714301265684901"
"ELF3","1.31956323627733974"
"ELF5","-0.17335238589367971"
"ELK1","2.01790542944288998"
"ELK4","0.33640062999320652"
"EOMES","0.36440365372936012"
"EPAS1","1.84482594541932121"
"ERG","2.31059266448214240"
"ESR1","2.74697651144673927"
"ESR2","1.87900843177336019"
"ESRRA","3.33226816190762198"
"ETS1","1.28908232983008997"
"ETS2","-1.23408822715548894"
"ETV1","2.26541858862429279"
"ETV4","1.40505100827174090"
"FLI1","-0.23372437156066830"
"FOS","1.88148617922413375"
"FOSL2","1.23834352794983271"
"FOXA1","-0.34357228849574822"
"FOXA2","-0.49362988290595494"
"FOXJ2","0.65498607157034761"
"FOXK2","0.87508181224041315"
"FOXL2","0.73112605425779109"
"FOXM1","-4.39917797743087746"
"FOXO1","2.75597699666636942"
"FOXO3","5.20756347311518741"
"FOXO4","1.39087543786717149"
"FOXP1","-1.49291057597364563"
"FOXP2","-0.47793530009419111"
"GABPA","1.40465507688949254"
"GATA1","0.12327077867322743"
"GATA2","-0.67787558731123787"
"GATA3","1.05119239779634066"
"GATA4","1.49322881997085366"
