Pathway,AR Q6,DR3 Q4,LXR DR4 Q3,NFAT Q6,CIZ 01,WCAANNNYCAG UNKNOWN,SNACANNNYSYAGA UNKNOWN,RRAGTTGT UNKNOWN,AACWWCAANK UNKNOWN,TCCCRNNRTGC UNKNOWN,SOX9 B1,SRY 02,SOX5 01,HNF6 Q6,FOXJ2 02,NCX 01,HOXA4 Q2,CHX10 01,TITF1 Q3,TTF1 Q6,RTTTNNNYTGGM UNKNOWN,CEBPB 02,CEBP C,HNF4 Q6,PR 01,PR 02,GR 01,PR Q2,CACCCBINDINGFACTOR Q6,TCF1P Q6,E12 Q6,TAL1ALPHAE47 01,AHRARNT 02,FOXO4 01,STAT5A 04,NRSF 01,GCCATNTTG YY1 Q6,ATGGYGGA UNKNOWN,TAANNYSGCG UNKNOWN,SMTTTTGT UNKNOWN
AR Q6,1.0,0.057692307692307696,0.03076923076923077,0.08461538461538462,0.06923076923076923,0.057692307692307696,0.011538461538461539,0.046153846153846156,0.03461538461538462,0.015384615384615385,0.05,0.08076923076923077,0.07307692307692308,0.04230769230769231,0.057692307692307696,0.06538461538461539,0.07692307692307693,0.08461538461538462,0.08846153846153847,0.057692307692307696,0.03461538461538462,0.13076923076923078,0.026923076923076925,0.046153846153846156,0.057692307692307696,0.046153846153846156,0.06923076923076923,0.05384615384615385,0.046153846153846156,0.06923076923076923,0.026923076923076925,0.05384615384615385,0.0038461538461538464,0.08076923076923077,0.06538461538461539,0.015384615384615385,0.06153846153846154,0.023076923076923078,0.023076923076923078,0.1076923076923077
DR3 Q4,0.10067114093959731,1.0,0.06040268456375839,0.09395973154362416,0.10738255033557047,0.04697986577181208,0.020134228187919462,0.0738255033557047,0.026845637583892617,0.04697986577181208,0.053691275167785234,0.10067114093959731,0.06711409395973154,0.03355704697986577,0.053691275167785234,0.026845637583892617,0.0738255033557047,0.06711409395973154,0.06040268456375839,0.040268456375838924,0.020134228187919462,0.08053691275167785,0.053691275167785234,0.06040268456375839,0.040268456375838924,0.026845637583892617,0.040268456375838924,0.06040268456375839,0.06711409395973154,0.04697986577181208,0.026845637583892617,0.08053691275167785,0.0,0.06040268456375839,0.087248322147651,0.013422818791946308,0.06711409395973154,0.03355704697986577,0.0,0.12751677852348994
LXR DR4 Q3,0.0851063829787234,0.09574468085106383,1.0,0.09574468085106383,0.0851063829787234,0.06382978723404255,0.031914893617021274,0.06382978723404255,0.05319148936170213,0.010638297872340425,0.0,0.07446808510638298,0.031914893617021274,0.06382978723404255,0.02127659574468085,0.06382978723404255,0.09574468085106383,0.031914893617021274,0.09574468085106383,0.07446808510638298,0.06382978723404255,0.031914893617021274,0.0851063829787234,0.05319148936170213,0.02127659574468085,0.02127659574468085,0.031914893617021274,0.02127659574468085,0.07446808510638298,0.06382978723404255,0.0,0.07446808510638298,0.0,0.0851063829787234,0.06382978723404255,0.0,0.0851063829787234,0.031914893617021274,0.031914893617021274,0.09574468085106383
NFAT Q6,0.088,0.056,0.036,1.0,0.132,0.04,0.024,0.048,0.028,0.02,0.084,0.072,0.072,0.076,0.064,0.08,0.108,0.06,0.068,0.072,0.072,0.06,0.068,0.044,0.044,0.04,0.056,0.04,0.06,0.084,0.024,0.08,0.0,0.1,0.056,0.004,0.072,0.008,0.024,0.124
CIZ 01,0.07086614173228346,0.06299212598425197,0.031496062992125984,0.12992125984251968,1.0,0.03937007874015748,0.015748031496062992,0.05511811023622047,0.027559055118110236,0.01968503937007874,0.06299212598425197,0.09055118110236221,0.07874015748031496,0.11023622047244094,0.0984251968503937,0.05905511811023622,0.08661417322834646,0.07086614173228346,0.07480314960629922,0.1062992125984252,0.051181102362204724,0.1062992125984252,0.05511811023622047,0.051181102362204724,0.05511811023622047,0.047244094488188976,0.06299212598425197,0.07086614173228346,0.03543307086614173,0.07480314960629922,0.01968503937007874,0.05511811023622047,0.003937007874015748,0.10236220472440945,0.1062992125984252,0.0,0.051181102362204724,0.015748031496062992,0.011811023622047244,0.13385826771653545
WCAANNNYCAG UNKNOWN,0.05905511811023622,0.027559055118110236,0.023622047244094488,0.03937007874015748,0.03937007874015748,1.0,0.15748031496062992,0.2047244094488189,0.14173228346456693,0.10236220472440945,0.05905511811023622,0.06299212598425197,0.05905511811023622,0.04330708661417323,0.051181102362204724,0.01968503937007874,0.047244094488188976,0.031496062992125984,0.023622047244094488,0.06299212598425197,0.03543307086614173,0.03937007874015748,0.027559055118110236,0.07086614173228346,0.03543307086614173,0.027559055118110236,0.051181102362204724,0.05511811023622047,0.05905511811023622,0.03543307086614173,0.031496062992125984,0.05511811023622047,0.0,0.03543307086614173,0.04330708661417323,0.003937007874015748,0.05905511811023622,0.011811023622047244,0.015748031496062992,0.0984251968503937
SNACANNNYSYAGA UNKNOWN,0.031578947368421054,0.031578947368421054,0.031578947368421054,0.06315789473684211,0.042105263157894736,0.42105263157894735,1.0,0.17894736842105263,0.15789473684210525,0.12631578947368421,0.021052631578947368,0.031578947368421054,0.05263157894736842,0.042105263157894736,0.05263157894736842,0.0,0.031578947368421054,0.021052631578947368,0.06315789473684211,0.042105263157894736,0.042105263157894736,0.010526315789473684,0.031578947368421054,0.021052631578947368,0.021052631578947368,0.010526315789473684,0.021052631578947368,0.042105263157894736,0.031578947368421054,0.021052631578947368,0.031578947368421054,0.021052631578947368,0.0,0.031578947368421054,0.031578947368421054,0.0,0.08421052631578947,0.031578947368421054,0.0,0.05263157894736842
RRAGTTGT UNKNOWN,0.04669260700389105,0.042801556420233464,0.023346303501945526,0.04669260700389105,0.054474708171206226,0.20233463035019456,0.06614785992217899,1.0,0.13618677042801555,0.058365758754863814,0.038910505836575876,0.06614785992217899,0.07782101167315175,0.07392996108949416,0.04669260700389105,0.05058365758754864,0.054474708171206226,0.054474708171206226,0.07392996108949416,0.058365758754863814,0.05058365758754864,0.06614785992217899,0.06614785992217899,0.0622568093385214,0.027237354085603113,0.0311284046692607,0.03501945525291829,0.054474708171206226,0.04669260700389105,0.058365758754863814,0.027237354085603113,0.054474708171206226,0.0,0.08171206225680934,0.07392996108949416,0.0038910505836575876,0.07003891050583658,0.01556420233463035,0.011673151750972763,0.08171206225680934
AACWWCAANK UNKNOWN,0.06164383561643835,0.0273972602739726,0.03424657534246575,0.04794520547945205,0.04794520547945205,0.2465753424657534,0.10273972602739725,0.23972602739726026,1.0,0.10273972602739725,0.07534246575342465,0.07534246575342465,0.0821917808219178,0.04794520547945205,0.0684931506849315,0.0684931506849315,0.06164383561643835,0.07534246575342465,0.07534246575342465,0.04794520547945205,0.06164383561643835,0.0410958904109589,0.0410958904109589,0.03424657534246575,0.0273972602739726,0.04794520547945205,0.0547945205479452,0.06164383561643835,0.0410958904109589,0.02054794520547945,0.0273972602739726,0.04794520547945205,0.0,0.08904109589041095,0.07534246575342465,0.0,0.08904109589041095,0.00684931506849315,0.02054794520547945,0.07534246575342465
TCCCRNNRTGC UNKNOWN,0.018518518518518517,0.032407407407407406,0.004629629629629629,0.023148148148148147,0.023148148148148147,0.12037037037037036,0.05555555555555555,0.06944444444444445,0.06944444444444445,1.0,0.032407407407407406,0.032407407407407406,0.027777777777777776,0.018518518518518517,0.032407407407407406,0.004629629629629629,0.018518518518518517,0.009259259259259259,0.037037037037037035,0.018518518518518517,0.018518518518518517,0.004629629629629629,0.023148148148148147,0.009259259259259259,0.018518518518518517,0.013888888888888888,0.023148148148148147,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.023148148148148147,0.0,0.032407407407407406,0.013888888888888888,0.0,0.08333333333333333,0.004629629629629629,0.032407407407407406,0.032407407407407406
